The Wolf and the Lamb

'Once': KPA/WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'a': AEU
'Wolf': KPA/WOFL
'was': WAS
'lapping': HRAPG
'at': AT
'a': AEU
'spring': SPREUPBG
'on': OPB
'a': AEU
'hillside,': HEULDZ/KW-BG
'when,': WHEPB/KW-BG
'looking': HRAOG
'up,': UP/KW-BG
'what': WHA
'should': SHO
'he': HE
'see': SAOE
'but': PWUT
'a': AEU
'Lamb': KPA/HRAPL
'just': SKWRUFT
'beginning': TKPWEUPB/-G
'to': TO
'drink': TKREU
'a': AEU
'little': HREUL
'lower': HROUR
'down.': TKOUPB/TP-PL
'"There's': KW-GS/KPA*/THR-S
'my': PHEU
'supper,"': SAOURP/KW-BG/KR-GS
'thought': THAUT
'he,': HE/KW-BG
'"if': KW-GS/TP
'only': OEPBL
'I': EU
'can': K
'find': TPAOEUPBD
'some': SOPL
'excuse': SKAOUS
'to': TO
'seize': SAOEZ
'it."': T/TP-PL/KR-GS
'then': THEPB
'he': HE
'called': KAULD
'out': OUT
'to': TO
'the': -T
'Lamb,': KPA/HRAPL/KW-BG
'"How': KW-GS/KPA*/HOU
'dare': TKAEUR
'you': U
'muddle': PH*ULD
'the': -T
'water': WAUR
'from': TPR
'which': WEU
'I': EU
'am': APL
'drinking?"': TKREUG/H-F/KR-GS
'"Nay,': KW-GS/KPA*/TPHAEU/KW-BG
'master,': PHAFRT/KW-BG
'nay,"': TPHAEU/KW-BG/KR-GS
'said': SED
'Lambikin;': HRAPL/SKWREU/K*EUPB/STPH*FPLT
'"if': KW-GS/TP
'the': -T
'water': WAUR
'be': -B
'muddy': PHUD/KWREU
'up': UP
'there,': THR-RBGS
'I': EU
'cannot': SK-PBT
'be': -B
'the': -T
'cause': KAUS
'of': -F
'it,': T/KW-BG
'for': TPOR
'it': T
'runs': RUPBS
'down': TKOUPB
'from': TPR
'you': U
'to': TO
'me."': PHE/TP-PL/KR-GS
'"Well,': KW-GS/KPA*/WEL/KW-BG
'then,"': THEPB/KW-BG/KR-GS
'said': SED
'the': -T
'Wolf,': KPA/WOFL/KW-BG
'"why': KW-GS/KWR
'did': TK
'you': U
'call': KAUL
'me': PHE
'bad': PWAD
'names': TPHAEUPLS
'this': TH
'time': TAOEUPL
'last': HRAFT
'year?"': KWRAOER/H-F/KR-GS
'"That': KW-GS/KPA*/THA
'cannot': SK-PBT
'be,"': -B/KW-BG/KR-GS
'said': SED
'the': -T
'Lamb;': KPA/HRAPL/STPH*FPLT
'"I': KW-GS/EU
'am': APL
'only': OEPBL
'six': SEUBGS
'months': PHO*PBTS
'old."': OLD/TP-PL/KR-GS
'"I': KW-GS/EU
'don't': TKOEPBT
'care,"': KAEUR/KW-BG/KR-GS
'snarled': STPHARPLD
'the': -T
'Wolf;': KPA/WOFL/STPH*FPLT
'"if': KW-GS/TP
'it': T
'was': WAS
'not': TPHOT
'you': U
'it': T
'was': WAS
'your': KWROUR
'father;"': TPAER/STPH*FPLT/KR-GS
'and': SKP
'with': W
'that': THA
'he': HE
'rushed': RURBD
'upon': POPB
'the': -T
'poor': PAOR
'little': HREUL
'Lamb': KPA/HRAPL
'and': SKP
'ate': AEUT
'her': HER
'all': AUL
'up.': UP/TP-PL
'Any': KPA/TPHEU
'excuse': SKAOUS
'will': HR
'serve': SEFRB
'a': AEU
'tyrant.': TAOEURPBT/TP-PL
