The Wolf in Sheep's Clothing

'A': KPA/AEU
'Wolf': KPA/WOFL
'found': TPOUPBD
'great': TKPWRAET
'difficulty': TKOEUFLT
'in': TPH
'getting': TKPWEGT
'at': AT
'the': -T
'sheep': SHAOEP
'owing': OE/-G
'to': TO
'the': -T
'vigilance': SREUPBLG/HRAPBS
'of': -F
'the': -T
'shepherd': SHEP/ERD
'and': SKP
'his': HEUS
'dogs.': TKOGS/TP-PL
'But': KPA/PWUT
'one': WUPB
'day': TKAEU
'it': T
'found': TPOUPBD
'the': -T
'skin': SKEUPB
'of': -F
'a': AEU
'sheep': SHAOEP
'that': THA
'had': H
'been': PW-PB
'flayed': TPHRAEU/-D
'and': SKP
'thrown': THROEPB
'aside,': A/SAOEUD/KW-BG
'so': SO
'it': T
'put': PUT
'it': T
'on': OPB
'over': OEFR
'its': EUTS
'own': OEPB
'pelt': PELT
'and': SKP
'strolled': STROLD
'down': TKOUPB
'among': PHOPBG
'the': -T
'sheep.': SHAOEP/TP-PL
'The': KPA/-T
'Lamb': KPA/HRAPL
'that': THA
'belonged': PWHROPBGD
'to': TO
'the': -T
'sheep,': SHAOEP/KW-BG
'whose': WHOZ
'skin': SKEUPB
'the': -T
'Wolf': KPA/WOFL
'was': WAS
'wearing,': WAERG/KW-BG
'began': TKPWAPB
'to': TO
'follow': TPOL
'the': -T
'Wolf': KPA/WOFL
'in': TPH
'the': -T
'Sheep's': KPA/SHAOEP/AES
'clothing;': KHRO*ET/-G/STPH*FPLT
'so,': SO/KW-BG
'leading': HRAEGD
'the': -T
'Lamb': KPA/HRAPL
'a': AEU
'little': HREUL
'apart,': A/PART/KW-BG
'he': HE
'soon': SAOPB
'made': PHAED
'a': AEU
'meal': PHAOEL
'off': OF
'her,': HER/KW-BG
'and': SKP
'for': TPOR
'some': SOPL
'time': TAOEUPL
'he': HE
'succeeded': SUBG/SAOED/-D
'in': TPH
'deceiving': TKE/SAOEFG
'the': -T
'sheep,': SHAOEP/KW-BG
'and': SKP
'enjoying': EPB/SKWROEUG
'hearty': HAR/TEU
'meals.': PHAOELS/TP-PL
'Appearances': KPA/A/PAOERPBS/-S
'are': R
'deceptive.': TKE/SEPT/EUF/TP-PL
