The Woodman and the Serpent

'One': KPA/WUPB
'wintry': WEUPBT/REU
'day': TKAEU
'a': AEU
'Woodman': KPA/WAOD/TK-LS/PHAPB
'was': WAS
'tramping': TRAPL/-PG
'home': HOEPL
'from': TPR
'his': HEUS
'work': WORBG
'when': WHEPB
'he': HE
'saw': SAU
'something': S-G
'black': PWHRABG
'lying': HRAOEUG
'on': OPB
'the': -T
'snow.': STPHOE/TP-PL
'When': KPA/WHEPB
'he': HE
'came': KAEUPL
'closer': KHROERS
'he': HE
'saw': SAU
'it': T
'was': WAS
'a': AEU
'Serpent': KPA/SERP/EPBT
'to': TO
'all': AUL
'appearance': PAOERPBS
'dead.': TKED/TP-PL
'But': KPA/PWUT
'he': HE
'took': TAOBG
'it': T
'up': UP
'and': SKP
'put': PUT
'it': T
'in': TPH
'his': HEUS
'bosom': PWUZ/OPL
'to': TO
'warm': WARPL
'while': WHAOEUL
'he': HE
'hurried': HUR/EUD
'home.': HOEPL/TP-PL
'As': KPA/AS
'soon': SAOPB
'as': AS
'he': HE
'got': TKPWOT
'indoors': EUPB/TKAORS
'he': HE
'put': PUT
'the': -T
'Serpent': KPA/SERP/EPBT
'down': TKOUPB
'on': OPB
'the': -T
'hearth': HAERT
'before': PW-FR
'the': -T
'fire.': TPAOEUR/TP-PL
'The': KPA/-T
'children': KHEURPB
'watched': WAFPD
'it': T
'and': SKP
'saw': SAU
'it': T
'slowly': SHROEL
'come': KOPL
'to': TO
'life': HRAOEUF
'again.': TKPWEPB/TP-PL
'Then': KPA/THEPB
'one': WUPB
'of': -F
'them': THEPL
'stooped': STAOPD
'down': TKOUPB
'to': TO
'stroke': STROBG
'it,': T/KW-BG
'but': PWUT
'the': -T
'Serpent': KPA/SERP/EPBT
'raised': RA*EUFD
'its': EUTS
'head': HED
'and': SKP
'put': PUT
'out': OUT
'its': EUTS
'fangs': TPAPBGS
'and': SKP
'was': WAS
'about': PW
'to': TO
'sting': STEUPBG
'the': -T
'child': KHAOEULD
'to': TO
'death.': TK*T/TP-PL
'So': KPA/SO
'the': -T
'Woodman': KPA/WAOD/TK-LS/PHAPB
'seized': SAOEZ/-D
'his': HEUS
'axe,': ABGS/KW-BG
'and': SKP
'with': W
'one': WUPB
'stroke': STROBG
'cut': KUT
'the': -T
'Serpent': KPA/SERP/EPBT
'in': TPH
'two.': TWO/TP-PL
'"Ah,"': KW-GS/KPA*/AERBGS/KR-GS
'said': SED
'he,': HE/KW-BG
'"No': KW-GS/KPA*/TPHO
'gratitude': TKPWRAT/TAOUD
'from': TPR
'the': -T
'wicked."': WEUBGD/TP-PL/KR-GS
