The Young Thief and His Mother

'A': KPA/AEU
'young': KWRUPBG
'Man': KPA/PHAPB
'had': H
'been': PW-PB
'caught': KAUT
'in': TPH
'a': AEU
'daring': TKAEURG
'act': ABGT
'of': -F
'theft': THEFT
'and': SKP
'had': H
'been': PW-PB
'condemned': KAUPB/TKEPL/-D
'to': TO
'be': -B
'executed': SKAOUTD
'for': TPOR
'it.': T/TP-PL
'He': KPA/HE
'expressed': EBGS/PREFD
'his': HEUS
'desire': STKAOEUR
'to': TO
'see': SAOE
'his': HEUS
'Mother,': KPA/PHOER/KW-BG
'and': SKP
'to': TO
'speak': SPAOEBG
'with': W
'her': HER
'before': PW-FR
'he': HE
'was': WAS
'led': HRED
'to': TO
'execution,': SKAOUGS/KW-BG
'and': SKP
'of': -F
'course': KORS
'this': TH
'was': WAS
'granted.': TKPWRAPBTD/TP-PL
'When': KPA/WHEPB
'his': HEUS
'Mother': KPA/PHOER
'came': KAEUPL
'to': TO
'him': HEUPL
'he': HE
'said:': SED/STPH-FPLT
'"I': KW-GS/EU
'want': WAPBT
'to': TO
'whisper': WEUS/PER
'to': TO
'you,"': U/KW-BG/KR-GS
'and': SKP
'when': WHEPB
'she': SHE
'brought': PWRAUT
'her': HER
'ear': AOER
'near': TPHAOER
'him,': HEUPL/KW-BG
'he': HE
'nearly': TPHAOERL
'bit': PWEUT
'it': T
'off.': OF/TP-PL
'All': KPA/AUL
'the': -T
'bystanders': PWEU/STAPB/ERS
'were': WR
'horrified,': HOR/TPAOEUD/KW-BG
'and': SKP
'asked': SK-D
'him': HEUPL
'what': WHA
'he': HE
'could': KO
'mean': PHAOEPB
'by': PWEU
'such': SUFP
'brutal': PWRAOULT
'and': SKP
'inhuman': EUPB/HAOUPL
'conduct.': KUBGT/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'to': TO
'punish': P-RB
'her,"': HER/KW-BG/KR-GS
'he': HE
'said.': SED/TP-PL
'"When': KW-GS/KPA*/WHEPB
'I': EU
'was': WAS
'young': KWRUPBG
'I': EU
'began': TKPWAPB
'with': W
'stealing': STAELG
'little': HREUL
'things,': THEUPBGS/KW-BG
'and': SKP
'brought': PWRAUT
'them': THEPL
'home': HOEPL
'to': TO
'Mother.': KPA/PHOER/TP-PL
'Instead': KPA/STPHED
'of': -F
'rebuking': RE/PWAOUBG/-G
'and': SKP
'punishing': P-RBG
'me,': PHE/KW-BG
'she': SHE
'laughed': HRAFD
'and': SKP
'said:': SED/STPH-FPLT
'"It': KW-GS/KPA*/T
'will': HR
'not': TPHOT
'be': -B
'noticed."': TPH-TS/-D/TP-PL/KR-GS
'It': KPA/T
'is': S
'because': PWAU
'of': -F
'her': HER
'that': THA
'I': EU
'am': APL
'here': HAOER
'to-day."': TO/H-PB/TKAEU/TP-PL/KR-GS
'"He': KW-GS/KPA*/HE
'is': S
'right,': RAOEUT/KW-BG
'woman,"': WOPL/KW-BG/KR-GS
'said': SED
'the': -T
'Priest;': KPA/PRAOEFT/STPH*FPLT
'"the': KW-GS/-T
'Lord': HRO*RD
'hath': HA*T
'said:': SED/STPH-FPLT
'"Train': KW-GS/KPA*/TRAEUPB
'up': UP
'a': AEU
'child': KHAOEULD
'in': TPH
'the': -T
'way': WAEU
'he': HE
'should': SHO
'go;': TKPW/STPH*FPLT
'and': SKP
'when': WHEPB
'he': HE
'is': S
'old': OLD
'he': HE
'will': HR
'not': TPHOT
'depart': TKPART
'therefrom."': THR-FRPL/TP-PL/KR-GS
