The Chaos

'Dearest': KPA/TKAER/EFT
'creature': KRAOEFP
'in': TPH
'creation': KRAEGS
'Studying': KPA/STAO*UGD
'English': TKPWHREURB
'pronunciation,': PROUPBGS/KW-BG
'I': EU
'will': HR
'teach': TAOEFP
'you': U
'in': TPH
'my': PHEU
'verse': SRERS
'Sounds': KPA/SOUPBDZ
'like': HRAOEUBG
'corpse,': KORPS/KW-BG
'corps,': KOERP/KW-BG
'horse': HORS
'and': SKP
'worse.': WORS/TP-PL
'I': EU
'will': HR
'keep': KAOEP
'you,': U/KW-BG
'Susy,': S*P/SKWRU/-S/KWREU/KW-BG
'busy,': PW-Z/KW-BG
'Make': KPA/PHAEUBG
'your': KWROUR
'head': HED
'with': W
'heat': HAOET
'grow': TKPWROE
'dizzy;': TKEUZ/SEU/STPH*FPLT
'Tear': KPA/TAER
'in': TPH
'eye,': AOEU/KW-BG
'your': KWROUR
'dress': TKRES
'you'll': UL
'tear;': TAER/STPH*FPLT
'Queer,': KPA/KWAOER/KW-BG
'fair': TPAEUR
'seer,': SAOER/KW-BG
'hear': HAER
'my': PHEU
'prayer.': PRAEUR/TP-PL
'Pray,': KPA/PRAEU/KW-BG
'console': KAUPB/SOEL
'your': KWROUR
'loving': HRUFG
'poet,': POET/KW-BG
'Make': KPA/PHAEUBG
'my': PHEU
'coat': KOET
'look': HRAOBG
'new,': TPHU/KW-BG
'dear,': TKAER/KW-BG
'sew': SWE
'it!': T/SKHRAPL
'Just': KPA/SKWRUFT
'compare': KPAR
'heart,': HART/KW-BG
'hear': HAER
'and': SKP
'heard,': HAERD/KW-BG
'Dies': KPA/TKAOEUZ
'and': SKP
'diet,': TKAOEUT/KW-BG
'lord': HRORD
'and': SKP
'word.': WORD/TP-PL
'Sword': KPA/SWORD
'and': SKP
'sward,': SWARD/KW-BG
'retain': RE/TAEUPB
'and': SKP
'Britain': PWREU/TEUPB
'(Mind': PREPB/KPA*/PHAOEUPBD
'the': -T
'latter': HRART
'how': HOU
