Ashputtel

'The': KPA/-T
'wife': WAOEUF
'of': -F
'a': AEU
'rich': REUFP
'man': PHAPB
'fell': TPEL
'sick;': SEUBG/STPH*FPLT
'and': SKP
'when': WHEPB
'she': SHE
'felt': TPELT
'that': THA
'her': HER
'end': EPBD
'drew': TKRAOU
'nigh,': TPHAOEU/KW-BG
'she': SHE
'called': KAULD
'her': HER
'only': OEPBL
'daughter': TKAUR
'to': TO
'her': HER
'bed-side,': PWED/H-PB/SAOEUD/KW-BG
'and': SKP
'said,': SED/KW-BG
''Always': A*E/KPA*/AULS
'be': -B
'a': AEU
'good': TKPWAOD
'girl,': TKPWEURL/KW-BG
'and': SKP
'I': EU
'will': HR
'look': HRAOBG
'down': TKOUPB
'from': TPR
'heaven': HEFPB
'and': SKP
'watch': WAFP
'over': OEFR
'you.'': U/TP-PL/AE
'Soon': KPA/SAOPB
'afterwards': A*FRDZ
'she': SHE
'shut': SHUT
'her': HER
'eyes': AO*EUS
'and': SKP
'died,': TKAOEUD/KW-BG
'and': SKP
'was': WAS
'buried': PWUR/EUD
'in': TPH
'the': -T
'garden;': TKPWA*RPB/STPH*FPLT
'and': SKP
'the': -T
'little': HREUL
'girl': TKPWEURL
'went': WEPBT
'every': EF
'day': TKAEU
'to': TO
'her': HER
'grave': TKPWRAEUF
'and': SKP
'wept,': WEPT/KW-BG
'and': SKP
'was': WAS
'always': AULS
'good': TKPWAOD
'and': SKP
'kind': KEUPBD
'to': TO
'all': AUL
'about': PW
'her.': HER/TP-PL
'And': AFPBD
'the': -T
'snow': STPHOE
'fell': TPEL
'and': SKP
'spread': SPRED
'a': AEU
'beautiful': PWAOUFL
'white': WHAOEUT
'covering': KOFRG
'over': OEFR
'the': -T
'grave;': TKPWRAEUF/STPH*FPLT
'but': PWUT
'by': PWEU
'the': -T
'time': TAOEUPL
'the': -T
'spring': SPREUPBG
'came,': KAEUPL/KW-BG
'and': SKP
'the': -T
'sun': SUPB
'had': H
'melted': PHELT/-D
'it': T
'away': WA*EU
'again,': STKPWERPBGS
'her': HER
'father': TPAER
'had': H
'married': PHAERD
'another': TPHOER
'wife.': WAOEUF/TP-PL
'This': KPA/TH
'new': TPHU
'wife': WAOEUF
'had': H
'two': TWO
'daughters': TKAURS
'of': -F
'her': HER
'own,': OEPB/KW-BG
'that': THA
'she': SHE
'brought': PWRAUT
'home': HOEPL
'with': W
'her;': HER/STPH*FPLT
'they': THE
'were': WR
'fair': TPAEUR
'in': TPH
'face': TPAEUS
'but': PWUT
