Briar Rose

'A': KPA/AEU
'king': KEUPBG
'and': SKP
'queen': KWAOEPB
'once': WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'reigned': RAEPB/-D
'in': TPH
'a': AEU
'country': KREU
'a': AEU
'great': TKPWRAET
'way': WAEU
'off,': OF/KW-BG
'where': W-R
'there': THR
'were': WR
'in': TPH
'those': THOZ
'days': TKAEUS
'fairies.': TPAEUR/REU/-S/TP-PL
'Now': KPA/TPHOU
'this': TH
'king': KEUPBG
'and': SKP
'queen': KWAOEPB
'had': H
'plenty': PHREPBT
'of': -F
'money,': PHUPB/KW-BG
'and': SKP
'plenty': PHREPBT
'of': -F
'fine': TPAOEUPB
'clothes': KHRO*ETS
'to': TO
'wear,': WAER/KW-BG
'and': SKP
'plenty': PHREPBT
'of': -F
'good': TKPWAOD
'things': THEUPBGS
'to': TO
'eat': AOET
'and': SKP
'drink,': TKREU/KW-BG
'and': SKP
'a': AEU
'coach': KOEFP
'to': TO
'ride': RAOEUD
'out': OUT
'in': TPH
'every': EF
'day:': TKAEU/STPH-FPLT
'but': PWUT
'though': THOE
'they': THE
'had': H
'been': PW-PB
'married': PHAERD
'many': PHAEPB
'years': KWRAOERS
'they': THE
'had': H
'no': TPHO
'children,': KHEURPB/KW-BG
'and': SKP
'this': TH
'grieved': TKPWRAOEF/-D
'them': THEPL
'very': SRE
'much': PHUFP
'indeed.': TPHAOEPBD/TP-PL
'But': KPA/PWUT
'one': WUPB
'day': TKAEU
'as': AS
'the': -T
'queen': KWAOEPB
'was': WAS
'walking': WAUG
'by': PWEU
'the': -T
'side': SAOEUD
'of': -F
'the': -T
'river,': REUFR/KW-BG
'at': AT
'the': -T
'bottom': PWOPLT
'of': -F
'the': -T
'garden,': TKPWA*RPB/KW-BG
'she': SHE
'saw': SAU
'a': AEU
'poor': PAOR
'little': HREUL
'fish,': TPEURB/KW-BG
'that': THA
'had': H
'thrown': THROEPB
'itself': T/SEFL
'out': OUT
'of': -F
'the': -T
'water,': WAURBGS
'and': SKP
'lay': HRAEU
'gasping': TKPWAS/-PG
'and': SKP
'nearly': TPHAOERL
'dead': TKED
'on': OPB
'the': -T
'bank.': PWA*PBG/TP-PL
'Then': KPA/THEPB
'the': -T
'queen': KWAOEPB
'took': TAOBG
'pity': PEUT/TEU
'on': OPB
'the': -T
'little': HREUL
'fish,': TPEURB/KW-BG
'and': SKP
'threw': THRAOU
'it': T
'back': PWABG
'again': TKPWEPB
'into': TPHAO
'the': -T
'river;': REUFR/STPH*FPLT
'and': SKP
'before': PW-FR
'it': T
'swam': SWAPL
'away': WA*EU
'it': T
'lifted': HREUFTD
'its': EUTS
'head': HED
'out': OUT
'of': -F
'the': -T
'water': WAUR
'and': SKP
'said,': SED/KW-BG
''I': A*E/EU
'know': TPHOE
'what': WHA
'your': KWROUR
'wish': WEURB
'is,': S-RBGS
'and': SKP
'it': T
'shall': SHAL
'be': -B
'fulfilled,': TPUL/TPEULD/KW-BG
'in': TPH
'return': RURPB
'for': TPOR
