Cat and Mouse in Partnership

'A': KPA/AEU
'certain': SERPB
'cat': KAT
'had': H
'made': PHAED
'the': -T
'acquaintance': KWAEUPBS
'of': -F
'a': AEU
'mouse,': PHOUS/KW-BG
'and': SKP
'had': H
'said': SED
'so': SO
'much': PHUFP
'to': TO
'her': HER
'about': PW
'the': -T
'great': TKPWRAET
'love': HRUF
'and': SKP
'friendship': TPREP
'she': SHE
'felt': TPELT
'for': TPOR
'her,': HER/KW-BG
'that': THA
'at': AT
'length': HREPBG
'the': -T
'mouse': PHOUS
'agreed': TKPWRAED
'that': THA
'they': THE
'should': SHO
'live': HREUF
'and': SKP
'keep': KAOEP
'house': HOUS
'together.': TOGT/TP-PL
''But': A*E/KPA*/PWUT
'we': WE
'must': PHUFT
'make': PHAEUBG
'a': AEU
'provision': PREUFGS
'for': TPOR
'winter,': WEURPBT/KW-BG
'or': OR
'else': ELS
'we': WE
'shall': SHAL
'suffer': SUFR
'from': TPR
'hunger,'': HURPBG/KW-BG/AE
'said': SED
'the': -T
'cat;': KAT/STPH*FPLT
''and': A*E/SKP
'you,': U/KW-BG
'little': HREUL
'mouse,': PHOUS/KW-BG
'cannot': SK-PBT
'venture': SREPBT/UR
'everywhere,': WEFR/KW-BG
'or': OR
'you': U
'will': HR
'be': -B
'caught': KAUT
'in': TPH
'a': AEU
'trap': TRAP
'some': SOPL
'day.'': TKAEU/TP-PL/AE
'The': KPA/-T
'good': TKPWAOD
'advice': SREUS
'was': WAS
'followed,': TPOLD/KW-BG
'and': SKP
'a': AEU
'pot': POT
'of': -F
'fat': TPAT
'was': WAS
'bought,': PWAUT/KW-BG
'but': PWUT
'they': THE
'did': TK
'not': TPHOT
'know': TPHOE
'where': W-R
'to': TO
'put': PUT
'it.': T/TP-PL
'At': KPA/AT
'length,': HREPBG/KW-BG
'after': AF
'much': PHUFP
'consideration,': K-RGS/KW-BG
'the': -T
'cat': KAT
'said:': SED/STPH-FPLT
''I': A*E/EU
'know': TPHOE
'no': TPHO
'place': PHRAEUS
'where': W-R
'it': T
'will': HR
'be': -B
'better': PWOERT
'stored': STORD
'up': UP
'than': THAPB
'in': TPH
'the': -T
'church,': KHUFRPB/KW-BG
'for': TPOR
'no': TPHO
'one': WUPB
'dares': TKAEURS
'take': TAEUBG
'anything': TPHEUG
'away': WA*EU
'from': TPR
'there.': THR/TP-PL
'We': KPA/WE
'will': HR
'set': SET
'it': T
'beneath': TPHAO*ET
'the': -T
'altar,': AL/TAR/KW-BG
'and': SKP
'not': TPHOT
'touch': TUFP
'it': T
'until': TPH-L
'we': WE
'are': R
'really': R-L
'in': TPH
'need': TPHAOED
'of': -F
'it.'': T/TP-PL/AE
'So': KPA/SO
'the': -T
'pot': POT
'was': WAS
'placed': PHRAEUFD
'in': TPH
'safety,': SAEFT/KW-BG
'but': PWUT
'it': T
'was': WAS
'not': TPHOT
'long': HROPBG
'before': PW-FR
'the': -T
'cat': KAT
'had': H
'a': AEU
'great': TKPWRAET
'yearning': KWRERPBG
'for': TPOR
'it,': T/KW-BG
'and': SKP
'said': SED
'to': TO
'the': -T
'mouse:': PHOUS/STPH-FPLT
''I': A*E/EU
'want': WAPBT
'to': TO
'tell': TEL
'you': U
'something,': S-G/KW-BG
'little': HREUL
'mouse;': PHOUS/STPH*FPLT
'my': PHEU
'cousin': KUZ
'has': HAS
'brought': PWRAUT
'a': AEU
'little': HREUL
'son': SOPB
'into': TPHAO
'the': -T
'world,': WORLD/KW-BG
'and': SKP
'has': HAS
'asked': SK-D
'me': PHE
'to': TO
'be': -B
'godmother;': TKPWOD/PHOER/STPH*FPLT
'he': HE
'is': S
'white': WHAOEUT
'with': W
'brown': PWROUPB
'spots,': SPOTS/KW-BG
'and': SKP
'I': EU
'am': APL
'to': TO
'hold': HOLD
'him': HEUPL
'over': OEFR
'the': -T
'font': TPOPBT
'at': AT
'the': -T
'christening.': KREUFPB/-G/TP-PL
'Let': KPA/HRET
'me': PHE
'go': TKPW
'out': OUT
'today,': TOED/KW-BG
'and': SKP
'you': U
'look': HRAOBG
'after': AF
'the': -T
'house': HOUS
'by': PWEU
'yourself.'': KWRO*URS/TP-PL/AE
''Yes,': A*E/KPA*/KWRE/KW-BG
'yes,'': KWRE/KW-BG/AE
'answered': AEPBS/-D
'the': -T
'mouse,': PHOUS/KW-BG
''by': A*E/PWEU
'all': AUL
'means': PHAOEPBS
'go,': TKPW-RBGS
'and': SKP
'if': TP
'you': U
'get': TKPWET
'anything': TPHEUG
'very': SRE
'good': TKPWAOD
'to': TO
'eat,': AOET/KW-BG
'think': THEU
'of': -F
'me.': PHE/TP-PL
'I': EU
'should': SHO
'like': HRAOEUBG
'a': AEU
'drop': TKROP
'of': -F
'sweet': SWAOET
'red': RED
'christening': KREUFPB/-G
'wine': WAOEUPB
'myself.'': PHAO*EUS/TP-PL/AE
'All': KPA/AUL
'this,': TH/KW-BG
'however,': HOUF/KW-BG
'was': WAS
'untrue;': UPB/TRAOU/STPH*FPLT
'the': -T
'cat': KAT
'had': H
'no': TPHO
'cousin,': KUZ/KW-BG
'and': SKP
'had': H
'not': TPHOT
'been': PW-PB
'asked': SK-D
'to': TO
'be': -B
'godmother.': TKPWOD/PHOER/TP-PL
'She': KPA/SHE
'went': WEPBT
'straight': STRAEUT
'to': TO
'the': -T
'church,': KHUFRPB/KW-BG
'stole': STOEL
'to': TO
