Clever Elsie

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'man': PHAPB
'who': WHO
'had': H
'a': AEU
'daughter': TKAUR
'who': WHO
'was': WAS
'called': KAULD
'Clever': KPA/KHREFR
'Elsie.': EL/SEU/TP-PL
'And': AFPBD
'when': WHEPB
'she': SHE
'had': H
'grown': TKPWROEPB
'up': UP
'her': HER
'father': TPAER
'said:': SED/STPH-FPLT
''We': A*E/KPA*/WE
'will': HR
'get': TKPWET
'her': HER
'married.'': PHAERD/TP-PL/AE
''Yes,'': A*E/KPA*/KWRE/KW-BG/AE
'said': SED
'the': -T
'mother,': PHOER/KW-BG
''if': A*E/TP
'only': OEPBL
'someone': SPH-PB
'would': WO
'come': KOPL
'who': WHO
'would': WO
'have': SR
'her.'': HER/TP-PL/AE
'At': KPA/AT
'length': HREPBG
'a': AEU
'man': PHAPB
'came': KAEUPL
'from': TPR
'a': AEU
'distance': STKAPBS
'and': SKP
'wooed': WAO/-D
'her,': HER/KW-BG
'who': WHO
'was': WAS
'called': KAULD
'Hans;': HAPBS/STPH*FPLT
'but': PWUT
'he': HE
'stipulated': STEUP/HRAEUTD
'that': THA
'Clever': KPA/KHREFR
'Elsie': EL/SEU
'should': SHO
'be': -B
'really': R-L
'smart.': SPHART/TP-PL
''Oh,'': A*E/KPA*/O*ERBGS/KW-BG/AE
'said': SED
'the': -T
'father,': TPAER/KW-BG
''she': A*E/SHE
'has': HAS
'plenty': PHREPBT
'of': -F
'good': TKPWAOD
'sense';': SEPBS/AE/STPH*FPLT
'and': SKP
'the': -T
'mother': PHOER
'said:': SED/STPH-FPLT
''Oh,': A*E/KPA*/O*ERBGS/KW-BG
'she': SHE
'can': K
'see': SAOE
'the': -T
'wind': WEUPBD
'coming': KO*G
'up': UP
'the': -T
'street,': STRAOET/KW-BG
'and': SKP
'hear': HAER
'the': -T
'flies': TPHRAOEUS
'coughing.'': KOFG/TP-PL/AE
''Well,'': A*E/KPA*/WEL/KW-BG/AE
'said': SED
'Hans,': HAPBS/KW-BG
''if': A*E/TP
'she': SHE
'is': S
'not': TPHOT
'really': R-L
'smart,': SPHART/KW-BG
'I': EU
'won't': WOEPBT
'have': SR
'her.'': HER/TP-PL/AE
'When': KPA/WHEPB
'they': THE
'were': WR
'sitting': SEUGT
'at': AT
'dinner': TKEURPB
'and': SKP
'had': H
'eaten,': AOET/EPB/KW-BG
'the': -T
'mother': PHOER
'said:': SED/STPH-FPLT
''Elsie,': A*E/EL/SEU/KW-BG
'go': TKPW
'into': TPHAO
'the': -T
'cellar': SEL/AR
'and': SKP
'fetch': TPEFP
'some': SOPL
'beer.'': PWAOER/TP-PL/AE
'Then': KPA/THEPB
'Clever': KPA/KHREFR
'Elsie': EL/SEU
'took': TAOBG
'the': -T
'pitcher': PEUFRP
'from': TPR
'the': -T
'wall,': WAUL/KW-BG
'went': WEPBT
'into': TPHAO
'the': -T
'cellar,': SEL/AR/KW-BG
'and': SKP
'tapped': TAPD
'the': -T
'lid': HREUD
'briskly': PWREUS/KHREU
'as': AS
'she': SHE
'went,': WEPBT/KW-BG
'so': SO
'that': THA
'the': -T
'time': TAOEUPL
'might': PHAOEUT
'not': TPHOT
'appear': A/PAOER
'long.': HROPBG/TP-PL
'When': KPA/WHEPB
'she': SHE
'was': WAS
'below': PWHRO
'she': SHE
'fetched': TPEFP/-D
'herself': H*ERS
'a': AEU
'chair,': KHAEUR/KW-BG
'and': SKP
'set': SET
'it': T
'before': PW-FR
'the': -T
'barrel': PWARL
'so': SO
'that': THA
'she': SHE
'had': H
'no': TPHO
'need': TPHAOED
'to': TO
'stoop,': STAOP/KW-BG
'and': SKP
'did': TK
'not': TPHOT
'hurt': HURT
'her': HER
'back': PWABG
'or': OR
'do': TKO
'herself': H*ERS
'any': TPHEU
'unexpected': UPB/EBGS/PEBGD
'injury.': SKWRAOUR/TP-PL
'Then': KPA/THEPB
'she': SHE
'placed': PHRAEUFD
'the': -T
'can': K
'before': PW-FR
'her,': HER/KW-BG
'and': SKP
'turned': TURPBD
'the': -T
'tap,': TAP/KW-BG
'and': SKP
'while': WHAOEUL
'the': -T
'beer': PWAOER
'was': WAS
'running': R*UPBG
'she': SHE
'would': WO
'not': TPHOT
'let': HRET
'her': HER
'eyes': AO*EUS
'be': -B
'idle,': AOEUD/*L/KW-BG
'but': PWUT
'looked': HRAOBGD
'up': UP
'at': AT
'the': -T
'wall,': WAUL/KW-BG
'and': SKP
'after': AF
'much': PHUFP
