Clever Hans

'The': KPA/-T
'mother': PHOER
'of': -F
'Hans': HAPBS
'said:': SED/STPH-FPLT
''Whither': A*E/KPA*/WHEU/THER
'away,': WA*EU/KW-BG
'Hans?'': HAPBS/H-F/AE
'Hans': HAPBS
'answered:': AEPBS/-D/STPH-FPLT
''To': A*E/KPA*/TO
'Gretel.'': TKPWRET/EL/TP-PL/AE
''Behave': A*E/KPA*/PWAEUF
'well,': WEL/KW-BG
'Hans.'': HAPBS/TP-PL/AE
''Oh,': A*E/KPA*/O*ERBGS/KW-BG
'I'll': AOEUL
'behave': PWAEUF
'well.': WEL/TP-PL
'Goodbye,': KPA/TKPW-B/KW-BG
'mother.'': PHOER/TP-PL/AE
''Goodbye,': A*E/KPA*/TKPW-B/KW-BG
'Hans.'': HAPBS/TP-PL/AE
'Hans': HAPBS
'comes': KOPLS
'to': TO
'Gretel.': TKPWRET/EL/TP-PL
''Good': A*E/KPA*/TKPWAOD
'day,': TKAEU/KW-BG
'Gretel.'': TKPWRET/EL/TP-PL/AE
''Good': A*E/KPA*/TKPWAOD
'day,': TKAEU/KW-BG
'Hans.': HAPBS/TP-PL
'What': KPA/WHA
'do': TKO
'you': U
'bring': PWREU
'that': THA
'is': S
'good?'': TKPWAOD/H-F/AE
''I': A*E/EU
'bring': PWREU
'nothing,': TPHOG/KW-BG
'I': EU
'want': WAPBT
'to': TO
'have': SR
'something': S-G
'given': TKPWEUFPB
'me.'': PHE/TP-PL/AE
'Gretel': TKPWRET/EL
'presents': PREPBTS
'Hans': HAPBS
'with': W
'a': AEU
'needle,': TPHAO*ELD/KW-BG
'Hans': HAPBS
'says:': SEZ/STPH-FPLT
''Goodbye,': A*E/KPA*/TKPW-B/KW-BG
'Gretel.'': TKPWRET/EL/TP-PL/AE
''Goodbye,': A*E/KPA*/TKPW-B/KW-BG
'Hans.'': HAPBS/TP-PL/AE
'Hans': HAPBS
'takes': TAEUBGS
'the': -T
'needle,': TPHAO*ELD/KW-BG
'sticks': STEUBGS
'it': T
'into': TPHAO
'a': AEU
'hay-cart,': HA*EU/H-PB/KART/KW-BG
'and': SKP
'follows': TPOLS
'the': -T
'cart': KART
'home.': HOEPL/TP-PL
''Good': A*E/KPA*/TKPWAOD
'evening,': AOEPBG/KW-BG
'mother.'': PHOER/TP-PL/AE
''Good': A*E/KPA*/TKPWAOD
'evening,': AOEPBG/KW-BG
'Hans.': HAPBS/TP-PL
'Where': KPA/W-R
'have': SR
'you': U
'been?'': PW-PB/H-F/AE
''With': A*E/KPA*/W
'Gretel.'': TKPWRET/EL/TP-PL/AE
''What': A*E/KPA*/WHA
'did': TK
'you': U
'take': TAEUBG
'her?'': HER/H-F/AE
''Took': A*E/KPA*/TAOBG
'nothing;': TPHOG/STPH*FPLT
'had': H
'something': S-G
'given': TKPWEUFPB
'me.'': PHE/TP-PL/AE
''What': A*E/KPA*/WHA
'did': TK
'Gretel': TKPWRET/EL
'give': TKPWEUF
'you?'': U/H-F/AE
''Gave': A*E/KPA*/TKPWAEUF
'me': PHE
'a': AEU
'needle.'': TPHAO*ELD/TP-PL/AE
''Where': A*E/KPA*/W-R
'is': S
'the': -T
'needle,': TPHAO*ELD/KW-BG
'Hans?'': HAPBS/H-F/AE
''Stuck': A*E/KPA*/STUBG
'in': TPH
'the': -T
'hay-cart.'': HA*EU/H-PB/KART/TP-PL/AE
''That': A*E/KPA*/THA
'was': WAS
'ill': EUL
'done,': TKOPB/KW-BG
'Hans.': HAPBS/TP-PL
'You': KPA/U
'should': SHO
'have': SR
'stuck': STUBG
'the': -T
'needle': TPHAO*ELD
'in': TPH
'your': KWROUR
'sleeve.'': SHRAOEF/TP-PL/AE
''Never': A*E/KPA*/TPHEFR
'mind,': PHAOEUPBD/KW-BG
'I'll': AOEUL
'do': TKO
'better': PWOERT
'next': TPHEGT
'time.'': TAOEUPL/TP-PL/AE
''Whither': A*E/KPA*/WHEU/THER
'away,': WA*EU/KW-BG
'Hans?'': HAPBS/H-F/AE
''To': A*E/KPA*/TO
'Gretel,': TKPWRET/EL/KW-BG
'mother.'': PHOER/TP-PL/AE
''Behave': A*E/KPA*/PWAEUF
'well,': WEL/KW-BG
'Hans.'': HAPBS/TP-PL/AE
''Oh,': A*E/KPA*/O*ERBGS/KW-BG
'I'll': AOEUL
'behave': PWAEUF
'well.': WEL/TP-PL
'Goodbye,': KPA/TKPW-B/KW-BG
'mother.'': PHOER/TP-PL/AE
''Goodbye,': A*E/KPA*/TKPW-B/KW-BG
'Hans.'': HAPBS/TP-PL/AE
'Hans': HAPBS
'comes': KOPLS
'to': TO
'Gretel.': TKPWRET/EL/TP-PL
''Good': A*E/KPA*/TKPWAOD
'day,': TKAEU/KW-BG
'Gretel.'': TKPWRET/EL/TP-PL/AE
''Good': A*E/KPA*/TKPWAOD
'day,': TKAEU/KW-BG
'Hans.': HAPBS/TP-PL
'What': KPA/WHA
'do': TKO
'you': U
'bring': PWREU
'that': THA
'is': S
'good?'': TKPWAOD/H-F/AE
''I': A*E/EU
'bring': PWREU
'nothing.': TPHOG/TP-PL
'I': EU
'want': WAPBT
'to': TO
'have': SR
'something': S-G
'given': TKPWEUFPB
'to': TO
'me.'': PHE/TP-PL/AE
'Gretel': TKPWRET/EL
'presents': PREPBTS
'Hans': HAPBS
'with': W
'a': AEU
'knife.': TPHAOEUF/TP-PL
''Goodbye,': A*E/KPA*/TKPW-B/KW-BG
'Gretel.'': TKPWRET/EL/TP-PL/AE
''Goodbye,': A*E/KPA*/TKPW-B/KW-BG
'Hans.'': HAPBS/TP-PL/AE
'Hans': HAPBS
'takes': TAEUBGS
'the': -T
'knife,': TPHAOEUF/KW-BG
'sticks': STEUBGS
'it': T
'in': TPH
'his': HEUS
'sleeve,': SHRAOEF/KW-BG
'and': SKP
'goes': TKPW-S
'home.': HOEPL/TP-PL
''Good': A*E/KPA*/TKPWAOD
'evening,': AOEPBG/KW-BG
'mother.'': PHOER/TP-PL/AE
''Good': A*E/KPA*/TKPWAOD
'evening,': AOEPBG/KW-BG
'Hans.': HAPBS/TP-PL
'Where': KPA/W-R
'have': SR
'you': U
'been?'': PW-PB/H-F/AE
''With': A*E/KPA*/W
'Gretel.'': TKPWRET/EL/TP-PL/AE
'What': KPA/WHA
'did': TK
'you': U
'take': TAEUBG
'her?'': HER/H-F/AE
''Took': A*E/KPA*/TAOBG
'her': HER
'nothing,': TPHOG/KW-BG
'she': SHE
'gave': TKPWAEUF
'me': PHE
'something.'': S-G/TP-PL/AE
''What': A*E/KPA*/WHA
'did': TK
'Gretel': TKPWRET/EL
'give': TKPWEUF
'you?'': U/H-F/AE
''Gave': A*E/KPA*/TKPWAEUF
'me': PHE
'a': AEU
'knife.'': TPHAOEUF/TP-PL/AE
''Where': A*E/KPA*/W-R
'is': S
'the': -T
'knife,': TPHAOEUF/KW-BG
'Hans?'': HAPBS/H-F/AE
''Stuck': A*E/KPA*/STUBG
'in': TPH
