Doctor Knowall

'There': KPA/THR
'was': WAS
'once': WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'a': AEU
'poor': PAOR
'peasant': PEFPBT
'called': KAULD
'Crabb,': KR*P/R*/A*/PW*/PW*/KW-BG
'who': WHO
'drove': TKROEF
'with': W
'two': TWO
'oxen': OBGS/*EPB
'a': AEU
'load': HRAOD
'of': -F
'wood': WAOD
'to': TO
'the': -T
'town,': TOUPB/KW-BG
'and': SKP
'sold': SOELD
'it': T
'to': TO
'a': AEU
'doctor': TKR
'for': TPOR
'two': TWO
'talers.': HRO*ER/TAL/*ERS/TP-PL
'When': KPA/WHEPB
'the': -T
'money': PHUPB
'was': WAS
'being': -BG
'counted': KOUPBTD
'out': OUT
'to': TO
'him,': HEUPL/KW-BG
'it': T
'so': SO
'happened': HAPD
'that': THA
'the': -T
'doctor': TKR
'was': WAS
'sitting': SEUGT
'at': AT
'table,': TAEUBL/KW-BG
'and': SKP
'when': WHEPB
'the': -T
'peasant': PEFPBT
'saw': SAU
'how': HOU
'well': WEL
'he': HE
'ate': AEUT
'and': SKP
'drank,': TKRA*PBG/KW-BG
'his': HEUS
'heart': HART
'desired': STKAOEURD
'what': WHA
'he': HE
'saw,': SAU/KW-BG
'and': SKP
'would': WO
'willingly': HR-G/HREU
'have': SR
'been': PW-PB
'a': AEU
'doctor': TKR
'too.': TAO/TP-PL
'So': KPA/SO
'he': HE
'remained': RE/PHAEUPBD
'standing': STAPBG
'a': AEU
'while,': WHAOEUL/KW-BG
'and': SKP
'at': AT
'length': HREPBG
'inquired': EUPB/KWAOEURD
'if': TP
'he': HE
'too': TAO
'could': KO
'not': TPHOT
'be': -B
'a': AEU
'doctor.': TKR/TP-PL
''Oh,': A*E/KPA*/O*ERBGS/KW-BG
'yes,'': KWRE/KW-BG/AE
'said': SED
'the': -T
'doctor,': TKR-RBGS
''that': A*E/THA
'is': S
'soon': SAOPB
'managed.'': PHAPBGD/TP-PL/AE
''What': A*E/KPA*/WHA
'must': PHUFT
'I': EU
'do?'': TKO/H-F/AE
'asked': SK-D
'the': -T
'peasant.': PEFPBT/TP-PL
''In': A*E/KPA*/TPH
'the': -T
'first': TPEUFRT
'place': PHRAEUS
'buy': PWAOEU
'yourself': KWRO*URS
'an': APB
'A': KPA/AEU
'B': PW*P
'C': KR*P
'book': PWAOBG
'of': -F
'the': -T
'kind': KEUPBD
'which': WEU
'has': HAS
'a': AEU
'cock': KOBG
'on': OPB
'the': -T
'frontispiece;': TPROPB/EUS/PAOES/STPH*FPLT
'in': TPH
'the': -T
'second,': SEBGD/KW-BG
'turn': TURPB
'your': KWROUR
'cart': KART
'and': SKP
'your': KWROUR
'two': TWO
'oxen': OBGS/*EPB
'into': TPHAO
'money,': PHUPB/KW-BG
'and': SKP
'get': TKPWET
'yourself': KWRO*URS
'some': SOPL
'clothes,': KHRO*ETS/KW-BG
'and': SKP
'whatsoever': WHA/SOFR
'else': ELS
'pertains': PER/TAEUPBS
'to': TO
'medicine;': PHED/STPH*FPLT
'thirdly,': THEURD/HREU/KW-BG
'have': SR
'a': AEU
'sign': SAOEUPB
'painted': PAEUPBTD
'for': TPOR
'yourself': KWRO*URS
'with': W
'the': -T
'words:': WORDZ/STPH-FPLT
'"I': KW-GS/EU
'am': APL
'Doctor': TKR*
'Knowall,"': K*P/TPH*/O*/W*/A*/HR*/HR*/KW-BG/KR-GS
'and': SKP
'have': SR
'that': THA
'nailed': TPHAEULD
'up': UP
'above': PWOF
'your': KWROUR
'house-door.'': HOUS/H-PB/TKAOR/TP-PL/AE
'The': KPA/-T
'peasant': PEFPBT
'did': TK
'everything': EFRG
'that': THA
'he': HE
'had': H
'been': PW-PB
'told': TOLD
'to': TO
'do.': TKO/TP-PL
'When': KPA/WHEPB
'he': HE
'had': H
'doctored': TKR-D
'people': PAOEPL
'awhile,': A/WHAOEUL/KW-BG
'but': PWUT
'not': TPHOT
'long,': HROPBG/KW-BG
'a': AEU
'rich': REUFP
'and': SKP
'great': TKPWRAET
'lord': HRORD
'had': H
'some': SOPL
'money': PHUPB
'stolen.': STOEL/EPB/TP-PL
'Then': KPA/THEPB
'he': HE
'was': WAS
'told': TOLD
'about': PW
'Doctor': TKR*
'Knowall': K*P/TPH*/O*/W*/A*/HR*/HR*
'who': WHO
'lived': HREUFD
'in': TPH
'such': SUFP
'and': SKP
'such': SUFP
'a': AEU
'village,': SREULG/KW-BG
'and': SKP
'must': PHUFT
'know': TPHOE
'what': WHA
'had': H
