Frederick and Catherine

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'man': PHAPB
'called': KAULD
'Frederick:': TPRED/REUBG/STPH-FPLT
'he': HE
'had': H
'a': AEU
'wife': WAOEUF
'whose': WHOZ
'name': TPHAEUPL
'was': WAS
'Catherine,': KA*T/REUPB/KW-BG
'and': SKP
'they': THE
'had': H
'not': TPHOT
'long': HROPBG
'been': PW-PB
'married.': PHAERD/TP-PL
'One': KPA/WUPB
'day': TKAEU
'Frederick': TPRED/REUBG
'said.': SED/TP-PL
''Kate!': A*E/KA*ET/SKHRAPL
'I': EU
'am': APL
'going': TKPW-G
'to': TO
'work': WORBG
'in': TPH
'the': -T
'fields;': TPAOELDZ/STPH*FPLT
'when': WHEPB
'I': EU
'come': KOPL
'back': PWABG
'I': EU
'shall': SHAL
'be': -B
'hungry': HUPBG/REU
'so': SO
'let': HRET
'me': PHE
'have': SR
'something': S-G
'nice': TPHAOEUS
'cooked,': KAOBGD/KW-BG
'and': SKP
'a': AEU
'good': TKPWAOD
'draught': TKRAUFT
'of': -F
'ale.'': AEL/TP-PL/AE
''Very': A*E/KPA*/SRE
'well,'': WEL/KW-BG/AE
'said': SED
'she,': SHE/KW-BG
''it': A*E/T
'shall': SHAL
'all': AUL
'be': -B
'ready.'': R-D/TP-PL/AE
'When': KPA/WHEPB
'dinner-time': TKEURPB/TA*EPL
'drew': TKRAOU
'nigh,': TPHAOEU/KW-BG
'Catherine': KA*T/REUPB
'took': TAOBG
'a': AEU
'nice': TPHAOEUS
'steak,': STAEBG/KW-BG
'which': WEU
'was': WAS
'all': AUL
'the': -T
'meat': PHAET
'she': SHE
'had,': H/KW-BG
'and': SKP
'put': PUT
'it': T
'on': OPB
'the': -T
'fire': TPAOEUR
'to': TO
'fry.': TPRAOEU/TP-PL
'The': KPA/-T
'steak': STAEBG
'soon': SAOPB
'began': TKPWAPB
'to': TO
'look': HRAOBG
'brown,': PWROUPB/KW-BG
'and': SKP
'to': TO
'crackle': KRABG/*L
'in': TPH
'the': -T
'pan;': PAPB/STPH*FPLT
'and': SKP
'Catherine': KA*T/REUPB
'stood': STAOD
'by': PWEU
'with': W
'a': AEU
'fork': TPORBG
'and': SKP
'turned': TURPBD
'it:': T/STPH-FPLT
'then': THEPB
'she': SHE
'said': SED
'to': TO
'herself,': H*ERS/KW-BG
''The': A*E/KPA*/-T
'steak': STAEBG
'is': S
'almost': HR-PL
'ready,': R-D/KW-BG
'I': EU
'may': PHAEU
'as': AS
'well': WEL
'go': TKPW
'to': TO
'the': -T
'cellar': SEL/AR
'for': TPOR
'the': -T
'ale.'': AEL/TP-PL/AE
'So': KPA/SO
'she': SHE
'left': HREFT
'the': -T
'pan': PAPB
'on': OPB
'the': -T
'fire': TPAOEUR
'and': SKP
'took': TAOBG
'a': AEU
'large': HRARPBLG
'jug': SKWRUG
'and': SKP
'went': WEPBT
'into': TPHAO
'the': -T
'cellar': SEL/AR
'and': SKP
'tapped': TAPD
'the': -T
'ale': AEL
'cask.': KAFBG/TP-PL
'The': KPA/-T
'beer': PWAOER
'ran': RAPB
'into': TPHAO
'the': -T
'jug': SKWRUG
'and': SKP
'Catherine': KA*T/REUPB
'stood': STAOD
'looking': HRAOG
'on.': OPB/TP-PL
'At': KPA/AT
'last': HRAFT
'it': T
'popped': POPD
'into': TPHAO
'her': HER
'head,': HED/KW-BG
''The': A*E/KPA*/-T
'dog': TKOG
'is': S
'not': TPHOT
'shut': SHUT
'up--he': UP/H-PB/H-PB/HE
'may': PHAEU
'be': -B
'running': R*UPBG
'away': WA*EU
'with': W
'the': -T
'steak;': STAEBG/STPH*FPLT
'that's': THATS
'well': WEL
'thought': THAUT
'of.'': -F/TP-PL/AE
'So': KPA/SO
'up': UP
'she': SHE
'ran': RAPB
'from': TPR
'the': -T
'cellar;': SEL/AR/STPH*FPLT
'and': SKP
'sure': SHUR
'enough': TPHUF
'the': -T
'rascally': RAS/K-L/HREU
'cur': KUR
'had': H
'got': TKPWOT
'the': -T
'steak': STAEBG
'in': TPH
'his': HEUS
'mouth,': PHO*UT/KW-BG
'and': SKP
'was': WAS
'making': PHAEUG
'off': OF
'with': W
