Hansel and Gretel

'Hard': KPA/HARD
'by': PWEU
'a': AEU
'great': TKPWRAET
'forest': TPOEFRT
'dwelt': TKWELT
'a': AEU
'poor': PAOR
'wood-cutter': WAOD/H-PB/KAOURT
'with': W
'his': HEUS
'wife': WAOEUF
'and': SKP
'his': HEUS
'two': TWO
'children.': KHEURPB/TP-PL
'The': KPA/-T
'boy': PWOEU
'was': WAS
'called': KAULD
'Hansel': HAPB/SEL
'and': SKP
'the': -T
'girl': TKPWEURL
'Gretel.': TKPWRET/EL/TP-PL
'He': KPA/HE
'had': H
'little': HREUL
'to': TO
'bite': PWAOEUT
'and': SKP
'to': TO
'break,': PWRAEBG/KW-BG
'and': SKP
'once': WUPBS
'when': WHEPB
'great': TKPWRAET
'dearth': TK*ERT
'fell': TPEL
'on': OPB
'the': -T
'land,': HRAPBD/KW-BG
'he': HE
'could': KO
'no': TPHO
'longer': HRORPBG
'procure': PRO/KAOUR
'even': AOEPB
'daily': TKAEUL
'bread.': PWRAED/TP-PL
'Now': KPA/TPHOU
'when': WHEPB
'he': HE
'thought': THAUT
'over': OEFR
'this': TH
'by': PWEU
'night': TPHAOEUT
'in': TPH
'his': HEUS
'bed,': PWED/KW-BG
'and': SKP
'tossed': TOS/-D
'about': PW
'in': TPH
'his': HEUS
'anxiety,': KPAO*EUT/KW-BG
'he': HE
'groaned': TKPWROEPBD
'and': SKP
'said': SED
'to': TO
'his': HEUS
'wife:': WAOEUF/STPH-FPLT
''What': A*E/KPA*/WHA
'is': S
'to': TO
'become': PW-BG
'of': -F
'us?': US/H-F
'How': KPA/HOU
'are': R
'we': WE
'to': TO
'feed': TPAOED
'our': OUR
'poor': PAOR
'children,': KHEURPB/KW-BG
'when': WHEPB
'we': WE
'no': TPHO
'longer': HRORPBG
'have': SR
'anything': TPHEUG
'even': AOEPB
'for': TPOR
'ourselves?'': O*URSZ/H-F/AE
''I'll': A*E/AOEUL
'tell': TEL
'you': U
'what,': WHA/KW-BG
'husband,'': HUS/KW-BG/AE
'answered': AEPBS/-D
'the': -T
'woman,': WOPL/KW-BG
''early': A*E/ERL
'tomorrow': TORPL
'morning': PHORPBG
'we': WE
'will': HR
'take': TAEUBG
'the': -T
'children': KHEURPB
'out': OUT
'into': TPHAO
'the': -T
'forest': TPOEFRT
'to': TO
'where': W-R
'it': T
'is': S
'the': -T
'thickest;': THEUBG/EFT/STPH*FPLT
'there': THR
'we': WE
'will': HR
'light': HRAOEUT
'a': AEU
'fire': TPAOEUR
'for': TPOR
'them,': THEPL/KW-BG
'and': SKP
'give': TKPWEUF
'each': AOEFP
'of': -F
'them': THEPL
'one': WUPB
'more': PHOR
'piece': PAOES
'of': -F
'bread,': PWRAED/KW-BG
'and': SKP
'then': THEPB
'we': WE
'will': HR
'go': TKPW
'to': TO
'our': OUR
'work': WORBG
'and': SKP
'leave': HREF
'them': THEPL
'alone.': A/HROEPB/TP-PL
'They': KPA/THE
'will': HR
'not': TPHOT
'find': TPAOEUPBD
'the': -T
'way': WAEU
'home': HOEPL
'again,': STKPWERPBGS
'and': SKP
'we': WE
'shall': SHAL
'be': -B
'rid': REUD
'of': -F
'them.'': THEPL/TP-PL/AE
''No,': A*E/KPA*/TPHO/KW-BG
'wife,'': WAOEUF/KW-BG/AE
'said': SED
'the': -T
'man,': PHAPB/KW-BG
''I': A*E/EU
'will': HR
'not': TPHOT
'do': TKO
'that;': THA/STPH*FPLT
'how': HOU
'can': K
'I': EU
'bear': PWAER
'to': TO
'leave': HREF
'my': PHEU
'children': KHEURPB
'alone': A/HROEPB
'in': TPH
'the': -T
'forest?--the': TPOEFRT/H-F/H-PB/H-PB/-T
'wild': WAOEULD
'animals': PHAPBLS
'would': WO
'soon': SAOPB
'come': KOPL
'and': SKP
'tear': TAER
'them': THEPL
'to': TO
'pieces.'': PAOEFS/TP-PL/AE
''O,': A*E/O*P/KW-BG
'you': U
'fool!'': TPAOL/SKHRAPL/AE
'said': SED
'she,': SHE/KW-BG
''then': A*E/THEPB
'we': WE
'must': PHUFT
'all': AUL
'four': TPOUR
'die': TKAOEU
'of': -F
'hunger,': HURPBG/KW-BG
'you': U
'may': PHAEU
'as': AS
'well': WEL
'plane': PHRAEPB
'the': -T
'planks': PHRAPB/-BGS
'for': TPOR
'our': OUR
'coffins,'': KOFPB/-S/KW-BG/AE
'and': SKP
'she': SHE
'left': HREFT
'him': HEUPL
'no': TPHO
'peace': PAES
'until': TPH-L
'he': HE
'consented.': KEFPBT/-D/TP-PL
''But': A*E/KPA*/PWUT
'I': EU
'feel': TPAOEL
'very': SRE
'sorry': SOER
'for': TPOR
'the': -T
'poor': PAOR
'children,': KHEURPB/KW-BG
'all': AUL
'the': -T
'same,'': SAEUPL/KW-BG/AE
'said': SED
'the': -T
'man.': PHAPB/TP-PL
'The': KPA/-T
'two': TWO
'children': KHEURPB
'had': H
'also': HR-S
'not': TPHOT
'been': PW-PB
'able': ABL
'to': TO
'sleep': SHRAOEP
'for': TPOR
'hunger,': HURPBG/KW-BG
'and': SKP
'had': H
'heard': HAERD
'what': WHA
'their': THAEUR
'stepmother': STEP/PHOER
'had': H
'said': SED
'to': TO
'their': THAEUR
'father.': TPAER/TP-PL
'Gretel': TKPWRET/EL
'wept': WEPT
'bitter': PWEURT
'tears,': TAERS/KW-BG
'and': SKP
'said': SED
'to': TO
'Hansel:': HAPB/SEL/STPH-FPLT
''Now': A*E/KPA*/TPHOU
'all': AUL
'is': S
'over': OEFR
'with': W
'us.'': US/TP-PL/AE
''Be': A*E/KPA*/-B
'quiet,': KWAO*EUT/KW-BG
'Gretel,'': TKPWRET/EL/KW-BG/AE
'said': SED
'Hansel,': HAPB/SEL/KW-BG
''do': A*E/TKO
'not': TPHOT
'distress': STKRES
'yourself,': KWRO*URS/KW-BG
'I': EU
'will': HR
'soon': SAOPB
'find': TPAOEUPBD
'a': AEU
'way': WAEU
'to': TO
'help': HEP
'us.'': US/TP-PL/AE
'And': AFPBD
'when': WHEPB
'the': -T
'old': OLD
'folks': TPOBG
'had': H
'fallen': TPAUPBL
'asleep,': A/SHRAOEP/KW-BG
'he': HE
'got': TKPWOT
'up,': UP/KW-BG
'put': PUT
'on': OPB
'his': HEUS
'little': HREUL
'coat,': KOET/KW-BG
'opened': OEPD
'the': -T
'door': TKAOR
'below,': PWHRO/KW-BG
'and': SKP
'crept': KREPT
'outside.': OUDZ/TP-PL
'The': KPA/-T
'moon': PHAOPB
'shone': SHO*EPB
'brightly,': PWRAOEULT/KW-BG
'and': SKP
'the': -T
'white': WHAOEUT
'pebbles': PEBLS
'which': WEU
'lay': HRAEU
'in': TPH
'front': TPROPBT
'of': -F
'the': -T
'house': HOUS
'glittered': TKPWHREUT/ERD
'like': HRAOEUBG
'real': RAEL
'silver': SEUL/SRER
'pennies.': PEPB/EUS/TP-PL
'Hansel': HAPB/SEL
'stooped': STAOPD
'and': SKP
'stuffed': STUFD
'the': -T
'little': HREUL
'pocket': POBGT
'of': -F
'his': HEUS
'coat': KOET
'with': W
'as': AS
'many': PHAEPB
'as': AS
'he': HE
'could': KO
'get': TKPWET
'in.': TPH/TP-PL
'Then': KPA/THEPB
'he': HE
'went': WEPBT
'back': PWABG
'and': SKP
'said': SED
'to': TO
'Gretel:': TKPWRET/EL/STPH-FPLT
''Be': A*E/KPA*/-B
'comforted,': K-FRTD/KW-BG
'dear': TKAER
'little': HREUL
'sister,': ST-RBGS
'and': SKP
'sleep': SHRAOEP
'in': TPH
'peace,': PAES/KW-BG
'God': TKPWO*D
'will': HR
'not': TPHOT
'forsake': TPAUR/SAEUBG
'us,'': US/KW-BG/AE
'and': SKP
'he': HE
'lay': HRAEU
'down': TKOUPB
'again': TKPWEPB
'in': TPH
'his': HEUS
'bed.': PWED/TP-PL
'When': KPA/WHEPB
'day': TKAEU
'dawned,': TKAUPBD/KW-BG
'but': PWUT
'before': PW-FR
'the': -T
'sun': SUPB
'had': H
'risen,': REUFPB/KW-BG
'the': -T
'woman': WOPL
'came': KAEUPL
'and': SKP
'awoke': A/WOEBG
'the': -T
'two': TWO
'children,': KHEURPB/KW-BG
'saying:': SAEUG/STPH-FPLT
''Get': A*E/KPA*/TKPWET
'up,': UP/KW-BG
'you': U
'sluggards!': S*/HR*/*U/TKPW*/TKPW*/SKWRA/*RDZ/SKHRAPL
'we': WE
'are': R
'going': TKPW-G
'into': TPHAO
'the': -T
'forest': TPOEFRT
'to': TO
'fetch': TPEFP
'wood.'': WAOD/TP-PL/AE
'She': KPA/SHE
'gave': TKPWAEUF
'each': AOEFP
'a': AEU
'little': HREUL
'piece': PAOES
'of': -F
'bread,': PWRAED/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''There': A*E/KPA*/THR
'is': S
'something': S-G
'for': TPOR
'your': KWROUR
'dinner,': TKEURPB/KW-BG
'but': PWUT
'do': TKO
'not': TPHOT
'eat': AOET
'it': T
'up': UP
'before': PW-FR
'then,': THEPB/KW-BG
'for': TPOR
'you': U
'will': HR
'get': TKPWET
'nothing': TPHOG
'else.'': ELS/TP-PL/AE
'Gretel': TKPWRET/EL
'took': TAOBG
'the': -T
'bread': PWRAED
'under': TPH-PB
'her': HER
'apron,': AEUP/ROPB/KW-BG
'as': AS
'Hansel': HAPB/SEL
'had': H
'the': -T
'pebbles': PEBLS
'in': TPH
'his': HEUS
'pocket.': POBGT/TP-PL
'Then': KPA/THEPB
'they': THE
'all': AUL
'set': SET
'out': OUT
'together': TOGT
'on': OPB
'the': -T
'way': WAEU
'to': TO
'the': -T
'forest.': TPOEFRT/TP-PL
'When': KPA/WHEPB
'they': THE
'had': H
'walked': WAUBGD
'a': AEU
'short': SHORT
'time,': TAOEUPL/KW-BG
'Hansel': HAPB/SEL
'stood': STAOD
'still': STEUL
'and': SKP
'peeped': PAOEPD
'back': PWABG
'at': AT
'the': -T
'house,': HOUS/KW-BG
'and': SKP
'did': TK
'so': SO
'again': TKPWEPB
'and': SKP
'again.': TKPWEPB/TP-PL
'His': KPA/HEUS
'father': TPAER
'said:': SED/STPH-FPLT
''Hansel,': A*E/HAPB/SEL/KW-BG
'what': WHA
'are': R
'you': U
'looking': HRAOG
'at': AT
'there': THR
'and': SKP
'staying': STAEUG
'behind': HEUPBD
'for?': TPOR/H-F
'Pay': KPA/PAEU
'attention,': TAEPBGS/KW-BG
'and': SKP
'do': TKO
'not': TPHOT
'forget': TPORGT
'how': HOU
'to': TO
'use': AOUS
'your': KWROUR
'legs.'': HREGS/TP-PL/AE
''Ah,': A*E/KPA*/HA*E/KW-BG
'father,'': TPAER/KW-BG/AE
'said': SED
'Hansel,': HAPB/SEL/KW-BG
''I': A*E/EU
'am': APL
'looking': HRAOG
'at': AT
'my': PHEU
'little': HREUL
'white': WHAOEUT
'cat,': KAT/KW-BG
'which': WEU
'is': S
'sitting': SEUGT
'up': UP
'on': OPB
'the': -T
'roof,': RAOF/KW-BG
'and': SKP
'wants': WAPBTS
'to': TO
'say': SAEU
'goodbye': TKPW-B
'to': TO
'me.'': PHE/TP-PL/AE
'The': KPA/-T
'wife': WAOEUF
'said:': SED/STPH-FPLT
''Fool,': A*E/KPA*/TPAOL/KW-BG
'that': THA
'is': S
'not': TPHOT
'your': KWROUR
'little': HREUL
'cat,': KAT/KW-BG
'that': THA
'is': S
'the': -T
'morning': PHORPBG
'sun': SUPB
'which': WEU
'is': S
'shining': SHAOEUPBG
'on': OPB
'the': -T
'chimneys.'': KHEUPL/TPHEU/-S/TP-PL/AE
'Hansel,': HAPB/SEL/KW-BG
'however,': HOUF/KW-BG
'had': H
'not': TPHOT
'been': PW-PB
'looking': HRAOG
'back': PWABG
'at': AT
'the': -T
'cat,': KAT/KW-BG
'but': PWUT
'had': H
'been': PW-PB
'constantly': SKA*PBLT
'throwing': THROEG
'one': WUPB
'of': -F
'the': -T
'white': WHAOEUT
'pebble-stones': PEBL/H-PB/STOEPBS
'out': OUT
'of': -F
'his': HEUS
'pocket': POBGT
'on': OPB
'the': -T
'road.': RAOD/TP-PL
'When': KPA/WHEPB
'they': THE
'had': H
'reached': RAOEFPD
'the': -T
'middle': PH*EULD
'of': -F
'the': -T
'forest,': TPOEFRT/KW-BG
'the': -T
'father': TPAER
'said:': SED/STPH-FPLT
''Now,': A*E/KPA*/TPHOU/KW-BG
'children,': KHEURPB/KW-BG
'pile': PAOEUL
'up': UP
'some': SOPL
'wood,': WAOD/KW-BG
'and': SKP
'I': EU
'will': HR
'light': HRAOEUT
'a': AEU
'fire': TPAOEUR
'that': THA
'you': U
'may': PHAEU
'not': TPHOT
'be': -B
'cold.'': KOELD/TP-PL/AE
'Hansel': HAPB/SEL
'and': SKP
'Gretel': TKPWRET/EL
'gathered': TKPWAERD
'brushwood': PW*/R*/*U/S*/H*/W*/O*/O*/TK*
'together,': TOGT/KW-BG
'as': AS
'high': HAOEU
'as': AS
'a': AEU
'little': HREUL
'hill.': HEUL/TP-PL
'The': KPA/-T
'brushwood': PW*/R*/*U/S*/H*/W*/O*/O*/TK*
'was': WAS
'lighted,': HRAOEUTD/KW-BG
'and': SKP
'when': WHEPB
'the': -T
'flames': TPHRAEUPLS
'were': WR
'burning': PWURPBG
'very': SRE
'high,': HAOEU/KW-BG
'the': -T
'woman': WOPL
'said:': SED/STPH-FPLT
''Now,': A*E/KPA*/TPHOU/KW-BG
'children,': KHEURPB/KW-BG
'lay': HRAEU
'yourselves': KWRO*URSZ
'down': TKOUPB
'by': PWEU
'the': -T
'fire': TPAOEUR
'and': SKP
'rest,': REFT/KW-BG
'we': WE
'will': HR
'go': TKPW
'into': TPHAO
'the': -T
'forest': TPOEFRT
'and': SKP
'cut': KUT
'some': SOPL
'wood.': WAOD/TP-PL
'When': KPA/WHEPB
'we': WE
'have': SR
'done,': TKOPB/KW-BG
'we': WE
'will': HR
'come': KOPL
'back': PWABG
'and': SKP
'fetch': TPEFP
'you': U
'away.'': WA*EU/TP-PL/AE
'Hansel': HAPB/SEL
'and': SKP
'Gretel': TKPWRET/EL
'sat': SAT
'by': PWEU
'the': -T
'fire,': TPAOEUR/KW-BG
'and': SKP
'when': WHEPB
'noon': TPHAOPB
'came,': KAEUPL/KW-BG
'each': AOEFP
'ate': AEUT
'a': AEU
'little': HREUL
'piece': PAOES
'of': -F
'bread,': PWRAED/KW-BG
'and': SKP
'as': AS
'they': THE
'heard': HAERD
'the': -T
'strokes': STROEBGS
'of': -F
'the': -T
'wood-axe': WAOD/H-PB/ABGS
'they': THE
'believed': PWHREFD
'that': THA
'their': THAEUR
'father': TPAER
'was': WAS
'near.': TPHAOER/TP-PL
'It': KPA/T
'was': WAS
'not': TPHOT
'the': -T
'axe,': ABGS/KW-BG
'however,': HOUF/KW-BG
'but': PWUT
'a': AEU
'branch': PWRAFRPB
'which': WEU
'he': HE
'had': H
'fastened': TPAS/-PBD
'to': TO
'a': AEU
'withered': WEU/THER/-D
'tree': TRAOE
'which': WEU
'the': -T
'wind': WEUPBD
'was': WAS
'blowing': PWHROEG
'backwards': PWABG/WARDZ
'and': SKP
'forwards.': TPAORDZ/TP-PL
'And': AFPBD
'as': AS
'they': THE
'had': H
'been': PW-PB
'sitting': SEUGT
'such': SUFP
'a': AEU
'long': HROPBG
'time,': TAOEUPL/KW-BG
'their': THAEUR
'eyes': AO*EUS
'closed': KHROEFD
'with': W
'fatigue,': TPA/TAOEG/KW-BG
'and': SKP
'they': THE
'fell': TPEL
'fast': TPAFT
'asleep.': A/SHRAOEP/TP-PL
'When': KPA/WHEPB
'at': AT
'last': HRAFT
'they': THE
'awoke,': A/WOEBG/KW-BG
'it': T
'was': WAS
'already': HR-R
'dark': TKARBG
'night.': TPHAOEUT/TP-PL
'Gretel': TKPWRET/EL
'began': TKPWAPB
'to': TO
'cry': KRAOEU
'and': SKP
'said:': SED/STPH-FPLT
''How': A*E/KPA*/HOU
'are': R
'we': WE
'to': TO
'get': TKPWET
'out': OUT
'of': -F
'the': -T
'forest': TPOEFRT
'now?'': TPHOU/H-F/AE
'But': KPA/PWUT
'Hansel': HAPB/SEL
'comforted': K-FRTD
'her': HER
'and': SKP
'said:': SED/STPH-FPLT
