Iron Hans

'There': KPA/THR
'was': WAS
'once': WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'a': AEU
'king': KEUPBG
'who': WHO
'had': H
'a': AEU
'great': TKPWRAET
'forest': TPOEFRT
'near': TPHAOER
'his': HEUS
'palace,': PAL/AS/KW-BG
'full': TPUL
'of': -F
'all': AUL
'kinds': KEUPBDZ
'of': -F
'wild': WAOEULD
'animals.': PHAPBLS/TP-PL
'One': KPA/WUPB
'day': TKAEU
'he': HE
'sent': SEPBT
'out': OUT
'a': AEU
'huntsman': HUPBTS/PHA*PB
'to': TO
'shoot': SHAOT
'him': HEUPL
'a': AEU
'roe,': HRO*ER/RO*E/KW-BG
'but': PWUT
'he': HE
'did': TK
'not': TPHOT
'come': KOPL
'back.': PWABG/TP-PL
''Perhaps': A*E/KPA*/PRAPS
'some': SOPL
'accident': STKEPB
'has': HAS
'befallen': PWE/TPAUPBL
'him,'': HEUPL/KW-BG/AE
'said': SED
'the': -T
'king,': KEUPBG/KW-BG
'and': SKP
'the': -T
'next': TPHEGT
'day': TKAEU
'he': HE
'sent': SEPBT
'out': OUT
'two': TWO
'more': PHOR
'huntsmen': HUPBTS/PH*EPB
'who': WHO
'were': WR
'to': TO
'search': SEFRPB
'for': TPOR
'him,': HEUPL/KW-BG
'but': PWUT
'they': THE
'too': TAO
'stayed': STAEUD
'away.': WA*EU/TP-PL
'Then': KPA/THEPB
'on': OPB
'the': -T
'third': THEURD
'day,': TKAEU/KW-BG
'he': HE
'sent': SEPBT
'for': TPOR
'all': AUL
'his': HEUS
'huntsmen,': HUPBTS/PH*EPB/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''Scour': A*E/KPA*/SKOUR
'the': -T
'whole': WHOEL
'forest': TPOEFRT
'through,': THRU/KW-BG
'and': SKP
'do': TKO
'not': TPHOT
'give': TKPWEUF
'up': UP
'until': TPH-L
'you': U
'have': SR
'found': TPOUPBD
'all': AUL
'three.'': THRAOE/TP-PL/AE
'But': KPA/PWUT
'of': -F
'these': THEZ
'also,': HR-S/KW-BG
'none': TPHOPB
'came': KAEUPL
'home': HOEPL
'again,': STKPWERPBGS
'none': TPHOPB
'were': WR
'seen': SAOEPB
'again.': TKPWEPB/TP-PL
'From': KPA/TPR
'that': THA
'time': TAOEUPL
'forth,': TPO*RT/KW-BG
'no': TPHO
'one': WUPB
'would': WO
'any': TPHEU
'longer': HRORPBG
'venture': SREPBT/UR
'into': TPHAO
'the': -T
'forest,': TPOEFRT/KW-BG
'and': SKP
'it': T
'lay': HRAEU
'there': THR
'in': TPH
'deep': TKAOEP
'stillness': STEUL/-PBS
'and': SKP
'solitude,': SOL/TAOUD/KW-BG
'and': SKP
'nothing': TPHOG
'was': WAS
'seen': SAOEPB
'of': -F
'it,': T/KW-BG
'but': PWUT
'sometimes': STAOEUPLS
'an': APB
'eagle': AOEG/-L
'or': OR
'a': AEU
'hawk': HAUBG
'flying': TPHRAOEUG
'over': OEFR
'it.': T/TP-PL
'This': KPA/TH
'lasted': HRAFT/-D
'for': TPOR
'many': PHAEPB
'years,': KWRAOERS/KW-BG
'when': WHEPB
'an': APB
'unknown': UPB/TPHOEPB
'huntsman': HUPBTS/PHA*PB
'announced': A/TPHOUPBS/-D
'himself': HEUPLS
'to': TO
'the': -T
'king': KEUPBG
'as': AS
'seeking': SAOEBG/-G
'a': AEU
'situation,': SEUFP/KW-BG
'and': SKP
'offered': OFRD
'to': TO
'go': TKPW
'into': TPHAO
'the': -T
'dangerous': TKAEUPBLGS
'forest.': TPOEFRT/TP-PL
'The': KPA/-T
'king,': KEUPBG/KW-BG
'however,': HOUF/KW-BG
'would': WO
'not': TPHOT
'give': TKPWEUF
'his': HEUS
'consent,': KEFPBT/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''It': A*E/KPA*/T
'is': S
'not': TPHOT
'safe': SAEUF
'in': TPH
'there;': THR/STPH*FPLT
'I': EU
'fear': TPAOER
'it': T
'would': WO
'fare': TPA*ER
'with': W
'you': U
'no': TPHO
'better': PWOERT
'than': THAPB
'with': W
'the': -T
'others,': OERS/KW-BG
'and': SKP
'you': U
'would': WO
'never': TPHEFR
'come': KOPL
'out': OUT
'again.'': TKPWEPB/TP-PL/AE
'The': KPA/-T
'huntsman': HUPBTS/PHA*PB
'replied:': RE/PHRAOEUD/STPH-FPLT
''Lord,': A*E/HRO*RD/KW-BG
'I': EU
'will': HR
'venture': SREPBT/UR
'it': T
'at': AT
'my': PHEU
'own': OEPB
