King Grisly-Beard

'A': KPA/AEU
'great': TKPWRAET
'king': KEUPBG
'of': -F
'a': AEU
'land': HRAPBD
'far': TPAR
'away': WA*EU
'in': TPH
'the': -T
'East': AO*EFT
'had': H
'a': AEU
'daughter': TKAUR
'who': WHO
'was': WAS
'very': SRE
'beautiful,': PWAOUFL/KW-BG
'but': PWUT
'so': SO
'proud,': PROUD/KW-BG
'and': SKP
'haughty,': HAU/TEU/KW-BG
'and': SKP
'conceited,': KAUPB/SAOET/-D/KW-BG
'that': THA
'none': TPHOPB
'of': -F
'the': -T
'princes': PREUPBS/-S
'who': WHO
'came': KAEUPL
'to': TO
'ask': SK
'her': HER
'in': TPH
'marriage': PHAERPBLG
'was': WAS
'good': TKPWAOD
'enough': TPHUF
'for': TPOR
'her,': HER/KW-BG
'and': SKP
'she': SHE
'only': OEPBL
'made': PHAED
'sport': SPORT
'of': -F
'them.': THEPL/TP-PL
'Once': KPA/WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'the': -T
'king': KEUPBG
'held': HELD
'a': AEU
'great': TKPWRAET
'feast,': TPAOEFT/KW-BG
'and': SKP
'asked': SK-D
'thither': TH*EURT
'all': AUL
'her': HER
'suitors;': SAOU/TOR/-S/STPH*FPLT
'and': SKP
'they': THE
'all': AUL
'sat': SAT
'in': TPH
'a': AEU
'row,': ROE/KW-BG
'ranged': RAEUPBGD
'according': KORG
'to': TO
'their': THAEUR
'rank--kings,': RA*PBG/H-PB/H-PB/KEUPBGS/KW-BG
'and': SKP
'princes,': PREUPBS/-S/KW-BG
'and': SKP
'dukes,': TKAOUBG/-S/KW-BG
'and': SKP
'earls,': A*ERL/-S/KW-BG
'and': SKP
'counts,': KOUPBTS/KW-BG
'and': SKP
'barons,': PWAR/ROPB/-S/KW-BG
'and': SKP
'knights.': TPHAO*EUT/-S/TP-PL
'Then': KPA/THEPB
'the': -T
'princess': PREUPB/SES
'came': KAEUPL
'in,': TPH/KW-BG
'and': SKP
'as': AS
'she': SHE
'passed': PAFD
'by': PWEU
'them': THEPL
'she': SHE
'had': H
'something': S-G
'spiteful': SPAOEUT/-FL
'to': TO
'say': SAEU
'to': TO
'every': EF
'one.': WUPB/TP-PL
'The': KPA/-T
'first': TPEUFRT
'was': WAS
'too': TAO
'fat:': TPAT/STPH-FPLT
''He's': A*E/KPA*/HE/AES
'as': AS
'round': ROUPBD
'as': AS
'a': AEU
'tub,'': TUB/KW-BG/AE
'said': SED
'she.': SHE/TP-PL
'The': KPA/-T
'next': TPHEGT
'was': WAS
'too': TAO
'tall:': TAUL/STPH-FPLT
''What': A*E/KPA*/WHA
'a': AEU
'maypole!'': PHAEU/*P/KWRO/*L/SKHRAPL/AE
'said': SED
'she.': SHE/TP-PL
'The': KPA/-T
'next': TPHEGT
'was': WAS
'too': TAO
'short:': SHORT/STPH-FPLT
''What': A*E/KPA*/WHA
'a': AEU
'dumpling!'': TKUFRP/-LG/SKHRAPL/AE
'said': SED
'she.': SHE/TP-PL
'The': KPA/-T
