Lily and the Lion

'A': KPA/AEU
'merchant,': PHEFRPBT/KW-BG
'who': WHO
'had': H
'three': THRAOE
'daughters,': TKAURS/KW-BG
'was': WAS
'once': WUPBS
'setting': SEGT
'out': OUT
'upon': POPB
'a': AEU
'journey;': SKWRURPB/STPH*FPLT
'but': PWUT
'before': PW-FR
'he': HE
'went': WEPBT
'he': HE
'asked': SK-D
'each': AOEFP
'daughter': TKAUR
'what': WHA
'gift': TKPWEUFT
'he': HE
'should': SHO
'bring': PWREU
'back': PWABG
'for': TPOR
'her.': HER/TP-PL
'The': KPA/-T
'eldest': ELD/EFT
'wished': WEURBD
'for': TPOR
'pearls;': PERLS/STPH*FPLT
'the': -T
'second': SEBGD
'for': TPOR
'jewels;': SKWRAOULS/STPH*FPLT
'but': PWUT
'the': -T
'third,': THEURD/KW-BG
'who': WHO
'was': WAS
'called': KAULD
'Lily,': KPA/HREUL/KWREU/KW-BG
'said,': SED/KW-BG
''Dear': A*E/KPA*/TKAER
'father,': TPAER/KW-BG
'bring': PWREU
'me': PHE
'a': AEU
'rose.'': ROEZ/TP-PL/AE
'Now': KPA/TPHOU
'it': T
'was': WAS
'no': TPHO
'easy': EZ
'task': TAFBG
'to': TO
'find': TPAOEUPBD
'a': AEU
'rose,': ROEZ/KW-BG
'for': TPOR
'it': T
'was': WAS
'the': -T
'middle': PH*EULD
'of': -F
'winter;': WEURPBT/STPH*FPLT
'yet': KWRET
'as': AS
'she': SHE
'was': WAS
'his': HEUS
'prettiest': PRET/KWREFT
'daughter,': TKAUR/KW-BG
'and': SKP
'was': WAS
'very': SRE
'fond': TPOPBD
'of': -F
'flowers,': TPHRO*URS/KW-BG
'her': HER
'father': TPAER
'said': SED
'he': HE
'would': WO
'try': TREU
'what': WHA
'he': HE
'could': KO
'do.': TKO/TP-PL
'So': KPA/SO
'he': HE
'kissed': K*EUFD
'all': AUL
'three,': THRAOERBGS
'and': SKP
'bid': PWEUD
'them': THEPL
'goodbye.': TKPW-B/TP-PL
'And': AFPBD
'when': WHEPB
'the': -T
'time': TAOEUPL
'came': KAEUPL
'for': TPOR
'him': HEUPL
'to': TO
'go': TKPW
'home,': HOEPL/KW-BG
'he': HE
'had': H
'bought': PWAUT
'pearls': PERLS
'and': SKP
'jewels': SKWRAOULS
'for': TPOR
'the': -T
'two': TWO
'eldest,': ELD/EFT/KW-BG
'but': PWUT
'he': HE
'had': H
'sought': SAUT
'everywhere': WEFR
'in': TPH
'vain': SRA*EUPB
'for': TPOR
'the': -T
'rose;': ROEZ/STPH*FPLT
'and': SKP
'when': WHEPB
'he': HE
'went': WEPBT
'into': TPHAO
'any': TPHEU
'garden': TKPWA*RPB
'and': SKP
'asked': SK-D
'for': TPOR
'such': SUFP
'a': AEU
'thing,': THEUPBG/KW-BG
'the': -T
'people': PAOEPL
'laughed': HRAFD
'at': AT
'him,': HEUPL/KW-BG
'and': SKP
'asked': SK-D
'him': HEUPL
'whether': WHR
'he': HE
'thought': THAUT
'roses': ROES/-S
'grew': TKPWRAOU
'in': TPH
'snow.': STPHOE/TP-PL
'This': KPA/TH
'grieved': TKPWRAOEF/-D
'him': HEUPL
'very': SRE
'much,': PHUFP/KW-BG
'for': TPOR
'Lily': KPA/HREUL/KWREU
'was': WAS
'his': HEUS
'dearest': TKAER/EFT
'child;': KHAOEULD/STPH*FPLT
'and': SKP
'as': AS
'he': HE
'was': WAS
'journeying': SKWRURPB/EUG
'home,': HOEPL/KW-BG
'thinking': THEUG
'what': WHA
'he': HE
'should': SHO
'bring': PWREU
'her,': HER/KW-BG
'he': HE
'came': KAEUPL
'to': TO
'a': AEU
'fine': TPAOEUPB
'castle;': KAFL/STPH*FPLT
'and': SKP
'around': ARPBD
'the': -T
'castle': KAFL
'was': WAS
'a': AEU
'garden,': TKPWA*RPB/KW-BG
'in': TPH
'one': WUPB
'half': HAF
'of': -F
'which': WEU
'it': T
'seemed': SAOEPLD
'to': TO
'be': -B
'summer-time': SAOURPL/TA*EPL
'and': SKP
'in': TPH
'the': -T
'other': OER
'half': HAF
'winter.': WEURPBT/TP-PL
'On': KPA/OPB
'one': WUPB
'side': SAOEUD
'the': -T
'finest': TPAOEUPB/EFT
'flowers': TPHRO*URS
'were': WR
'in': TPH
'full': TPUL
'bloom,': PWHRAOPL/KW-BG
'and': SKP
'on': OPB
'the': -T
'other': OER
'everything': EFRG
'looked': HRAOBGD
'dreary': TKRAOE/REU
'and': SKP
'buried': PWUR/EUD
'in': TPH
'the': -T
'snow.': STPHOE/TP-PL
''A': A*E/KPA*/AEU
'lucky': HROEUBG
'hit!'': HEUT/SKHRAPL/AE
'said': SED
'he,': HE/KW-BG
'as': AS
'he': HE
'called': KAULD
'to': TO
'his': HEUS
'servant,': SEFRB/APBT/KW-BG
'and': SKP
'told': TOLD
'him': HEUPL
'to': TO
'go': TKPW
'to': TO
'a': AEU
'beautiful': PWAOUFL
'bed': PWED
'of': -F
'roses': ROES/-S
'that': THA
'was': WAS
'there,': THR-RBGS
'and': SKP
'bring': PWREU
'him': HEUPL
'away': WA*EU
'one': WUPB
'of': -F
'the': -T
'finest': TPAOEUPB/EFT
'flowers.': TPHRO*URS/TP-PL
'This': KPA/TH
'done,': TKOPB/KW-BG
'they': THE
'were': WR
'riding': RAOEUD/-G
'away': WA*EU
'well': WEL
'pleased,': PHREFD/KW-BG
'when': WHEPB
'up': UP
'sprang': SPRAPBG
'a': AEU
'fierce': TPAOERS
'lion,': HRO*EUPB/KW-BG
'and': SKP
'roared': RAORD
'out,': OUT/KW-BG
''Whoever': A*E/KPA*/WHOFR
'has': HAS
'stolen': STOEL/EPB
'my': PHEU
'roses': ROES/-S
'shall': SHAL
'be': -B
'eaten': AOET/EPB
'up': UP
'alive!'': A/HRAOEUF/SKHRAPL/AE
'Then': KPA/THEPB
'the': -T
'man': PHAPB
'said,': SED/KW-BG
''I': A*E/EU
'knew': TPHAOU
'not': TPHOT
'that': THA
'the': -T
'garden': TKPWA*RPB
'belonged': PWHROPBGD
'to': TO
'you;': U/STPH*FPLT
'can': K
'nothing': TPHOG
'save': SAF
'my': PHEU
'life?'': HRAOEUF/H-F/AE
''No!'': A*E/KPA*/TPHO/SKHRAPL/AE
'said': SED
'the': -T
'lion,': HRO*EUPB/KW-BG
''nothing,': A*E/TPHOG/KW-BG
'unless': TPH-LS
'you': U
'undertake': UPBD/TAEUBG
'to': TO
'give': TKPWEUF
'me': PHE
'whatever': WHAF
'meets': PHAOETS
'you': U
'on': OPB
'your': KWROUR
'return': RURPB
'home;': HOEPL/STPH*FPLT
'if': TP
'you': U
'agree': TKPWRAE
'to': TO
'this,': TH/KW-BG
'I': EU
'will': HR
'give': TKPWEUF
