Rapunzel

'There': KPA/THR
'were': WR
'once': WUPBS
'a': AEU
'man': PHAPB
'and': SKP
'a': AEU
'woman': WOPL
'who': WHO
'had': H
'long': HROPBG
'in': TPH
'vain': SRA*EUPB
'wished': WEURBD
'for': TPOR
'a': AEU
'child.': KHAOEULD/TP-PL
'At': KPA/AT
'length': HREPBG
'the': -T
'woman': WOPL
'hoped': HOEPD
'that': THA
'God': TKPWO*D
'was': WAS
'about': PW
'to': TO
'grant': TKPWRAPBT
'her': HER
'desire.': STKAOEUR/TP-PL
'These': KPA/THEZ
'people': PAOEPL
'had': H
'a': AEU
'little': HREUL
'window': WOEUPBD
'at': AT
'the': -T
'back': PWABG
'of': -F
'their': THAEUR
'house': HOUS
'from': TPR
'which': WEU
'a': AEU
'splendid': SPHREPB/TKEUD
'garden': TKPWA*RPB
'could': KO
'be': -B
'seen,': SAOEPB/KW-BG
'which': WEU
'was': WAS
'full': TPUL
'of': -F
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'flowers': TPHRO*URS
'and': SKP
'herbs.': HERBS/TP-PL
'It': KPA/T
'was,': WAS/KW-BG
'however,': HOUF/KW-BG
'surrounded': SROUPBD/-D
'by': PWEU
'a': AEU
'high': HAOEU
'wall,': WAUL/KW-BG
'and': SKP
'no': TPHO
'one': WUPB
'dared': TKAEURD
'to': TO
'go': TKPW
'into': TPHAO
'it': T
'because': PWAU
'it': T
'belonged': PWHROPBGD
'to': TO
'an': APB
'enchantress,': EPB/KHAPBT/RES/KW-BG
'who': WHO
'had': H
'great': TKPWRAET
'power': POUR
'and': SKP
'was': WAS
'dreaded': TKRED/-D
'by': PWEU
'all': AUL
'the': -T
'world.': WORLD/TP-PL
'One': KPA/WUPB
'day': TKAEU
'the': -T
'woman': WOPL
'was': WAS
'standing': STAPBG
'by': PWEU
'this': TH
'window': WOEUPBD
'and': SKP
'looking': HRAOG
'down': TKOUPB
'into': TPHAO
'the': -T
'garden,': TKPWA*RPB/KW-BG
'when': WHEPB
'she': SHE
'saw': SAU
'a': AEU
'bed': PWED
'which': WEU
'was': WAS
'planted': PHRAPBT/-D
'with': W
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'rampion': RAFRP/KWROPB
'(rapunzel),': PREPB/RA/PUPB/S*EL/PR*EPB/KW-BG
'and': SKP
'it': T
'looked': HRAOBGD
'so': SO
'fresh': TPRERB
'and': SKP
'green': TKPWRAOEPB
'that': THA
'she': SHE
'longed': HROPBG/-D
'for': TPOR
'it,': T/KW-BG
'she': SHE
'quite': KWAOEUT
'pined': PAOEUPB/-D
'away,': WA*EU/KW-BG
'and': SKP
'began': TKPWAPB
'to': TO
'look': HRAOBG
'pale': PAEL
'and': SKP
'miserable.': PHEUZ/-BL/TP-PL
'Then': KPA/THEPB
'her': HER
'husband': HUS
'was': WAS
'alarmed,': A/HRARPLD/KW-BG
'and': SKP
'asked:': SK-D/STPH-FPLT
''What': A*E/KPA*/WHA
'ails': AEUL/-S
'you,': U/KW-BG
'dear': TKAER
'wife?'': WAOEUF/H-F/AE
''Ah,'': A*E/KPA*/HA*E/KW-BG/AE
'she': SHE
'replied,': RE/PHRAOEUD/KW-BG
''if': A*E/TP
'I': EU
'can't': K-PBT
'eat': AOET
'some': SOPL
'of': -F
'the': -T
'rampion,': RAFRP/KWROPB/KW-BG
'which': WEU
'is': S
'in': TPH
'the': -T
'garden': TKPWA*RPB
'behind': HEUPBD
'our': OUR
'house,': HOUS/KW-BG
'I': EU
'shall': SHAL
'die.'': TKAOEU/TP-PL/AE
'The': KPA/-T
'man,': PHAPB/KW-BG
'who': WHO
'loved': HROFD
'her,': HER/KW-BG
'thought:': THAUT/STPH-FPLT
''Sooner': A*E/KPA*/SAORPB
'than': THAPB
'let': HRET
'your': KWROUR
'wife': WAOEUF
'die,': TKAOEU/KW-BG
'bring': PWREU
'her': HER
'some': SOPL
'of': -F
'the': -T
'rampion': RAFRP/KWROPB
'yourself,': KWRO*URS/KW-BG
'let': HRET
'it': T
'cost': KOFT
'what': WHA
'it': T
'will.'': HR/TP-PL/AE
'At': KPA/AT
'twilight,': TWAOEULGT/KW-BG
'he': HE
'clambered': KHRAPL/ERD
'down': TKOUPB
'over': OEFR
'the': -T
'wall': WAUL
'into': TPHAO
'the': -T
'garden': TKPWA*RPB
'of': -F
'the': -T
'enchantress,': EPB/KHAPBT/RES/KW-BG
'hastily': HAEUFT/HREU
'clutched': KHRUFPD
'a': AEU
'handful': HAPBD/-FL
'of': -F
'rampion,': RAFRP/KWROPB/KW-BG
'and': SKP
'took': TAOBG
'it': T
'to': TO
'his': HEUS
'wife.': WAOEUF/TP-PL
'She': KPA/SHE
'at': AT
'once': WUPBS
'made': PHAED
'herself': H*ERS
'a': AEU
'salad': SALD
'of': -F
'it,': T/KW-BG
'and': SKP
'ate': AEUT
'it': T
'greedily.': TKPWRAOED/HREU/TP-PL
'It': KPA/T
'tasted': TAEUFT/-D
'so': SO
'good': TKPWAOD
'to': TO
'her--so': HER/H-PB/H-PB/SO
'very': SRE
'good,': TKPWAOD/KW-BG
'that': THA
'the': -T
'next': TPHEGT
'day': TKAEU
'she': SHE
'longed': HROPBG/-D
