Sweetheart Roland

'There': KPA/THR
'was': WAS
'once': WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'a': AEU
'woman': WOPL
'who': WHO
'was': WAS
'a': AEU
'real': RAEL
'witch': WEUFP
'and': SKP
'had': H
'two': TWO
'daughters,': TKAURS/KW-BG
'one': WUPB
'ugly': ULG
'and': SKP
'wicked,': WEUBGD/KW-BG
'and': SKP
'this': TH
'one': WUPB
'she': SHE
'loved': HROFD
'because': PWAU
'she': SHE
'was': WAS
'her': HER
'own': OEPB
'daughter,': TKAUR/KW-BG
'and': SKP
'one': WUPB
'beautiful': PWAOUFL
'and': SKP
'good,': TKPWAOD/KW-BG
'and': SKP
'this': TH
'one': WUPB
'she': SHE
'hated,': HAEUT/-D/KW-BG
'because': PWAU
'she': SHE
'was': WAS
'her': HER
'stepdaughter.': STEP/TKAUR/TP-PL
'The': KPA/-T
'stepdaughter': STEP/TKAUR
'once': WUPBS
'had': H
'a': AEU
'pretty': PREUT
'apron,': AEUP/ROPB/KW-BG
'which': WEU
'the': -T
'other': OER
'fancied': TPAPB/SEU/-D
'so': SO
'much': PHUFP
'that': THA
'she': SHE
'became': PWAEUPL
'envious,': EPB/SROUS/KW-BG
'and': SKP
'told': TOLD
'her': HER
'mother': PHOER
'that': THA
'she': SHE
'must': PHUFT
'and': SKP
'would': WO
'have': SR
'that': THA
'apron.': AEUP/ROPB/TP-PL
''Be': A*E/KPA*/-B
'quiet,': KWAO*EUT/KW-BG
'my': PHEU
'child,'': KHAOEULD/KW-BG/AE
'said': SED
'the': -T
'old': OLD
'woman,': WOPL/KW-BG
''and': A*E/SKP
'you': U
'shall': SHAL
'have': SR
'it.': T/TP-PL
'Your': KPA/KWROUR
'stepsister': STEP/ST-R
'has': HAS
'long': HROPBG
'deserved': TKAOE/SER/-FD
'death;': TK*T/STPH*FPLT
'tonight': TOPBT
'when': WHEPB
'she': SHE
'is': S
'asleep': A/SHRAOEP
'I': EU
'will': HR
'come': KOPL
'and': SKP
'cut': KUT
'her': HER
'head': HED
'off.': OF/TP-PL
'Only': KPA/OEPBL
'be': -B
'careful': KAEUFL
'that': THA
'you': U
'are': R
'at': AT
'the': -T
'far': TPAR
'side': SAOEUD
'of': -F
'the': -T
'bed,': PWED/KW-BG
'and': SKP
'push': PURB
'her': HER
'well': WEL
'to': TO
'the': -T
'front.'': TPROPBT/TP-PL/AE
'It': KPA/T
'would': WO
'have': SR
'been': PW-PB
'all': AUL
'over': OEFR
'with': W
'the': -T
'poor': PAOR
'girl': TKPWEURL
'if': TP
'she': SHE
'had': H
'not': TPHOT
'just': SKWRUFT
'then': THEPB
'been': PW-PB
'standing': STAPBG
'in': TPH
'a': AEU
'corner,': KRORPB/KW-BG
'and': SKP
'heard': HAERD
'everything.': EFRG/TP-PL
'All': KPA/AUL
'day': TKAEU
'long': HROPBG
'she': SHE
'dared': TKAEURD
'not': TPHOT
'go': TKPW
'out': OUT
'of': -F
'doors,': TKAORS/KW-BG
'and': SKP
'when': WHEPB
'bedtime': PWED/TAOUP
'had': H
'come,': KOPL/KW-BG
'the': -T
'witch's': WEUFP/AES
'daughter': TKAUR
'got': TKPWOT
'into': TPHAO
'bed': PWED
'first,': TPEUFRT/KW-BG
'so': SO
'as': AS
'to': TO
'lie': HRAOEU
'at': AT
'the': -T
'far': TPAR
'side,': SAOEUD/KW-BG
'but': PWUT
'when': WHEPB
'she': SHE
'was': WAS
'asleep,': A/SHRAOEP/KW-BG
'the': -T
'other': OER
'pushed': PURBD
'her': HER
'gently': SKWREPBT/HREU
'to': TO
'the': -T
'front,': TPROPBT/KW-BG
'and': SKP
'took': TAOBG
'for': TPOR
'herself': H*ERS
'the': -T
'place': PHRAEUS
'at': AT
'the': -T
'back,': PWABG/KW-BG
'close': KHROES
'by': PWEU
'the': -T
'wall.': WAUL/TP-PL
'In': KPA/TPH
'the': -T
'night,': TPHAOEUT/KW-BG
'the': -T
'old': OLD
'woman': WOPL
'came': KAEUPL
'creeping': KRAOEPG
'in,': TPH/KW-BG
'she': SHE
'held': HELD
'an': APB
'axe': ABGS
'in': TPH
'her': HER
'right': RAOEUT
'hand,': HAPBD/KW-BG
'and': SKP
'felt': TPELT
'with': W
'her': HER
'left': HREFT
'to': TO
'see': SAOE
'if': TP
'anyone': TPHEUPB
'were': WR
'lying': HRAOEUG
'at': AT
'the': -T
'outside,': OUDZ/KW-BG
'and': SKP
'then': THEPB
'she': SHE
'grasped': TKPWRAS/-PD
'the': -T
