The Blue Light

'There': KPA/THR
'was': WAS
'once': WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'a': AEU
'soldier': SHRERPBLG
'who': WHO
'for': TPOR
'many': PHAEPB
'years': KWRAOERS
'had': H
'served': SEFRBD
'the': -T
'king': KEUPBG
'faithfully,': TPA*EUT/TPHREU/KW-BG
'but': PWUT
'when': WHEPB
'the': -T
'war': WAR
'came': KAEUPL
'to': TO
'an': APB
'end': EPBD
'could': KO
'serve': SEFRB
'no': TPHO
'longer': HRORPBG
'because': PWAU
'of': -F
'the': -T
'many': PHAEPB
'wounds': WOUPBDZ
'which': WEU
'he': HE
'had': H
'received.': SAOEFD/TP-PL
'The': KPA/-T
'king': KEUPBG
'said': SED
'to': TO
'him:': HEUPL/STPH-FPLT
''You': A*E/KPA*/U
'may': PHAEU
'return': RURPB
'to': TO
'your': KWROUR
'home,': HOEPL/KW-BG
'I': EU
'need': TPHAOED
'you': U
'no': TPHO
'longer,': HRORPBG/KW-BG
'and': SKP
'you': U
'will': HR
'not': TPHOT
'receive': SAOEF
'any': TPHEU
'more': PHOR
'money,': PHUPB/KW-BG
'for': TPOR
'he': HE
'only': OEPBL
'receives': SAOEFS
'wages': WAEUPBLGS
'who': WHO
'renders': REPBD/ERS
'me': PHE
'service': S-FS
'for': TPOR
'them.'': THEPL/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'soldier': SHRERPBLG
'did': TK
'not': TPHOT
'know': TPHOE
'how': HOU
'to': TO
'earn': ERPB
'a': AEU
'living,': HREUFG/KW-BG
'went': WEPBT
'away': WA*EU
'greatly': TKPWRAELT
'troubled,': TRUBLD/KW-BG
'and': SKP
'walked': WAUBGD
'the': -T
'whole': WHOEL
'day,': TKAEU/KW-BG
'until': TPH-L
'in': TPH
'the': -T
'evening': AOEPBG
'he': HE
'entered': SPWR-D
'a': AEU
'forest.': TPOEFRT/TP-PL
'When': KPA/WHEPB
'darkness': TKARBG/-PBS
'came': KAEUPL
'on,': OPB/KW-BG
'he': HE
'saw': SAU
'a': AEU
'light,': HRAOEUT/KW-BG
'which': WEU
'he': HE
'went': WEPBT
'up': UP
'to,': TO/KW-BG
'and': SKP
'came': KAEUPL
'to': TO
'a': AEU
'house': HOUS
'wherein': WR-PB
'lived': HREUFD
'a': AEU
'witch.': WEUFP/TP-PL
''Do': A*E/KPA*/TKO
'give': TKPWEUF
'me': PHE
'one': WUPB
'night's': TPHAOEUT/AES
'lodging,': HROPBLG/-G/KW-BG
'and': SKP
'a': AEU
'little': HREUL
'to': TO
'eat': AOET
'and': SKP
'drink,'': TKREU/KW-BG/AE
'said': SED
'he': HE
'to': TO
'her,': HER/KW-BG
''or': A*E/OR
'I': EU
'shall': SHAL
'starve.'': STAFRB/TP-PL/AE
''Oho!'': A*E/KPA/O*ERBGS/SKWRO/SKHRAPL/AE
'she': SHE
'answered,': AEPBS/-D/KW-BG
''who': A*E/WHO
'gives': TKPWEUFS
'anything': TPHEUG
'to': TO
'a': AEU
'run-away': RUPB/H-PB/WA*EU
'soldier?': SHRERPBLG/H-F
'Yet': KPA/KWRET
'will': HR
'I': EU
'be': -B
'compassionate,': KPAGS/TPHAT/KW-BG
'and': SKP
'take': TAEUBG
'you': U
'in,': TPH/KW-BG
'if': TP
'you': U
'will': HR
'do': TKO
'what': WHA
'I': EU
'wish.'': WEURB/TP-PL/AE
''What': A*E/KPA*/WHA
'do': TKO
'you': U
'wish?'': WEURB/H-F/AE
'said': SED
'the': -T
'soldier.': SHRERPBLG/TP-PL
''That': A*E/KPA*/THA
'you': U
'should': SHO
'dig': TKEUG
'all': AUL
'round': ROUPBD
'my': PHEU
'garden': TKPWA*RPB
'for': TPOR
'me,': PHE/KW-BG
'tomorrow.'': TORPL/TP-PL/AE
'The': KPA/-T
'soldier': SHRERPBLG
'consented,': KEFPBT/-D/KW-BG
'and': SKP
'next': TPHEGT
'day': TKAEU
'laboured': HRAEU/PWOUR/-D
'with': W
'all': AUL
'his': HEUS
'strength,': STREPBG/KW-BG
'but': PWUT
'could': KO
'not': TPHOT
'finish': TP*EURB
'it': T
'by': PWEU
'the': -T
'evening.': AOEPBG/TP-PL
''I': A*E/EU
