The Dog and the Sparrow

'A': KPA/AEU
'shepherd's': SHEP/ERD/AES
'dog': TKOG
'had': H
'a': AEU
'master': PHAFRT
'who': WHO
'took': TAOBG
'no': TPHO
'care': KAEUR
'of': -F
'him,': HEUPL/KW-BG
'but': PWUT
'often': OFPB
'let': HRET
'him': HEUPL
'suffer': SUFR
'the': -T
'greatest': TKPWRAET/EFT
'hunger.': HURPBG/TP-PL
'At': KPA/AT
'last': HRAFT
'he': HE
'could': KO
'bear': PWAER
'it': T
'no': TPHO
'longer;': HRORPBG/STPH*FPLT
'so': SO
'he': HE
'took': TAOBG
'to': TO
'his': HEUS
'heels,': HAOELS/KW-BG
'and': SKP
'off': OF
'he': HE
'ran': RAPB
'in': TPH
'a': AEU
'very': SRE
'sad': SAD
'and': SKP
'sorrowful': SOR/ROEFL
'mood.': PHAOD/TP-PL
'On': KPA/OPB
'the': -T
'road': RAOD
'he': HE
'met': PHET
'a': AEU
'sparrow': SPAEUR/ROE
'that': THA
'said': SED
'to': TO
'him,': HEUPL/KW-BG
''Why': A*E/KPA*/KWR
'are': R
'you': U
'so': SO
'sad,': SAD/KW-BG
'my': PHEU
'friend?'': TPREPBD/H-F/AE
''Because,'': A*E/KPA*/PWAU/KW-BG/AE
'said': SED
'the': -T
'dog,': TKOG/KW-BG
''I': A*E/EU
'am': APL
'very': SRE
'very': SRE
'hungry,': HUPBG/REU/KW-BG
'and': SKP
'have': SR
'nothing': TPHOG
'to': TO
'eat.'': AOET/TP-PL/AE
''If': A*E/KPA*/TP
'that': THA
'be': -B
'all,'': AUL/KW-BG/AE
'answered': AEPBS/-D
'the': -T
'sparrow,': SPAEUR/ROE/KW-BG
''come': A*E/KOPL
'with': W
'me': PHE
'into': TPHAO
'the': -T
'next': TPHEGT
'town,': TOUPB/KW-BG
'and': SKP
'I': EU
'will': HR
'soon': SAOPB
'find': TPAOEUPBD
'you': U
'plenty': PHREPBT
'of': -F
'food.'': TPAOD/TP-PL/AE
'So': KPA/SO
'on': OPB
'they': THE
'went': WEPBT
'together': TOGT
'into': TPHAO
'the': -T
'town:': TOUPB/STPH-FPLT
'and': SKP
'as': AS
'they': THE
'passed': PAFD
'by': PWEU
'a': AEU
'butcher's': PWUFP/ER/AES
'shop,': SHOP/KW-BG
'the': -T
'sparrow': SPAEUR/ROE
'said': SED
'to': TO
'the': -T
'dog,': TKOG/KW-BG
''Stand': A*E/KPA*/STAPBD
'there': THR
'a': AEU
'little': HREUL
'while': WHAOEUL
'till': TEUL
'I': EU
'peck': PEBG
'you': U
'down': TKOUPB
'a': AEU
'piece': PAOES
'of': -F
'meat.'': PHAET/TP-PL/AE
'So': KPA/SO
'the': -T
'sparrow': SPAEUR/ROE
'perched': PEFRPBD
'upon': POPB
'the': -T
'shelf:': SHEFL/STPH-FPLT
'and': SKP
'having': SR-G
'first': TPEUFRT
'looked': HRAOBGD
'carefully': KA*EUFL
'about': PW
'her': HER
'to': TO
'see': SAOE
'if': TP
'anyone': TPHEUPB
'was': WAS
'watching': WAFPG
'her,': HER/KW-BG
'she': SHE
'pecked': PEBGD
'and': SKP
'scratched': SKRAFPD
'at': AT
'a': AEU
'steak': STAEBG
'that': THA
'lay': HRAEU
'upon': POPB
'the': -T
'edge': EPBLG
'of': -F
'the': -T
'shelf,': SHEFL/KW-BG
'till': TEUL
'at': AT
'last': HRAFT
'down': TKOUPB
'it': T
'fell.': TPEL/TP-PL
'Then': KPA/THEPB
'the': -T
'dog': TKOG
'snapped': STPHAPD
'it': T
'up,': UP/KW-BG
'and': SKP
'scrambled': SKAPL/-BLD
'away': WA*EU
'with': W
'it': T
'into': TPHAO
'a': AEU
'corner,': KRORPB/KW-BG
'where': W-R
'he': HE
'soon': SAOPB
'ate': AEUT
'it': T
