The Four Clever Brothers

''Dear': A*E/KPA*/TKAER
'children,'': KHEURPB/KW-BG/AE
'said': SED
'a': AEU
'poor': PAOR
'man': PHAPB
'to': TO
'his': HEUS
'four': TPOUR
'sons,': SOPBS/KW-BG
''I': A*E/EU
'have': SR
'nothing': TPHOG
'to': TO
'give': TKPWEUF
'you;': U/STPH*FPLT
'you': U
'must': PHUFT
'go': TKPW
'out': OUT
'into': TPHAO
'the': -T
'wide': WAOEUD
'world': WORLD
'and': SKP
'try': TREU
'your': KWROUR
'luck.': HRUBG/TP-PL
'Begin': KPA/TKPWEUPB
'by': PWEU
'learning': HRERPBG
'some': SOPL
'craft': KRAFT
'or': OR
'another,': TPHOER/KW-BG
'and': SKP
'see': SAOE
'how': HOU
'you': U
'can': K
'get': TKPWET
'on.'': OPB/TP-PL/AE
'So': KPA/SO
'the': -T
'four': TPOUR
'brothers': PWROERS
'took': TAOBG
'their': THAEUR
'walking-sticks': WAUG/H-PB/STEUBGS
'in': TPH
'their': THAEUR
'hands,': HAPBDZ/KW-BG
'and': SKP
'their': THAEUR
'little': HREUL
'bundles': PWUPBD/-LS
'on': OPB
'their': THAEUR
'shoulders,': SHOURLDZ/KW-BG
'and': SKP
'after': AF
'bidding': PWEUD/-G
'their': THAEUR
'father': TPAER
'goodbye,': TKPW-B/KW-BG
'went': WEPBT
'all': AUL
'out': OUT
'at': AT
'the': -T
'gate': TKPWAET
'together.': TOGT/TP-PL
'When': KPA/WHEPB
'they': THE
'had': H
'got': TKPWOT
'on': OPB
'some': SOPL
'way': WAEU
'they': THE
'came': KAEUPL
'to': TO
'four': TPOUR
'crossways,': KROS/WAEUS/KW-BG
'each': AOEFP
'leading': HRAEGD
'to': TO
'a': AEU
'different': TKEUFRT
'country.': KREU/TP-PL
'Then': KPA/THEPB
'the': -T
'eldest': ELD/EFT
'said,': SED/KW-BG
''Here': A*E/KPA*/HAOER
'we': WE
'must': PHUFT
'part;': PART/STPH*FPLT
'but': PWUT
'this': TH
'day': TKAEU
'four': TPOUR
'years': KWRAOERS
'we': WE
'will': HR
'come': KOPL
'back': PWABG
'to': TO
'this': TH
'spot,': SPOT/KW-BG
'and': SKP
'in': TPH
'the': -T
'meantime': PHAOEPB/TAO*EUPL
'each': AOEFP
'must': PHUFT
'try': TREU
'what': WHA
'he': HE
'can': K
'do': TKO
'for': TPOR
'himself.'': HEUPLS/TP-PL/AE
'So': KPA/SO
'each': AOEFP
'brother': PWROER
'went': WEPBT
'his': HEUS
'way;': WAEU/STPH*FPLT
'and': SKP
