The Frog-Prince

'One': KPA/WUPB
'fine': TPAOEUPB
'evening': AOEPBG
'a': AEU
'young': KWRUPBG
'princess': PREUPB/SES
'put': PUT
'on': OPB
'her': HER
'bonnet': PWOPB/ET
'and': SKP
'clogs,': KHROGS/KW-BG
'and': SKP
'went': WEPBT
'out': OUT
'to': TO
'take': TAEUBG
'a': AEU
'walk': WAUBG
'by': PWEU
'herself': H*ERS
'in': TPH
'a': AEU
'wood;': WAOD/STPH*FPLT
'and': SKP
'when': WHEPB
'she': SHE
'came': KAEUPL
'to': TO
'a': AEU
'cool': KAOL
'spring': SPREUPBG
'of': -F
'water,': WAURBGS
'that': THA
'rose': ROEZ
'in': TPH
'the': -T
'midst': PHEUDZ
'of': -F
'it,': T/KW-BG
'she': SHE
'sat': SAT
'herself': H*ERS
'down': TKOUPB
'to': TO
'rest': REFT
'a': AEU
'while.': WHAOEUL/TP-PL
'Now': KPA/TPHOU
'she': SHE
'had': H
'a': AEU
'golden': TKPWOELD/*EPB
'ball': PWAUL
'in': TPH
'her': HER
'hand,': HAPBD/KW-BG
'which': WEU
'was': WAS
'her': HER
'favourite': TPAEUFRT/A*U
'plaything;': PHRAEU/THEUPBG/STPH*FPLT
'and': SKP
'she': SHE
'was': WAS
'always': AULS
'tossing': TOFG
'it': T
'up': UP
'into': TPHAO
'the': -T
'air,': AEUR/KW-BG
'and': SKP
'catching': KAFPG
'it': T
'again': TKPWEPB
'as': AS
'it': T
'fell.': TPEL/TP-PL
'After': KPA/AF
'a': AEU
'time': TAOEUPL
'she': SHE
'threw': THRAOU
'it': T
'up': UP
'so': SO
'high': HAOEU
'that': THA
'she': SHE
'missed': PHEUFD
'catching': KAFPG
'it': T
'as': AS
'it': T
'fell;': TPEL/STPH*FPLT
'and': SKP
'the': -T
'ball': PWAUL
'bounded': PWOUPBD/-D
'away,': WA*EU/KW-BG
'and': SKP
'rolled': ROLD
'along': HRAOPBG
'upon': POPB
'the': -T
'ground,': TKPWROUPBD/KW-BG
'till': TEUL
'at': AT
'last': HRAFT
'it': T
'fell': TPEL
'down': TKOUPB
'into': TPHAO
'the': -T
'spring.': SPREUPBG/TP-PL
'The': KPA/-T
'princess': PREUPB/SES
'looked': HRAOBGD
'into': TPHAO
'the': -T
'spring': SPREUPBG
'after': AF
'her': HER
'ball,': PWAUL/KW-BG
'but': PWUT
'it': T
'was': WAS
'very': SRE
'deep,': TKAOEP/KW-BG
'so': SO
'deep': TKAOEP
'that': THA
'she': SHE
'could': KO
'not': TPHOT
'see': SAOE
'the': -T
'bottom': PWOPLT
'of': -F
'it.': T/TP-PL
'Then': KPA/THEPB
'she': SHE
'began': TKPWAPB
'to': TO
'bewail': PWE/WAEUL
'her': HER
'loss,': HROS/KW-BG
'and': SKP
'said,': SED/KW-BG
''Alas!': A*E/KPA*/A/HRAS/SKHRAPL
'if': TP
'I': EU
'could': KO
'only': OEPBL
'get': TKPWET
'my': PHEU
'ball': PWAUL
'again,': STKPWERPBGS
'I': EU
'would': WO
'give': TKPWEUF
'all': AUL
'my': PHEU
'fine': TPAOEUPB
'clothes': KHRO*ETS
'and': SKP
'jewels,': SKWRAOULS/KW-BG
'and': SKP
'everything': EFRG
'that': THA
'I': EU
'have': SR
'in': TPH
'the': -T
'world.'': WORLD/TP-PL/AE
'Whilst': KPA/WHAOEULS
'she': SHE
'was': WAS
'speaking,': SPAOEG/KW-BG
'a': AEU
'frog': TPROG
'put': PUT
'its': EUTS
'head': HED
'out': OUT
'of': -F
'the': -T
'water,': WAURBGS
'and': SKP
'said,': SED/KW-BG
''Princess,': A*E/KPA*/PREUPB/SES/KW-BG
'why': KWR
'do': TKO
'you': U
'weep': WAOEP
'so': SO
'bitterly?'': PWEURLT/H-F/AE
''Alas!'': A*E/KPA*/A/HRAS/SKHRAPL/AE
'said': SED
'she,': SHE/KW-BG
''what': A*E/WHA
'can': K
'you': U
'do': TKO
'for': TPOR
'me,': PHE/KW-BG
'you': U
'nasty': TPHAS/TEU
'frog?': TPROG/H-F
'My': KPA/PHEU
'golden': TKPWOELD/*EPB
'ball': PWAUL
'has': HAS
'fallen': TPAUPBL
'into': TPHAO
'the': -T
'spring.'': SPREUPBG/TP-PL/AE
'The': KPA/-T
'frog': TPROG
'said,': SED/KW-BG
''I': A*E/EU
'want': WAPBT
'not': TPHOT
'your': KWROUR
'pearls,': PERLS/KW-BG
'and': SKP
'jewels,': SKWRAOULS/KW-BG
'and': SKP
'fine': TPAOEUPB
'clothes;': KHRO*ETS/STPH*FPLT
'but': PWUT
'if': TP
'you': U
'will': HR
'love': HRUF
'me,': PHE/KW-BG
'and': SKP
'let': HRET
'me': PHE
'live': HREUF
'with': W
'you': U
'and': SKP
'eat': AOET
'from': TPR
'off': OF
'your': KWROUR
'golden': TKPWOELD/*EPB
'plate,': PHRAET/KW-BG
'and': SKP
'sleep': SHRAOEP
'upon': POPB
'your': KWROUR
'bed,': PWED/KW-BG
'I': EU
'will': HR
'bring': PWREU
'you': U
'your': KWROUR
'ball': PWAUL
'again.'': TKPWEPB/TP-PL/AE
''What': A*E/KPA*/WHA
'nonsense,'': TPHOPB/SEPBS/KW-BG/AE
'thought': THAUT
'the': -T
'princess,': PREUPB/SES/KW-BG
''this': A*E/TH
'silly': SHREU
'frog': TPROG
'is': S
'talking!': TAUG/SKHRAPL
'He': KPA/HE
'can': K
'never': TPHEFR
'even': AOEPB
'get': TKPWET
'out': OUT
'of': -F
'the': -T
'spring': SPREUPBG
'to': TO
'visit': SREUFT
'me,': PHE/KW-BG
'though': THOE
'he': HE
