The Golden Bird Part 8

'horse;': HORS STPH*FPLT
'yet': KWRET
'will': HR
'I': EU
'once': WUPBS
'more': PHOR
'give': TKPWEUF
'you': U
'counsel.': KOUPB TP-PL
'Go': TKPW
'straight': STRAEUT
'on,': OPB KW-BG
'and': SKP
'in': TPH
'the': -T
'evening': AOEPG
'you': U
'will': HR
'arrive': A/REUF
'at': AT
'a': AEU
'castle.': KAFL TP-PL
'At': AT
'twelve': TWEFL
'o'clock': KHRO*BG
'at': AT
'night': TPHAOEUT
'the': -T
'princess': PREUPB/ES
'goes': TKPW-S
'to': TO
'the': -T
'bathing-house:': PWA*EUGT H-PB HOUS STPH-FPLT
'go': TKPW
'up': UP
'to': TO
'her': HER
'and': SKP
'give': TKPWEUF
'her': HER
'a': AEU
'kiss,': KEUS KW-BG
'and': SKP
'she': SHE
'will': HR
'let': HRET
'you': U
'lead': HRAED
'her': HER
'away;': A/WAEU STPH*FPLT
'but': PWUT
'take': TAEUBG
'care': KAEUR
'you': U
'do': TKO
'not': TPHOT
'suffer': SUFR
'her': HER
'to': TO
'go': TKPW
'and': SKP
'take': TAEUBG
'leave': HREF
'of': -F
'her': HER
'father': TPAER
'and': SKP
'mother.'': PHOER TP-PL AE
'Then': THEPB
'the': -T
'fox': TPOBGS
'stretched': STREFPD
'out': OUT
'his': HEUS
'tail,': TAEUL KW-BG
'and': SKP
'so': SO
'away': A/WAEU
'they': THE
'went': WEPBT
'over': OEFR
'stock': STOBG
'and': SKP
'stone': STOEPB
'till': T*EUL
'their': THAEUR
'hair': HAEUR
'whistled': WHEUS/-LD
'again.': TKPWEPB TP-PL
'As': AZ
'they': THE
'came': KAEUPL
'to': TO
'the': -T
'castle,': KAFL KW-BG
'all': AUL
'was': WA
'as': AZ
'the': -T
'fox': TPOBGS
'had': H
'said,': SAEUD KW-BG
'and': SKP
'at': AT
'twelve': TWEFL
'o'clock': KHRO*BG
'the': -T
'young': KWRUPBG
'man': PHAPB
'met': PHET
'the': -T
'princess': PREUPB/ES
'going': TKPW-G
'to': TO
'the': -T
'bath': PWA*T
'and': SKP
'gave': TKPWAEUF
'her': HER
'the': -T
'kiss,': KEUS KW-BG
'and': SKP
'she': SHE
'agreed': TKPWRAED
'to': TO
'run': RUPB
'away': A/WAEU
'with': W
'him,': HEUPL KW-BG
'but': PWUT
'begged': PWEGD
'with': W
'many': PHAEPB
'tears': TAERS
'that': THA
'he': E
'would': WO
'let': HRET
'her': HER
'take': TAEUBG
'leave': HREF
'of': -F
'her': HER
'father.': TPAER TP-PL
'At': AT
'first': TPEURS
'he': E
'refused,': RAO*UFD KW-BG
'but': PWUT
'she': SHE
'wept': WEPT
'still': STEUL
'more': PHOR
'and': SKP
'more,': PHOR KW-BG
'and': SKP
'fell': TPEL
'at': AT
'his': HEUS
'feet,': TPAOET KW-BG
'till': T*EUL
'at': AT
'last': HRAFT
'he': E
'consented;': KEFPBT/-D STPH*FPLT
'but': PWUT
'the': -T
'moment': PHOEPLT
'she': SHE
'came': KAEUPL
'to': TO
'her': HER
'father's': TPAER AE S*/SP-S
'house': HOUS
'the': -T
'guards': TKPWARDZ
'awoke': A/WOEBG
'and': SKP
'he': E
'was': WA
'taken': TAEPB
'prisoner': PREURZ
'again.': TKPWEPB TP-PL
'Then': THEPB
'he': E
'was': WA
'brought': PWRAUT
'before': PW-F
'the': -T
'king,': KEUPBG KW-BG
'and': SKP
'the': -T
'king': KEUPBG
'said,': SAEUD KW-BG
''You': AE U
'shall': SHAL
'never': TPHEF
'have': SR
'my': PHEU
'daughter': TKAUR
