The Golden Goose

'There': KPA/THR
'was': WAS
'a': AEU
'man': PHAPB
'who': WHO
'had': H
'three': THRAOE
'sons,': SOPBS/KW-BG
'the': -T
'youngest': KWRUPBG/EFT
'of': -F
'whom': WHOPL
'was': WAS
'called': KAULD
'Dummling,[*]': TK*P/*U/PH*/PH*/HR*/-G/KW-BG/PWR-BGT/STA*R/PWR*BGT
'and': SKP
'was': WAS
'despised,': STKPAOEUDZ/KW-BG
'mocked,': PHOBG/-D/KW-BG
'and': SKP
'sneered': STPHAOER/-D
'at': AT
'on': OPB
'every': EF
'occasion.': KWAEUGS/TP-PL
'It': KPA/T
'happened': HAPD
'that': THA
'the': -T
'eldest': ELD/EFT
'wanted': WAPBTD
'to': TO
'go': TKPW
'into': TPHAO
'the': -T
'forest': TPOEFRT
'to': TO
'hew': HAO*U
'wood,': WAOD/KW-BG
'and': SKP
'before': PW-FR
'he': HE
'went': WEPBT
'his': HEUS
'mother': PHOER
'gave': TKPWAEUF
'him': HEUPL
'a': AEU
'beautiful': PWAOUFL
'sweet': SWAOET
'cake': KAEUBG
'and': SKP
'a': AEU
'bottle': PWO*LT
'of': -F
'wine': WAOEUPB
'in': TPH
'order': ORD
'that': THA
'he': HE
'might': PHAOEUT
'not': TPHOT
'suffer': SUFR
'from': TPR
'hunger': HURPBG
'or': OR
'thirst.': THEUFRT/TP-PL
'When': KPA/WHEPB
'he': HE
'entered': SPWR-D
'the': -T
'forest': TPOEFRT
'he': HE
'met': PHET
'a': AEU
'little': HREUL
'grey-haired': TKPWRA*EU/H-PB/HAEURD
'old': OLD
'man': PHAPB
'who': WHO
'bade': PWAEUD
'him': HEUPL
'good': TKPWAOD
'day,': TKAEU/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''Do': A*E/KPA*/TKO
'give': TKPWEUF
'me': PHE
'a': AEU
'piece': PAOES
'of': -F
'cake': KAEUBG
'out': OUT
'of': -F
'your': KWROUR
'pocket,': POBGT/KW-BG
'and': SKP
'let': HRET
'me': PHE
'have': SR
'a': AEU
'draught': TKRAUFT
'of': -F
'your': KWROUR
'wine;': WAOEUPB/STPH*FPLT
'I': EU
'am': APL
'so': SO
'hungry': HUPBG/REU
'and': SKP
'thirsty.'': THEURS/TEU/TP-PL/AE
'But': KPA/PWUT
'the': -T
'clever': KHREFR
