The Juniper-Tree

'Long,': KPA/HROPBG/KW-BG
'long': HROPBG
'ago,': AG/KW-BG
'some': SOPL
'two': TWO
'thousand': THOUD
'years': KWRAOERS
'or': OR
'so,': SO/KW-BG
'there': THR
'lived': HREUFD
'a': AEU
'rich': REUFP
'man': PHAPB
'with': W
'a': AEU
'good': TKPWAOD
'and': SKP
'beautiful': PWAOUFL
'wife.': WAOEUF/TP-PL
'They': KPA/THE
'loved': HROFD
'each': AOEFP
'other': OER
'dearly,': TKAERL/KW-BG
'but': PWUT
'sorrowed': SROE/-D
'much': PHUFP
'that': THA
'they': THE
'had': H
'no': TPHO
'children.': KHEURPB/TP-PL
'So': KPA/SO
'greatly': TKPWRAELT
'did': TK
'they': THE
'desire': STKAOEUR
'to': TO
'have': SR
'one,': WUPB/KW-BG
'that': THA
'the': -T
'wife': WAOEUF
'prayed': PRAEUD
'for': TPOR
'it': T
'day': TKAEU
'and': SKP
'night,': TPHAOEUT/KW-BG
'but': PWUT
'still': STEUL
'they': THE
'remained': RE/PHAEUPBD
'childless.': KHAOEULD/-LS/TP-PL
'In': KPA/TPH
'front': TPROPBT
'of': -F
'the': -T
'house': HOUS
'there': THR
'was': WAS
'a': AEU
'court,': KORT/KW-BG
'in': TPH
'which': WEU
'grew': TKPWRAOU
'a': AEU
'juniper-tree.': SKWRUPB/PER/H-PB/TRAOE/TP-PL
'One': KPA/WUPB
'winter's': WEURPBT/AES
'day': TKAEU
'the': -T
'wife': WAOEUF
'stood': STAOD
'under': TPH-PB
'the': -T
'tree': TRAOE
'to': TO
'peel': PAOEL
'some': SOPL
'apples,': APLS/KW-BG
'and': SKP
'as': AS
'she': SHE
'was': WAS
'peeling': PAOELG
'them,': THEPL/KW-BG
'she': SHE
'cut': KUT
'her': HER
'finger,': TPEURPBG/KW-BG
'and': SKP
'the': -T
'blood': PWHRAOD
'fell': TPEL
'on': OPB
'the': -T
'snow.': STPHOE/TP-PL
''Ah,'': A*E/KPA*/HA*E/KW-BG/AE
'sighed': SAOEU/-D
'the': -T
'woman': WOPL
'heavily,': HEFL/KW-BG
''if': A*E/TP
'I': EU
'had': H
'but': PWUT
'a': AEU
'child,': KHAOEULD/KW-BG
'as': AS
'red': RED
'as': AS
'blood': PWHRAOD
'and': SKP
'as': AS
'white': WHAOEUT
'as': AS
'snow,'': STPHOE/KW-BG/AE
'and': SKP
'as': AS
'she': SHE
'spoke': SPOEBG
'the': -T
'words,': WORDZ/KW-BG
'her': HER
'heart': HART
'grew': TKPWRAOU
'light': HRAOEUT
'within': W-PB
'her,': HER/KW-BG
'and': SKP
'it': T
'seemed': SAOEPLD
'to': TO
'her': HER
'that': THA
'her': HER
'wish': WEURB
'was': WAS
'granted,': TKPWRAPBTD/KW-BG
'and': SKP
'she': SHE
'returned': RURPBD
'to': TO
'the': -T
'house': HOUS
'feeling': TPAOELG
'glad': TKPWHRAD
'and': SKP
'comforted.': K-FRTD/TP-PL
'A': KPA/AEU
'month': PHO*PBT
'passed,': PAFD/KW-BG
'and': SKP
'the': -T
'snow': STPHOE
'had': H
'all': AUL
'disappeared;': TKEUS/PAOERD/STPH*FPLT
'then': THEPB
'another': TPHOER
'month': PHO*PBT
'went': WEPBT
'by,': PWEU/KW-BG
'and': SKP
'all': AUL
'the': -T
'earth': *ERT
'was': WAS
'green.': TKPWRAOEPB/TP-PL
'So': KPA/SO
'the': -T
'months': PHO*PBTS
'followed': TPOLD
'one': WUPB
'another,': TPHOER/KW-BG
'and': SKP
'first': TPEUFRT
'the': -T
'trees': TRAOES
'budded': PWUD/TK-D
'in': TPH
'the': -T
'woods,': WAODZ/KW-BG
'and': SKP
'soon': SAOPB
'the': -T
'green': TKPWRAOEPB
'branches': PWRAFRPBS
'grew': TKPWRAOU
'thickly': THEUBG/HREU
'intertwined,': EUPBT/TWAOEUPBD/KW-BG
'and': SKP
'then': THEPB
'the': -T
'blossoms': PWHROS/SOPL/-S
'began': TKPWAPB
'to': TO
'fall.': TPAUL/TP-PL
'Once': KPA/WUPBS
'again': TKPWEPB
'the': -T
'wife': WAOEUF
'stood': STAOD
'under': TPH-PB
'the': -T
'juniper-tree,': SKWRUPB/PER/H-PB/TRAOE/KW-BG
'and': SKP
'it': T
'was': WAS
'so': SO
'full': TPUL
'of': -F
'sweet': SWAOET
'scent': SKEPBT
'that': THA
'her': HER
'heart': HART
'leaped': HRAOEPD
'for': TPOR
