The King of the Golden Mountain

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'merchant': PHEFRPBT
'who': WHO
'had': H
'only': OEPBL
'one': WUPB
'child,': KHAOEULD/KW-BG
'a': AEU
'son,': SOPB/KW-BG
'that': THA
'was': WAS
'very': SRE
'young,': KWRUPBG/KW-BG
'and': SKP
'barely': PWAEURL
'able': ABL
'to': TO
'run': RUPB
'alone.': A/HROEPB/TP-PL
'He': KPA/HE
'had': H
'two': TWO
'richly': REUFP/HREU
'laden': HRA*ED/-PB
'ships': SHEUPS
'then': THEPB
'making': PHAEUG
'a': AEU
'voyage': SROEUPBLG
'upon': POPB
'the': -T
'seas,': SAES/KW-BG
'in': TPH
'which': WEU
'he': HE
'had': H
'embarked': EPL/PWARBG/-D
'all': AUL
'his': HEUS
'wealth,': W*ELT/KW-BG
'in': TPH
'the': -T
'hope': HOEP
'of': -F
'making': PHAEUG
'great': TKPWRAET
'gains,': TKPWAEUPBS/KW-BG
'when': WHEPB
'the': -T
'news': TPHUS
'came': KAEUPL
'that': THA
'both': PWO*T
'were': WR
'lost.': HRO*S/TP-PL
'Thus': KPA/THUS
'from': TPR
'being': -BG
'a': AEU
'rich': REUFP
'man': PHAPB
'he': HE
'became': PWAEUPL
'all': AUL
'at': AT
'once': WUPBS
'so': SO
'very': SRE
'poor': PAOR
'that': THA
'nothing': TPHOG
'was': WAS
'left': HREFT
'to': TO
'him': HEUPL
'but': PWUT
'one': WUPB
'small': SPHAL
'plot': PHROT
'of': -F
'land;': HRAPBD/STPH*FPLT
'and': SKP
'there': THR
'he': HE
'often': OFPB
'went': WEPBT
'in': TPH
'an': APB
'evening': AOEPBG
'to': TO
'take': TAEUBG
'his': HEUS
'walk,': WAUBG/KW-BG
'and': SKP
'ease': AOES
'his': HEUS
'mind': PHAOEUPBD
'of': -F
'a': AEU
'little': HREUL
'of': -F
'his': HEUS
'trouble.': TRUBL/TP-PL
'One': KPA/WUPB
'day,': TKAEU/KW-BG
'as': AS
'he': HE
'was': WAS
'roaming': ROEPLG
'along': HRAOPBG
'in': TPH
'a': AEU
'brown': PWROUPB
'study,': STOEU/KW-BG
'thinking': THEUG
'with': W
'no': TPHO
'great': TKPWRAET
'comfort': K-FRT
'on': OPB
'what': WHA
'he': HE
'had': H
'been': PW-PB
'and': SKP
'what': WHA
'he': HE
'now': TPHOU
'was,': WAS/KW-BG
'and': SKP
'was': WAS
'like': HRAOEUBG
'to': TO
'be,': -B/KW-BG
'all': AUL
'on': OPB
'a': AEU
'sudden': SUD
'there': THR
'stood': STAOD
'before': PW-FR
'him': HEUPL
'a': AEU
'little,': HREUL/KW-BG
'rough-looking,': RUF/SKWRAOG/KW-BG
'black': PWHRABG
'dwarf.': TKWAFR/TP-PL
''Prithee,': A*E/P*P/R*/SKWREU/*T/KWRAE/KW-BG
'friend,': TPREPBD/KW-BG
'why': KWR
'so': SO
'sorrowful?'': SOR/ROEFL/H-F/AE
'said': SED
'he': HE
'to': TO
'the': -T
'merchant;': PHEFRPBT/STPH*FPLT
''what': A*E/WHA
'is': S
'it': T
'you': U
'take': TAEUBG
'so': SO
'deeply': TKAO*EPL
'to': TO
'heart?'': HART/H-F/AE
''If': A*E/KPA*/TP
'you': U
'would': WO
'do': TKO
'me': PHE
'any': TPHEU
'good': TKPWAOD
'I': EU
'would': WO
'willingly': HR-G/HREU
'tell': TEL
'you,'': U/KW-BG/AE
'said': SED
'the': -T
'merchant.': PHEFRPBT/TP-PL
''Who': A*E/KPA*/WHO
'knows': TPHOEZ
'but': PWUT
'I': EU
'may?'': PHAEU/H-F/AE
'said': SED
'the': -T
'little': HREUL
'man:': PHAPB/STPH-FPLT
''tell': A*E/TEL
'me': PHE
'what': WHA
'ails': AEUL/-S
'you,': U/KW-BG
'and': SKP
'perhaps': PRAPS
'you': U
'will': HR
'find': TPAOEUPBD
'I': EU
'may': PHAEU
'be': -B
'of': -F
'some': SOPL
'use.'': AOUS/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'merchant': PHEFRPBT
'told': TOLD
'him': HEUPL
'how': HOU
'all': AUL
'his': HEUS
'wealth': W*ELT
'was': WAS
'gone': TKPWOPB
