The Little Peasant

'There': KPA/THR
'was': WAS
'a': AEU
'certain': SERPB
'village': SREULG
'wherein': WR-PB
'no': TPHO
'one': WUPB
'lived': HREUFD
'but': PWUT
'really': R-L
'rich': REUFP
'peasants,': PEFPBT/-S/KW-BG
'and': SKP
'just': SKWRUFT
'one': WUPB
'poor': PAOR
'one,': WUPB/KW-BG
'whom': WHOPL
'they': THE
'called': KAULD
'the': -T
'little': HREUL
'peasant.': PEFPBT/TP-PL
'He': KPA/HE
'had': H
'not': TPHOT
'even': AOEPB
'so': SO
'much': PHUFP
'as': AS
'a': AEU
'cow,': KOU/KW-BG
'and': SKP
'still': STEUL
'less': HRES
'money': PHUPB
'to': TO
'buy': PWAOEU
'one,': WUPB/KW-BG
'and': SKP
'yet': KWRET
'he': HE
'and': SKP
'his': HEUS
'wife': WAOEUF
'did': TK
'so': SO
'wish': WEURB
'to': TO
'have': SR
'one.': WUPB/TP-PL
'One': KPA/WUPB
'day': TKAEU
'he': HE
'said': SED
'to': TO
'her:': HER/STPH-FPLT
''Listen,': A*E/KPA*/HREUFPB/KW-BG
'I': EU
'have': SR
'a': AEU
'good': TKPWAOD
'idea,': KWR-D/KW-BG
'there': THR
'is': S
'our': OUR
'gossip': TKPWOFP
'the': -T
'carpenter,': KARP/TER/KW-BG
'he': HE
'shall': SHAL
'make': PHAEUBG
'us': US
'a': AEU
'wooden': WAOD/EPB
'calf,': KAF/KW-BG
'and': SKP
'paint': PAEUPBT
'it': T
'brown,': PWROUPB/KW-BG
'so': SO
'that': THA
'it': T
'looks': HRAOBGS
'like': HRAOEUBG
'any': TPHEU
'other,': OER/KW-BG
'and': SKP
'in': TPH
'time': TAOEUPL
'it': T
'will': HR
'certainly': SERPBL
'get': TKPWET
'big': PWEUG
'and': SKP
'be': -B
'a': AEU
'cow.'': KOU/TP-PL/AE
'the': -T
'woman': WOPL
'also': HR-S
'liked': HRAOEUBGD
'the': -T
'idea,': KWR-D/KW-BG
'and': SKP
'their': THAEUR
'gossip': TKPWOFP
'the': -T
'carpenter': KARP/TER
'cut': KUT
'and': SKP
'planed': PHRAPB/-D
'the': -T
'calf,': KAF/KW-BG
'and': SKP
'painted': PAEUPBTD
'it': T
'as': AS
'it': T
'ought': OT
'to': TO
'be,': -B/KW-BG
'and': SKP
'made': PHAED
'it': T
