The Raven

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'queen': KWAOEPB
'who': WHO
'had': H
'a': AEU
'little': HREUL
'daughter,': TKAUR/KW-BG
'still': STEUL
'too': TAO
'young': KWRUPBG
'to': TO
'run': RUPB
'alone.': A/HROEPB/TP-PL
'One': KPA/WUPB
'day': TKAEU
'the': -T
'child': KHAOEULD
'was': WAS
'very': SRE
'troublesome,': TRUBL/SPH/KW-BG
'and': SKP
'the': -T
'mother': PHOER
'could': KO
'not': TPHOT
'quiet': KWAO*EUT
'it,': T/KW-BG
'do': TKO
'what': WHA
'she': SHE
'would.': WO/TP-PL
'She': KPA/SHE
'grew': TKPWRAOU
'impatient,': EUPL/PAEURBT/KW-BG
'and': SKP
'seeing': SAOEG
'the': -T
'ravens': RA*EUF/-PBS
'flying': TPHRAOEUG
'round': ROUPBD
'the': -T
'castle,': KAFL/KW-BG
'she': SHE
'opened': OEPD
'the': -T
'window,': WOEUPBD/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''I': A*E/EU
'wish': WEURB
'you': U
'were': WR
'a': AEU
'raven': RAFPB
'and': SKP
'would': WO
'fly': TPHRAOEU
'away,': WA*EU/KW-BG
'then': THEPB
'I': EU
'should': SHO
'have': SR
'a': AEU
'little': HREUL
'peace.'': PAES/TP-PL/AE
'Scarcely': KPA/SKAEURS/HREU
'were': WR
'the': -T
'words': WORDZ
'out': OUT
'of': -F
'her': HER
'mouth,': PHO*UT/KW-BG
'when': WHEPB
'the': -T
'child': KHAOEULD
'in': TPH
'her': HER
'arms': ARPLS
'was': WAS
'turned': TURPBD
'into': TPHAO
'a': AEU
'raven,': RAFPB/KW-BG
'and': SKP
'flew': TPHRAOU
'away': WA*EU
'from': TPR
'her': HER
'through': THRU
'the': -T
'open': OEP
'window.': WOEUPBD/TP-PL
'The': KPA/-T
'bird': PWEURD
'took': TAOBG
'its': EUTS
'flight': TPHRAOEUT
'to': TO
'a': AEU
'dark': TKARBG
'wood': WAOD
'and': SKP
'remained': RE/PHAEUPBD
'there': THR
'for': TPOR
'a': AEU
'long': HROPBG
'time,': TAOEUPL/KW-BG
'and': SKP
'meanwhile': PHAOEPB/WHAOEUL
'the': -T
'parents': PARPBTS
'could': KO
'hear': HAER
'nothing': TPHOG
'of': -F
'their': THAEUR
'child.': KHAOEULD/TP-PL
'Long': KPA/HROPBG
'after': AF
'this,': TH/KW-BG
'a': AEU
'man': PHAPB
'was': WAS
'making': PHAEUG
'his': HEUS
'way': WAEU
'through': THRU
'the': -T
'wood': WAOD
'when': WHEPB
'he': HE
'heard': HAERD
'a': AEU
'raven': RAFPB
'calling,': KAULG/KW-BG
'and': SKP
'he': HE
'followed': TPOLD
'the': -T
'sound': SOUPBD
'of': -F
'the': -T
'voice.': SROEUS/TP-PL
'As': KPA/AS
'he': HE
'drew': TKRAOU
'near,': TPHAOER/KW-BG
'the': -T
'raven': RAFPB
'said,': SED/KW-BG
''I': A*E/EU
'am': APL
'by': PWEU
'birth': PW*EURT
'a': AEU
'king's': KEUPBG/AES
'daughter,': TKAUR/KW-BG
'but': PWUT
'am': APL
'now': TPHOU
'under': TPH-PB
'the': -T
'spell': SPEL
'of': -F
'some': SOPL
'enchantment;': EPB/KHAPLT/STPH*FPLT
'you': U
'can,': K-RBGS
'however,': HOUF/KW-BG
'set': SET
'me': PHE
'free.'': TPRAOE/TP-PL/AE
''What': A*E/KPA*/WHA
'am': APL
'I': EU
'to': TO
'do?'': TKO/H-F/AE
'he': HE
'asked.': SK-D/TP-PL
'She': KPA/SHE
'replied,': RE/PHRAOEUD/KW-BG
''Go': A*E/KPA*/TKPW
'farther': TPA*RT
'into': TPHAO
'the': -T
'wood': WAOD
'until': TPH-L
'you': U
'come': KOPL
'to': TO
'a': AEU
'house,': HOUS/KW-BG
'wherein': WR-PB
'lives': HREUFS
'an': APB
'old': OLD
'woman;': WOPL/STPH*FPLT
'she': SHE
'will': HR
'offer': OFR
'you': U
'food': TPAOD
'and': SKP
'drink,': TKREU/KW-BG
'but': PWUT
'you': U
'must': PHUFT
'not': TPHOT
'take': TAEUBG
'of': -F
'either;': AOERT/STPH*FPLT
'if': TP
'you': U
'do,': TKORBGS
'you': U
'will': HR
'fall': TPAUL
'into': TPHAO
'a': AEU
'deep': TKAOEP
'sleep,': SHRAOEP/KW-BG
'and': SKP
'will': HR
'not': TPHOT
'be': -B
'able': ABL
'to': TO
'help': HEP
'me.': PHE/TP-PL
'In': KPA/TPH
'the': -T
