The Salad

'As': KPA/AS
'a': AEU
'merry': PHER/REU
'young': KWRUPBG
'huntsman': HUPBTS/PHA*PB
'was': WAS
'once': WUPBS
'going': TKPW-G
'briskly': PWREUS/KHREU
'along': HRAOPBG
'through': THRU
'a': AEU
'wood,': WAOD/KW-BG
'there': THR
'came': KAEUPL
'up': UP
'a': AEU
'little': HREUL
'old': OLD
'woman,': WOPL/KW-BG
'and': SKP
'said': SED
'to': TO
'him,': HEUPL/KW-BG
''Good': A*E/KPA*/TKPWAOD
'day,': TKAEU/KW-BG
'good': TKPWAOD
'day;': TKAEU/STPH*FPLT
'you': U
'seem': SAOEPL
'merry': PHER/REU
'enough,': TPHUF/KW-BG
'but': PWUT
'I': EU
'am': APL
'hungry': HUPBG/REU
'and': SKP
'thirsty;': THEURS/TEU/STPH*FPLT
'do': TKO
'pray': PRAEU
'give': TKPWEUF
'me': PHE
'something': S-G
'to': TO
'eat.'': AOET/TP-PL/AE
'The': KPA/-T
'huntsman': HUPBTS/PHA*PB
'took': TAOBG
'pity': PEUT/TEU
'on': OPB
'her,': HER/KW-BG
'and': SKP
'put': PUT
'his': HEUS
'hand': HAPBD
'in': TPH
'his': HEUS
'pocket': POBGT
'and': SKP
'gave': TKPWAEUF
'her': HER
'what': WHA
'he': HE
'had.': H/TP-PL
'Then': KPA/THEPB
'he': HE
'wanted': WAPBTD
'to': TO
'go': TKPW
'his': HEUS
'way;': WAEU/STPH*FPLT
'but': PWUT
'she': SHE
'took': TAOBG
'hold': HOLD
'of': -F
'him,': HEUPL/KW-BG
'and': SKP
'said,': SED/KW-BG
''Listen,': A*E/KPA*/HREUFPB/KW-BG
'my': PHEU
'friend,': TPREPBD/KW-BG
'to': TO
'what': WHA
'I': EU
'am': APL
'going': TKPW-G
'to': TO
'tell': TEL
'you;': U/STPH*FPLT
'I': EU
'will': HR
'reward': RE/WARD
'you': U
'for': TPOR
'your': KWROUR
'kindness;': KEUPBD/-PBS/STPH*FPLT
'go': TKPW
'your': KWROUR
'way,': WAEU/KW-BG
'and': SKP
'after': AF
'a': AEU
'little': HREUL
'time': TAOEUPL
'you': U
'will': HR
'come': KOPL
'to': TO
'a': AEU
'tree': TRAOE
'where': W-R
'you': U
'will': HR
'see': SAOE
'nine': TPHAOEUPB
'birds': PWEURDZ
'sitting': SEUGT
'on': OPB
'a': AEU
'cloak.': KHROEBG/TP-PL
'Shoot': KPA/SHAOT
'into': TPHAO
'the': -T
'midst': PHEUDZ
'of': -F
'them,': THEPL/KW-BG
'and': SKP
'one': WUPB
'will': HR
'fall': TPAUL
'down': TKOUPB
'dead:': TKED/STPH-FPLT
'the': -T
'cloak': KHROEBG
'will': HR
'fall': TPAUL
'too;': TAO/STPH*FPLT
'take': TAEUBG
'it,': T/KW-BG
'it': T
'is': S
'a': AEU
'wishing-cloak,': WEURBG/H-PB/KHROEBG/KW-BG
'and': SKP
'when': WHEPB
'you': U
'wear': WAER
'it': T
'you': U
'will': HR
'find': TPAOEUPBD
'yourself': KWRO*URS
'at': AT
'any': TPHEU
'place': PHRAEUS
'where': W-R
'you': U
'may': PHAEU
'wish': WEURB
'to': TO
'be.': -B/TP-PL
'Cut': KPA/KUT
'open': OEP
'the': -T
'dead': TKED
'bird,': PWEURD/KW-BG
'take': TAEUBG
'out': OUT
'its': EUTS
'heart': HART
'and': SKP
'keep': KAOEP
'it,': T/KW-BG
'and': SKP
'you': U
'will': HR
'find': TPAOEUPBD
'a': AEU
'piece': PAOES
'of': -F
'gold': TKPWOELD
'under': TPH-PB
'your': KWROUR
'pillow': PEUL/OE
'every': EF
'morning': PHORPBG
'when': WHEPB
'you': U
'rise.': RAOEUZ/TP-PL
'It': KPA/T
'is': S
'the': -T
'bird's': PWEURD/AES
'heart': HART
'that': THA
'will': HR
'bring': PWREU
'you': U
'this': TH
'good': TKPWAOD
'luck.'': HRUBG/TP-PL/AE
'The': KPA/-T
'huntsman': HUPBTS/PHA*PB
'thanked': THAPBGD
'her,': HER/KW-BG
'and': SKP
'thought': THAUT
'to': TO
'himself,': HEUPLS/KW-BG
''If': A*E/KPA*/TP
'all': AUL
'this': TH
'does': TKOS
'happen,': HAP/KW-BG
'it': T
'will': HR
'be': -B
'a': AEU
'fine': TPAOEUPB
'thing': THEUPBG
'for': TPOR
'me.'': PHE/TP-PL/AE
'When': KPA/WHEPB
'he': HE
'had': H
'gone': TKPWOPB
'a': AEU
'hundred': HUPBD
'steps': STEPS
'or': OR
'so,': SO/KW-BG
'he': HE
'heard': HAERD
'a': AEU
'screaming': SKRAOEPLG
'and': SKP
'chirping': KHEURP/-G
'in': TPH
'the': -T
'branches': PWRAFRPBS
'over': OEFR
'him,': HEUPL/KW-BG
'and': SKP
'looked': HRAOBGD
'up': UP
'and': SKP
'saw': SAU
'a': AEU
'flock': TPHROBG
'of': -F
'birds': PWEURDZ
'pulling': PULG
'a': AEU
'cloak': KHROEBG
'with': W
'their': THAEUR
'bills': PWEULS
'and': SKP
'feet;': TPAOET/STPH*FPLT
'screaming,': SKRAOEPLG/KW-BG
'fighting,': TPAOEUGT/KW-BG
'and': SKP
'tugging': TUG/-G
'at': AT
'each': AOEFP
'other': OER
'as': AS
'if': TP
'each': AOEFP
'wished': WEURBD
'to': TO
'have': SR
'it': T
'himself.': HEUPLS/TP-PL
''Well,'': A*E/KPA*/WEL/KW-BG/AE
'said': SED
'the': -T
'huntsman,': HUPBTS/PHA*PB/KW-BG
''this': A*E/TH
'is': S
'wonderful;': WUFL/STPH*FPLT
'this': TH
'happens': HAPS
'just': SKWRUFT
'as': AS
'the': -T
'old': OLD
'woman': WOPL
'said';': SED/AE/STPH*FPLT
'then': THEPB
'he': HE
'shot': SHOT
'into': TPHAO
'the': -T
'midst': PHEUDZ
'of': -F
'them': THEPL
'so': SO
'that': THA
'their': THAEUR
'feathers': TP*ET/ERS
'flew': TPHRAOU
'all': AUL
'about.': PW/TP-PL
'Off': KPA/OF
'went': WEPBT
'the': -T
'flock': TPHROBG
'chattering': KHAERGT
'away;': WA*EU/STPH*FPLT
'but': PWUT
'one': WUPB
'fell': TPEL
'down': TKOUPB
'dead,': TKED/KW-BG
'and': SKP
'the': -T
'cloak': KHROEBG
'with': W
'it.': T/TP-PL
'Then': KPA/THEPB
'the': -T
'huntsman': HUPBTS/PHA*PB
'did': TK
'as': AS
'the': -T
'old': OLD
'woman': WOPL
'told': TOLD
'him,': HEUPL/KW-BG
'cut': KUT
'open': OEP
'the': -T
'bird,': PWEURD/KW-BG
'took': TAOBG
'out': OUT
'the': -T
'heart,': HART/KW-BG
'and': SKP
'carried': KAERD
'the': -T
'cloak': KHROEBG
'home': HOEPL
'with': W
'him.': HEUPL/TP-PL
'The': KPA/-T
'next': TPHEGT
'morning': PHORPBG
'when': WHEPB
'he': HE
'awoke': A/WOEBG
'he': HE
'lifted': HREUFTD
'up': UP
'his': HEUS
'pillow,': PEUL/OE/KW-BG
'and': SKP
'there': THR
'lay': HRAEU
'the': -T
'piece': PAOES
'of': -F
'gold': TKPWOELD
'glittering': TKPWHREUT/ERG
'underneath;': UPBD/TPHAO*ET/STPH*FPLT
'the': -T
'same': SAEUPL
'happened': HAPD
'next': TPHEGT
'day,': TKAEU/KW-BG
'and': SKP
'indeed': TPHAOEPBD
'every': EF
'day': TKAEU
'when': WHEPB
'he': HE
'arose.': A/ROES/TP-PL
'He': KPA/HE
'heaped': HAOEPD
'up': UP
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'of': -F
'gold,': TKPWOELD/KW-BG
'and': SKP
'at': AT
'last': HRAFT
'thought': THAUT
'to': TO
'himself,': HEUPLS/KW-BG
''Of': A*E/KPA*/-F
'what': WHA
'use': AOUS
'is': S
'this': TH
'gold': TKPWOELD
'to': TO
'me': PHE
'whilst': WHAOEULS
'I': EU
'am': APL
'at': AT
'home?': HOEPL/H-F
'I': EU
'will': HR
'go': TKPW
'out': OUT
'into': TPHAO
'the': -T
'world': WORLD
'and': SKP
'look': HRAOBG
'about': PW
'me.'': PHE/TP-PL/AE
'Then': KPA/THEPB
'he': HE
'took': TAOBG
'leave': HREF
'of': -F
'his': HEUS
'friends,': TPREPBDZ/KW-BG
'and': SKP
'hung': HUPBG
'his': HEUS
'bag': PWAG
'and': SKP
'bow': PWOE
'about': PW
'his': HEUS
'neck,': TPHEBG/KW-BG
'and': SKP
'went': WEPBT
'his': HEUS
'way.': WAEU/TP-PL
'It': KPA/T
'so': SO
'happened': HAPD
'that': THA
'his': HEUS
'road': RAOD
'one': WUPB
'day': TKAEU
'led': HRED
'through': THRU
'a': AEU
'thick': THEUBG
'wood,': WAOD/KW-BG
'at': AT
'the': -T
'end': EPBD
'of': -F
'which': WEU
'was': WAS
'a': AEU
'large': HRARPBLG
'castle': KAFL
'in': TPH
'a': AEU
'green': TKPWRAOEPB
'meadow,': PHED/OE/KW-BG
'and': SKP
'at': AT
'one': WUPB
'of': -F
'the': -T
'windows': WOEUPBDZ
'stood': STAOD
'an': APB
'old': OLD
'woman': WOPL
'with': W
'a': AEU
'very': SRE
'beautiful': PWAOUFL
'young': KWRUPBG
'lady': HRA*ED
'by': PWEU
'her': HER
'side': SAOEUD
'looking': HRAOG
'about': PW
'them.': THEPL/TP-PL
'Now': KPA/TPHOU
'the': -T
'old': OLD
'woman': WOPL
'was': WAS
'a': AEU
'witch,': WEUFP/KW-BG
'and': SKP
'said': SED
'to': TO
'the': -T
'young': KWRUPBG
'lady,': HRA*ED/KW-BG
''There': A*E/KPA*/THR
'is': S
'a': AEU
'young': KWRUPBG
'man': PHAPB
'coming': KO*G
'out': OUT
'of': -F
'the': -T
'wood': WAOD
'who': WHO
'carries': KAERS
'a': AEU
'wonderful': WUFL
'prize;': PRAOEUZ/STPH*FPLT
'we': WE
'must': PHUFT
'get': TKPWET
'it': T
'away': WA*EU
'from': TPR
'him,': HEUPL/KW-BG
'my': PHEU
'dear': TKAER
'child,': KHAOEULD/KW-BG
'for': TPOR
'it': T
'is': S
'more': PHOR
'fit': TPEUT
'for': TPOR
'us': US
'than': THAPB
'for': TPOR
'him.': HEUPL/TP-PL
'He': KPA/HE
'has': HAS
'a': AEU
'bird's': PWEURD/AES
'heart': HART
'that': THA
'brings': PWREUS
'a': AEU
'piece': PAOES
'of': -F
'gold': TKPWOELD
'under': TPH-PB
'his': HEUS
'pillow': PEUL/OE
'every': EF
'morning.'': PHORPBG/TP-PL/AE
'Meantime': KPA/PHAOEPB/TAO*EUPL
'the': -T
'huntsman': HUPBTS/PHA*PB
'came': KAEUPL
'nearer': TPHAOER/*ER
'and': SKP
'looked': HRAOBGD
'at': AT
'the': -T
'lady,': HRA*ED/KW-BG
'and': SKP
'said': SED
'to': TO
'himself,': HEUPLS/KW-BG
''I': A*E/EU
'have': SR
'been': PW-PB
'travelling': TRAFL/HREUPBG
'so': SO
'long': HROPBG
'that': THA
'I': EU
'should': SHO
'like': HRAOEUBG
'to': TO
'go': TKPW
'into': TPHAO
'this': TH
'castle': KAFL
'and': SKP
'rest': REFT
'myself,': PHAO*EUS/KW-BG
'for': TPOR
'I': EU
'have': SR
'money': PHUPB
'enough': TPHUF
'to': TO
'pay': PAEU
'for': TPOR
'anything': TPHEUG
'I': EU
'want';': WAPBT/AE/STPH*FPLT
'but': PWUT
'the': -T
'real': RAEL
'reason': R-PB
'was,': WAS/KW-BG
'that': THA
'he': HE
'wanted': WAPBTD
'to': TO
'see': SAOE
'more': PHOR
'of': -F
'the': -T
