The Seven Ravens

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'man': PHAPB
'who': WHO
'had': H
'seven': SEFPB
'sons,': SOPBS/KW-BG
'and': SKP
'last': HRAFT
'of': -F
'all': AUL
'one': WUPB
'daughter.': TKAUR/TP-PL
'Although': KPA/HR*T
'the': -T
'little': HREUL
'girl': TKPWEURL
'was': WAS
'very': SRE
'pretty,': PREUT/KW-BG
'she': SHE
'was': WAS
'so': SO
'weak': WAEBG
'and': SKP
'small': SPHAL
'that': THA
'they': THE
'thought': THAUT
'she': SHE
'could': KO
'not': TPHOT
'live;': HREUF/STPH*FPLT
'but': PWUT
'they': THE
'said': SED
'she': SHE
'should': SHO
'at': AT
'once': WUPBS
'be': -B
'christened.': KREUS/-PBD/TP-PL
'So': KPA/SO
'the': -T
'father': TPAER
'sent': SEPBT
'one': WUPB
'of': -F
'his': HEUS
'sons': SOPBS
'in': TPH
'haste': HAEUFT
'to': TO
'the': -T
'spring': SPREUPBG
'to': TO
'get': TKPWET
'some': SOPL
'water,': WAURBGS
'but': PWUT
'the': -T
'other': OER
'six': SEUBGS
'ran': RAPB
'with': W
'him.': HEUPL/TP-PL
'Each': KPA/AOEFP
'wanted': WAPBTD
'to': TO
'be': -B
'first': TPEUFRT
'at': AT
'drawing': TKRAUG
'the': -T
'water,': WAURBGS
'and': SKP
'so': SO
'they': THE
'were': WR
'in': TPH
'such': SUFP
'a': AEU
'hurry': HUR/REU
'that': THA
'all': AUL
'let': HRET
'their': THAEUR
'pitchers': PEUFP/ERS
'fall': TPAUL
'into': TPHAO
'the': -T
'well,': WEL/KW-BG
'and': SKP
'they': THE
'stood': STAOD
'very': SRE
'foolishly': TPAOL/EURB/HREU
'looking': HRAOG
'at': AT
'one': WUPB
'another,': TPHOER/KW-BG
'and': SKP
'did': TK
'not': TPHOT
'know': TPHOE
'what': WHA
'to': TO
'do,': TKORBGS
'for': TPOR
'none': TPHOPB
'dared': TKAEURD
'go': TKPW
'home.': HOEPL/TP-PL
'In': KPA/TPH
'the': -T
'meantime': PHAOEPB/TAO*EUPL
'the': -T
'father': TPAER
'was': WAS
'uneasy,': UPB/EZ/KW-BG
'and': SKP
'could': KO
'not': TPHOT
'tell': TEL
'what': WHA
'made': PHAED
'the': -T
'young': KWRUPBG
'men': PHEPB
'stay': STAEU
'so': SO
'long.': HROPBG/TP-PL
''Surely,'': A*E/KPA*/SHURL/KW-BG/AE
'said': SED
'he,': HE/KW-BG
''the': A*E/-T
'whole': WHOEL
'seven': SEFPB
'must': PHUFT
'have': SR
'forgotten': TPAURGTD
'themselves': TH*EPLS
'over': OEFR
'some': SOPL
'game': TKPWAEUPL
'of': -F
'play';': PHRAEU/AE/STPH*FPLT
'and': SKP
'when': WHEPB
'he': HE
'had': H
'waited': WAEUTD
'still': STEUL
'longer': HRORPBG
'and': SKP
'they': THE
'yet': KWRET
'did': TK
'not': TPHOT
'come,': KOPL/KW-BG
'he': HE
'flew': TPHRAOU
'into': TPHAO
'a': AEU
'rage': RAEUPBLG
'and': SKP
'wished': WEURBD
'them': THEPL
'all': AUL
'turned': TURPBD
'into': TPHAO
'ravens.': RA*EUF/-PBS/TP-PL
'Scarcely': KPA/SKAEURS/HREU
'had': H
'he': HE
'spoken': SPOEPB
'these': THEZ
'words': WORDZ
'when': WHEPB
'he': HE
'heard': HAERD
'a': AEU
'croaking': KROEBG/-G
'over': OEFR
'his': HEUS
'head,': HED/KW-BG
'and': SKP
'looked': HRAOBGD
'up': UP
'and': SKP
'saw': SAU
'seven': SEFPB
'ravens': RA*EUF/-PBS
'as': AS
'black': PWHRABG
'as': AS
'coal': KOEL
'flying': TPHRAOEUG
'round': ROUPBD
'and': SKP
'round.': ROUPBD/TP-PL
'Sorry': KPA/SOER
'as': AS
'he': HE
'was': WAS
'to': TO
'see': SAOE
'his': HEUS
'wish': WEURB
'so': SO
'fulfilled,': TPUL/TPEULD/KW-BG
'he': HE
'did': TK
'not': TPHOT
'know': TPHOE
'how': HOU
'what': WHA
'was': WAS
'done': TKOPB
'could': KO
'be': -B
'undone,': UPB/TKOPB/KW-BG
'and': SKP
'comforted': K-FRTD
'himself': HEUPLS
