The Story of the Youth Who Went Forth to Learn What Fear Was

'A': KPA/AEU
'certain': SERPB
'father': TPAER
'had': H
'two': TWO
'sons,': SOPBS/KW-BG
'the': -T
'elder': ELD/ER
'of': -F
'who': WHO
'was': WAS
'smart': SPHART
'and': SKP
'sensible,': SEPBS/-BL/KW-BG
'and': SKP
'could': KO
'do': TKO
'everything,': EFRG/KW-BG
'but': PWUT
'the': -T
'younger': KWRURPBG
'was': WAS
'stupid': STAOUPD
'and': SKP
'could': KO
'neither': TPHAOERT
'learn': HRERPB
'nor': TPH-R
'understand': URPBD
'anything,': TPHEUG/KW-BG
'and': SKP
'when': WHEPB
'people': PAOEPL
'saw': SAU
'him': HEUPL
'they': THE
'said:': SED/STPH-FPLT
''There's': A*E/KPA*/THR/AES
'a': AEU
'fellow': TP*EL
'who': WHO
'will': HR
'give': TKPWEUF
'his': HEUS
'father': TPAER
'some': SOPL
'trouble!'': TRUBL/SKHRAPL/AE
'When': KPA/WHEPB
'anything': TPHEUG
'had': H
'to': TO
'be': -B
'done,': TKOPB/KW-BG
'it': T
'was': WAS
'always': AULS
'the': -T
'elder': ELD/ER
'who': WHO
'was': WAS
'forced': TPOFRD
'to': TO
'do': TKO
'it;': T/STPH*FPLT
'but': PWUT
'if': TP
'his': HEUS
'father': TPAER
'bade': PWAEUD
'him': HEUPL
'fetch': TPEFP
'anything': TPHEUG
'when': WHEPB
'it': T
'was': WAS
'late,': HRAEUT/KW-BG
'or': OR
'in': TPH
'the': -T
'night-time,': TPHAOEUT/TA*EPL/KW-BG
'and': SKP
'the': -T
'way': WAEU
'led': HRED
'through': THRU
'the': -T
'churchyard,': KH*URPBLG/KWRARD/KW-BG
'or': OR
'any': TPHEU
'other': OER
'dismal': TKEUS/PHAL
'place,': PHRAEUS/KW-BG
'he': HE
'answered:': AEPBS/-D/STPH-FPLT
''Oh,': A*E/KPA*/O*ERBGS/KW-BG
'no': TPHO
'father,': TPAER/KW-BG
'I'll': AOEUL
'not': TPHOT
'go': TKPW
'there,': THR-RBGS
'it': T
'makes': PHAEUBGS
'me': PHE
'shudder!'': SHUD/ER/SKHRAPL/AE
'for': TPOR
'he': HE
'was': WAS
'afraid.': A/TPRAEUD/TP-PL
'Or': KPA/OR
'when': WHEPB
'stories': STOERS
'were': WR
'told': TOLD
'by': PWEU
'the': -T
'fire': TPAOEUR
'at': AT
'night': TPHAOEUT
'which': WEU
'made': PHAED
'the': -T
'flesh': TPHRERB
'creep,': KRAOEP/KW-BG
'the': -T
'listeners': HR-PB/ERS
'sometimes': STAOEUPLS
'said:': SED/STPH-FPLT
''Oh,': A*E/KPA*/O*ERBGS/KW-BG
'it': T
'makes': PHAEUBGS
'us': US
'shudder!'': SHUD/ER/SKHRAPL/AE
'The': KPA/-T
'younger': KWRURPBG
'sat': SAT
'in': TPH
'a': AEU
'corner': KRORPB
'and': SKP
'listened': HREUFPBD
'with': W
'the': -T
'rest': REFT
'of': -F
'them,': THEPL/KW-BG
'and': SKP
'could': KO
'not': TPHOT
'imagine': PHAPBLG
'what': WHA
'they': THE
'could': KO
'mean.': PHAOEPB/TP-PL
''They': A*E/KPA*/THE
'are': R
'always': AULS
'saying:': SAEUG/STPH-FPLT
'"It': KW-GS/KPA*/T
'makes': PHAEUBGS
'me': PHE
'shudder,': SHUD/ER/KW-BG
'it': T
'makes': PHAEUBGS
'me': PHE
'shudder!"': SHUD/ER/SKHRAPL/KR-GS
'It': KPA/T
'does': TKOS
'not': TPHOT
'make': PHAEUBG
'me': PHE
'shudder,'': SHUD/ER/KW-BG/AE
