The Three Languages

'An': KPA/APB
'aged': AEUGD
'count': KOUPBT
'once': WUPBS
'lived': HREUFD
'in': TPH
'Switzerland,': SWEUZ/HRAPBD/KW-BG
'who': WHO
'had': H
'an': APB
'only': OEPBL
'son,': SOPB/KW-BG
'but': PWUT
'he': HE
'was': WAS
'stupid,': STAOUPD/KW-BG
'and': SKP
'could': KO
'learn': HRERPB
'nothing.': TPHOG/TP-PL
'Then': KPA/THEPB
'said': SED
'the': -T
'father:': TPAER/STPH-FPLT
''Hark': A*E/KPA*/HARBG
'you,': U/KW-BG
'my': PHEU
'son,': SOPB/KW-BG
'try': TREU
'as': AS
'I': EU
'will': HR
'I': EU
'can': K
'get': TKPWET
'nothing': TPHOG
'into': TPHAO
'your': KWROUR
'head.': HED/TP-PL
'You': KPA/U
'must': PHUFT
'go': TKPW
'from': TPR
'hence,': HEPBS/KW-BG
'I': EU
'will': HR
'give': TKPWEUF
'you': U
'into': TPHAO
'the': -T
'care': KAEUR
'of': -F
'a': AEU
'celebrated': SEL/PWRAEUT/-D
'master,': PHAFRT/KW-BG
'who': WHO
'shall': SHAL
'see': SAOE
'what': WHA
'he': HE
'can': K
'do': TKO
'with': W
'you.'': U/TP-PL/AE
'The': KPA/-T
'youth': KWRAO*UT
'was': WAS
'sent': SEPBT
'into': TPHAO
'a': AEU
'strange': STRAEUPBG
'town,': TOUPB/KW-BG
'and': SKP
'remained': RE/PHAEUPBD
'a': AEU
'whole': WHOEL
'year': KWRAOER
'with': W
'the': -T
'master.': PHAFRT/TP-PL
'At': KPA/AT
'the': -T
'end': EPBD
'of': -F
'this': TH
'time,': TAOEUPL/KW-BG
'he': HE
'came': KAEUPL
'home': HOEPL
'again,': STKPWERPBGS
'and': SKP
'his': HEUS
'father': TPAER
'asked:': SK-D/STPH-FPLT
''Now,': A*E/KPA*/TPHOU/KW-BG
'my': PHEU
'son,': SOPB/KW-BG
'what': WHA
'have': SR
'you': U
'learnt?'': HRERPBT/H-F/AE
''Father,': A*E/KPA*/TPAER/KW-BG
'I': EU
'have': SR
'learnt': HRERPBT
'what': WHA
'the': -T
'dogs': TKOGS
'say': SAEU
'when': WHEPB
'they': THE
'bark.'': PWARBG/TP-PL/AE
''Lord': A*E/HRO*RD
'have': SR
'mercy': PHER/SEU
'on': OPB
'us!'': US/SKHRAPL/AE
'cried': KRAOEUD
'the': -T
'father;': TPAER/STPH*FPLT
''is': A*E/S
'that': THA
'all': AUL
'you': U
'have': SR
'learnt?': HRERPBT/H-F
'I': EU
'will': HR
'send': SEPBD
'you': U
'into': TPHAO
'another': TPHOER
'town,': TOUPB/KW-BG
'to': TO
'another': TPHOER
'master.'': PHAFRT/TP-PL/AE
'The': KPA/-T
'youth': KWRAO*UT
'was': WAS
'taken': TAEPB
'thither,': TH*EURT/KW-BG
'and': SKP
'stayed': STAEUD
'a': AEU
'year': KWRAOER
'with': W
'this': TH
'master': PHAFRT
'likewise.': HRAOEUBG/WAOEUS/TP-PL
'When': KPA/WHEPB
'he': HE
'came': KAEUPL
'back': PWABG
'the': -T
'father': TPAER
'again': TKPWEPB
'asked:': SK-D/STPH-FPLT
''My': A*E/KPA*/PHEU
'son,': SOPB/KW-BG
'what': WHA
'have': SR
'you': U
'learnt?'': HRERPBT/H-F/AE
'He': KPA/HE
'answered:': AEPBS/-D/STPH-FPLT
''Father,': A*E/KPA*/TPAER/KW-BG
'I': EU
'have': SR
'learnt': HRERPBT
'what': WHA
'the': -T
'birds': PWEURDZ
'say.'': SAEU/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'father': TPAER
'fell': TPEL
'into': TPHAO
'a': AEU
'rage': RAEUPBLG
'and': SKP
'said:': SED/STPH-FPLT
''Oh,': A*E/KPA*/O*ERBGS/KW-BG
'you': U
'lost': HRO*S
'man,': PHAPB/KW-BG
'you': U
'have': SR
'spent': SPEPBT
'the': -T
'precious': PRERBS
'time': TAOEUPL
'and': SKP
'learnt': HRERPBT
'nothing;': TPHOG/STPH*FPLT
'are': R
'you': U
'not': TPHOT
'ashamed': A/SHAEUPLD
'to': TO
'appear': A/PAOER
'before': PW-FR
'my': PHEU
'eyes?': AO*EUS/H-F
'I': EU
'will': HR
'send': SEPBD
'you': U
'to': TO
'a': AEU
'third': THEURD
'master,': PHAFRT/KW-BG
'but': PWUT
'if': TP
'you': U
'learn': HRERPB
'nothing': TPHOG
'this': TH
'time': TAOEUPL
'also,': HR-S/KW-BG
'I': EU
'will': HR
'no': TPHO
'longer': HRORPBG
'be': -B
'your': KWROUR
'father.'': TPAER/TP-PL/AE
'The': KPA/-T
'youth': KWRAO*UT
'remained': RE/PHAEUPBD
'a': AEU
'whole': WHOEL
'year': KWRAOER
'with': W
'the': -T
'third': THEURD
'master': PHAFRT
'also,': HR-S/KW-BG
'and': SKP
'when': WHEPB
'he': HE
'came': KAEUPL
'home': HOEPL
'again,': STKPWERPBGS
'and': SKP
'his': HEUS
'father': TPAER
'inquired:': EUPB/KWAOEURD/STPH-FPLT
''My': A*E/KPA*/PHEU
'son,': SOPB/KW-BG
'what': WHA
'have': SR
'you': U
'learnt?'': HRERPBT/H-F/AE
'he': HE
'answered:': AEPBS/-D/STPH-FPLT
''Dear': A*E/KPA*/TKAER
'father,': TPAER/KW-BG
'I': EU
'have': SR
'this': TH
'year': KWRAOER
'learnt': HRERPBT
'what': WHA
'the': -T
'frogs': TPROGS
'croak.'': KROEBG/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'father': TPAER
'fell': TPEL
'into': TPHAO
'the': -T
'most': PHOFT
'furious': TPAOURS
'anger,': ARPBG/KW-BG
'sprang': SPRAPBG
'up,': UP/KW-BG
'called': KAULD
'his': HEUS
'people': PAOEPL
'thither,': TH*EURT/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''This': A*E/KPA*/TH
'man': PHAPB
'is': S
'no': TPHO
'longer': HRORPBG
'my': PHEU
'son,': SOPB/KW-BG
'I': EU
'drive': TKRAOEUF
'him': HEUPL
'forth,': TPO*RT/KW-BG
'and': SKP
'command': KPHAPBD
'you': U
'to': TO
'take': TAEUBG
'him': HEUPL
'out': OUT
'into': TPHAO
'the': -T
'forest,': TPOEFRT/KW-BG
'and': SKP
'kill': KEUL
'him.'': HEUPL/TP-PL/AE
'They': KPA/THE
'took': TAOBG
'him': HEUPL
'forth,': TPO*RT/KW-BG
'but': PWUT
'when': WHEPB
'they': THE
'should': SHO
'have': SR
'killed': KEULD
'him,': HEUPL/KW-BG
'they': THE
'could': KO
'not': TPHOT
'do': TKO
'it': T
'for': TPOR
'pity,': PEUT/TEU/KW-BG
'and': SKP
'let': HRET
'him': HEUPL
'go,': TKPW-RBGS
'and': SKP
'they': THE
'cut': KUT
'the': -T
'eyes': AO*EUS
'and': SKP
'tongue': TUPBG
'out': OUT
'of': -F
'a': AEU
'deer': TKAOER
'that': THA
'they': THE
'might': PHAOEUT
'carry': KAER
'them': THEPL
'to': TO
'the': -T
'old': OLD
'man': PHAPB
'as': AS
'a': AEU
'token.': TO*EPB/TP-PL
'The': KPA/-T
'youth': KWRAO*UT
'wandered': WAPBD/-D
'on,': OPB/KW-BG
'and': SKP
'after': AF
'some': SOPL
'time': TAOEUPL
'came': KAEUPL
'to': TO
'a': AEU
'fortress': TPORT/RES
'where': W-R
'he': HE
'begged': PWEGD
'for': TPOR
'a': AEU
'night's': TPHAOEUT/AES
'lodging.': HROPBLG/-G/TP-PL
''Yes,'': A*E/KPA*/KWRE/KW-BG/AE
'said': SED
'the': -T
'lord': HRORD
'of': -F
'the': -T
'castle,': KAFL/KW-BG
''if': A*E/TP
'you': U
'will': HR
'pass': PAS
'the': -T
'night': TPHAOEUT
'down': TKOUPB
'there': THR
'in': TPH
'the': -T
'old': OLD
'tower,': TOUR/KW-BG
'go': TKPW
'thither;': TH*EURT/STPH*FPLT
'but': PWUT
'I': EU
'warn': WARPB
'you,': U/KW-BG
'it': T
'is': S
'at': AT
