The Travelling Musicians

'An': KPA/APB
'honest': HOPBS
'farmer': TPAR/PHER
'had': H
'once': WUPBS
'an': APB
'ass': A*S
'that': THA
'had': H
'been': PW-PB
'a': AEU
'faithful': TPA*EUT/-FL
'servant': SEFRB/APBT
'to': TO
'him': HEUPL
'a': AEU
'great': TKPWRAET
'many': PHAEPB
'years,': KWRAOERS/KW-BG
'but': PWUT
'was': WAS
'now': TPHOU
'growing': TKPWROEG
'old': OLD
'and': SKP
'every': EF
'day': TKAEU
'more': PHOR
'and': SKP
'more': PHOR
'unfit': UPB/TPEUT
'for': TPOR
'work.': WORBG/TP-PL
'His': KPA/HEUS
'master': PHAFRT
'therefore': TH-FR
'was': WAS
'tired': TAOEURD
'of': -F
'keeping': KAOEPG
'him': HEUPL
'and': SKP
'began': TKPWAPB
'to': TO
'think': THEU
'of': -F
'putting': PUGT
'an': APB
'end': EPBD
'to': TO
'him;': HEUPL/STPH*FPLT
'but': PWUT
'the': -T
'ass,': A*S/KW-BG
'who': WHO
'saw': SAU
'that': THA
'some': SOPL
'mischief': PHEUS/KHEF
'was': WAS
'in': TPH
'the': -T
'wind,': WEUPBD/KW-BG
'took': TAOBG
'himself': HEUPLS
'slyly': SHRAOEU/HREU
'off,': OF/KW-BG
'and': SKP
'began': TKPWAPB
'his': HEUS
'journey': SKWRURPB
'towards': TORDZ
'the': -T
'great': TKPWRAET
'city,': STEU/KW-BG
''For': A*E/KPA*/TPOR
'there,'': THR/KW-BG/AE
'thought': THAUT
'he,': HE/KW-BG
''I': A*E/EU
'may': PHAE
'turn': TURPB
'musician.'': PHAOUGS/TP-PL/AE
'After': KPA/AF
'he': HE
'had': H
'travelled': TRAFL/*LD
'a': AEU
'little': HREUL
'way,': WAEU/KW-BG
'he': HE
'spied': SPAOEUD
'a': AEU
'dog': TKOG
'lying': HRAOEUG
'by': PWEU
'the': -T
'roadside': RAOD/SAOEUD
'and': SKP
'panting': PAPBT/-G
'as': AS
'if': TP
'he': HE
'were': WR
'tired.': TAOEURD/TP-PL
''What': A*E/KPA*/WHA
'makes': PHAEUBGS
'you': U
'pant': PAPBT
'so,': SO/KW-BG
'my': PHEU
'friend?'': TPREPBD/H-F/AE
'said': SED
'the': -T
'ass.': A*S/TP-PL
''Alas!'': A*E/KPA*/A/HRAS/SKHRAPL/AE
'said': SED
'the': -T
'dog,': TKOG/KW-BG
''my': A*E/PHEU
'master': PHAFRT
'was': WAS
'going': TKPW-G
'to': TO
'knock': TPHOBG
'me': PHE
'on': OPB
'the': -T
'head,': HED/KW-BG
'because': PWAU
'I': EU
'am': APL
'old': OLD
'and': SKP
'weak,': WAEBG/KW-BG
'and': SKP
'can': K
'no': TPHO
'longer': HRORPBG
'make': PHAEUBG
'myself': PHAO*EUS
'useful': AOUFL
'to': TO
'him': HEUPL
'in': TPH
'hunting;': HUPBT/-G/STPH*FPLT
'so': SO
'I': EU
'ran': RAPB
'away;': WA*EU/STPH*FPLT
'but': PWUT
'what': WHA
'can': K
'I': EU
'do': TKO
'to': TO
'earn': ERPB
'my': PHEU
'livelihood?'': HRAOFD/H-F/AE
''Hark': A*E/KPA*/HARBG
'ye!'': KWR*/*E/SKHRAPL/AE
'said': SED
'the': -T
'ass,': A*S/KW-BG
''I': A*E/EU
'am': APL
'going': TKPW-G
