The Twelve Huntsmen

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'king's': KEUPBG/AES
'son': SOPB
'who': WHO
'had': H
'a': AEU
'bride': PWRAOEUD
'whom': WHOPL
'he': HE
'loved': HROFD
'very': SRE
'much.': PHUFP/TP-PL
'And': AFPBD
'when': WHEPB
'he': HE
'was': WAS
'sitting': SEUGT
'beside': PWE/SAOEUD
'her': HER
'and': SKP
'very': SRE
'happy,': HAEP/KW-BG
'news': TPHUS
'came': KAEUPL
'that': THA
'his': HEUS
'father': TPAER
'lay': HRAEU
'sick': SEUBG
'unto': UPB/TO
'death,': TK*T/KW-BG
'and': SKP
'desired': STKAOEURD
'to': TO
'see': SAOE
'him': HEUPL
'once': WUPBS
'again': TKPWEPB
'before': PW-FR
'his': HEUS
'end.': EPBD/TP-PL
'Then': KPA/THEPB
'he': HE
'said': SED
'to': TO
'his': HEUS
'beloved:': PWHROFD/STPH-FPLT
''I': A*E/EU
'must': PHUFT
'now': TPHOU
'go': TKPW
'and': SKP
'leave': HREF
'you,': U/KW-BG
'I': EU
'give': TKPWEUF
'you': U
'a': AEU
'ring': REUPBG
'as': AS
'a': AEU
'remembrance': RERPBS
'of': -F
'me.': PHE/TP-PL
'When': KPA/WHEPB
'I': EU
'am': APL
'king,': KEUPBG/KW-BG
'I': EU
'will': HR
'return': RURPB
'and': SKP
'fetch': TPEFP
'you.'': U/TP-PL/AE
'So': KPA/SO
'he': HE
'rode': ROED
'away,': WA*EU/KW-BG
'and': SKP
'when': WHEPB
'he': HE
'reached': RAOEFPD
'his': HEUS
'father,': TPAER/KW-BG
'the': -T
'latter': HRART
'was': WAS
'dangerously': TKAEUPBLG/SHREU
'ill,': EUL/KW-BG
'and': SKP
'near': TPHAOER
'his': HEUS
'death.': TK*T/TP-PL
'He': KPA/HE
'said': SED
'to': TO
'him:': HEUPL/STPH-FPLT
''Dear': A*E/KPA*/TKAER
'son,': SOPB/KW-BG
'I': EU
'wished': WEURBD
'to': TO
'see': SAOE
'you': U
'once': WUPBS
'again': TKPWEPB
'before': PW-FR
'my': PHEU
'end,': EPBD/KW-BG
'promise': PROPLS
'me': PHE
'to': TO
'marry': PHAER
'as': AS
'I': EU
'wish,'': WEURB/KW-BG/AE
'and': SKP
'he': HE
'named': TPHAEUPLD
'a': AEU
'certain': SERPB
'king's': KEUPBG/AES
'daughter': TKAUR
'who': WHO
'was': WAS
'to': TO
'be': -B
'his': HEUS
'wife.': WAOEUF/TP-PL
'The': KPA/-T
'son': SOPB
'was': WAS
'in': TPH
'such': SUFP
'trouble': TRUBL
'that': THA
'he': HE
'did': TK
'not': TPHOT
'think': THEU
'what': WHA
'he': HE
'was': WAS
'doing,': TK*G/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''Yes,': A*E/KPA*/KWRE/KW-BG
'dear': TKAER
'father,': TPAER/KW-BG
'your': KWROUR
'will': HR
'shall': SHAL
'be': -B
'done,'': TKOPB/KW-BG/AE
'and': SKP
'thereupon': THRUP
'the': -T
'king': KEUPBG
'shut': SHUT
'his': HEUS
'eyes,': AO*EUS/KW-BG
'and': SKP
'died.': TKAOEUD/TP-PL
'When': KPA/WHEPB
'therefore': TH-FR
'the': -T
'son': SOPB
'had': H
'been': PW-PB
'proclaimed': PRO/KHRAEUPL/-D
'king,': KEUPBG/KW-BG
'and': SKP
'the': -T
'time': TAOEUPL
'of': -F
'mourning': PHOURPBG
'was': WAS
'over,': OEFR/KW-BG
'he': HE
'was': WAS
'forced': TPOFRD
'to': TO
'keep': KAOEP
'the': -T
'promise': PROPLS
'which': WEU
'he': HE
'had': H
'given': TKPWEUFPB
'his': HEUS
'father,': TPAER/KW-BG
'and': SKP
'caused': KAUDZ
'the': -T
'king's': KEUPBG/AES
'daughter': TKAUR
'to': TO
'be': -B
'asked': SK-D
'in': TPH
'marriage,': PHAERPBLG/KW-BG
'and': SKP
'she': SHE
'was': WAS
'promised': PROPLS/-D
'to': TO
'him.': HEUPL/TP-PL
'His': KPA/HEUS
'first': TPEUFRT
'betrothed': PWE/TRO*T/-D
'heard': HAERD
'of': -F
'this,': TH/KW-BG
'and': SKP
