The Water of Life

'Long': KPA/HROPBG
'before': PW-FR
'you': U
'or': OR
'I': EU
'were': WR
'born,': PWORPB/KW-BG
'there': THR
'reigned,': RAEPB/-D/KW-BG
'in': TPH
'a': AEU
'country': KREU
'a': AEU
'great': TKPWRAET
'way': WAEU
'off,': OF/KW-BG
'a': AEU
'king': KEUPBG
'who': WHO
'had': H
'three': THRAOE
'sons.': SOPBS/TP-PL
'This': KPA/TH
'king': KEUPBG
'once': WUPBS
'fell': TPEL
'very': SRE
'ill--so': EUL/H-PB/H-PB/SO
'ill': EUL
'that': THA
'nobody': TPHOEB
'thought': THAUT
'he': HE
'could': KO
'live.': HREUF/TP-PL
'His': KPA/HEUS
'sons': SOPBS
'were': WR
'very': SRE
'much': PHUFP
'grieved': TKPWRAOEF/-D
'at': AT
'their': THAEUR
'father's': TPAER/AES
'sickness;': SEUBG/-PBS/STPH*FPLT
'and': SKP
'as': AS
'they': THE
'were': WR
'walking': WAUG
'together': TOGT
'very': SRE
'mournfully': PHOURPB/TPHREU
'in': TPH
'the': -T
'garden': TKPWA*RPB
'of': -F
'the': -T
'palace,': PAL/AS/KW-BG
'a': AEU
'little': HREUL
'old': OLD
'man': PHAPB
'met': PHET
'them': THEPL
'and': SKP
'asked': SK-D
'what': WHA
'was': WAS
'the': -T
'matter.': PHAERT/TP-PL
'They': KPA/THE
'told': TOLD
'him': HEUPL
'that': THA
'their': THAEUR
'father': TPAER
'was': WAS
'very': SRE
'ill,': EUL/KW-BG
'and': SKP
'that': THA
'they': THE
'were': WR
'afraid': A/TPRAEUD
'nothing': TPHOG
'could': KO
'save': SAF
'him.': HEUPL/TP-PL
''I': A*E/EU
'know': TPHOE
'what': WHA
'would,'': WO/KW-BG/AE
'said': SED
'the': -T
'little': HREUL
'old': OLD
'man;': PHAPB/STPH*FPLT
''it': A*E/T
'is': S
'the': -T
'Water': KPA/WAUR
'of': -F
'Life.': KPA/HRAOEUF/TP-PL
'If': KPA/TP
'he': HE
'could': KO
'have': SR
'a': AEU
'draught': TKRAUFT
'of': -F
'it': T
'he': HE
'would': WO
'be': -B
'well': WEL
'again;': TKPWEPB/STPH*FPLT
'but': PWUT
'it': T
'is': S
'very': SRE
'hard': HARD
'to': TO
'get.'': TKPWET/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'eldest': ELD/EFT
'son': SOPB
'said,': SED/KW-BG
''I': A*E/EU
'will': HR
'soon': SAOPB
'find': TPAOEUPBD
'it':': T/AE/STPH-FPLT
'and': SKP
'he': HE
'went': WEPBT
'to': TO
'the': -T
'sick': SEUBG
'king,': KEUPBG/KW-BG
'and': SKP
'begged': PWEGD
'that': THA
'he': HE
'might': PHAOEUT
'go': TKPW
'in': TPH
'search': SEFRPB
'of': -F
'the': -T
'Water': KPA/WAUR
'of': -F
'Life,': KPA/HRAOEUF/KW-BG
'as': AS
'it': T
'was': WAS
'the': -T
'only': OEPBL
'thing': THEUPBG
'that': THA
'could': KO
'save': SAF
'him.': HEUPL/TP-PL
''No,'': A*E/KPA*/TPHO/KW-BG/AE
'said': SED
'the': -T
'king.': KEUPBG/TP-PL
''I': A*E/EU
'had': H
'rather': RAER
'die': TKAOEU
'than': THAPB
'place': PHRAEUS
'you': U
'in': TPH
'such': SUFP
'great': TKPWRAET
'danger': TKAEUPBLG
'as': AS
'you': U
'must': PHUFT
'meet': PHAOET
'with': W
'in': TPH
'your': KWROUR
'journey.'': SKWRURPB/TP-PL/AE
'But': KPA/PWUT
'he': HE
'begged': PWEGD
'so': SO
'hard': HARD
'that': THA
'the': -T
'king': KEUPBG
'let': HRET
'him': HEUPL
'go;': TKPW/STPH*FPLT
'and': SKP
'the': -T
'prince': PREUPBS
'thought': THAUT
'to': TO
'himself,': HEUPLS/KW-BG
''If': A*E/KPA*/TP
'I': EU
'bring': PWREU
'my': PHEU
'father': TPAER
'this': TH
'water,': WAURBGS
'he': HE
'will': HR
'make': PHAEUBG
'me': PHE
'sole': SOEL
'heir': A*EUR
'to': TO
'his': HEUS
