The Wedding of Mrs Fox

'FIRST': *URP/TPEUFRT
'STORY': *URP/STOER
'There': KPA/THR
'was': WAS
'once': WUPBS
'upon': POPB
'a': AEU
'time': TAOEUPL
'an': APB
'old': OLD
'fox': TPOBGS
'with': W
'nine': TPHAOEUPB
'tails,': TAEULS/KW-BG
'who': WHO
'believed': PWHREFD
'that': THA
'his': HEUS
'wife': WAOEUF
'was': WAS
'not': TPHOT
'faithful': TPA*EUT/-FL
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'wished': WEURBD
'to': TO
'put': PUT
'her': HER
'to': TO
'the': -T
'test.': TEFT/TP-PL
'He': KPA/HE
'stretched': STREFPD
'himself': HEUPLS
'out': OUT
'under': TPH-PB
'the': -T
'bench,': PWEFRPB/KW-BG
'did': TK
'not': TPHOT
'move': PHOF
'a': AEU
'limb,': HREUPL/KW-BG
'and': SKP
'behaved': PWHAEUFD
'as': AS
'if': TP
'he': HE
'were': WR
'stone': STOEPB
'dead.': TKED/TP-PL
'Mrs': PH*P/R*/S*
'Fox': KPA/TPOBGS
'went': WEPBT
'up': UP
'to': TO
'her': HER
'room,': RAOPL/KW-BG
'shut': SHUT
'herself': H*ERS
'in,': TPH/KW-BG
'and': SKP
'her': HER
'maid,': PHAEUD/KW-BG
'Miss': PH*EUS/S-P
'Cat,': KPA/KAT/KW-BG
'sat': SAT
'by': PWEU
'the': -T
'fire,': TPAOEUR/KW-BG
'and': SKP
'did': TK
'the': -T
'cooking.': KAOG/TP-PL
'When': KPA/WHEPB
'it': T
'became': PWAEUPL
'known': TPHOEPB
'that': THA
'the': -T
'old': OLD
'fox': TPOBGS
'was': WAS
'dead,': TKED/KW-BG
'suitors': SAOUT/O*RS
'presented': PREPBTD
'themselves.': TH*EPLS/TP-PL
'The': KPA/-T
'maid': PHAEUD
'heard': HAERD
'someone': SPH-PB
'standing': STAPBG
'at': AT
'the': -T
'house-door,': HOUS/TKAO*R/KW-BG
'knocking.': TPHOBG/-G/TP-PL
'She': KPA/SHE
'went': WEPBT
'and': SKP
'opened': OEPD
'it,': T/KW-BG
'and': SKP
'it': T
'was': WAS
'a': AEU
'young': KWRUPBG
'fox,': TPOBGS/KW-BG
'who': WHO
'said:': SED/STPH-FPLT
''What': A*E/KPA*/WHA
'may': PHAEU
'you': U
'be': -B
'about,': PW-RBGS
'Miss': PH*EUS/S-P
'Cat?': KPA/KAT/H-F
'Do': KPA/TKO
'you': U
'sleep': SHRAOEP
'or': OR
'do': TKO
'you': U
'wake?'': WAEUBG/H-F/AE
'She': KPA/SHE
'answered:': AEPBS/-D/STPH-FPLT
''I': A*E/EU
'am': APL
'not': TPHOT
'sleeping,': SHRAOEPG/KW-BG
'I': EU
'am': APL
'waking,': WAEUG/KW-BG
'Would': KPA/WO
'you': U
'know': TPHOE
'what': WHA
'I': EU
'am': APL
'making?': PHAEUG/H-F
'I': EU
'am': APL
'boiling': PWOEULG
'warm': WARPL
'beer': PWAOER
'with': W
'butter,': PWAOURT/KW-BG
'Will': W*EUL
'you': U
'be': -B
'my': PHEU
'guest': TKPWEFT
'for': TPOR
