The White Snake

'A': KPA/AEU
'long': HROPBG
'time': TAOEUPL
'ago': AG
'there': THR
'lived': HREUFD
'a': AEU
'king': KEUPBG
'who': WHO
'was': WAS
'famed': TPAEUPL/-D
'for': TPOR
'his': HEUS
'wisdom': WEUZ/TKOPL
'through': THRU
'all': AUL
'the': -T
'land.': HRAPBD/TP-PL
'Nothing': KPA/TPHOG
'was': WAS
'hidden': HEUD/EPB
'from': TPR
'him,': HEUPL/KW-BG
'and': SKP
'it': T
'seemed': SAOEPLD
'as': AS
'if': TP
'news': TPHUS
'of': -F
'the': -T
'most': PHOFT
'secret': SKRET
'things': THEUPBGS
'was': WAS
'brought': PWRAUT
'to': TO
'him': HEUPL
'through': THRU
'the': -T
'air.': AEUR/TP-PL
'But': KPA/PWUT
'he': HE
'had': H
'a': AEU
'strange': STRAEUPBG
'custom;': KUFPL/STPH*FPLT
'every': EF
'day': TKAEU
'after': AF
'dinner,': TKEURPB/KW-BG
'when': WHEPB
'the': -T
'table': TAEUBL
'was': WAS
'cleared,': KHRAOERD/KW-BG
'and': SKP
'no': TPHO
'one': WUPB
'else': ELS
'was': WAS
'present,': PREPBT/KW-BG
'a': AEU
'trusty': TRUS/TEU
'servant': SEFRB/APBT
'had': H
'to': TO
'bring': PWREU
'him': HEUPL
'one': WUPB
'more': PHOR
'dish.': TKEURB/TP-PL
'It': KPA/T
'was': WAS
'covered,': KOFRD/KW-BG
'however,': HOUF/KW-BG
'and': SKP
'even': AOEPB
'the': -T
'servant': SEFRB/APBT
'did': TK
'not': TPHOT
'know': TPHOE
'what': WHA
'was': WAS
'in': TPH
'it,': T/KW-BG
'neither': TPHAOERT
'did': TK
'anyone': TPHEUPB
'know,': TPHOE/KW-BG
'for': TPOR
'the': -T
'king': KEUPBG
'never': TPHEFR
'took': TAOBG
'off': OF
'the': -T
'cover': KOFR
'to': TO
'eat': AOET
'of': -F
'it': T
'until': TPH-L
'he': HE
'was': WAS
'quite': KWAOEUT
'alone.': A/HROEPB/TP-PL
'This': KPA/TH
'had': H
'gone': TKPWOPB
'on': OPB
'for': TPOR
'a': AEU
'long': HROPBG
'time,': TAOEUPL/KW-BG
'when': WHEPB
'one': WUPB
'day': TKAEU
'the': -T
'servant,': SEFRB/APBT/KW-BG
'who': WHO
'took': TAOBG
'away': WA*EU
'the': -T
'dish,': TKEURB/KW-BG
'was': WAS
'overcome': AUFR/KOPL
'with': W
'such': SUFP
'curiosity': KAOURS/TEU
'that': THA
'he': HE
'could': KO
'not': TPHOT
'help': HEP
'carrying': KAERG
'the': -T
'dish': TKEURB
'into': TPHAO
'his': HEUS
'room.': RAOPL/TP-PL
'When': KPA/WHEPB
'he': HE
'had': H
'carefully': KA*EUFL
'locked': HROBGD
'the': -T
'door,': TKAORBGS
'he': HE
'lifted': HREUFTD
'up': UP
'the': -T
'cover,': KOFR/KW-BG
'and': SKP
'saw': SAU
'a': AEU
'white': WHAOEUT
'snake': STPHAEUBG
'lying': HRAOEUG
'on': OPB
'the': -T
'dish.': TKEURB/TP-PL
'But': KPA/PWUT
'when': WHEPB
'he': HE
'saw': SAU
