Tom Thumb

'A': KPA/AEU
'poor': PAOR
'woodman': HRO*ER/KPA/WAOD/TK-LS/PHAPB
'sat': SAT
'in': TPH
'his': HEUS
'cottage': KOT/APBLG
'one': WUPB
'night,': TPHAOEUT/KW-BG
'smoking': SPHOEG
'his': HEUS
'pipe': PAOEUP
'by': PWEU
'the': -T
'fireside,': TPAOEUR/SAOEUD/KW-BG
'while': WHAOEUL
'his': HEUS
'wife': WAOEUF
'sat': SAT
'by': PWEU
'his': HEUS
'side': SAOEUD
'spinning.': SPEUPBG/TP-PL
''How': A*E/KPA*/HOU
'lonely': HROEPBL
'it': T
'is,': S-RBGS
'wife,'': WAOEUF/KW-BG/AE
'said': SED
'he,': HE/KW-BG
'as': AS
'he': HE
'puffed': PUFD
'out': OUT
'a': AEU
'long': HROPBG
'curl': KURL
'of': -F
'smoke,': SPHOEBG/KW-BG
''for': A*E/TPOR
'you': U
'and': SKP
'me': PHE
'to': TO
'sit': SEUT
'here': HAOER
'by': PWEU
'ourselves,': O*URSZ/KW-BG
'without': WOUT
'any': TPHEU
'children': KHEURPB
'to': TO
'play': PHRAEU
'about': PW
'and': SKP
'amuse': A/PHAOUS
'us': US
'while': WHAOEUL
'other': OER
'people': PAOEPL
'seem': SAOEPL
'so': SO
'happy': HAEP
'and': SKP
'merry': PHER/REU
'with': W
'their': THAEUR
'children!'': KHEURPB/SKHRAPL/AE
''What': A*E/KPA*/WHA
'you': U
'say': SAEU
'is': S
'very': SRE
'true,'': TRAOU/KW-BG/AE
'said': SED
'the': -T
'wife,': WAOEUF/KW-BG
'sighing,': SAOEU/-G/KW-BG
'and': SKP
'turning': TURPBG
'round': ROUPBD
'her': HER
'wheel;': WHAOEL/STPH*FPLT
''how': A*E/HOU
'happy': HAEP
'should': SHO
'I': EU
'be': -B
'if': TP
'I': EU
'had': H
'but': PWUT
'one': WUPB
'child!': KHAOEULD/SKHRAPL
'If': KPA/TP
'it': T
'were': WR
'ever': -FR
'so': SO
'small--nay,': SPHAL/H-PB/H-PB/TPHAEU/KW-BG
'if': TP
'it': T
'were': WR
'no': TPHO
'bigger': PWEURG
'than': THAPB
'my': PHEU
'thumb--I': THUPL/H-PB/EURBGZ
'should': SHO
'be': -B
'very': SRE
'happy,': HAEP/KW-BG
'and': SKP
'love': HRUF
'it': T
'dearly.'': TKAERL/TP-PL/AE
'Now--odd': KPA/TPHOU/H-PB/O*D
'as': AS
'you': U
'may': PHAEU
'think': THEU
'it--it': T/H-PB/H-PB/T
'came': KAEUPL
'to': TO
'pass': PAS
'that': THA
'this': TH
'good': TKPWAOD
'woman's': WOPL/AES
'wish': WEURB
'was': WAS
'fulfilled,': TPUL/TPEULD/KW-BG
'just': SKWRUFT
'in': TPH
'the': -T
'very': SRE
'way': WAEU
'she': SHE
'had': H
'wished': WEURBD
'it;': T/STPH*FPLT
'for,': TPOR/KW-BG
'not': TPHOT
'long': HROPBG
'afterwards,': A*FRDZ/KW-BG
'she': SHE
'had': H
'a': AEU
'little': HREUL
