A Cheerful Temper

'From': KPA/TPR
'my': PHEU
'father': TPAER
'I': EU
'received': SAOEFD
'the': -T
'best': PWEFT
'inheritance,': EUPB/HER/TAPBS/KW-BG
'namely': TPHAEUPL/HREU
'a': AEU
'"good': KW-GS/TKPWAOD
'temper."': TEPL/PER/TP-PL/KR-GS
'"And': KW-GS/AFPBD
'who': WHO
'was': WAS
'my': PHEU
'father?"': TPAER/H-F/KR-GS
'That': KPA/THA
'has': HAS
'nothing': TPHOG
'to': TO
'do': TKO
'with': W
'the': -T
'good': TKPWAOD
'temper;': TEPL/PER/STPH*FPLT
'but': PWUT
'I': EU
'will': HR
'say': SAEU
'he': HE
'was': WAS
'lively,': HRAOEUFL/KW-BG
'good-looking': TKPWHRAOBG
'round,': ROUPBD/KW-BG
'and': SKP
'fat;': TPAT/STPH*FPLT
'he': HE
'was': WAS
'both': PWO*T
'in': TPH
'appearance': PAOERPBS
'and': SKP
'character': KRAR
'a': AEU
'complete': KPHRAOET
'contradiction': KROEUBGS
'to': TO
'his': HEUS
'profession.': PREFGS/TP-PL
'"And': KW-GS/AFPBD
'pray': PRAEU
'what': WHA
'was': WAS
'his': HEUS
'profession': PREFGS
'and': SKP
'his': HEUS
'standing': STAPBG
'in': TPH
'respectable': R-PT/-BL
'society?"': SOET/H-F/KR-GS
'Well,': KPA/WEL/KW-BG
'perhaps,': PRAPS/KW-BG
'if': TP
'in': TPH
'the': -T
'beginning': TKPWEUPB/-G
'of': -F
'a': AEU
'book': PWAOBG
'these': THEZ
'were': WR
'written': WREUPB
'and': SKP
'printed,': PREUPBTD/KW-BG
'many,': PHAEPB/KW-BG
'when': WHEPB
'they': THE
'read': RAED
'it,': T/KW-BG
'would': WO
'lay': HRAEU
'the': -T
'book': PWAOBG
'down': TKOUPB
'and': SKP
'say,': SAEU/KW-BG
'"It': KW-GS/KPA*/T
'seems': SAOEPLS
'to': TO
'me': PHE
'a': AEU
'very': SRE
'miserable': PHEUZ/-BL
'title,': TAOEULT/KW-BG
'I': EU
'don't': TKOEPBT
'like': HRAOEUBG
'things': THEUPBGS
'of': -F
'this': TH
'sort."': SORT/TP-PL/KR-GS
'And': AFPBD
'yet': KWRET
'my': PHEU
'father': TPAER
'was': WAS
'not': TPHOT
'a': AEU
'skin-dresser': SKEUPB/H-PB/TKR-S/*ER
'nor': TPH-R
'an': APB
'executioner;': EBGS/KAOUGS/*ER/STPH*FPLT
'on': OPB
'the': -T
'contrary,': KRAER/KW-BG
'his': HEUS
'employment': PHROEUPLT
'placed': PHRAEUFD
'him': HEUPL
'at': AT
'the': -T
'head': HED
'of': -F
'the': -T
'grandest': TKPWRAPBD/EFT
'people': PAOEPL
'of': -F
'the': -T
'town,': TOUPB/KW-BG
'and': SKP
'it': T
'was': WAS
'his': HEUS
'place': PHRAEUS
'by': PWEU
'right.': RAOEUT/TP-PL
'He': KPA/HE
'had': H
'to': TO
'precede': PRE/SAOED
'the': -T
'bishop,': PWEURB/OP/KW-BG
'and': SKP
'even': AOEPB
'the': -T
'princes': PREUPBS/-S
'of': -F
'the': -T
'blood;': PWHRAOD/STPH*FPLT
'he': HE
'always': AULS
'went': WEPBT
'first,—he': TPEUFRT/KW-BG/EPL/TKA*RB/HE
'was': WAS
'a': AEU
'hearse': HA*ERS
'driver!': TKREUFR/SKHRAPL
'There,': KPA/THR/KW-BG
'now,': TPHOURBGS
'the': -T
'truth': TRAO*UT
'is': S
'out.': OUT/TP-PL
'And': AFPBD
'I': EU
'will': HR
'own,': OEPB/KW-BG
'that': THA
'when': WHEPB
'people': PAOEPL
'saw': SAU
'my': PHEU
'father': TPAER
'perched': PEFRPBD
'up': UP
'in': TPH
'front': TPROPBT
'of': -F
'the': -T
'omnibus': OPL/TPHEU/PWUS
'of': -F
'death,': TK*T/KW-BG
'dressed': TKREFD
'in': TPH
'his': HEUS
'long,': HROPBG/KW-BG
'wide,': WAOEUD/KW-BG
'black': PWHRABG
'cloak,': KHROEBG/KW-BG
'and': SKP
'his': HEUS
'black-edged,': PWHRABG/H-PB/EPBLGD/KW-BG
'three-cornered': THRAOE/H-PB/KRORPB/-D
