A Leaf From Heaven

'High': KPA/HAOEU
'up': UP
'in': TPH
'the': -T
'clear,': KHRAOER/KW-BG
'pure': PAOUR
'air': AEUR
'flew': TPHRAOU
'an': APB
'angel,': APB/SKWREL/KW-BG
'with': W
'a': AEU
'flower': TPHRO*UR
'plucked': PHRUBGD
'from': TPR
'the': -T
'garden': TKPWA*RPB
'of': -F
'heaven.': HEFPB/TP-PL
'As': KPA/AS
'he': HE
'was': WAS
'kissing': KEUFG
'the': -T
'flower': TPHRO*UR
'a': AEU
'very': SRE
'little': HREUL
'leaf': HRAOEF
'fell': TPEL
'from': TPR
'it': T
'and': SKP
'sunk': S*UPBG
'down': TKOUPB
'into': TPHAO
'the': -T
'soft': SOFT
'earth': *ERT
'in': TPH
'the': -T
'middle': PH*EULD
'of': -F
'a': AEU
'wood.': WAOD/TP-PL
'It': KPA/T
'immediately': PHAOELD
'took': TAOBG
'root,': RAOT/KW-BG
'sprouted,': SPROUT/-D/KW-BG
'and': SKP
'sent': SEPBT
'out': OUT
'shoots': SHAOTS
'among': PHOPBG
'the': -T
'other': OER
'plants.': PHRAPBTS/TP-PL
'"What': KW-GS/KPA*/WHA
'a': AEU
'ridiculous': REULGS
'little': HREUL
'shoot!"': SHAOT/SKHRAPL/KR-GS
'said': SED
'one.': WUPB/TP-PL
'"No': KW-GS/KPA*/TPHO
'one': WUPB
'will': HR
'recognise': REZ/A*U
'it;': T/STPH*FPLT
'not': TPHOT
'even': AOEPB
'the': -T
'thistle': THEUFL
'nor': TPH-R
'the': -T
'stinging-nettle."': STEUPBG/-G/H-PB/TPHET/*L/TP-PL/KR-GS
'"It': KW-GS/KPA*/T
'must': PHUFT
'be': -B
'a': AEU
'kind': KEUPBD
'of': -F
'garden': TKPWA*RPB
'plant,"': PHRAPBT/KW-BG/KR-GS
'said': SED
'another;': TPHOER/STPH*FPLT
'and': SKP
'so': SO
'they': THE
'sneered': STPHAOER/-D
'and': SKP
'despised': STKPAOEUDZ
'the': -T
'plant': PHRAPBT
'as': AS
'a': AEU
'thing': THEUPBG
'from': TPR
'a': AEU
'garden.': TKPWA*RPB/TP-PL
'"Where': KW-GS/KPA*/W-R
'are': R
'you': U
'coming?"': KO*G/H-F/KR-GS
'said': SED
'the': -T
'tall': TAUL
'thistles': THEUS/-LS
'whose': WHOZ
'leaves': HREFS
'were': WR
'all': AUL
'armed': ARPLD
'with': W
'thorns.': THORPB/-S/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'stupid': STAOUPD
'nonsense': TPHOPB/SEPBS
'to': TO
'allow': HROU
'yourself': KWRO*URS
'to': TO
'shoot': SHAOT
'out': OUT
'in': TPH
'this': TH
'way;': WAEU/STPH*FPLT
'we': WE
'are': R
'not': TPHOT
'here': HAOER
'to': TO
'support': SPOR
'you."': U/TP-PL/KR-GS
'Winter': W*EUPBT/*ER
'came,': KAEUPL/KW-BG
'and': SKP
'the': -T
'plant': PHRAPBT
'was': WAS
'covered': KOFRD
'with': W
'snow,': STPHOE/KW-BG
'but': PWUT
'the': -T
'snow': STPHOE
'glittered': TKPWHREUT/ERD
'over': OEFR
'it': T
'as': AS
'if': TP
