A Story

'In': KPA/TPH
'the': -T
'garden': TKPWA*RPB
'all': AUL
'the': -T
'apple-trees': A*EPL/H-PB/TRAOES
'were': WR
'in': TPH
'blossom.': PWHROFPL/TP-PL
'They': KPA/THE
'had': H
'hastened': HAEUS/-PBD
'to': TO
'bring': PWREU
'forth': TPO*RT
'flowers': TPHRO*URS
'before': PW-FR
'they': THE
'got': TKPWOT
'green': TKPWRAOEPB
'leaves,': HREFS/KW-BG
'and': SKP
'in': TPH
'the': -T
'yard': KWRARD
'all': AUL
'the': -T
'ducklings': TKUBG/-LGS
'walked': WAUBGD
'up': UP
'and': SKP
'down,': TKOUPB/KW-BG
'and': SKP
'the': -T
'cat': KAT
'too:': TAO/STPH-FPLT
'it': T
'basked': PWAS/-BGD
'in': TPH
'the': -T
'sun': SUPB
'and': SKP
'licked': HREUBG/-D
'the': -T
'sunshine': SUPB/SHAO*EUPB
'from': TPR
'its': EUTS
'own': OEPB
'paws.': PAU/-S/TP-PL
'And': AFPBD
'when': WHEPB
'one': WUPB
'looked': HRAOBGD
'at': AT
'the': -T
'fields,': TPAOELDZ/KW-BG
'how': HOU
'beautifully': PWAOUFL/HREU
'the': -T
'corn': KORPB
'stood': STAOD
'and': SKP
'how': HOU
'green': TKPWRAOEPB
'it': T
'shone,': SHO*EPB/KW-BG
'without': WOUT
'comparison!': KPAEURPB/SKHRAPL
'and': SKP
'there': THR
'was': WAS
'a': AEU
'twittering': HRO*ER/TWEUT/*ERG
'and': SKP
'a': AEU
'fluttering': TPHRUT/ERG
'of': -F
'all': AUL
'the': -T
'little': HREUL
'birds,': PWEURDZ/KW-BG
'as': AS
'if': TP
'the': -T
'day': TKAEU
'were': WR
'a': AEU
'great': TKPWRAET
'festival;': TPEFT/SRAL/STPH*FPLT
'and': SKP
'so': SO
'it': T
'was,': WAS/KW-BG
'for': TPOR
'it': T
'was': WAS
'Sunday.': SUPBD/TP-PL
'All': KPA/AUL
'the': -T
'bells': PWELS
'were': WR
'ringing,': REUPBG/-G/KW-BG
'and': SKP
'all': AUL
'the': -T
'people': PAOEPL
'went': WEPBT
'to': TO
'church,': KHUFRPB/KW-BG
'looking': HRAOG
'cheerful,': KHAOER/-FL/KW-BG
'and': SKP
'dressed': TKREFD
'in': TPH
'their': THAEUR
'best': PWEFT
'clothes.': KHRO*ETS/TP-PL
'There': KPA/THR
'was': WAS
'a': AEU
'look': HRAOBG
'of': -F
'cheerfulness': KHAOER/-FL/-PBS
'on': OPB
'everything.': EFRG/TP-PL
'The': KPA/-T
'day': TKAEU
'was': WAS
'so': SO
'warm': WARPL
'and': SKP
'beautiful': PWAOUFL
'that': THA
'one': WUPB
'might': PHAOEUT
'well': WEL
'have': SR
'said:': SED/STPH-FPLT
'"God's': KW-GS/TKPWO*D/AES
'kindness': KEUPBD/-PBS
'to': TO
'us': US
'men': PHEPB
'is': S
'beyond': KWROPBD
'all': AUL
'limits."': HREUPLTS/TP-PL/KR-GS
'But': KPA/PWUT
'inside': TPH-DZ
'the': -T
'church': KHUFRPB
'the': -T
'pastor': PAS/TOR
'stood': STAOD
'in': TPH
'the': -T
'pulpit,': PUL/PEUT/KW-BG
'and': SKP
'spoke': SPOEBG
'very': SRE
'loudly': HROUD/HREU
'and': SKP
'angrily.': APBG/REU/HREU/TP-PL
'He': KPA/HE
'said': SED
'that': THA
'all': AUL
'men': PHEPB
'were': WR
'wicked,': WEUBGD/KW-BG
'and': SKP
'God': TKPWO*D
'would': WO
'punish': P-RB
'them': THEPL
'for': TPOR
'their': THAEUR
'sins,': SEUPBZ/KW-BG
'and': SKP
'that': THA
'the': -T
'wicked,': WEUBGD/KW-BG
'when': WHEPB
'they': THE
'died,': TKAOEUD/KW-BG
'would': WO
'be': -B
'cast': KAFT
'into': TPHAO
'hell,': HEL/KW-BG
'to': TO
'burn': PWURPB
'for': TPOR
'ever': -FR
'and': SKP
'ever.': -FR/TP-PL
'He': KPA/HE
'spoke': SPOEBG
'very': SRE
'excitedly,': KPAOEUT/TKHREU/KW-BG
'saying': SAEUG
'that': THA
'their': THAEUR
'evil': AOEFL
'propensities': PRO/PEPBS/TEU/-S
'would': WO
'not': TPHOT
'be': -B
'destroyed,': STKROEUD/KW-BG
'nor': TPH-R
'would': WO
'the': -T
'fire': TPAOEUR
'be': -B
'extinguished,': EBGS/TEUPBG/WEURBD/KW-BG
'and': SKP
'they': THE
'should': SHO
'never': TPHEFR
'find': TPAOEUPBD
'rest.': REFT/TP-PL
'That': KPA/THA
'was': WAS
'terrible': TERBL
'to': TO
'hear,': HAER/KW-BG
'and': SKP
'he': HE
'said': SED
'it': T
'in': TPH
'such': SUFP
'a': AEU
'tone': TOEPB
'of': -F
'conviction;': K-FBGS/STPH*FPLT
'he': HE
'described': KREUFD
'hell': HEL
'to': TO
'them': THEPL
'as': AS
'a': AEU
'miserable': PHEUZ/-BL
'hole': HOEL
'where': W-R
'all': AUL
'the': -T
'refuse': REF/AOUS
'of': -F
'the': -T
'world': WORLD
'gathers.': TKPWAERS/TP-PL
'There': KPA/THR
'was': WAS
'no': TPHO
'air': AEUR
'beside': PWE/SAOEUD
'the': -T
'hot': HOT
'burning': PWURPBG
'sulphur': SUL/TPER/A*U
'flame,': TPHRAEUPL/KW-BG
'and': SKP
'there': THR
'was': WAS
'no': TPHO
'ground': TKPWROUPBD
'under': TPH-PB
'their': THAEUR
'feet;': TPAOET/STPH*FPLT
'they,': THE/KW-BG
'the': -T
'wicked': WEUBGD
'ones,': WUPBZ/KW-BG
'sank': SA*PBG
'deeper': TKAOERP
'and': SKP
'deeper,': TKAOERP/KW-BG
'while': WHAOEUL
'eternal': AOE/TERPBL
'silence': SHREPBS
'surrounded': SROUPBD/-D
'them!': THEPL/SKHRAPL
'It': KPA/T
'was': WAS
'dreadful': TKREFL
'to': TO
'hear': HAER
'all': AUL
'that,': THARBGS
'for': TPOR
'the': -T
'preacher': PRAO*EFP
'spoke': SPOEBG
'from': TPR
'his': HEUS
'heart,': HART/KW-BG
'and': SKP
'all': AUL
'the': -T
'people': PAOEPL
'in': TPH
'the': -T
'church': KHUFRPB
'were': WR
'terrified.': TER/TPAOEUD/TP-PL
'Meanwhile,': KPA/PHAOEPB/WHAOEUL/KW-BG
'the': -T
'birds': PWEURDZ
'sang': SAPBG
'merrily': PHER/HREU
'outside,': OUDZ/KW-BG
'and': SKP
'the': -T
'sun': SUPB
'was': WAS
'shining': SHAOEUPBG
'so': SO
'beautifully': PWAOUFL/HREU
'warm,': WARPL/KW-BG
'it': T
'seemed': SAOEPLD
'as': AS
'though': THOE
'every': EF
'little': HREUL
'flower': TPHRO*UR
'said:': SED/STPH-FPLT
'"God,': KW-GS/TKPWO*D/KW-BG
'Thy': KPA/THAO*EU
'kindness': KEUPBD/-PBS
'towards': TORDZ
'us': US
'all': AUL
'is': S
'without': WOUT
'limits."': HREUPLTS/TP-PL/KR-GS
'Indeed,': KPA/TPHAOEPBD/KW-BG
'outside': OUDZ
'it': T
'was': WAS
'not': TPHOT
'at': AT
'all': AUL
'like': HRAOEUBG
'the': -T
'pastor's': PAS/TOR/AES
'sermon.': SER/PHOPB/TP-PL
'The': KPA/-T
'same': SAEUPL
'evening,': AOEPBG/KW-BG
'upon': POPB
'going': TKPW-G
'to': TO
'bed,': PWED/KW-BG
'the': -T
'pastor': PAS/TOR
'noticed': TPH-TS/-D
'his': HEUS
'wife': WAOEUF
'sitting': SEUGT
'there': THR
'quiet': KWAO*EUT
'and': SKP
'pensive.': PEPB/SEUF/TP-PL
'"What': KW-GS/KPA*/WHA
'is': S
'the': -T
'matter': PHAERT
'with': W
'you?"': U/H-F/KR-GS
'he': HE
'asked': SK-D
'her.': HER/TP-PL
'"Well,': KW-GS/KPA*/WEL/KW-BG
'the': -T
'matter': PHAERT
'with': W
'me': PHE
'is,"': S-RBGS/KR-GS
'she': SHE
'said,': SED/KW-BG
'"that': KW-GS/THA
'I': EU
'cannot': SK-PBT
'collect': KHREBGT
'my': PHEU
'thoughts,': THAUTS/KW-BG
'and': SKP
'am': APL
'unable': TPHA*EUBL
'to': TO
'grasp': TKPWRAFP
'the': -T
'meaning': PHAOEPBG
'of': -F
'what': WHA
'you': U
'said': SED
'to-day': TO/TKA*EU
'in': TPH
'church—that': KHUFRPB/EPL/TKA*RB/THA
'there': THR
'are': R
'so': SO
'many': PHAEPB
'wicked': WEUBGD
'people,': PAOEPL/KW-BG
'and': SKP
'that': THA
'they': THE
'should': SHO
'burn': PWURPB
'eternally.': AOE/TERPB/A*EL/TP-PL
'Alas!': KPA/A/HRAS/SKHRAPL
'eternally—how': AOE/TERPB/A*EL/EPL/TKA*RB/HOU
