Anne Lisbeth

'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'was': WAS
'a': AEU
'beautiful': PWAOUFL
'young': KWRUPBG
'woman,': WOPL/KW-BG
'with': W
'a': AEU
'red': RED
'and': SKP
'white': WHAOEUT
'complexion,': KPHR*EBGS/KW-BG
'glittering': TKPWHREUT/ERG
'white': WHAOEUT
'teeth,': TAO*ET/KW-BG
'and': SKP
'clear': KHRAOER
'soft': SOFT
'eyes;': AO*EUS/STPH*FPLT
'and': SKP
'her': HER
'footstep': TPAOT/STEP
'was': WAS
'light': HRAOEUT
'in': TPH
'the': -T
'dance,': TKAPBS/KW-BG
'but': PWUT
'her': HER
'mind': PHAOEUPBD
'was': WAS
'lighter': HRAOEURT
'still.': STEUL/TP-PL
'She': KPA/SHE
'had': H
'a': AEU
'little': HREUL
'child,': KHAOEULD/KW-BG
'not': TPHOT
'at': AT
'all': AUL
'pretty;': PREUT/STPH*FPLT
'so': SO
'he': HE
'was': WAS
'put': PUT
'out': OUT
'to': TO
'be': -B
'nursed': TPHURS/-D
'by': PWEU
'a': AEU
'laborer's': HRAEUB/*ER/AES
'wife,': WAOEUF/KW-BG
'and': SKP
'his': HEUS
'mother': PHOER
'went': WEPBT
'to': TO
'the': -T
'count's': KOUPBT/AES
'castle.': KAFL/TP-PL
'She': KPA/SHE
'sat': SAT
'in': TPH
'splendid': SPHREPB/TKEUD
'rooms,': RAOPLS/KW-BG
'richly': REUFP/HREU
'decorated': TKEBG/RAEUT/-D
'with': W
'silk': S*EULG
'and': SKP
'velvet;': SREL/SRET/STPH*FPLT
'not': TPHOT
'a': AEU
'breath': PWR*ET
'of': -F
'air': AEUR
'was': WAS
'allowed': HRO*UD
'to': TO
'blow': PWHROE
'upon': POPB
'her,': HER/KW-BG
'and': SKP
'no': TPHO
'one': WUPB
'was': WAS
'allowed': HRO*UD
'to': TO
'speak': SPAOEBG
'to': TO
'her': HER
'harshly,': HAR/-RB/HREU/KW-BG
'for': TPOR
'she': SHE
'was': WAS
'nurse': TPHURS
'to': TO
'the': -T
'count's': KOUPBT/AES
'child.': KHAOEULD/TP-PL
'He': KPA/HE
'was': WAS
'fair': TPAEUR
'and': SKP
'delicate': TKEL/KAT
'as': AS
'a': AEU
'prince,': PREUPBS/KW-BG
'and': SKP
'beautiful': PWAOUFL
'as': AS
'an': APB
'angel;': APB/SKWREL/STPH*FPLT
'and': SKP
'how': HOU
'she': SHE
'loved': HROFD
'this': TH
'child!': KHAOEULD/SKHRAPL
'Her': KPA/HER
'own': OEPB
'boy': PWOEU
'was': WAS
'provided': PROE/SRAOEUD/-D
'for': TPOR
'by': PWEU
'being': -BG
'at': AT
'the': -T
'laborer's': HRAEUB/*ER/AES
'where': W-R
'the': -T
'mouth': PHO*UT
'watered': WAURD
'more': PHOR
'frequently': TPREL
'than': THAPB
'the': -T
'pot': POT
'boiled,': PWOEULD/KW-BG
'and': SKP
'where': W-R
'in': TPH
'general': SKWREPBL
'no': TPHO
'one': WUPB
'was': WAS
'at': AT
'home': HOEPL
'to': TO
'take': TAEUBG
'care': KAEUR
'of': -F
'the': -T
'child.': KHAOEULD/TP-PL
'Then': KPA/THEPB
'he': HE
'would': WO
'cry,': KRAOEU/KW-BG
'but': PWUT
'what': WHA
'nobody': TPHOEB
'knows': TPHOEZ
'nobody': TPHOEB
'cares': KAEURS
'for;': TPOR/STPH*FPLT
'so': SO
'he': HE
'would': WO
'cry': KRAOEU
'till': TEUL
'he': HE
'was': WAS
'tired,': TAOEURD/KW-BG
'and': SKP
'then': THEPB
'fall': TPAUL
'asleep;': A/SHRAOEP/STPH*FPLT
'and': SKP
'while': WHAOEUL
'we': WE
'are': R
'asleep': A/SHRAOEP
'we': WE
'can': K
'feel': TPAOEL
'neither': TPHAOERT
'hunger': HURPBG
'nor': TPH-R
'thirst.': THEUFRT/TP-PL
'Ah,': KPA/AERBGS
'yes;': KWRE/STPH*FPLT
'sleep': SHRAOEP
'is': S
'a': AEU
'capital': KPAL
'invention.': EUPB/SREPBGS/TP-PL
'As': KPA/AS
'years': KWRAOERS
'went': WEPBT
'on,': OPB/KW-BG
'Anne': A*EPB
'Lisbeth's': HR*P/*EU/S*/PW*/*ET/AES
'child': KHAOEULD
'grew': TKPWRAOU
'apace': A/PAEUS
'like': HRAOEUBG
'weeds,': WAOEDZ/KW-BG
'although': HR*T
'they': THE
'said': SED
'his': HEUS
'growth': TKPWRO*ET
'had': H
'been': PW-PB
'stunted.': STUPBT/-D/TP-PL
'He': KPA/HE
'had': H
'become': PW-BG
'quite': KWAOEUT
'a': AEU
'member': PHEB
'of': -F
'the': -T
'family': TPAEPL
'in': TPH
'which': WEU
'he': HE
'dwelt;': TKWELT/STPH*FPLT
'they': THE
'received': SAOEFD
'money': PHUPB
'to': TO
'keep': KAOEP
'him,': HEUPL/KW-BG
'so': SO
'that': THA
'his': HEUS
'mother': PHOER
'got': TKPWOT
'rid': REUD
'of': -F
'him': HEUPL
'altogether.': HR-GT/TP-PL
'She': KPA/SHE
'had': H
'become': PW-BG
'quite': KWAOEUT
'a': AEU
'lady;': HRA*ED/STPH*FPLT
'she': SHE
'had': H
'a': AEU
'comfortable': K-BL
'home': HOEPL
'of': -F
'her': HER
'own': OEPB
'in': TPH
'the': -T
'town;': TOUPB/STPH*FPLT
'and': SKP
'out': OUT
'of': -F
'doors,': TKAORS/KW-BG
'when': WHEPB
'she': SHE
'went': WEPBT
'for': TPOR
'a': AEU
'walk,': WAUBG/KW-BG
'she': SHE
'wore': WOR
'a': AEU
'bonnet;': PWOPB/ET/STPH*FPLT
'but': PWUT
'she': SHE
'never': TPHEFR
'walked': WAUBGD
'out': OUT
'to': TO
'see': SAOE
'the': -T
'laborer:': HRAEUB/*ER/STPH-FPLT
'that': THA
'was': WAS
'too': TAO
'far': TPAR
'from': TPR
'the': -T
'town,': TOUPB/KW-BG
'and,': SKP/KW-BG
'indeed,': TPHAOEPBD/KW-BG
'she': SHE
'had': H
'nothing': TPHOG
'to': TO
'go': TKPW
'for,': TPOR/KW-BG
'the': -T
'boy': PWOEU
'now': TPHOU
'belonged': PWHROPBGD
'to': TO
'these': THEZ
'laboring': HRAEUB/-G
'people.': PAOEPL/TP-PL
'He': KPA/HE
'had': H
'food,': TPAOD/KW-BG
'and': SKP
'he': HE
'could': KO
'also': HR-S
'do': TKO
'something': S-G
'towards': TORDZ
'earning': ERPBG
'his': HEUS
'living;': HREUFG/STPH*FPLT
'he': HE
'took': TAOBG
'care': KAEUR
'of': -F
'Mary's': PHA*ER/AES
'red': RED
'cow,': KOU/KW-BG
'for': TPOR
'he': HE
'knew': TPHAOU
'how': HOU
'to': TO
'tend': TEPBD
'cattle': KA*LT
'and': SKP
'make': PHAEUBG
'himself': HEUPLS
'useful.': AOUFL/TP-PL
'The': KPA/-T
'great': TKPWRAET
'dog': TKOG
'by': PWEU
'the': -T
'yard': KWRARD
'gate': TKPWAET
'of': -F
'a': AEU
'nobleman's': TPHOEBL/PHA*PB/AES
'mansion': PHAPBGS
'sits': SEUTS
'proudly': PROUD/HREU
'on': OPB
'the': -T
'top': TOP
'of': -F
'his': HEUS
'kennel': KEPBL
'when': WHEPB
'the': -T
'sun': SUPB
'shines,': SHAOEUPBS/KW-BG
'and': SKP
'barks': PWARBGS
'at': AT
'every': EF
'one': WUPB
'that': THA
'passes;': PA*FS/STPH*FPLT
'but': PWUT
'if': TP
'it': T
'rains,': RAEUPBS/KW-BG
'he': HE
'creeps': KRAOEPS
'into': TPHAO
'his': HEUS
'house,': HOUS/KW-BG
'and': SKP
'there': THR
'he': HE
'is': S
'warm': WARPL
'and': SKP
'dry.': TKRAOEU/TP-PL
'Anne': A*EPB
'Lisbeth's': HR*P/*EU/S*/PW*/*ET/AES
'boy': PWOEU
'also': HR-S
'sat': SAT
'in': TPH
'the': -T
'sunshine': SUPB/SHAO*EUPB
'on': OPB
'the': -T
'top': TOP
'of': -F
'the': -T
'fence,': TPEPBS/KW-BG
'cutting': KUGT
'out': OUT
'a': AEU
'little': HREUL
'toy.': TOEU/TP-PL
'If': KPA/TP
'it': T
'was': WAS
'spring-time,': SPREUPBG/TA*EPL/KW-BG
'he': HE
'knew': TPHAOU
'of': -F
'three': THRAOE
'strawberry-plants': STRAU/PWER/REU/H-PB/PHRAPBTS
'in': TPH
'blossom,': PWHROFPL/KW-BG
'which': WEU
'would': WO
'certainly': SERPBL
'bear': PWAER
'fruit.': TPRAOUT/TP-PL
'This': KPA/TH
'was': WAS
'his': HEUS
'most': PHOFT
'hopeful': HOEFL
'thought,': THAUT/KW-BG
'though': THOE
'it': T
'often': OFPB
'came': KAEUPL
'to': TO
'nothing.': TPHOG/TP-PL
