Children's Prattle

'At': KPA/AT
'a': AEU
'rich': REUFP
'merchant's': PHEFRPBT/AES
'house': HOUS
'there': THR
'was': WAS
'a': AEU
'children's': KHEURPBS
'party,': PAERT/KW-BG
'and': SKP
'the': -T
'children': KHEURPB
'of': -F
'rich': REUFP
'and': SKP
'great': TKPWRAET
'people': PAOEPL
'were': WR
'there.': THR/TP-PL
'The': KPA/-T
'merchant': PHEFRPBT
'was': WAS
'a': AEU
'learned': HRERPBD
'man,': PHAPB/KW-BG
'for': TPOR
'his': HEUS
'father': TPAER
'had': H
'sent': SEPBT
'him': HEUPL
'to': TO
'college,': KHREPBLG/KW-BG
'and': SKP
'he': HE
'had': H
'passed': PAFD
'his': HEUS
'examination.': KP-GS/TP-PL
'His': KPA/HEUS
'father': TPAER
'had': H
'been': PW-PB
'at': AT
'first': TPEUFRT
'only': OEPBL
'a': AEU
'cattle': KA*LT
'dealer,': TKAOERL/KW-BG
'but': PWUT
'always': AULS
'honest': HOPBS
'and': SKP
'industrious,': STREUS/KW-BG
'so': SO
'that': THA
'he': HE
'had': H
'made': PHAED
'money,': PHUPB/KW-BG
'and': SKP
'his': HEUS
'son,': SOPB/KW-BG
'the': -T
'merchant,': PHEFRPBT/KW-BG
'had': H
'managed': PHAPBGD
'to': TO
'increase': EUPB/KRAOES
'his': HEUS
'store.': STOR/TP-PL
'Clever': KPA/KHREFR
'as': AS
'he': HE
'was,': WAS/KW-BG
'he': HE
'had': H
'also': HR-S
'a': AEU
'heart;': HART/STPH*FPLT
'but': PWUT
'there': THR
'was': WAS
'less': HRES
'said': SED
'of': -F
'his': HEUS
'heart': HART
'than': THAPB
'of': -F
'his': HEUS
'money.': PHUPB/TP-PL
'All': KPA/AUL
'descriptions': SKREUFPGS
'of': -F
'people': PAOEPL
'visited': SREUFTD
'at': AT
'the': -T
'merchant's': PHEFRPBT/AES
'house,': HOUS/KW-BG
'well': WEL
'born,': PWORPB/KW-BG
'as': AS
'well': WEL
'as': AS
'intellectual,': SPWHREBGT/WAL/KW-BG
'and': SKP
'some': SOPL
