In the Uttermost Parts of the Sea

'Some': KPA/SOPL
'years': KWRAOERS
'ago,': AG/KW-BG
'large': HRARPBLG
'ships': SHEUPS
'were': WR
'sent': SEPBT
'towards': TORDZ
'the': -T
'north': TPHORT
'pole,': POEL/KW-BG
'to': TO
'explore': SPHROR
'the': -T
'distant': STKAPBT
'coasts,': KOEFTS/KW-BG
'and': SKP
'to': TO
'try': TREU
'how': HOU
'far': TPAR
'men': PHEPB
'could': KO
'penetrate': PEPB/TRAEUT
'into': TPHAO
'those': THOZ
'unknown': UPB/TPHOEPB
'regions.': RAOE/SKWROPBS/TP-PL
'For': KPA/TPOR
'more': PHOR
'than': THAPB
'a': AEU
'year': KWRAOER
'one': WUPB
'of': -F
'these': THEZ
'ships': SHEUPS
'had': H
'been': PW-PB
'pushing': PURBG
'its': EUTS
'way': WAEU
'northward,': TPHO*RT/WARD/KW-BG
'amid': A/PHEUD
'snow': STPHOE
'and': SKP
'ice,': AOEUS/KW-BG
'and': SKP
'the': -T
'sailors': SAEUL/ORS
'had': H
'endured': EPB/TKAOURD
'many': PHAEPB
'hardships;': HARD/SH-P/-S/STPH*FPLT
'till': TEUL
'at': AT
'length': HREPBG
'winter': WEURPBT
'set': SET
'in,': TPH/KW-BG
'and': SKP
'the': -T
'sun': SUPB
'entirely': SPWAOEURL
'disappeared;': TKEUS/PAOERD/STPH*FPLT
'for': TPOR
'many': PHAEPB
'weeks': WAOEBGS
'there': THR
'would': WO
'be': -B
'constant': STAPBT
'night.': TPHAOEUT/TP-PL
'All': KPA/AUL
'around,': ARPBD/KW-BG
'as': AS
'far': TPAR
'as': AS
'the': -T
'eye': AOEU
'could': KO
'reach,': RAOEFP/KW-BG
'nothing': TPHOG
'could': KO
'be': -B
'seen': SAOEPB
'but': PWUT
'fields': TPAOELDZ
'of': -F
'ice,': AOEUS/KW-BG
'in': TPH
'which': WEU
'the': -T
'ship': SHEUP
'remained': RE/PHAEUPBD
'stuck': STUBG
'fast.': TPAFT/TP-PL
'The': KPA/-T
'snow': STPHOE
'lay': HRAEU
'piled': PAOEULD
'up': UP
'in': TPH
'great': TKPWRAET
'heaps,': HAOEP/-S/KW-BG
'and': SKP
'of': -F
'these': THEZ
'the': -T
'sailors': SAEUL/ORS
'made': PHAED
'huts,': HUTS/KW-BG
'in': TPH
'the': -T
'form': TPORPL
'of': -F
'bee-hives,': PWAOE/H-PB/HAOEUFS/KW-BG
'some': SOPL
'of': -F
'them': THEPL
'as': AS
'large': HRARPBLG
'and': SKP
'spacious': SPAEURBS
'as': AS
'one': WUPB
'of': -F
'the': -T
'"Huns'': KW-GS/H*P/SKWRU/*PB/-S/AE
'graves,"': TKPWRAEUFS/KW-BG/KR-GS
'and': SKP
'others': OERS
'only': OEPBL
'containing': KAUPB/TAEUPBG
'room': RAOPL
'enough': TPHUF
'to': TO
'hold': HOLD
'three': THRAOE
'or': OR
'four': TPOUR
'men.': PHEPB/TP-PL
'It': KPA/T
'was': WAS
'not': TPHOT
'quite': KWAOEUT
'dark;': TKARBG/STPH*FPLT
'the': -T
'northern': TPHOERPB
'lights': HRAOEUTS
'shot': SHOT
'forth': TPO*RT
'red': RED
'and': SKP
'blue': PWHRU
'flames,': TPHRAEUPLS/KW-BG
'like': HRAOEUBG
'continuous': T-PBS
'fireworks,': TPAOEUR/WORBGS/KW-BG
'and': SKP
'the': -T
'snow': STPHOE
'glittered,': TKPWHREUT/ERD/KW-BG
'and': SKP
'reflected': TPHREBGTD
'back': PWABG
'the': -T
'light,': HRAOEUT/KW-BG
'so': SO
'that': THA
'the': -T
'night': TPHAOEUT
'here': HAOER
'was': WAS
'one': WUPB
'long': HROPBG
'twilight.': TWAOEULGT/TP-PL
'When': KPA/WHEPB
'the': -T
'moon': PHAOPB
'was': WAS
'brightest,': PWRAOEUT/EFT/KW-BG
'the': -T
'natives': TPHAEUT/EUFS
'came': KAEUPL
'in': TPH
'crowds': KROUDZ
'to': TO
'see': SAOE
'the': -T
'sailors.': SAEUL/ORS/TP-PL
'They': KPA/THE
'had': H
'a': AEU
'very': SRE
'singular': SEUPBG/HRAR
'appearance': PAOERPBS
'in': TPH
'their': THAEUR
'rough,': RUF/KW-BG
'hairy': HAEU/REU
'dresses': TKRES/-S
'of': -F
'fur,': TPUR/KW-BG
'and': SKP
'riding': RAOEUD/-G
'in': TPH
'sledges': SHREPBLG/-S
'over': OEFR
'the': -T
'ice.': AOEUS/TP-PL
'They': KPA/THE
'brought': PWRAUT
'with': W
'them': THEPL
'furs': TPURZ
'and': SKP
'skins': SKEUPBS
'in': TPH
'great': TKPWRAET
'abundance,': PWUPB/TKAPBS/KW-BG
'so': SO
'that': THA
'the': -T
'snow-houses': STPHOE/H-PB/HO*UFS
'were': WR
'soon': SAOPB
'provided': PROE/SRAOEUD/-D
'with': W
'warm': WARPL
'carpets,': KARPTS/KW-BG
'and': SKP
'the': -T
'furs': TPURZ
'also': HR-S
'served': SEFRBD
'for': TPOR
'the': -T
'sailors': SAEUL/ORS
'to': TO
'wrap': WRAP
'themselves': TH*EPLS
'in,': TPH/KW-BG
'when': WHEPB
'they': THE
'slept': SHREPT
'under': TPH-PB
'the': -T
'roofs': RAOFS
'of': -F
'snow,': STPHOE/KW-BG
'while': WHAOEUL
'outside': OUDZ
'it': T
'was': WAS
'freezing': TPRAOEZ/-G
'with': W
'a': AEU
'cold': KOELD
'far': TPAR
'more': PHOR
'severe': SWAOER
'than': THAPB
'in': TPH
'the': -T
'winter': WEURPBT
'with': W
'us.': US/TP-PL
'In': KPA/TPH
'our': OUR
'country': KREU
'it': T
'was': WAS
'still': STEUL
'autumn,': AU/UPL/KW-BG
'though': THOE
'late': HRAEUT
'in': TPH
'the': -T
'season;': S-PB/STPH*FPLT
'and': SKP
'they': THE
'thought': THAUT
'of': -F
'that': THA
'in': TPH
'their': THAEUR
'distant': STKAPBT
'exile,': EBGS/AOEUL/KW-BG
'and': SKP
'often': OFPB
'pictured': P*EUFPD
'to': TO
'themselves': TH*EPLS
'the': -T
'yellow': KWREL/OE
'leaves': HREFS
'on': OPB
'the': -T
'trees': TRAOES
'at': AT
'home.': HOEPL/TP-PL
'Their': KPA/THAEUR
'watches': WAFPS
'pointed': POEUPBTD
'to': TO
'the': -T
'hours': HOURS
'of': -F
'evening,': AOEPBG/KW-BG
'and': SKP
'time': TAOEUPL
'to': TO
'go': TKPW
'to': TO
'sleep,': SHRAOEP/KW-BG
'although': HR*T
'in': TPH
'these': THEZ
'regions': RAOE/SKWROPBS
'it': T
'was': WAS
'now': TPHOU
'always': AULS
'night.': TPHAOEUT/TP-PL
'In': KPA/TPH
'one': WUPB
'of': -F
'the': -T
'huts,': HUTS/KW-BG
'two': TWO
'of': -F
'the': -T
'men': PHEPB
'laid': HRAEUD
'themselves': TH*EPLS
'down': TKOUPB
'to': TO
'rest.': REFT/TP-PL
'The': KPA/-T
'younger': KWRURPBG
'of': -F
'these': THEZ
'men': PHEPB
'had': H
'brought': PWRAUT
'with': W
'him': HEUPL
'from': TPR
'home': HOEPL
'his': HEUS
'best,': PWEFT/KW-BG
'his': HEUS
'dearest': TKAER/EFT
'treasure—a': TRERB/EPL/TKA*RB/AEU
'Bible,': PWAO*EUBL/KW-BG
'which': WEU
'his': HEUS
'grandmother': TKPWR-PL
'had': H
'given': TKPWEUFPB
'him': HEUPL
'on': OPB
'his': HEUS
'departure.': TKPART/AOUR/TP-PL
'Every': KPA/EF
'night': TPHAOEUT
'the': -T
'sacred': SKRED
'volume': SROL
'rested': REFTD
'under': TPH-PB
'his': HEUS
'head,': HED/KW-BG
'and': SKP
'he': HE
'had': H
'known': TPHOEPB
'from': TPR
'his': HEUS
'childhood': KHAOEULD/H*D
'what': WHA
'was': WAS
'written': WREUPB
'in': TPH
'it.': T/TP-PL
'Every': KPA/EF
'day': TKAEU
'he': HE
'read': RAED
'in': TPH
'the': -T
'book,': PWAOBG/KW-BG
'and': SKP
'while': WHAOEUL
'stretched': STREFPD
'on': OPB
'his': HEUS
'cold': KOELD
'couch,': KOUFP/KW-BG
'the': -T
'holy': HOEUL
'words': WORDZ
'he': HE
'had': H
'learnt': HRERPBT
'would': WO
'come': KOPL
'into': TPHAO
'his': HEUS
'mind:': PHAOEUPBD/STPH-FPLT
'"If': KW-GS/KPA*/TP
'I': EU
'take': TAEUBG
'the': -T
'wings': WEUPBGS
'of': -F
'the': -T
'morning,': PHORPBG/KW-BG
'and': SKP
'fly': TPHRAOEU
'to': TO
'the': -T
'uttermost': UT/ER/PHO*EFT
'parts': PARTS
'of': -F
'the': -T
'sea,': SAE/KW-BG
'even': AOEPB
'there': THR
'Thou': KPA/THO*U
'art': ART
'with': W
'me,': PHE/KW-BG
'and': SKP
'Thy': KPA/THAO*EU
'right': RAOEUT
'hand': HAPBD
'shall': SHAL
'uphold': UP/HOLD
'me;"': PHE/STPH*FPLT/KR-GS
'and': SKP
'under': TPH-PB
'the': -T
'influence': WEPBS
'of': -F
'that': THA
'faith': TPA*EUT
'which': WEU
'these': THEZ
'holy': HOEUL
'words': WORDZ
'inspired,': EUPB/SPAOEURD/KW-BG
'sleep': SHRAOEP
'came': KAEUPL
'upon': POPB
'him,': HEUPL/KW-BG
'and': SKP
'dreams,': TKRAOEPLS/KW-BG
'which': WEU
'are': R
'the': -T
'manifestations': PHAPB/TPES/TAEUGS/-S
'of': -F
'God': TKPWO*D
'to': TO
'the': -T
'spirit.': SPEURT/TP-PL
'The': KPA/-T
'soul': SOUL
'lives': HREUFS
'and': SKP
'acts,': ABGZ/KW-BG
'while': WHAOEUL
'the': -T
'body': PWO*ED
'is': S
'at': AT
'rest.': REFT/TP-PL
'He': KPA/HE
'felt': TPELT
'this': TH
'life': HRAOEUF
'in': TPH
'him,': HEUPL/KW-BG
'and': SKP
'it': T
'was': WAS
'as': AS
'if': TP
'he': HE
'heard': HAERD
'the': -T
'sound': SOUPBD
'of': -F
'dear,': TKAER/KW-BG
'well-known': WEL/TPHO*EPB
'melodies,': PHEL/TKEU/-S/KW-BG
'as': AS
'if': TP
'the': -T
'breezes': PWRAOEZ/-S
'of': -F
'summer': SAOURPL
'floated': TPHROET/-D
'around': ARPBD
'him;': HEUPL/STPH*FPLT
'and': SKP
'over': OEFR
'his': HEUS
'couch': KOUFP
'shone': SHO*EPB
'a': AEU
'ray': RAEU
'of': -F
'brightness,': PWRAOEUT/-PBS/KW-BG
'as': AS
'if': TP
'it': T
'were': WR
'shining': SHAOEUPBG
'through': THRU
'the': -T
'covering': KOFRG
'of': -F
'his': HEUS
'snow-roof.': STPHOE/H-PB/RAOF/TP-PL
'He': KPA/HE
'lifted': HREUFTD
'his': HEUS
'head,': HED/KW-BG
'and': SKP
'saw': SAU
'that': THA
'the': -T
'bright': PWRAOEUT
'gleaming': TKPWHRAOEPL/-G
'was': WAS
'not': TPHOT
'the': -T
'reflection': RE/TPHR*EBGS
'of': -F
'the': -T
'glittering': TKPWHREUT/ERG
'snow,': STPHOE/KW-BG
'but': PWUT
'the': -T
'dazzling': TKAZ/-LG
'brightness': PWRAOEUT/-PBS
'of': -F
'the': -T
'pinions': PEUPB/KWROPB/-S
'of': -F
'a': AEU
'mighty': PHAOEUT/KWREU
'angel,': APB/SKWREL/KW-BG
'into': TPHAO
'whose': WHOZ
'beaming': PWAEPL/-G
'face': TPAEUS
'he': HE
'was': WAS
'gazing.': TKPWAEUFG/TP-PL
'As': KPA/AS
'from': TPR
'the': -T
'cup': KUP
'of': -F
'a': AEU
'lily,': HREUL/KWREU/KW-BG
'the': -T
'angel': APB/SKWREL
'rose': ROEZ
'from': TPR
'amidst': A/PH*EUFD
'the': -T
'leaves': HREFS
'of': -F
'the': -T
'Bible;': PWAO*EUBL/STPH*FPLT
'and,': SKP/KW-BG
'stretching': STREFPG
'out': OUT
'his': HEUS
'arm,': ARPL/KW-BG
'the': -T
'walls': WAULS
'of': -F
'the': -T
'hut': HUT
'sunk': S*UPBG
'down,': TKOUPB/KW-BG
'as': AS
'though': THOE
'they': THE
'had': H
'been': PW-PB
'formed': TPORPLD
'of': -F
'a': AEU
'light,': HRAOEUT/KW-BG
'airy': AEUR/REU
'veil': SRAEUL
'of': -F
'mist,': PHEUFT/KW-BG
'and': SKP
'the': -T
'green': TKPWRAOEPB
'hills': HEULS
'and': SKP
'meadows': PHED/OES
'of': -F
'home,': HOEPL/KW-BG
'with': W
'its': EUTS
'ruddy': RUD/TKEU
'woods,': WAODZ/KW-BG
'lay': HRAEU
'spread': SPRED
'around': ARPBD
'him': HEUPL
'in': TPH
'the': -T
'quiet': KWAO*EUT
'sunshine': SUPB/SHAO*EUPB
'of': -F
'a': AEU
'lovely': HROFL
'autumn': AU/UPL
'day.': TKAEU/TP-PL
'The': KPA/-T
'nest': TPHEFT
'of': -F
'the': -T
'stork': STORBG
'was': WAS
'empty,': EPLT/KW-BG
'but': PWUT
'ripe': RAOEUP
'fruit': TPRAOUT
'still': STEUL
'hung': HUPBG
'on': OPB
'the': -T
'wild': WAOEULD
'apple-tree,': A*EPL/H-PB/TRAOE/KW-BG
'although': HR*T
'the': -T
'leaves': HREFS
'had': H
'fallen.': TPAUPBL/TP-PL
'The': KPA/-T
'red': RED
'hips': HEUPS
'gleamed': TKPWHRAOEPL/-D
'on': OPB
'the': -T
'hedges,': HEPBLG/-S/KW-BG
'and': SKP
'the': -T
'starling': STARLG
'which': WEU
'hung': HUPBG
'in': TPH
'the': -T
'green': TKPWRAOEPB
'cage': KAEUPBLG
'outside': OUDZ
'the': -T
'window': WOEUPBD
'of': -F
'the': -T
'peasant's': PEFPBT/AES
'hut,': HUT/KW-BG
'which': WEU
'was': WAS
'his': HEUS
'home,': HOEPL/KW-BG
'whistled': WHEUS/-LD
'the': -T
'tune': TAOUPB
'which': WEU
'he': HE
'had': H
'taught': TAUT
'him.': HEUPL/TP-PL
'His': KPA/HEUS
'grandmother': TKPWR-PL
'hung': HUPBG
'green': TKPWRAOEPB
'birds'-food': PWEURDZ/AE/H-PB/TPAOD
'around': ARPBD
'the': -T
'cage,': KAEUPBLG/KW-BG
'as': AS
'he,': HE/KW-BG
'her': HER
'grandson,': TKPWR-S/KW-BG
'had': H
'been': PW-PB
'accustomed': A/KUFPLD
'to': TO
'do.': TKO/TP-PL
'The': KPA/-T
'daughter': TKAUR
'of': -F
'the': -T
'village': SREULG
'blacksmith,': PWHRABG/SPH*EUT/KW-BG
'who': WHO
'was': WAS
'young': KWRUPBG
'and': SKP
'fair,': TPAEUR/KW-BG
'stood': STAOD
'at': AT
'the': -T
'well,': WEL/KW-BG
'drawing': TKRAUG
'water.': WAUR/TP-PL
'She': KPA/SHE
'nodded': TPHOD/-D
'to': TO
'the': -T
'grandmother,': TKPWR-PL/KW-BG
'and': SKP
'the': -T
'old': OLD
'woman': WOPL
'nodded': TPHOD/-D
'to': TO
'her,': HER/KW-BG
'and': SKP
'pointed': POEUPBTD
'to': TO
'a': AEU
'letter': HRERT
'which': WEU
'had': H
'come': KOPL
'from': TPR
'a': AEU
'long': HROPBG
'way': WAEU
'off.': OF/TP-PL
'That': KPA/THA
'very': SRE
'morning': PHORPBG
'the': -T
'letter': HRERT
'had': H
'arrived': A/RAOEUFD
'from': TPR
'the': -T
'cold': KOELD
'regions': RAOE/SKWROPBS
'of': -F
'the': -T
'north;': TPHORT/STPH*FPLT
'there,': THR-RBGS
'where': W-R
'the': -T
'absent': AB/SEPBT
'one': WUPB
'was': WAS
'sweetly': SWAOET/HREU
'sleeping': SHRAOEPG
'under': TPH-PB
'the': -T
'protecting': PRO/TEBGT/-G
'hand': HAPBD
'of': -F
'God.': TKPWO*D/TP-PL
'They': KPA/THE
'laughed': HRAFD
'and': SKP
'wept': WEPT
'over': OEFR
'the': -T
'letter;': HRERT/STPH*FPLT
'and': SKP
'he,': HE/KW-BG
'far': TPAR
'away,': WA*EU/KW-BG
'amid': A/PHEUD
'ice': AOEUS
'and': SKP
'snow,': STPHOE/KW-BG
'under': TPH-PB
'the': -T
'shadow': SHOEUD
'of': -F
'the': -T
'angel's': APB/SKWREL/AES
'wings,': WEUPBGS/KW-BG
'wept': WEPT
'and': SKP
'smiled': SPHAOEULD
'with': W
'them': THEPL
'in': TPH
'spirit;': SPEURT/STPH*FPLT
'for': TPOR
'he': HE
'saw': SAU
'and': SKP
'heard': HAERD
'it': T
'all': AUL
'in': TPH
'his': HEUS
'dream.': TKRAOEPL/TP-PL
'From': KPA/TPR
'the': -T
'letter': HRERT
'they': THE
'read': RAED
'aloud': A/HROUD
'the': -T
'words': WORDZ
'of': -F
'Holy': KPA/HOEUL
'Writ:': KPA/WREUT/STPH-FPLT
'"In': KW-GS/KPA*/TPH
'the': -T
'uttermost': UT/ER/PHO*EFT
'parts': PARTS
'of': -F
'the': -T
'sea,': SAE/KW-BG
'Thy': KPA/THAO*EU
'right': RAOEUT
'hand': HAPBD
'shall': SHAL
'uphold': UP/HOLD
'me."': PHE/TP-PL/KR-GS
'And': AFPBD
'as': AS
'the': -T
'angel': APB/SKWREL
'spread': SPRED
'his': HEUS
'wings': WEUPBGS
'like': HRAOEUBG
'a': AEU
'veil': SRAEUL
'over': OEFR
'the': -T
'sleeper,': SHRAOEP/*ER/KW-BG
'there': THR
'was': WAS
'the': -T
'sound': SOUPBD
'of': -F
'beautiful': PWAOUFL
'music': PHAOUFBG
'and': SKP
'a': AEU
'hymn.': H*EUPL/TP-PL
'Then': KPA/THEPB
'the': -T
'vision': SREUGS
'fled.': TPHRED/TP-PL
'It': KPA/T
'was': WAS
'dark': TKARBG
'again': TKPWEPB
'in': TPH
'the': -T
'snow-hut:': STPHOE/H-PB/HUT/STPH-FPLT
'but': PWUT
'the': -T
'Bible': PWAO*EUBL
'still': STEUL
'rested': REFTD
'beneath': TPHAO*ET
'his': HEUS
'head,': HED/KW-BG
'and': SKP
'faith': TPA*EUT
'and': SKP
'hope': HOEP
'dwelt': TKWELT
'in': TPH
'his': HEUS
'heart.': HART/TP-PL
'God': TKPWO*D
'was': WAS
'with': W
'him,': HEUPL/KW-BG
'and': SKP
'he': HE
'carried': KAERD
'home': HOEPL
'in': TPH
'his': HEUS
'heart,': HART/KW-BG
'even': AOEPB
'"in': KW-GS/TPH
'the': -T
'uttermost': UT/ER/PHO*EFT
'parts': PARTS
'of': -F
'the': -T
'sea."': SAE/TP-PL/KR-GS
