Little Claus and Big Claus

'In': KPA/TPH
'a': AEU
'village': SREULG
'there': THR
'once': WUPBS
'lived': HREUFD
'two': TWO
'men': PHEPB
'who': WHO
'had': H
'the': -T
'same': SAEUPL
'name.': TPHAEUPL/TP-PL
'They': KPA/THE
'were': WR
'both': PWO*T
'called': KAULD
'Claus.': KR*P/HR*/KWRA/SKWRU/-S/TP-PL
'One': KPA/WUPB
'of': -F
'them': THEPL
'had': H
'four': TPOUR
'horses,': HORSZ/KW-BG
'but': PWUT
'the': -T
'other': OER
'had': H
'only': OEPBL
'one;': WUPB/STPH*FPLT
'so': SO
'to': TO
'distinguish': TKWEURB
'them,': THEPL/KW-BG
'people': PAOEPL
'called': KAULD
'the': -T
'owner': OERPB
'of': -F
'the': -T
'four': TPOUR
'horses,': HORSZ/KW-BG
'"Great': KW-GS/KPA*/TKPWRAET
'Claus,"': KR*P/HR*/KWRA/SKWRU/-S/KW-BG/KR-GS
'and': SKP
'he': HE
'who': WHO
'had': H
'only': OEPBL
'one,': WUPB/KW-BG
'"Little': KW-GS/KPA*/HREUL
'Claus."': KR*P/HR*/KWRA/SKWRU/-S/TP-PL/KR-GS
'Now': KPA/TPHOU
'we': WE
'shall': SHAL
'hear': HAER
'what': WHA
'happened': HAPD
'to': TO
'them,': THEPL/KW-BG
'for': TPOR
'this': TH
'is': S
'a': AEU
'true': TRAOU
'story.': STOER/TP-PL
'Through': KPA/THRU
'the': -T
'whole': WHOEL
'week,': WAOERBGS
'Little': KPA/HREUL
'Claus': KR*P/HR*/KWRA/SKWRU/-S
'was': WAS
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'plough': PHROU/A*U
'for': TPOR
'Great': KPA/TKPWRAET
'Claus,': KR*P/HR*/KWRA/SKWRU/-S/KW-BG
'and': SKP
'lend': HREPBD
'him': HEUPL
'his': HEUS
'one': WUPB
'horse;': HORS/STPH*FPLT
'and': SKP
'once': WUPBS
'a': AEU
'week,': WAOERBGS
'on': OPB
'a': AEU
'Sunday,': SUPBD/KW-BG
'Great': KPA/TKPWRAET
'Claus': KR*P/HR*/KWRA/SKWRU/-S
'lent': HREPBT
'him': HEUPL
'all': AUL
'his': HEUS
'four': TPOUR
'horses.': HORSZ/TP-PL
'Then': KPA/THEPB
'how': HOU
'Little': KPA/HREUL
'Claus': KR*P/HR*/KWRA/SKWRU/-S
'would': WO
'smack': SPHABG
'his': HEUS
'whip': WHEUP
'over': OEFR
'all': AUL
'five': TPAOEUF
'horses,': HORSZ/KW-BG
'they': THE
'were': WR
'as': AS
'good': TKPWAOD
'as': AS
'his': HEUS
'own': OEPB
'on': OPB
'that': THA
'one': WUPB
'day.': TKAEU/TP-PL
'The': KPA/-T
'sun': SUPB
'shone': SHO*EPB
'brightly,': PWRAOEULT/KW-BG
'and': SKP
'the': -T
'church': KHUFRPB
'bells': PWELS
'were': WR
'ringing': REUPBG/-G
'merrily': PHER/HREU
'as': AS
'the': -T
'people': PAOEPL
'passed': PAFD
'by,': PWEU/KW-BG
'dressed': TKREFD
'in': TPH
'their': THAEUR
'best': PWEFT
'clothes,': KHRO*ETS/KW-BG
'with': W
'their': THAEUR
'prayer-books': PRAEUR/H-PB/PWAOBGS
'under': TPH-PB
'their': THAEUR
'arms.': ARPLS/TP-PL
'They': KPA/THE
'were': WR
'going': TKPW-G
'to': TO
'hear': HAER
'the': -T
'clergyman': KHRERPBLG/PHAPB
'preach.': PRAOEFP/TP-PL
'They': KPA/THE
'looked': HRAOBGD
'at': AT
'Little': KPA/HREUL
'Claus': KR*P/HR*/KWRA/SKWRU/-S
'ploughing': PHROUG/A*U
'with': W
'his': HEUS
'five': TPAOEUF
'horses,': HORSZ/KW-BG
'and': SKP
'he': HE
'was': WAS
'so': SO
'proud': PROUD
'that': THA
'he': HE
'smacked': SPHABGD
'his': HEUS
'whip,': WHEUP/KW-BG
'and': SKP
'said,': SED/KW-BG
'"Gee-up,': KW-GS/KPA/SKWRAOE/SKWR*UP/KW-BG
'my': PHEU
'five': TPAOEUF
'horses."': HORSZ/TP-PL/KR-GS
'"You': KW-GS/KPA*/U
'must': PHUFT
'not': TPHOT
'say': SAEU
'that,"': THARBGS/KR-GS
'said': SED
'Big': KPA/PWEUG
'Claus;': KR*P/HR*/KWRA/SKWRU/-S/STPH*FPLT
'"for': KW-GS/TPOR
'only': OEPBL
'one': WUPB
'of': -F
'them': THEPL
'belongs': PWHROPBGS
'to': TO
'you."': U/TP-PL/KR-GS
'But': KPA/PWUT
'Little': KPA/HREUL
'Claus': KR*P/HR*/KWRA/SKWRU/-S
'soon': SAOPB
'forgot': TPAURGT
'what': WHA
'he': HE
'ought': OT
'to': TO
'say,': SAEU/KW-BG
'and': SKP
'when': WHEPB
'any': TPHEU
'one': WUPB
'passed': PAFD
'he': HE
'would': WO
'call': KAUL
'out,': OUT/KW-BG
'"Gee-up,': KW-GS/KPA/SKWRAOE/SKWR*UP/KW-BG
'my': PHEU
'five': TPAOEUF
'horses!"': HORSZ/SKHRAPL/KR-GS
'"Now': KW-GS/KPA*/TPHOU
'I': EU
'must': PHUFT
'beg': PWEG
'you': U
'not': TPHOT
'to': TO
'say': SAEU
'that': THA
'again,"': STKPWERPBGS/KR-GS
'said': SED
'Big': KPA/PWEUG
'Claus;': KR*P/HR*/KWRA/SKWRU/-S/STPH*FPLT
'"for': KW-GS/TPOR
'if': TP
'you': U
'do,': TKORBGS
'I': EU
'shall': SHAL
'hit': HEUT
'your': KWROUR
'horse': HORS
'on': OPB
'the': -T
'head,': HED/KW-BG
'so': SO
'that': THA
'he': HE
'will': HR
'drop': TKROP
'dead': TKED
'on': OPB
'the': -T
'spot,': SPOT/KW-BG
'and': SKP
'there': THR
'will': HR
'be': -B
'an': APB
'end': EPBD
'of': -F
'him."': HEUPL/TP-PL/KR-GS
'"I': KW-GS/EU
'promise': PROPLS
'you': U
'I': EU
'will': HR
'not': TPHOT
'say': SAEU
'it': T
'any': TPHEU
'more,"': PHOR/KW-BG/KR-GS
'said': SED
'the': -T
'other;': OER/STPH*FPLT
'but': PWUT
'as': AS
'soon': SAOPB
'as': AS
'people': PAOEPL
'came': KAEUPL
'by,': PWEU/KW-BG
'nodding': TPHOD/-G
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'wishing': WEURBG
'him': HEUPL
'"Good': KW-GS/KPA*/TKPWAOD
'day,"': TKAEU/KW-BG/KR-GS
'he': HE
'became': PWAEUPL
'so': SO
'pleased,': PHREFD/KW-BG
'and': SKP
'thought': THAUT
'how': HOU
'grand': TKPWRAPBD
'it': T
'looked': HRAOBGD
'to': TO
'have': SR
'five': TPAOEUF
'horses': HORSZ
'ploughing': PHROUG/A*U
'in': TPH
'his': HEUS
'field,': TPAOELD/KW-BG
'that': THA
'he': HE
'cried': KRAOEUD
'out': OUT
'again,': STKPWERPBGS
'"Gee-up,': KW-GS/KPA/SKWRAOE/SKWR*UP/KW-BG
'all': AUL
'my': PHEU
'horses!"': HORSZ/SKHRAPL/KR-GS
'"I'll': KW-GS/AOEUL
'gee-up': SKWRAOE/SKWR*UP
'your': KWROUR
'horses': HORSZ
'for': TPOR
'you,"': U/KW-BG/KR-GS
'said': SED
'Big': KPA/PWEUG
'Claus;': KR*P/HR*/KWRA/SKWRU/-S/STPH*FPLT
'and': SKP
'seizing': SAOEZ/-G
'a': AEU
'hammer,': HAERPL/KW-BG
'he': HE
'struck': STRUBG
'the': -T
'one': WUPB
'horse': HORS
'of': -F
'Little': KPA/HREUL
'Claus': KR*P/HR*/KWRA/SKWRU/-S
'on': OPB
'the': -T
'head,': HED/KW-BG
'and': SKP
'he': HE
'fell': TPEL
'dead': TKED
'instantly.': EUPB/STAPBT/HREU/TP-PL
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'now': TPHOU
'I': EU
'have': SR
'no': TPHO
'horse': HORS
'at': AT
'all,"': AUL/KW-BG/KR-GS
'said': SED
'Little': KPA/HREUL
'Claus,': KR*P/HR*/KWRA/SKWRU/-S/KW-BG
'weeping.': WAOEP/-G/TP-PL
'But': KPA/PWUT
'after': AF
'a': AEU
'while': WHAOEUL
'he': HE
'took': TAOBG
'off': OF
'the': -T
'dead': TKED
'horse's': HORS/AES
'skin,': SKEUPB/KW-BG
'and': SKP
'hung': HUPBG
'the': -T
'hide': HAOEUD
'to': TO
'dry': TKRAOEU
'in': TPH
'the': -T
'wind.': WEUPBD/TP-PL
'Then': KPA/THEPB
'he': HE
'put': PUT
'the': -T
'dry': TKRAOEU
'skin': SKEUPB
'into': TPHAO
'a': AEU
'bag,': PWAG/KW-BG
'and,': SKP/KW-BG
'placing': PHRAEUFG
'it': T
'over': OEFR
'his': HEUS
'shoulder,': SHOURLD/KW-BG
'went': WEPBT
'out': OUT
'into': TPHAO
'the': -T
'next': TPHEGT
'town': TOUPB
'to': TO
'sell': SEL
'the': -T
'horse's': HORS/AES
'skin.': SKEUPB/TP-PL
'He': KPA/HE
'had': H
'a': AEU
'very': SRE
'long': HROPBG
'way': WAEU
'to': TO
'go,': TKPW-RBGS
'and': SKP
'had': H
'to': TO
'pass': PAS
'through': THRU
'a': AEU
'dark,': TKARBG/KW-BG
'gloomy': TKPWHRAOPL/KWREU
'forest.': TPOEFRT/TP-PL
'Presently': KPA/PREPBLT
'a': AEU
'storm': STORPL
'arose,': A/ROES/KW-BG
'and': SKP
'he': HE
'lost': HRO*S
'his': HEUS
'way,': WAEU/KW-BG
'and': SKP
'before': PW-FR
'he': HE
'discovered': SKOFD
'the': -T
'right': RAOEUT
'path,': PA*T/KW-BG
'evening': AOEPBG
'came': KAEUPL
'on,': OPB/KW-BG
'and': SKP
'it': T
'was': WAS
'still': STEUL
'a': AEU
'long': HROPBG
'way': WAEU
'to': TO
'the': -T
'town,': TOUPB/KW-BG
'and': SKP
'too': TAO
'far': TPAR
'to': TO
'return': RURPB
'home': HOEPL
'before': PW-FR
'night.': TPHAOEUT/TP-PL
'Near': KPA/TPHAOER
'the': -T
'road': RAOD
'stood': STAOD
'a': AEU
'large': HRARPBLG
'farmhouse.': TPARPL/HOUS/TP-PL
'The': KPA/-T
'shutters': SHUT/ERS
'outside': OUDZ
'the': -T
'windows': WOEUPBDZ
'were': WR
'closed,': KHROEFD/KW-BG
'but': PWUT
'lights': HRAOEUTS
'shone': SHO*EPB
'through': THRU
'the': -T
'crevices': KREFS/-S
'at': AT
'the': -T
'top.': TOP/TP-PL
'"I': KW-GS/EU
'might': PHAOEUT
'get': TKPWET
'permission': PERPLGS
'to': TO
'stay': STAEU
'here': HAOER
'for': TPOR
'the': -T
'night,"': TPHAOEUT/KW-BG/KR-GS
'thought': THAUT
'Little': KPA/HREUL
'Claus;': KR*P/HR*/KWRA/SKWRU/-S/STPH*FPLT
'so': SO
'he': HE
'went': WEPBT
'up': UP
'to': TO
'the': -T
'door': TKAOR
'and': SKP
'knocked.': TPHOBGD/TP-PL
'The': KPA/-T
'farmer's': TPAR/PHER/AES
'wife': WAOEUF
'opened': OEPD
'the': -T
'door;': TKAOR/STPH*FPLT
'but': PWUT
'when': WHEPB
'she': SHE
'heard': HAERD
'what': WHA
'he': HE
'wanted,': WAPBTD/KW-BG
'she': SHE
'told': TOLD
'him': HEUPL
'to': TO
'go': TKPW
'away,': WA*EU/KW-BG
'as': AS
'her': HER
'husband': HUS
'would': WO
'not': TPHOT
'allow': HROU
'her': HER
'to': TO
'admit': TKPHEUT
'strangers.': STRAEURPBGS/TP-PL
'"Then': KW-GS/KPA*/THEPB
'I': EU
'shall': SHAL
'be': -B
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'lie': HRAOEU
'out': OUT
'here,"': HAOERBGS/KR-GS
'said': SED
'Little': KPA/HREUL
'Claus': KR*P/HR*/KWRA/SKWRU/-S
'to': TO
'himself,': HEUPLS/KW-BG
'as': AS
'the': -T
'farmer's': TPAR/PHER/AES
'wife': WAOEUF
'shut': SHUT
'the': -T
'door': TKAOR
'in': TPH
'his': HEUS
'face.': TPAEUS/TP-PL
'Near': KPA/TPHAOER
'to': TO
'the': -T
'farmhouse': TPARPL/HOUS
'stood': STAOD
'a': AEU
'large': HRARPBLG
'haystack,': HA*EU/STABG/KW-BG
'and': SKP
'between': TWAOEPB
'it': T
'and': SKP
'the': -T
'house': HOUS
'was': WAS
'a': AEU
'small': SPHAL
'shed,': SHED/KW-BG
'with': W
'a': AEU
'thatched': THA*FP/-D
'roof.': RAOF/TP-PL
'"I': KW-GS/EU
'can': K
'lie': HRAOEU
'up': UP
'there,"': THR-RBGS/KR-GS
'said': SED
'Little': KPA/HREUL
'Claus,': KR*P/HR*/KWRA/SKWRU/-S/KW-BG
'as': AS
'he': HE
'saw': SAU
'the': -T
'roof;': RAOF/STPH*FPLT
'"it': KW-GS/T
'will': HR
'make': PHAEUBG
'a': AEU
'famous': TPAEUPLS
'bed,': PWED/KW-BG
'but': PWUT
'I': EU
'hope': HOEP
'the': -T
'stork': STORBG
'will': HR
'not': TPHOT
'fly': TPHRAOEU
'down': TKOUPB
'and': SKP
'bite': PWAOEUT
'my': PHEU
'legs;"': HREGS/STPH*FPLT/KR-GS
'for': TPOR
'on': OPB
'it': T
'stood': STAOD
'a': AEU
'living': HREUFG
'stork,': STORBG/KW-BG
'whose': WHOZ
'nest': TPHEFT
'was': WAS
'in': TPH
'the': -T
'roof.': RAOF/TP-PL
'So': KPA/SO
'Little': KPA/HREUL
'Claus': KR*P/HR*/KWRA/SKWRU/-S
'climbed': KHRAOEUPLD
'to': TO
'the': -T
'roof': RAOF
'of': -F
'the': -T
'shed,': SHED/KW-BG
'and': SKP
'while': WHAOEUL
'he': HE
'turned': TURPBD
'himself': HEUPLS
'to': TO
'get': TKPWET
'comfortable,': K-BL/KW-BG
'he': HE
'discovered': SKOFD
'that': THA
'the': -T
'wooden': WAOD/EPB
'shutters,': SHUT/ERS/KW-BG
'which': WEU
'were': WR
'closed,': KHROEFD/KW-BG
'did': TK
'not': TPHOT
'reach': RAOEFP
'to': TO
'the': -T
'tops': TOPS
'of': -F
'the': -T
'windows': WOEUPBDZ
'of': -F
'the': -T
'farmhouse,': TPARPL/HOUS/KW-BG
'so': SO
'that': THA
'he': HE
'could': KO
'see': SAOE
'into': TPHAO
'a': AEU
'room,': RAOPL/KW-BG
'in': TPH
'which': WEU
'a': AEU
'large': HRARPBLG
'table': TAEUBL
'was': WAS
'laid': HRAEUD
'out': OUT
'with': W
'wine,': WAOEUPB/KW-BG
'roast': ROEFT
'meat,': PHAET/KW-BG
'and': SKP
'a': AEU
'splendid': SPHREPB/TKEUD
'fish.': TPEURB/TP-PL
'The': KPA/-T
'farmer's': TPAR/PHER/AES
'wife': WAOEUF
'and': SKP
'the': -T
'sexton': SEBGS/TO*PB
'were': WR
'sitting': SEUGT
'at': AT
'the': -T
'table': TAEUBL
'together;': TOGT/STPH*FPLT
'and': SKP
'she': SHE
'filled': TPEULD
'his': HEUS
'glass,': TKPWHRARBGS
'and': SKP
'helped': HEPD
'him': HEUPL
'plenteously': P*/HR*/EPBT/SKWR*E/KWRO/SKWRU/-S/HREU
'to': TO
'fish,': TPEURB/KW-BG
'which': WEU
'appeared': A/PAOERD
'to': TO
'be': -B
'his': HEUS
'favorite': TPAEUFRT
'dish.': TKEURB/TP-PL
'"If': KW-GS/KPA*/TP
'I': EU
'could': KO
'only': OEPBL
'get': TKPWET
'some,': SORPBLGS
'too,"': TAO/KW-BG/KR-GS
'thought': THAUT
'Little': KPA/HREUL
'Claus;': KR*P/HR*/KWRA/SKWRU/-S/STPH*FPLT
'and': SKP
'then,': THEPB/KW-BG
'as': AS
'he': HE
'stretched': STREFPD
'his': HEUS
'neck': TPHEBG
'towards': TORDZ
'the': -T
'window': WOEUPBD
'he': HE
'spied': SPAOEUD
'a': AEU
'large,': HRARPBLG/KW-BG
'beautiful': PWAOUFL
'pie,—indeed': PAOEU/KW-BG/EPL/TKA*RB/TPHAOEPBD
'they': THE
'had': H
'a': AEU
'glorious': TKPWHRORS
'feast': TPAOEFT
'before': PW-FR
'them.': THEPL/TP-PL
'At': KPA/AT
'this': TH
'moment': PHOEPLT
'he': HE
'heard': HAERD
'some': SOPL
'one': WUPB
'riding': RAOEUD/-G
'down': TKOUPB
'the': -T
'road,': RAOD/KW-BG
'towards': TORDZ
'the': -T
'farmhouse.': TPARPL/HOUS/TP-PL
'It': KPA/T
'was': WAS
'the': -T
'farmer': TPAR/PHER
'returning': RURPBG
'home.': HOEPL/TP-PL
'He': KPA/HE
'was': WAS
'a': AEU
'good': TKPWAOD
'man,': PHAPB/KW-BG
'but': PWUT
'still': STEUL
'he': HE
'had': H
'a': AEU
'very': SRE
'strange': STRAEUPBG
'prejudice,—he': PREPBLG/KW-BG/EPL/TKA*RB/HE
'could': KO
'not': TPHOT
'bear': PWAER
'the': -T
'sight': SAOEUT
'of': -F
'a': AEU
'sexton.': SEBGS/TO*PB/TP-PL
'If': KPA/TP
'one': WUPB
'appeared': A/PAOERD
'before': PW-FR
