Little Ida's Flowers

'"My': KW-GS/KPA*/PHEU
'poor': PAOR
'flowers': TPHRO*URS
'are': R
'quite': KWAOEUT
'dead,"': TKED/KW-BG/KR-GS
'said': SED
'little': HREUL
'Ida,': KPA/EUD/SKWRA/KW-BG
'"they': KW-GS/THE
'were': WR
'so': SO
'pretty': PREUT
'yesterday': KWRED
'evening,': AOEPBG/KW-BG
'and': SKP
'now': TPHOU
'all': AUL
'the': -T
'leaves': HREFS
'are': R
'hanging': HAPBG/-G
'down': TKOUPB
'quite': KWAOEUT
'withered.': WEU/THER/-D/TP-PL
'What': KPA/WHA
'do': TKO
'they': THE
'do': TKO
'that': THA
'for,"': TPOR/KW-BG/KR-GS
'she': SHE
'asked,': SK-D/KW-BG
'of': -F
'the': -T
'student': STAUPB
'who': WHO
'sat': SAT
'on': OPB
'the': -T
'sofa;': SOEF/A/STPH*FPLT
'she': SHE
'liked': HRAOEUBGD
'him': HEUPL
'very': SRE
'much,': PHUFP/KW-BG
'he': HE
'could': KO
'tell': TEL
'the': -T
'most': PHOFT
'amusing': A/PHAOUFG
'stories,': STOERS/KW-BG
'and': SKP
'cut': KUT
'out': OUT
'the': -T
'prettiest': PRET/KWREFT
'pictures;': P*EUFPS/STPH*FPLT
'hearts,': HARTS/KW-BG
'and': SKP
'ladies': HRAEUDZ
'dancing,': TKAPBS/-G/KW-BG
'castles': KAS/-LS
'with': W
'doors': TKAORS
'that': THA
'opened,': OEPD/KW-BG
'as': AS
'well': WEL
'as': AS
'flowers;': TPHRO*URS/STPH*FPLT
'he': HE
'was': WAS
'a': AEU
'delightful': TKHRAOEUT/-FL
'student.': STAUPB/TP-PL
'"Why': KW-GS/KPA*/KWR
'do': TKO
'the': -T
'flowers': TPHRO*URS
'look': HRAOBG
'so': SO
'faded': TPAEUD/-D
'to-day?"': TO/H-PB/TKAEU/H-F/KR-GS
'she': SHE
'asked': SK-D
'again,': STKPWERPBGS
'and': SKP
'pointed': POEUPBTD
'to': TO
'her': HER
'nosegay,': TPHOES/TKPWAEU/KW-BG
'which': WEU
'was': WAS
'quite': KWAOEUT
'withered.': WEU/THER/-D/TP-PL
'"Don't': KPA/KW-GS/TKOEPBT
'you': U
'know': TPHOE
'what': WHA
'is': S
'the': -T
'matter': PHAERT
'with': W
'them?"': THEPL/H-F/KR-GS
'said': SED
'the': -T
'student.': STAUPB/TP-PL
'"The': KW-GS/KPA*/-T
'flowers': TPHRO*URS
'were': WR
'at': AT
'a': AEU
'ball': PWAUL
'last': HRAFT
'night,': TPHAOEUT/KW-BG
'and': SKP
'therefore,': TH-FR/KW-BG
'it': T
'is': S
'no': TPHO
'wonder': WOPBD
'they': THE
'hang': HAPBG
'their': THAEUR
'heads."': HEDZ/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'flowers': TPHRO*URS
'cannot': SK-PBT
'dance?"': TKAPBS/H-F/KR-GS
'cried': KRAOEUD
'little': HREUL
'Ida.': KPA/EUD/SKWRA/TP-PL
'"Yes': KW-GS/KPA*/KWRE
'indeed,': TPHAOEPBD/KW-BG
'they': THE
'can,"': K-RBGS/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'student.': STAUPB/TP-PL
'"When': KW-GS/KPA*/WHEPB
'it': T
'grows': TKPWRO*ES
'dark,': TKARBG/KW-BG
'and': SKP
'everybody': EFRB
'is': S
'asleep,': A/SHRAOEP/KW-BG
'they': THE
'jump': SKWRUFRP
'about': PW
'quite': KWAOEUT
'merrily.': PHER/HREU/TP-PL
'They': KPA/THE
'have': SR
'a': AEU
'ball': PWAUL
'almost': HR-PL
'every': EF
'night."': TPHAOEUT/TP-PL/KR-GS
'"Can': KW-GS/KPA*/K
'children': KHEURPB
'go': TKPW
'to': TO
'these': THEZ
'balls?"': PWAULS/H-F/KR-GS
'"Yes,"': KW-GS/KPA*/KWRE/KW-BG/KR-GS
'said': SED
'the': -T
'student,': STAUPB/KW-BG
'"little': KW-GS/HREUL
'daisies': TKAEUS/KWREU/-S
'and': SKP
