Little Tuk

'Yes,': KPA/KWRE/KW-BG
'they': THE
'called': KAULD
'him': HEUPL
'Little': KPA/HREUL
'Tuk,': T*P/*U/*BG/KW-BG
'but': PWUT
'it': T
'was': WAS
'not': TPHOT
'his': HEUS
'real': RAEL
'name;': TPHAEUPL/STPH*FPLT
'he': HE
'had': H
'called': KAULD
'himself': HEUPLS
'so': SO
'before': PW-FR
'he': HE
'could': KO
'speak': SPAOEBG
'plainly,': PHRAEUPBL/KW-BG
'and': SKP
'he': HE
'meant': PHEPBT
'it': T
'for': TPOR
'Charles.': KHARLS/TP-PL
'It': KPA/T
'was': WAS
'all': AUL
'very': SRE
'well': WEL
'for': TPOR
'those': THOZ
'who': WHO
'knew': TPHAOU
'him,': HEUPL/KW-BG
'but': PWUT
'not': TPHOT
'for': TPOR
'strangers.': STRAEURPBGS/TP-PL
'Little': KPA/HREUL
'Tuk': T*P/*U/*BG
'was': WAS
'left': HREFT
'at': AT
'home': HOEPL
'to': TO
'take': TAEUBG
'care': KAEUR
'of': -F
'his': HEUS
'little': HREUL
'sister,': ST-RBGS
'Gustava,': TKPWUS/TAF/TK-LS/A*/KW-BG
'who': WHO
'was': WAS
'much': PHUFP
'younger': KWRURPBG
'than': THAPB
'himself,': HEUPLS/KW-BG
'and': SKP
'he': HE
'had': H
'to': TO
'learn': HRERPB
'his': HEUS
'lessons': HROEFPBS
'at': AT
'the': -T
'same': SAEUPL
'time,': TAOEUPL/KW-BG
'and': SKP
'the': -T
'two': TWO
'things': THEUPBGS
'could': KO
'not': TPHOT
'very': SRE
'well': WEL
'be': -B
'performed': PORPLD
'together.': TOGT/TP-PL
'The': KPA/-T
'poor': PAOR
'boy': PWOEU
'sat': SAT
'there': THR
'with': W
'his': HEUS
'sister': ST-R
'on': OPB
'his': HEUS
'lap,': HRAP/KW-BG
'and': SKP
'sung': SUPBG
'to': TO
'her': HER
'all': AUL
'the': -T
'songs': SOPBGS
'he': HE
'knew,': TPHAOU/KW-BG
'and': SKP
'now': TPHOU
'and': SKP
'then': THEPB
'he': HE
'looked': HRAOBGD
'into': TPHAO
'his': HEUS
'geography': SKWRAOEF
'lesson': HROEFPB
'that': THA
'lay': HRAEU
'open': OEP
'before': PW-FR
'him.': HEUPL/TP-PL
'By': KPA/PWEU
'the': -T
'next': TPHEGT
'morning': PHORPBG
'he': HE
'had': H
'to': TO
'learn': HRERPB
'by': PWEU
'heart': HART
'all': AUL
'the': -T
'towns': TOUPBS
'in': TPH
'Zealand,': KPA/STKPWAOEL/TK-LS/APBD/KW-BG
'and': SKP
'all': AUL
'that': THA
'could': KO
'be': -B
'described': KREUFD
'of': -F
'them.': THEPL/TP-PL
'His': KPA/HEUS
'mother': PHOER
'came': KAEUPL
'home': HOEPL
'at': AT
'last,': HRAFT/KW-BG
'and': SKP
'took': TAOBG
'little': HREUL
'Gustava': TKPWUS/TAF/TK-LS/A*
'in': TPH
'her': HER
'arms.': ARPLS/TP-PL
'Then': KPA/THEPB
'Tuk': T*P/*U/*BG
'ran': RAPB
'to': TO
'the': -T
'window,': WOEUPBD/KW-BG
'and': SKP
'read': RAED
'so': SO
'eagerly': AOERLG
'that': THA
'he': HE
'nearly': TPHAOERL
'read': RAED
'his': HEUS
'eyes': AO*EUS
'out;': OUT/STPH*FPLT
'for': TPOR
'it': T
'had': H
'become': PW-BG
'darker': TKA*ERBG
'and': SKP
'darker': TKA*ERBG
'every': EF
'minute,': PHEURPBGS
'and': SKP
'his': HEUS
'mother': PHOER
'had': H
'no': TPHO
'money': PHUPB
'to': TO
'buy': PWAOEU
'a': AEU
'light.': HRAOEUT/TP-PL
'"There': KW-GS/KPA*/THR
'goes': TKPW-S
'the': -T
'old': OLD
'washerwoman': WARB/*ER/WO*PL
'up': UP
'the': -T
'lane,"': HRAEPB/KW-BG/KR-GS
'said': SED
'the': -T
'mother,': PHOER/KW-BG
'as': AS
'she': SHE
'looked': HRAOBGD
'out': OUT
'of': -F
'the': -T
'window;': WOEUPBD/STPH*FPLT
'"the': KW-GS/-T
'poor': PAOR
'woman': WOPL
'can': K
'hardly': HA*RLD
'drag': TKRAG
'herself': H*ERS
'along,': HRAOPBG/KW-BG
'and': SKP
'now': TPHOU
'she': SHE
'had': H
'to': TO
'drag': TKRAG
'a': AEU
'pail': PAEUL
'of': -F
'water': WAUR
'from': TPR
'the': -T
'well.': WEL/TP-PL
'Be': KPA/-B
'a': AEU
'good': TKPWAOD
'boy,': PWOEURBGS
'Tuk,': T*P/*U/*BG/KW-BG
