The Angel

'"Whenever': KW-GS/KPA*/WHEFR
'a': AEU
'good': TKPWAOD
'child': KHAOEULD
'dies,': TKAOEUZ/KW-BG
'an': APB
'angel': APB/SKWREL
'of': -F
'God': TKPWO*D
'comes': KOPLS
'down': TKOUPB
'from': TPR
'heaven,': HEFPB/KW-BG
'takes': TAEUBGS
'the': -T
'dead': TKED
'child': KHAOEULD
'in': TPH
'his': HEUS
'arms,': ARPLS/KW-BG
'spreads': SPREDZ
'out': OUT
'his': HEUS
'great': TKPWRAET
'white': WHAOEUT
'wings,': WEUPBGS/KW-BG
'and': SKP
'flies': TPHRAOEUS
'with': W
'him': HEUPL
'over': OEFR
'all': AUL
'the': -T
'places': PHRAEUFS
'which': WEU
'the': -T
'child': KHAOEULD
'had': H
'loved': HROFD
'during': TKURG
'his': HEUS
'life.': HRAOEUF/TP-PL
'Then': KPA/THEPB
'he': HE
'gathers': TKPWAERS
'a': AEU
'large': HRARPBLG
'handful': HAPBD/-FL
'of': -F
'flowers,': TPHRO*URS/KW-BG
'which': WEU
'he': HE
'carries': KAERS
'up': UP
'to': TO
'the': -T
'Almighty,': KPA/AL/PHAOEUT/KWREU/KW-BG
'that': THA
'they': THE
'may': PHAE
'bloom': PWHRAOPL
'more': PHOR
'brightly': PWRAOEULT
'in': TPH
'heaven': HEFPB
'than': THAPB
'they': THE
'do': TKO
'on': OPB
'earth.': *ERT/TP-PL
'And': AFPBD
'the': -T
'Almighty': KPA/AL/PHAOEUT/KWREU
'presses': PRES/-S
'the': -T
'flowers': TPHRO*URS
'to': TO
'His': KPA/HEUS
'heart,': HART/KW-BG
'but': PWUT
'He': KPA/HE
'kisses': KEUS/-S
'the': -T
'flower': TPHRO*UR
'that': THA
'pleases': PHRAOES/-S
'Him': KPA/HEUPL
'best,': PWEFT/KW-BG
'and': SKP
'it': T
'receives': SAOEFS
'a': AEU
'voice,': SROEUS/KW-BG
'and': SKP
'is': S
'able': ABL
'to': TO
'join': SKWROEUPB
'the': -T
'song': SOPBG
'of': -F
'the': -T
'chorus': KHOURS
'of': -F
'bliss."': PWHREUS/TP-PL/KR-GS
'These': KPA/THEZ
'words': WORDZ
'were': WR
'spoken': SPOEPB
'by': PWEU
'an': APB
'angel': APB/SKWREL
'of': -F
'God,': TKPWO*D/KW-BG
'as': AS
'he': HE
'carried': KAERD
'a': AEU
'dead': TKED
'child': KHAOEULD
'up': UP
'to': TO
'heaven,': HEFPB/KW-BG
'and': SKP
'the': -T
'child': KHAOEULD
'listened': HREUFPBD
'as': AS
'if': TP
'in': TPH
'a': AEU
'dream.': TKRAOEPL/TP-PL
'Then': KPA/THEPB
'they': THE
'passed': PAFD
'over': OEFR
'well-known': WEL/TPHO*EPB
'spots,': SPOTS/KW-BG
'where': W-R
'the': -T
'little': HREUL
'one': WUPB
'had': H
'often': OFPB
'played,': PHRAEUD/KW-BG
'and': SKP
'through': THRU
'beautiful': PWAOUFL
