The Beetle Who Went on His Travels

'There': KPA/THR
'was': WAS
'once': WUPBS
'an': APB
'Emperor': KPA/EPL/ROR
'who': WHO
'had': H
'a': AEU
'horse': HORS
'shod': SHOD
'with': W
'gold.': TKPWOELD/TP-PL
'He': KPA/HE
'had': H
'a': AEU
'golden': TKPWOELD/*EPB
'shoe': SHAOU
'on': OPB
'each': AOEFP
'foot,': TPAOT/KW-BG
'and': SKP
'why': KWR
'was': WAS
'this?': TH/H-F
'He': KPA/HE
'was': WAS
'a': AEU
'beautiful': PWAOUFL
'creature,': KRAOEFP/KW-BG
'with': W
'slender': SHRERPBD
'legs,': HREGS/KW-BG
'bright,': PWRAOEUT/KW-BG
'intelligent': SPWEPBLGT
'eyes,': AO*EUS/KW-BG
'and': SKP
'a': AEU
'mane': PH*/A*/TPH*/*E
'that': THA
'hung': HUPBG
'down': TKOUPB
'over': OEFR
'his': HEUS
'neck': TPHEBG
'like': HRAOEUBG
'a': AEU
'veil.': SRAEUL/TP-PL
'He': KPA/HE
'had': H
'carried': KAERD
'his': HEUS
'master': PHAFRT
'through': THRU
'fire': TPAOEUR
'and': SKP
'smoke': SPHOEBG
'in': TPH
'the': -T
'battle-field,': PWA*LT/H-PB/TPAOELD/KW-BG
'with': W
'the': -T
'bullets': PW*ULTS
'whistling': WHEUS/-LG
'round': ROUPBD
'him;': HEUPL/STPH*FPLT
'he': HE
'had': H
'kicked': KEUBGD
'and': SKP
'bitten,': PWEUT/-PB/KW-BG
'and': SKP
'taken': TAEPB
'part': PART
'in': TPH
'the': -T
'fight,': TPAOEUT/KW-BG
'when': WHEPB
'the': -T
'enemy': TPHAEPL
'advanced;': SRAPBS/-D/STPH*FPLT
'and,': SKP/KW-BG
'with': W
'his': HEUS
'master': PHAFRT
'on': OPB
'his': HEUS
'back,': PWABG/KW-BG
'he': HE
'had': H
'dashed': TKARBD
'over': OEFR
'the': -T
'fallen': TPAUPBL
'foe,': TPOE/KW-BG
'and': SKP
'saved': SAFD
'the': -T
'golden': TKPWOELD/*EPB
'crown': KROUPB
'and': SKP
'the': -T
'Emperor's': KPA/EPL/ROR/AES
'life,': HRAOEUF/KW-BG
'which': WEU
'was': WAS
'of': -F
'more': PHOR
'value': SRAOUL
'than': THAPB
'the': -T
'brightest': PWRAOEUT/EFT
'gold.': TKPWOELD/TP-PL
'This': KPA/TH
'is': S
'the': -T
'reason': R-PB
'of': -F
'the': -T
'Emperor's': KPA/EPL/ROR/AES
'horse': HORS
'wearing': WAERG
'golden': TKPWOELD/*EPB
'shoes.': SHAOUS/TP-PL
'A': KPA/AEU
'beetle': PWAO*ELT
'came': KAEUPL
'creeping': KRAOEPG
'forth': TPO*RT
'from': TPR
'the': -T
'stable,': STAEURBLGS
'where': W-R
'the': -T
'farrier': TP*/A*/R*/R*/SKWREU/*ER
'had': H
'been': PW-PB
'shoeing': SHAOU/-G
'the': -T
'horse.': HORS/TP-PL
'"Great': KW-GS/KPA*/TKPWRAET
'ones,': WUPBZ/KW-BG
'first,': TPEUFRT/KW-BG
'of': -F
'course,"': KORS/KW-BG/KR-GS
'said': SED
'he,': HE/KW-BG
'"and': KW-GS/SKP
'then': THEPB
'the': -T
'little': HREUL
'ones;': WUPBZ/STPH*FPLT
'but': PWUT
'size': SAOEUZ
'is': S
'not': TPHOT
'always': AULS
'a': AEU
'proof': PRAOF
'of': -F
'greatness."': TKPWRAET/-PBS/TP-PL/KR-GS
'He': KPA/HE
'stretched': STREFPD
'out': OUT
'his': HEUS
'thin': THEUPB
'leg': HREG
'as': AS
'he': HE
'spoke.': SPOEBG/TP-PL
'"And': KW-GS/AFPBD
'pray': PRAEU
'what': WHA
'do': TKO
'you': U
'want?"': WAPBT/H-F/KR-GS
'asked': SK-D
'the': -T
'farrier.': TP*/A*/R*/R*/SKWREU/*ER/TP-PL
'"Golden': KW-GS/KPA*/TKPWOELD/*EPB
'shoes,"': SHAOUS/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'beetle.': PWAO*ELT/TP-PL
'"Why,': KW-GS/KPA*/KWR/KW-BG
'you': U
'must': PHUFT
'be': -B
'out': OUT
'of': -F
'your': KWROUR
