The Bell-Deep

'"Ding-dong!': KW-GS/KPA*/TKEUPBG/H-PB/TKOPBG/SKHRAPL
'ding-dong!"': TKEUPBG/H-PB/TKOPBG/SKHRAPL/KR-GS
'It': KPA/T
'sounds': SOUPBDZ
'up': UP
'from': TPR
'the': -T
'"bell-deep"': KW-GS/PWEL/H-PB/TKAOEP/KR-GS
'in': TPH
'the': -T
'Odense-Au.': O*P/TK*/*EPB/-S/SKWR*E/H-PB/KPA/AEU/SKWRU/TP-PL
'Every': KPA/EF
'child': KHAOEULD
'in': TPH
'the': -T
'old': OLD
'town': TOUPB
'of': -F
'Odense,': O*P/TK*/*EPB/-S/SKWR*E/KW-BG
'on': OPB
'the': -T
'island': AOEULD
'of': -F
'Funen,': KPA/TPUPB/*EPB/KW-BG
'knows': TPHOEZ
'the': -T
'Au,': KPA/AEU/SKWRU/KW-BG
'which': WEU
'washes': WARBS
'the': -T
'gardens': TKPWARD/-PBS
'round': ROUPBD
'about': PW
'the': -T
'town,': TOUPB/KW-BG
'and': SKP
'flows': TPHROES
'on': OPB
'under': TPH-PB
'the': -T
'wooden': WAOD/EPB
'bridges': PWREUPBLGS
'from': TPR
'the': -T
'dam': TKAPL
'to': TO
'the': -T
'water-mill.': WAUR/H-PB/PHEUL/TP-PL
'In': KPA/TPH
'the': -T
'Au': KPA/AEU/SKWRU
'grow': TKPWROE
'the': -T
'yellow': KWREL/OE
'water-lilies': WAUR/H-PB/HREUL/KWREU/-S
'and': SKP
'brown': PWROUPB
'feathery': TP*ET/KWREU
'reeds;': RAOED/-S/STPH*FPLT
'the': -T
'dark': TKARBG
'velvety': SREL/SRE/TEU
'flag': TPHRAG
'grows': TKPWRO*ES
'there,': THR-RBGS
'high': HAOEU
'and': SKP
'thick;': THEUBG/STPH*FPLT
'old': OLD
'and': SKP
'decayed': TKAOE/KAEUD
'willows,': WEUL/HROE/-S/KW-BG
'slanting': SHRAPBT/-G
'and': SKP
'tottering,': T*/O*/T*/T*/*ER/-G/KW-BG
'hang': HAPBG
'far': TPAR
'out': OUT
'over': OEFR
'the': -T
'stream': STRAOEPL
'beside': PWE/SAOEUD
'the': -T
'monk's': PHO*PBG/AES
'meadow': PHED/OE
'and': SKP
'by': PWEU
'the': -T
'bleaching': PWHRAEFPG
'ground;': TKPWROUPBD/STPH*FPLT
'but': PWUT
'opposite': OP/SEUT
'there': THR
'are': R
'gardens': TKPWARD/-PBS
'upon': POPB
'gardens,': TKPWARD/-PBS/KW-BG
'each': AOEFP
'different': TKEUFRT
'from': TPR
'the': -T
'rest,': REFT/KW-BG
'some': SOPL
'with': W
'pretty': PREUT
'flowers': TPHRO*URS
'and': SKP
'bowers': HRO*ER/PWO*URS
'like': HRAOEUBG
'little': HREUL
'dolls'': TKOLS/AE
'pleasure': PHRERB
'grounds,': TKPWROUPBDZ/KW-BG
'often': OFPB
'displaying': TKEUS/PHRAEUG
'cabbage': KAB/APBLG
'and': SKP
'other': OER
'kitchen': K-FP
'plants;': PHRAPBTS/STPH*FPLT
'and': SKP
'here': HAOER
'and': SKP
'there': THR
'the': -T
'gardens': TKPWARD/-PBS
'cannot': SK-PBT
'be': -B
'seen': SAOEPB
'at': AT
'all,': AUL/KW-BG
'for': TPOR
'the': -T
'great': TKPWRAET
'elder': ELD/ER
'trees': TRAOES
'that': THA
'spread': SPRED
'themselves': TH*EPLS
'out': OUT
'by': PWEU
'the': -T
'bank,': PWA*PBG/KW-BG
'and': SKP
'hang': HAPBG
'far': TPAR
'out': OUT
'over': OEFR
'the': -T
'streaming': STRAOEPL/-G
'waters,': WAURS/KW-BG
'which': WEU
'are': R
'deeper': TKAOERP
'here': HAOER
'and': SKP
'there': THR
'than': THAPB
'an': APB
'oar': AOR
'can': K
'fathom.': TPA/THOPL/TP-PL
'Opposite': KPA/OP/SEUT
'the': -T
'old': OLD
'nunnery': TPHUPB/*PB/*ER/KWREU
'is': S
'the': -T
'deepest': TKAOEP/EFT
'place,': PHRAEUS/KW-BG
'which': WEU
'is': S
'called': KAULD
'the': -T
'"bell-deep,"': KW-GS/PWEL/H-PB/TKAOEP/KW-BG/KR-GS
'and': SKP
'there': THR
'dwells': TKWEL/-S
'the': -T
'old': OLD
'water': WAUR
'spirit,': SPEURT/KW-BG
'the': -T
'"Au-mann."': KW-GS/KPA/AEU/SKWRU/H-PB/HRO*ER/PHAPB/PHAPB/TP-PL/KR-GS
'This': KPA/TH
'spirit': SPEURT
'sleeps': SHRAOEPS
'through': THRU
'the': -T
'day': TKAEU
'while': WHAOEUL
'the': -T
'sun': SUPB
'shines': SHAOEUPBS
'down': TKOUPB
'upon': POPB
'the': -T
'water;': WAUR/STPH*FPLT
'but': PWUT
'in': TPH
'starry': STAR/REU
'and': SKP
'moonlit': PHAOPB/HREUT
'nights': TPHAOEUTS
'he': HE
'shows': SHOES
'himself.': HEUPLS/TP-PL
'He': KPA/HE
'is': S
'very': SRE
'old.': OLD/TP-PL
'Grandmother': KPA/TKPWR-PL
'says': SEZ
'that': THA
'she': SHE
'has': HAS
'heard': HAERD
'her': HER
'own': OEPB
'grandmother': TKPWR-PL
'tell': TEL
'of': -F
'him;': HEUPL/STPH*FPLT
'he': HE
'is': S
'said': SED
'to': TO
'lead': HRAED
'a': AEU
'solitary': SOL/TAER
'life,': HRAOEUF/KW-BG
'and': SKP
'to': TO
'have': SR
'nobody': TPHOEB
'with': W
'whom': WHOPL
'he': HE
'can': K
'converse': KWERS
'save': SAF
'the': -T
'great': TKPWRAET
'old': OLD
'church': KHUFRPB
'Bell.': PWEL/PWEL/TP-PL
'Once': KPA/WUPBS
'the': -T
'Bell': PWEL/PWEL
'hung': HUPBG
'in': TPH
'the': -T
'church': KHUFRPB
'tower;': TOUR/STPH*FPLT
'but': PWUT
'now': TPHOU
'there': THR
'is': S
'no': TPHO
'trace': TRAEUS
'left': HREFT
'of': -F
'the': -T
'tower': TOUR
'or': OR
'of': -F
'the': -T
'church,': KHUFRPB/KW-BG
'which': WEU
'was': WAS
'called': KAULD
'St.': S*T
'Alban's.': A*L/PWA/*PB/AES/TP-PL
'"Ding-dong!': KW-GS/KPA*/TKEUPBG/H-PB/TKOPBG/SKHRAPL
'ding-dong!"': TKEUPBG/H-PB/TKOPBG/SKHRAPL/KR-GS
'sounded': SOUPBD/-D
'the': -T
'Bell,': PWEL/PWEL/KW-BG
'when': WHEPB
'the': -T
'tower': TOUR
'still': STEUL
'stood': STAOD
'there;': THR/STPH*FPLT
'and': SKP
'one': WUPB
'evening,': AOEPBG/KW-BG
'while': WHAOEUL
'the': -T
'sun': SUPB
'was': WAS
'setting,': SEGT/KW-BG
'and': SKP
'the': -T
'Bell': PWEL/PWEL
'was': WAS
'swinging': SWEUPBG/-G
'away': WA*EU
'bravely,': PWRAEUFL/KW-BG
'it': T
'broke': PWROEBG
'loose': HRAOS
'and': SKP
'came': KAEUPL
'flying': TPHRAOEUG
'down': TKOUPB
'through': THRU
'the': -T
'air,': AEUR/KW-BG
'the': -T
'brilliant': PWREULT
'metal': PH*ELT
'shining': SHAOEUPBG
'in': TPH
'the': -T
'ruddy': RUD/TKEU
'beam.': PWAEPL/TP-PL
'"Ding-dong!': KW-GS/KPA*/TKEUPBG/H-PB/TKOPBG/SKHRAPL
'ding-dong!': TKEUPBG/H-PB/TKOPBG/SKHRAPL
'Now': KPA/TPHOU
'I'll': AOEUL
'retire': RAO*EUR
'to': TO
'rest!"': REFT/SKHRAPL/KR-GS
'sang': SAPBG
'the': -T
'Bell,': PWEL/PWEL/KW-BG
'and': SKP
'flew': TPHRAOU
'down': TKOUPB
'into': TPHAO
'the': -T
'Odense-Au,': O*P/TK*/*EPB/-S/SKWR*E/H-PB/KPA/AEU/SKWRU/KW-BG
'where': W-R
'it': T
'is': S
'deepest;': TKAOEP/EFT/STPH*FPLT
'and': SKP
'that': THA
'is': S
'why': KWR
'the': -T
'place': PHRAEUS
'is': S
'called': KAULD
'the': -T
'"bell-deep."': KW-GS/PWEL/H-PB/TKAOEP/TP-PL/KR-GS
'But': KPA/PWUT
'the': -T
'Bell': PWEL/PWEL
'got': TKPWOT
'neither': TPHAOERT
'rest': REFT
'nor': TPH-R
'sleep.': SHRAOEP/TP-PL
'Down': KPA/TKOUPB
'in': TPH
'the': -T
'Au-mann's': KPA/AEU/SKWRU/H-PB/HRO*ER/PHAPB/PHAPB/AES
'haunt': HAUPBT
'it': T
'sounds': SOUPBDZ
'and': SKP
'rings,': REUPBGS/KW-BG
'so': SO
'that': THA
'the': -T
'tones': TOEPBS
'sometimes': STAOEUPLS
'pierce': PAOERS
'upward': AUP/WARD
'through': THRU
'the': -T
'waters;': WAURS/STPH*FPLT
'and': SKP
'many': PHAEPB
'people': PAOEPL
'maintain': PHAEUPB/TAEUPB
'that': THA
'its': EUTS
'strains': STRAEUPBS
'forebode': TPOER/PWOED
'the': -T
'death': TK*T
'of': -F
'some': SOPL
'one;': WUPB/STPH*FPLT
'but': PWUT
'that': THA
'is': S
'not': TPHOT
'true,': TRAOU/KW-BG
'for': TPOR
'the': -T
'Bell': PWEL/PWEL
'is': S
'only': OEPBL
'talking': TAUG
'with': W
'the': -T
'Au-mann,': KPA/AEU/SKWRU/H-PB/HRO*ER/PHAPB/PHAPB/KW-BG
'who': WHO
'is': S
'now': TPHOU
'no': TPHO
'longer': HRORPBG
'alone.': A/HROEPB/TP-PL
'And': AFPBD
'what': WHA
'is': S
'the': -T
'Bell': PWEL/PWEL
'telling?': TELG/H-F
'It': KPA/T
'is': S
'old,': OLD/KW-BG
'very': SRE
'old,': OLD/KW-BG
'as': AS
'we': WE
'have': SR
'already': HR-R
'observed;': OEBD/STPH*FPLT
'it': T
'was': WAS
'there': THR
'long': HROPBG
'before': PW-FR
'grandmother's': TKPWR-PL/AES
'grandmother': TKPWR-PL
'was': WAS
'born;': PWORPB/STPH*FPLT
'and': SKP
'yet': KWRET
'it': T
'is': S
'but': PWUT
'a': AEU
'child': KHAOEULD
'in': TPH
'comparison': KPAEURPB
'with': W
'the': -T
'Au-mann,': KPA/AEU/SKWRU/H-PB/HRO*ER/PHAPB/PHAPB/KW-BG
'who': WHO
'is': S
'quite': KWAOEUT
'an': APB
'old': OLD
'quiet': KWAO*EUT
'personage,': PERPB/APBLG/KW-BG
'an': APB
'oddity,': OD/TEU/KW-BG
'with': W
'his': HEUS
'hose': HOES
'of': -F
'eel-skin,': AOEL/H-PB/SKEUPB/KW-BG
'and': SKP
'his': HEUS
'scaly': SKAEU/HREU
'Jacket': KPA/SKWRABGT
'with': W
'the': -T
'yellow': KWREL/OE
'lilies': HREUL/KWREU/-S
'for': TPOR
'buttons,': PW*PBS/KW-BG
'and': SKP
'a': AEU
