The Bishop of Borglum and His Warriors

'Our': KPA/OUR
'scene': SAEPB
'is': S
'laid': HRAEUD
'in': TPH
'Northern': TPHORPB
'Jutland,': KPA/SKWRUT/HRA*PBD/KW-BG
'in': TPH
'the': -T
'so-called': SOE/KAULD
'"wild': KW-GS/WAOEULD
'moor."': PHO*R/TP-PL/KR-GS
'We': KPA/WE
'hear': HAER
'what': WHA
'is': S
'called': KAULD
'the': -T
'"Wester-wow-wow"—the': KW-GS/W*EFT/*ER/H-PB/WO*U/H-PB/WO*U/KR-GS/EPL/TKA*RB/-T
'peculiar': PE/KAOUL/HRAR
'roar': ROR
'of': -F
'the': -T
'North': TPHOERT
'Sea': KPA/SAE
'as': AS
'it': T
'breaks': PWRAEBGS
'against': TKPWEPBS
'the': -T
'western': WES/TERPB
'coast': KOEFT
'of': -F
'Jutland.': KPA/SKWRUT/HRA*PBD/TP-PL
'It': KPA/T
'rolls': ROLS
'and': SKP
'thunders': THUPBD/ERS
'with': W
'a': AEU
'sound': SOUPBD
'that': THA
'penetrates': PEPB/TRAEUTS
'for': TPOR
'miles': PHAOEULS
'into': TPHAO
'the': -T
'land;': HRAPBD/STPH*FPLT
'and': SKP
'we': WE
'are': R
'quite': KWAOEUT
'near': TPHAOER
'the': -T
'roaring.': RAORG/TP-PL
'Before': KPA/PW-FR
'us': US
'rises': RAOEUZ/-Z
'a': AEU
'great': TKPWRAET
'mound': PHOUPBD
'of': -F
'sand—a': SAPBD/EPL/TKA*RB/AEU
'mountain': PHOUPB/TAEUPB
'we': WE
'have': SR
'long': HROPBG
'seen,': SAOEPB/KW-BG
'and': SKP
'towards': TORDZ
'which': WEU
'we': WE
'are': R
'wending': WE/*PBD/-G
'our': OUR
'way,': WAEU/KW-BG
'driving': TKRAOEUFG
'slowly': SHROEL
'along': HRAOPBG
'through': THRU
'the': -T
'deep': TKAOEP
'sand.': SAPBD/TP-PL
'On': KPA/OPB
'this': TH
'mountain': PHOUPB/TAEUPB
'of': -F
'sand': SAPBD
'is': S
'a': AEU
'lofty': HROF/TEU
'old': OLD
'building—the': PW-LG/EPL/TKA*RB/-T
'convent': KOPB/SREPBT
'of': -F
'Borglum.': PW*P/O*/R*/TKPW*/HR*/*UPL/TP-PL
'In': KPA/TPH
'one': WUPB
'of': -F
'its': EUTS
'wings': WEUPBGS
'(the': PREPB/-T
'larger': HRAERPBLG
'one)': WUPB/PR*EPB
'there': THR
'is': S
'still': STEUL
'a': AEU
'church.': KHUFRPB/TP-PL
'And': AFPBD
'at': AT
'this': TH
'convent': KOPB/SREPBT
'we': WE
'now': TPHOU
'arrive': A/RAOEUF
'in': TPH
'the': -T
'late': HRAEUT
'evening': AOEPBG
'hour;': HOUR/STPH*FPLT
'but': PWUT
'the': -T
'weather': WHR*
'is': S
'clear': KHRAOER
'in': TPH
'the': -T
'bright': PWRAOEUT
'June': SKWRUPB
'night': TPHAOEUT
'around': ARPBD
'us,': US/KW-BG
'and': SKP
'the': -T
'eye': AOEU
'can': K
'range': RAEUPBG
'far,': TPAR/KW-BG
'far': TPAR
'over': OEFR
'field': TPAOELD
'and': SKP
'moor': PHO*R
'to': TO
'the': -T
'Bay': PWA*EU
'of': -F
'Aalborg,': A*P/A*/HR*/PW*/O*/R*/TKPW*/KW-BG
'over': OEFR
'heath': HAO*ET
'and': SKP
'meadow,': PHED/OE/KW-BG
'and': SKP
'far': TPAR
'across': KRAOS
'the': -T
'deep': TKAOEP
'blue': PWHRU
'sea.': SAE/TP-PL
'Now': KPA/TPHOU
'we': WE
'are': R
'there,': THR-RBGS
'and': SKP
