The Brave Tin Soldier

'There': KPA/THR
'were': WR
'once': WUPBS
'five-and-twenty': TPAOEUF/H-PB/SKP/H-PB/TWEPBT
'tin': TEUPB
'soldiers,': SHRERPBLGS/KW-BG
'who': WHO
'were': WR
'all': AUL
'brothers,': PWROERS/KW-BG
'for': TPOR
'they': THE
'had': H
'been': PW-PB
'made': PHAED
'out': OUT
'of': -F
'the': -T
'same': SAEUPL
'old': OLD
'tin': TEUPB
'spoon.': SPAOPB/TP-PL
'They': KPA/THE
'shouldered': SHOULD/ER/-D
'arms': ARPLS
'and': SKP
'looked': HRAOBGD
'straight': STRAEUT
'before': PW-FR
'them,': THEPL/KW-BG
'and': SKP
'wore': WOR
'a': AEU
'splendid': SPHREPB/TKEUD
'uniform,': KWRAOUFRPL/KW-BG
'red': RED
'and': SKP
'blue.': PWHRU/TP-PL
'The': KPA/-T
'first': TPEUFRT
'thing': THEUPBG
'in': TPH
'the': -T
'world': WORLD
'they': THE
'ever': -FR
'heard': HAERD
'were': WR
'the': -T
'words,': WORDZ/KW-BG
'"Tin': KW-GS/KPA*/TEUPB
'soldiers!"': SHRERPBLGS/SKHRAPL/KR-GS
'uttered': UT/ERD
'by': PWEU
'a': AEU
'little': HREUL
'boy,': PWOEURBGS
'who': WHO
'clapped': KHRAP/-D
'his': HEUS
'hands': HAPBDZ
'with': W
'delight': TKHRAOEUT
'when': WHEPB
'the': -T
'lid': HREUD
'of': -F
'the': -T
'box,': PWOBGS/KW-BG
'in': TPH
'which': WEU
'they': THE
'lay,': HRAEU/KW-BG
'was': WAS
'taken': TAEPB
'off.': OF/TP-PL
'They': KPA/THE
'were': WR
'given': TKPWEUFPB
'him': HEUPL
'for': TPOR
'a': AEU
'birthday': PWEURT/TKAEU
'present,': PREPBT/KW-BG
'and': SKP
'he': HE
'stood': STAOD
'at': AT
'the': -T
'table': TAEUBL
'to': TO
'set': SET
'them': THEPL
'up.': UP/TP-PL
'The': KPA/-T
'soldiers': SHRERPBLGS
'were': WR
'all': AUL
'exactly': ELG
'alike,': A/HRAOEUBG/KW-BG
'excepting': KPEPT/-G
'one,': WUPB/KW-BG
'who': WHO
'had': H
'only': OEPBL
'one': WUPB
'leg;': HREG/STPH*FPLT
'he': HE
'had': H
'been': PW-PB
'left': HREFT
'to': TO
'the': -T
'last,': HRAFT/KW-BG
'and': SKP
'then': THEPB
'there': THR
'was': WAS
'not': TPHOT
'enough': TPHUF
'of': -F
'the': -T
'melted': PHELT/-D
'tin': TEUPB
'to': TO
'finish': TP*EURB
'him,': HEUPL/KW-BG
'so': SO
'they': THE
'made': PHAED
'him': HEUPL
'to': TO
'stand': STAPBD
'firmly': TPEURPL/HREU
'on': OPB
'one': WUPB
'leg,': HREG/KW-BG
'and': SKP
'this': TH
'caused': KAUDZ
'him': HEUPL
'to': TO
'be': -B
'very': SRE
'remarkable.': RARBG/-BL/TP-PL
'The': KPA/-T
'table': TAEUBL
'on': OPB
'which': WEU
'the': -T
'tin': TEUPB
'soldiers': SHRERPBLGS
'stood,': STAOD/KW-BG
'was': WAS
'covered': KOFRD
'with': W
'other': OER
'playthings,': PHRAEU/THEUPBG/-S/KW-BG
'but': PWUT
'the': -T
'most': PHOFT
'attractive': A/TRAF
'to': TO
'the': -T
'eye': AOEU
'was': WAS
'a': AEU
'pretty': PREUT
'little': HREUL
'paper': PAEUP
'castle.': KAFL/TP-PL
'Through': KPA/THRU
'the': -T
'small': SPHAL
'windows': WOEUPBDZ
'the': -T
'rooms': RAOPLS
'could': KO
'be': -B
'seen.': SAOEPB/TP-PL
'In': KPA/TPH
'front': TPROPBT
'of': -F
'the': -T
'castle': KAFL
'a': AEU
'number': TPHUPL
'of': -F
'little': HREUL
'trees': TRAOES
'surrounded': SROUPBD/-D
'a': AEU
'piece': PAOES
'of': -F
'looking-glass,': HRAOG/H-PB/TKPWHRAS/KW-BG
'which': WEU
'was': WAS
'intended': SPWEPBD/-D
'to': TO
'represent': REPT
'a': AEU
'transparent': TRAEUPBT
'lake.': HRAEUBG/TP-PL
'Swans,': KPA/SWAPBS/KW-BG
'made': PHAED
'of': -F
'wax,': WABGS/KW-BG
'swam': SWAPL
'on': OPB
'the': -T
'lake,': HRAEUBG/KW-BG
'and': SKP
'were': WR
'reflected': TPHREBGTD
'in': TPH
'it.': T/TP-PL
'All': KPA/AUL
'this': TH
'was': WAS
'very': SRE
'pretty,': PREUT/KW-BG
'but': PWUT
'the': -T
'prettiest': PRET/KWREFT
'of': -F
'all': AUL
'was': WAS
'a': AEU
'tiny': TOEUPB
'little': HREUL
'lady,': HRA*ED/KW-BG
'who': WHO
'stood': STAOD
'at': AT
'the': -T
'open': OEP
'door': TKAOR
'of': -F
'the': -T
'castle;': KAFL/STPH*FPLT
'she,': SHE/KW-BG
'also,': HR-S/KW-BG
'was': WAS
'made': PHAED
'of': -F
'paper,': PAEUP/KW-BG
'and': SKP
'she': SHE
'wore': WOR
'a': AEU
'dress': TKRES
'of': -F
'clear': KHRAOER
'muslin,': PHUS/HREUPB/KW-BG
'with': W
'a': AEU
'narrow': TPHO*EUR
'blue': PWHRU
'ribbon': REUB/O*PB
'over': OEFR
'her': HER
