The Buckwheat

'Very': KPA/SRE
'often,': OFPB/KW-BG
'after': AF
'a': AEU
'violent': SRAOEUPBLT
'thunder-storm,': THUPBD/H-PB/STORPL/KW-BG
'a': AEU
'field': TPAOELD
'of': -F
'buckwheat': PWUBG/WHAOET
'appears': A/PAOERS
'blackened': PWHRABG/-PBD
'and': SKP
'singed,': SEUPB/-PBLGD/KW-BG
'as': AS
'if': TP
'a': AEU
'flame': TPHRAEUPL
'of': -F
'fire': TPAOEUR
'had': H
'passed': PAFD
'over': OEFR
'it.': T/TP-PL
'The': KPA/-T
'country': KREU
'people': PAOEPL
'say': SAEU
'that': THA
'this': TH
'appearance': PAOERPBS
'is': S
'caused': KAUFD
'by': PWEU
'lightning;': HRAOEUT/TPHEUPBG/STPH*FPLT
'but': PWUT
'I': EU
'will': HR
'tell': TEL
'you': U
'what': WHA
'the': -T
'sparrow': SPAEUR/ROE
'says,': SEZ/KW-BG
'and': SKP
'the': -T
'sparrow': SPAEUR/ROE
'heard': HAERD
'it': T
'from': TPR
'an': APB
'old': OLD
'willow-tree': WEUL/HROE/H-PB/TRAOE
'which': WEU
'grew': TKPWRAOU
'near': TPHAOER
'a': AEU
'field': TPAOELD
'of': -F
'buckwheat,': PWUBG/WHAOET/KW-BG
'and': SKP
'is': S
'there': THR
'still.': STEUL/TP-PL
'It': KPA/T
'is': S
'a': AEU
'large': HRARPBLG
'venerable': SREPB/-BL
'tree,': TRAOE/KW-BG
'though': THOE
'a': AEU
'little': HREUL
'crippled': KREUPLD
'by': PWEU
'age.': AEUPBLG/TP-PL
'The': KPA/-T
'trunk': TRUPBG
'has': HAS
'been': PW-PB
'split,': SPHREUT/KW-BG
'and': SKP
'out': OUT
'of': -F
'the': -T
'crevice': KREFS
'grass': TKPWRAS
'and': SKP
'brambles': PWRAPL/-BLS
'grow.': TKPWROE/TP-PL
'The': KPA/-T
'tree': TRAOE
'bends': PWEPBDZ
'for-ward': TPOR/H-PB/WARD
'slightly,': SHRAOEULT/KW-BG
'and': SKP
'the': -T
'branches': PWRAFRPBS
'hang': HAPBG
'quite': KWAOEUT
'down': TKOUPB
'to': TO
'the': -T
'ground': TKPWROUPBD
'just': SKWRUFT
'like': HRAOEUBG
'green': TKPWRAOEPB
'hair.': HAEUR/TP-PL
'Corn': KPA/KORPB
'grows': TKPWRO*ES
'in': TPH
'the': -T
'surrounding': SROUPBGD
'fields,': TPAOELDZ/KW-BG
'not': TPHOT
'only': OEPBL
'rye': RAOEU
'and': SKP
'barley,': PWAR/HREU/KW-BG
'but': PWUT
'oats,-pretty': OET/-S/KW-BG/H-PB/PREUT
'oats': OET/-S
'that,': THARBGS
'when': WHEPB
'ripe,': RAOEUP/KW-BG
'look': HRAOBG
'like': HRAOEUBG
'a': AEU
'number': TPHUPL
'of': -F
'little': HREUL
'golden': TKPWOELD/*EPB
'canary-birds': KA/TPHAER/H-PB/PWEURDZ
'sitting': SEUGT
'on': OPB
'a': AEU
'bough.': PWO*U/TP-PL
'The': KPA/-T
'corn': KORPB
'has': HAS
'a': AEU
'smiling': SPHAOEULG
'look': HRAOBG
'and': SKP
'the': -T
'heaviest': HEF/KWREFT
'and': SKP
'richest': REUFP/EFTS
'ears': AOERS
'bend': PWEPBD
'their': THAEUR
'heads': HEDZ
'low': HROE
'as': AS
'if': TP
'in': TPH
'pious': PAOEU/OUS
'humility.': HAOUPL/EULT/TP-PL
'Once': KPA/WUPBS
'there': THR
'was': WAS
'also': HR-S
'a': AEU
'field': TPAOELD
'of': -F
'buckwheat,': PWUBG/WHAOET/KW-BG
'and': SKP
'this': TH
'field': TPAOELD
'was': WAS
'exactly': ELG
'opposite': OP/SEUT
'to': TO
'old': OLD
'willow-tree.': WEUL/HROE/H-PB/TRAOE/TP-PL
'The': KPA/-T
'buckwheat': PWUBG/WHAOET
'did': TK
'not': TPHOT
'bend': PWEPBD
'like': HRAOEUBG
'the': -T
'other': OER
'grain,': TKPWRAEUPB/KW-BG
'but': PWUT
'erected': AOE/REBGD
'its': EUTS
'head': HED
'proudly': PROUD/HREU
'and': SKP
'stiffly': STEUF/HREU
'on': OPB
'the': -T
'stem.': STEPL/TP-PL
'"I': KW-GS/EU
'am': APL
'as': AS
'valuable': SRABL
'as': AS
'any': TPHEU
'other': OER
'corn,"': KORPB/KW-BG/KR-GS
'said': SED
'he,': HE/KW-BG
'"and': KW-GS/SKP
'I': EU
'am': APL
'much': PHUFP
'handsomer;': HAPBD/SO*PL/TK-LS/*E/R*/STPH*FPLT
'my': PHEU
'flowers': TPHRO*URS
'are': R
'as': AS
'beautiful': PWAOUFL
'as': AS
'the': -T
'bloom': PWHRAOPL
'of': -F
'the': -T
'apple': A*EPL
'blossom,': PWHROFPL/KW-BG
'and': SKP
'it': T
'is': S
'a': AEU
'pleasure': PHRERB
'to': TO
'look': HRAOBG
'at': AT
'us.': US/TP-PL
'Do': KPA/TKO
'you': U
'know': TPHOE
'of': -F
'anything': TPHEUG
'prettier': PRET/KWRER
'than': THAPB
'we': WE
'are,': R-RBGS
'you': U
'old': OLD
'willow-tree?"': WEUL/HROE/H-PB/TRAOE/H-F/KR-GS
'And': AFPBD
'the': -T
'willow-tree': WEUL/HROE/H-PB/TRAOE
'nodded': TPHOD/-D
'his': HEUS
'head,': HED/KW-BG
'as': AS
'if': TP
'he': HE
'would': WO
'say,': SAEU/KW-BG
'"Indeed': KW-GS/KPA*/TPHAOEPBD
'I': EU
'do."': TKO/TP-PL/KR-GS
'But': KPA/PWUT
'the': -T
'buckwheat': PWUBG/WHAOET
'spread': SPRED
'itself': T/SEFL
'out': OUT
'with': W
'pride,': PRAOEUD/KW-BG
'and': SKP
'said,': SED/KW-BG
'"Stupid': KW-GS/KPA*/STAOUPD
'tree;': TRAOE/STPH*FPLT
'he': HE
'is': S
'so': SO
'old': OLD
'that': THA
'grass': TKPWRAS
'grows': TKPWRO*ES
'out': OUT
'of': -F
'his': HEUS
'body."': PWO*ED/TP-PL/KR-GS
'There': KPA/THR
'arose': A/ROES
'a': AEU
'very': SRE
'terrible': TERBL
'storm.': STORPL/TP-PL
'All': KPA/AUL
'the': -T
'field-flowers': TPAOELD/H-PB/TPHRO*URS
'folded': TPOELD/-D
'their': THAEUR
'leaves': HREFS
'together,': TOGT/KW-BG
'or': OR
'bowed': PWOE/-D
'their': THAEUR
'little': HREUL
'heads,': HEDZ/KW-BG
'while': WHAOEUL
'the': -T
'storm': STORPL
'passed': PAFD
'over': OEFR
'them,': THEPL/KW-BG
'but': PWUT
'the': -T
'buckwheat': PWUBG/WHAOET
'stood': STAOD
'erect': ER/EBGT
'in': TPH
'its': EUTS
'pride.': PRAOEUD/TP-PL
'"Bend': KW-GS/KPA*/PWEPBD
'your': KWROUR
'head': HED
'as': AS
'we': WE
'do,"': TKORBGS/KR-GS
'said': SED
'the': -T
'flowers.': TPHRO*URS/TP-PL
'"I': KW-GS/EU
'have': SR
'no': TPHO
'occasion': KWAEUGS
'to': TO
'do': TKO
'so,"': SO/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'buckwheat.': PWUBG/WHAOET/TP-PL
'"Bend': KW-GS/KPA*/PWEPBD
'your': KWROUR
'head': HED
'as': AS
'we': WE
'do,"': TKORBGS/KR-GS
'cried': KRAOEUD
'the': -T
'ears': AOERS
'of': -F
'corn;': KORPB/STPH*FPLT
'"the': KW-GS/-T
'angel': APB/SKWREL
'of': -F
'the': -T
'storm': STORPL
'is': S
'coming;': KO*G/STPH*FPLT
'his': HEUS
'wings': WEUPBGS
'spread': SPRED
