The Butterfly

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'butterfly': PW*URT/TPHRAOEU
'who': WHO
'wished': WEURBD
'for': TPOR
'a': AEU
'bride,': PWRAOEUD/KW-BG
'and,': SKP/KW-BG
'as': AS
'may': PHAEU
'be': -B
'supposed,': SPOED/KW-BG
'he': HE
'wanted': WAPBTD
'to': TO
'choose': KHAOS
'a': AEU
'very': SRE
'pretty': PREUT
'one': WUPB
'from': TPR
'among': PHOPBG
'the': -T
'flowers.': TPHRO*URS/TP-PL
'He': KPA/HE
'glanced,': TKPWHRAPBS/-D/KW-BG
'with': W
'a': AEU
'very': SRE
'critical': KR*EUL
'eye,': AOEU/KW-BG
'at': AT
'all': AUL
'the': -T
'flower-beds,': TPHRO*UR/H-PB/PWEDZ/KW-BG
'and': SKP
'found': TPOUPBD
'that': THA
'the': -T
'flowers': TPHRO*URS
'were': WR
'seated': SAOETD
'quietly': KWAO*EULT
'and': SKP
'demurely': TKE/PHAOURL
'on': OPB
'their': THAEUR
'stalks,': STAUBGS/KW-BG
'just': SKWRUFT
'as': AS
'maidens': PHAEUD/*EPB/-S
'should': SHO
'sit': SEUT
'before': PW-FR
'they': THE
'are': R
'engaged;': EPB/TKPWAEUPBLGD/STPH*FPLT
'but': PWUT
'there': THR
'was': WAS
'a': AEU
'great': TKPWRAET
'number': TPHUPL
'of': -F
'them,': THEPL/KW-BG
'and': SKP
'it': T
'appeared': A/PAOERD
'as': AS
'if': TP
'his': HEUS
'search': SEFRPB
'would': WO
'become': PW-BG
'very': SRE
'wearisome.': WAOE/REU/SPH/TP-PL
'The': KPA/-T
'butterfly': PW*URT/TPHRAOEU
'did': TK
'not': TPHOT
'like': HRAOEUBG
'to': TO
'take': TAEUBG
'too': TAO
'much': PHUFP
'trouble,': TRUBL/KW-BG
'so': SO
'he': HE
'flew': TPHRAOU
'off': OF
'on': OPB
'a': AEU
'visit': SREUFT
'to': TO
'the': -T
'daisies.': TKAEUS/KWREU/-S/TP-PL
'The': KPA/-T
'French': TPREFRPB
'call': KAUL
'this': TH
'flower': TPHRO*UR
'"Marguerite,"': KW-GS/PHARG/REUT/KW-BG/KR-GS
'and': SKP
'they': THE
'say': SAEU
'that': THA
'the': -T
'little': HREUL
'daisy': TKAEU/SEU
'can': K
'prophesy.': PROF/SEU/TP-PL
'Lovers': KPA/HRUFRS
'pluck': PHRUBG
'off': OF
'the': -T
'leaves,': HREFS/KW-BG
'and': SKP
'as': AS
'they': THE
'pluck': PHRUBG
'each': AOEFP
'leaf,': HRAOEF/KW-BG
'they': THE
'ask': SK
'a': AEU
'question': KWE
'about': PW
'their': THAEUR
'lovers;': HRUFRS/STPH*FPLT
'thus:': THUS/STPH-FPLT
'"Does': KW-GS/KPA*/TKOS
'he': HE
'or': OR
'she': SHE
'love': HRUF
'me?—Ardently?': PHE/H-F/EPL/TKA*RB/KPA/ARD/EPBT/HREU/H-F
'Distractedly?': KPA/TKEUS/TRABGD/HREU/H-F
'Very': KPA/SRE
'much?': PHUFP/H-F
'A': KPA/AEU
'little?': HREUL/H-F
'Not': KPA/TPHOT
'at': AT
'all?"': AUL/H-F/KR-GS
'and': SKP
'so': SO
'on.': OPB/TP-PL
'Every': KPA/EF
'one': WUPB
'speaks': SPAOEBGS
'these': THEZ
'words': WORDZ
'in': TPH
'his': HEUS
'own': OEPB
'language.': HRAPBLG/TP-PL
'The': KPA/-T
'butterfly': PW*URT/TPHRAOEU
'came': KAEUPL
'also': HR-S
'to': TO
'Marguerite': PHARG/REUT
'to': TO
'inquire,': KW-R/KW-BG
'but': PWUT
'he': HE
'did': TK
'not': TPHOT
'pluck': PHRUBG
'off': OF
'her': HER
'leaves;': HREFS/STPH*FPLT
'he': HE
'pressed': PREFD
'a': AEU
'kiss': KEUS
'on': OPB
'each': AOEFP
'of': -F
'them,': THEPL/KW-BG
'for': TPOR
'he': HE
'thought': THAUT
'there': THR
'was': WAS
'always': AULS
'more': PHOR
'to': TO
'be': -B
'done': TKOPB
'by': PWEU
'kindness.': KEUPBD/-PBS/TP-PL
'"Darling': KW-GS/KPA*/TKARLG
'Marguerite': PHARG/REUT
'daisy,"': TKAEU/SEU/KW-BG/KR-GS
'he': HE
'said': SED
'to': TO
'her,': HER/KW-BG
'"you': KW-GS/U
'are': R
'the': -T
'wisest': WAOEUZ/*ES
'woman': WOPL
'of': -F
'all': AUL
'the': -T
'flowers.': TPHRO*URS/TP-PL
'Pray': KPA/PRAEU
'tell': TEL
