The Elfin Hill

'A': KPA/AEU
'few': TPAOU
'large': HRARPBLG
'lizards': HREUZ/ARDZ
'were': WR
'running': R*UPBG
'nimbly': TPHEUPL/PWHREU
'about': PW
'in': TPH
'the': -T
'clefts': KHREFT/-S
'of': -F
'an': APB
'old': OLD
'tree;': TRAOE/STPH*FPLT
'they': THE
'could': KO
'understand': URPBD
'one': WUPB
'another': TPHOER
'very': SRE
'well,': WEL/KW-BG
'for': TPOR
'they': THE
'spoke': SPOEBG
'the': -T
'lizard': HREUZ/ARD
'language.': HRAPBLG/TP-PL
'"What': KW-GS/KPA*/WHA
'a': AEU
'buzzing': PWUZ/-G
'and': SKP
'a': AEU
'rumbling': RUPL/-BLG
'there': THR
'is': S
'in': TPH
'the': -T
'elfin': *EFL/*EUPB
'hill,"': HEUL/KW-BG/KR-GS
'said': SED
'one': WUPB
'of': -F
'the': -T
'lizards;': HREUZ/ARDZ/STPH*FPLT
'"I': KW-GS/EU
'have': SR
'not': TPHOT
'been': PW-PB
'able': ABL
'to': TO
'close': KHROES
'my': PHEU
'eyes': AO*EUS
'for': TPOR
'two': TWO
'nights': TPHAOEUTS
'on': OPB
'account': K-T
'of': -F
'the': -T
'noise;': TPHOEUS/STPH*FPLT
'I': EU
'might': PHAOEUT
'just': SKWRUFT
'as': AS
'well': WEL
'have': SR
'had': H
'the': -T
'toothache,': TAO*T/AEUBG/KW-BG
'for': TPOR
'that': THA
'always': AULS
'keeps': KAOEPS
'me': PHE
'awake."': A/WAEUBG/TP-PL/KR-GS
'"There': KW-GS/KPA*/THR
'is': S
'something': S-G
'going': TKPW-G
'on': OPB
'within': W-PB
'there,"': THR-RBGS/KR-GS
'said': SED
'the': -T
'other': OER
'lizard;': HREUZ/ARD/STPH*FPLT
'"they': KW-GS/THE
'propped': PROPD
'up': UP
'the': -T
'top': TOP
'of': -F
'the': -T
'hill': HEUL
'with': W
'four': TPOUR
'red': RED
'posts,': POEFTS/KW-BG
'till': TEUL
'cock-crow': KOBG/H-PB/KROE
'this': TH
'morning,': PHORPBG/KW-BG
'so': SO
'that': THA
'it': T
'is': S
'thoroughly': THORL
'aired,': AEUR/-D/KW-BG
'and': SKP
'the': -T
'elfin': *EFL/*EUPB
'girls': TKPWEURLS
'have': SR
'learnt': HRERPBT
'new': TPHU
'dances;': TKAPBS/-S/STPH*FPLT
'there': THR
'is': S
'something."': S-G/TP-PL/KR-GS
'"I': KW-GS/EU
'spoke': SPOEBG
'about': PW
'it': T
'to': TO
'an': APB
'earth-worm': *ERT/H-PB/WORPL
'of': -F
'my': PHEU
'acquaintance,"': KWAEUPBS/KW-BG/KR-GS
'said': SED
'a': AEU
'third': THEURD
'lizard;': HREUZ/ARD/STPH*FPLT
'"the': KW-GS/-T
'earth-worm': *ERT/H-PB/WORPL
'had': H
'just': SKWRUFT
'come': KOPL
'from': TPR
'the': -T
'elfin': *EFL/*EUPB
'hill,': HEUL/KW-BG
'where': W-R
'he': HE
'has': HAS
'been': PW-PB
'groping': TKPWROEPG
'about': PW
'in': TPH
'the': -T
'earth': *ERT
'day': TKAEU
'and': SKP
'night.': TPHAOEUT/TP-PL
'He': KPA/HE
'has': HAS
'heard': HAERD
'a': AEU
'great': TKPWRAET
'deal;': TKAOEL/STPH*FPLT
'although': HR*T
'he': HE
'cannot': SK-PBT
'see,': SAOERBGS
'poor': PAOR
'miserable': PHEUZ/-BL
'creature,': KRAOEFP/KW-BG
'yet': KWRET
'he': HE
'understands': URPBDZ
'very': SRE
'well': WEL
'how': HOU
'to': TO
'wriggle': WREUG/*L
'and': SKP
'lurk': HRURBG
'about.': PW/TP-PL
'They': KPA/THE
'expect': KP-PT
'friends': TPREPBDZ
'in': TPH
'the': -T
'elfin': *EFL/*EUPB
'hill,': HEUL/KW-BG
'grand': TKPWRAPBD
'company,': K-P/KW-BG
'too;': TAO/STPH*FPLT
'but': PWUT
'who': WHO
'they': THE
'are': R
'the': -T
'earth-worm': *ERT/H-PB/WORPL
'would': WO
'not': TPHOT
'say,': SAEU/KW-BG
'or,': OR/KW-BG
'perhaps,': PRAPS/KW-BG
'he': HE
'really': R-L
'did': TK
'not': TPHOT
'know.': TPHOEFPLT
'All': KPA/AUL
'the': -T
'will-o'-the-wisps': HR/H-PB/O*/TK-LS/AE/H-PB/-T/H-PB/WEUS/-PS
'are': R
'ordered': ORD/-D
'to': TO
'be': -B
'there': THR
'to': TO
'hold': HOLD
'a': AEU
'torch': TOFRPB
'dance,': TKAPBS/KW-BG
'as': AS
'it': T
'is': S
'called.': KAULD/TP-PL
'The': KPA/-T
'silver': SEUL/SRER
'and': SKP
'gold': TKPWOELD
'which': WEU
'is': S
'plentiful': PHREPBT/-FL
'in': TPH
'the': -T
'hill': HEUL
'will': HR
'be': -B
'polished': POL/EURBD
'and': SKP
'placed': PHRAEUFD
'out': OUT
'in': TPH
'the': -T
'moonlight."': PHAOLGT/TP-PL/KR-GS
'"Who': KW-GS/KPA*/WHO
'can': K
'the': -T
'strangers': STRAEURPBGS
'be?"': -B/H-F/KR-GS
'asked': SK-D
'the': -T
'lizards;': HREUZ/ARDZ/STPH*FPLT
'"what': KW-GS/WHA
'can': K
'the': -T
'matter': PHAERT
'be?': -B/H-F
'Hark,': KPA/HARBG/KW-BG
'what': WHA
'a': AEU
'buzzing': PWUZ/-G
'and': SKP
'humming': HUPL/-G
'there': THR
'is!"': S/SKHRAPL/KR-GS
'Just': KPA/SKWRUFT
'at': AT
'this': TH
'moment': PHOEPLT
'the': -T
'elfin': *EFL/*EUPB
'hill': HEUL
'opened,': OEPD/KW-BG
'and': SKP
'an': APB
'old': OLD
'elfin': *EFL/*EUPB
'maiden,': PHAEUD/*EPB/KW-BG
'hollow': HOL/OE
'behind,': HEUPBD/KW-BG
'came': KAEUPL
'tripping': TREUPG
'out;': OUT/STPH*FPLT
'she': SHE
'was': WAS
'the': -T
'old': OLD
'elf': *EFL
'king's': KEUPBG/AES
'housekeeper,': HOUS/KAOEP/ER/KW-BG
'and': SKP
'a': AEU
'distant': STKAPBT
'relative': REL/TEUF
'of': -F
'the': -T
'family;': TPAEPL/STPH*FPLT
'therefore': TH-FR
'she': SHE
'wore': WOR
'an': APB
'amber': APL/PWER
'heart': HART
'on': OPB
'the': -T
'middle': PH*EULD
'of': -F
'her': HER
'forehead.': TPOER/HED/TP-PL
'Her': KPA/HER
'feet': TPAOET
'moved': PHOFD
'very': SRE
'fast,': TPAFT/KW-BG
'"trip,': KW-GS/TREUP/KW-BG
'trip;"': TREUP/STPH*FPLT/KR-GS
'good': TKPWAOD
'gracious,': TKPWRAEURBS/KW-BG
'how': HOU
'she': SHE
'could': KO
'trip': TREUP
'right': RAOEUT
'down': TKOUPB
'to': TO
'the': -T
'sea': SAE
