The Emperor's New Suit

'Many,': KPA/PHAEPB/KW-BG
'many': PHAEPB
'years': KWRAOERS
'ago': AG
'lived': HREUFD
'an': APB
'emperor,': EPL/ROR/KW-BG
'who': WHO
'thought': THAUT
'so': SO
'much': PHUFP
'of': -F
'new': TPHU
'clothes': KHRO*ETS
'that': THA
'he': HE
'spent': SPEPBT
'all': AUL
'his': HEUS
'money': PHUPB
'in': TPH
'order': ORD
'to': TO
'obtain': OB/TAEUPB
'them;': THEPL/STPH*FPLT
'his': HEUS
'only': OEPBL
'ambition': APL/PWEUGS
'was': WAS
'to': TO
'be': -B
'always': AULS
'well': WEL
'dressed.': TKREFD/TP-PL
'He': KPA/HE
'did': TK
'not': TPHOT
'care': KAEUR
'for': TPOR
'his': HEUS
'soldiers,': SHRERPBLGS/KW-BG
'and': SKP
'the': -T
'theatre': THAO*ERT
'did': TK
'not': TPHOT
'amuse': A/PHAOUS
'him;': HEUPL/STPH*FPLT
'the': -T
'only': OEPBL
'thing,': THEUPBG/KW-BG
'in': TPH
'fact,': TPABGT/KW-BG
'he': HE
'thought': THAUT
'anything': TPHEUG
'of': -F
'was': WAS
'to': TO
'drive': TKRAOEUF
'out': OUT
'and': SKP
'show': SHOE
'a': AEU
'new': TPHU
'suit': SAOUT
'of': -F
'clothes.': KHRO*ETS/TP-PL
'He': KPA/HE
'had': H
'a': AEU
'coat': KOET
'for': TPOR
'every': EF
'hour': HOUR
'of': -F
'the': -T
'day;': TKAEU/STPH*FPLT
'and': SKP
'as': AS
'one': WUPB
'would': WO
'say': SAEU
'of': -F
'a': AEU
'king': KEUPBG
'"He': KW-GS/KPA*/HE
'is': S
'in': TPH
'his': HEUS
'cabinet,"': KABT/KW-BG/KR-GS
'so': SO
'one': WUPB
'could': KO
'say': SAEU
'of': -F
'him,': HEUPL/KW-BG
'"The': KW-GS/KPA*/-T
'emperor': EPL/ROR
'is': S
'in': TPH
'his': HEUS
'dressing-room."': TKREFG/H-PB/RAOPL/TP-PL/KR-GS
'The': KPA/-T
'great': TKPWRAET
'city': STEU
'where': W-R
'he': HE
'resided': RE/SAOEUD/-D
'was': WAS
'very': SRE
'gay;': TKPWAEU/STPH*FPLT
'every': EF
'day': TKAEU
'many': PHAEPB
'strangers': STRAEURPBGS
'from': TPR
'all': AUL
'parts': PARTS
'of': -F
'the': -T
'globe': TKPWHROEB
'arrived.': A/RAOEUFD/TP-PL
'One': KPA/WUPB
'day': TKAEU
'two': TWO
'swindlers': SWEUPBD/HRERS
'came': KAEUPL
'to': TO
'this': TH
'city;': STEU/STPH*FPLT
'they': THE
'made': PHAED
'people': PAOEPL
'believe': PWHREF
'that': THA
'they': THE
'were': WR
