The Fir Tree

'Far': KPA/TPAR
'down': TKOUPB
'in': TPH
'the': -T
'forest,': TPOEFRT/KW-BG
'where': W-R
'the': -T
'warm': WARPL
'sun': SUPB
'and': SKP
'the': -T
'fresh': TPRERB
'air': AEUR
'made': PHAED
'a': AEU
'sweet': SWAOET
'resting-place,': REFT/-G/H-PB/PHRAEUS/KW-BG
'grew': TKPWRAOU
'a': AEU
'pretty': PREUT
'little': HREUL
'fir-tree;': TPEUR/H-PB/TRAOE/STPH*FPLT
'and': SKP
'yet': KWRET
'it': T
'was': WAS
'not': TPHOT
'happy,': HAEP/KW-BG
'it': T
'wished': WEURBD
'so': SO
'much': PHUFP
'to': TO
'be': -B
'tall': TAUL
'like': HRAOEUBG
'its': EUTS
'companions—the': KPAPB/KWROPBS/EPL/TKA*RB/-T
'pines': PAOEUPBS
'and': SKP
'firs': TPEURZ
'which': WEU
'grew': TKPWRAOU
'around': ARPBD
'it.': T/TP-PL
'The': KPA/-T
'sun': SUPB
'shone,': SHO*EPB/KW-BG
'and': SKP
'the': -T
'soft': SOFT
'air': AEUR
'fluttered': TPHRUT/ERD
'its': EUTS
'leaves,': HREFS/KW-BG
'and': SKP
'the': -T
'little': HREUL
'peasant': PEFPBT
'children': KHEURPB
'passed': PAFD
'by,': PWEU/KW-BG
'prattling': PRAT/-LG
'merrily,': PHER/HREU/KW-BG
'but': PWUT
'the': -T
'fir-tree': TPEUR/H-PB/TRAOE
'heeded': HAOED/-D
'them': THEPL
'not.': TPHOT/TP-PL
'Sometimes': KPA/STAOEUPLS
'the': -T
'children': KHEURPB
'would': WO
'bring': PWREU
'a': AEU
'large': HRARPBLG
'basket': PWAFBGT
'of': -F
'raspberries': RAZ/PWER/KWREUS
'or': OR
'strawberries,': STRAU/PWER/KWREUS/KW-BG
'wreathed': WRAO*ET/-D
'on': OPB
'a': AEU
'straw,': STRAU/KW-BG
'and': SKP
'seat': SAOET
'themselves': TH*EPLS
'near': TPHAOER
'the': -T
'fir-tree,': TPEUR/H-PB/TRAOE/KW-BG
'and': SKP
'say,': SAEU/KW-BG
'"Is': KW-GS/KPA*/S
'it': T
'not': TPHOT
'a': AEU
'pretty': PREUT
'little': HREUL
'tree?"': TRAOE/H-F/KR-GS
'which': WEU
'made': PHAED
'it': T
'feel': TPAOEL
'more': PHOR
'unhappy': UPB/HAEP
'than': THAPB
'before.': PW-FR/TP-PL
'And': AFPBD
'yet': KWRET
'all': AUL
'this': TH
'while': WHAOEUL
'the': -T
'tree': TRAOE
'grew': TKPWRAOU
'a': AEU
'notch': TPHOFP
'or': OR
'joint': SKWROEUPBT
'taller': TAURL
'every': EF
'year;': KWRAOER/STPH*FPLT
'for': TPOR
'by': PWEU
'the': -T
'number': TPHUPL
'of': -F
'joints': SKWROEUPBTS
'in': TPH
'the': -T
'stem': STEPL
'of': -F
'a': AEU
'fir-tree': TPEUR/H-PB/TRAOE
'we': WE
'can': K
'discover': SKOFR
'its': EUTS
'age.': AEUPBLG/TP-PL
'Still,': KPA/STEUL/KW-BG
'as': AS
'it': T
'grew,': TKPWRAOU/KW-BG
'it': T
'complained,': KPHRAEUPBD/KW-BG
'"Oh!': KW-GS/KPA*/O*ERBGS/SKHRAPL
'how': HOU
'I': EU
'wish': WEURB
'I': EU
'were': WR
'as': AS
'tall': TAUL
'as': AS
'the': -T
'other': OER
'trees,': TRAOES/KW-BG
'then': THEPB
'I': EU
'would': WO
'spread': SPRED
'out': OUT
'my': PHEU
'branches': PWRAFRPBS
'on': OPB
'every': EF
'side,': SAOEUD/KW-BG
'and': SKP
'my': PHEU
'top': TOP
'would': WO
'over-look': OEFR/HRAO*BG
'the': -T
'wide': WAOEUD
'world.': WORLD/TP-PL
'I': EU
'should': SHO
'have': SR
'the': -T
'birds': PWEURDZ
'building': PW-LG
'their': THAEUR
'nests': TPHEFT/-S
'on': OPB
'my': PHEU
'boughs,': PWO*U/-S/KW-BG
'and': SKP
'when': WHEPB
'the': -T
'wind': WEUPBD
'blew,': PWHRAOU/KW-BG
'I': EU
'should': SHO
'bow': PWOE
'with': W
'stately': STAEULT
'dignity': TKEUG/TEU
'like': HRAOEUBG
'my': PHEU
'tall': TAUL
'companions."': KPAPB/KWROPBS/TP-PL/KR-GS
'The': KPA/-T
'tree': TRAOE
'was': WAS
'so': SO
'discontented,': TKEUS/KAUPBTD/KW-BG
'that': THA
'it': T
'took': TAOBG
'no': TPHO
'pleasure': PHRERB
'in': TPH
'the': -T
'warm': WARPL
'sunshine,': SUPB/SHAO*EUPB/KW-BG
'the': -T
'birds,': PWEURDZ/KW-BG
'or': OR
'the': -T
'rosy': ROEZ/SEU
'clouds': KHROUDZ
'that': THA
'floated': TPHROET/-D
'over': OEFR
'it': T
'morning': PHORPBG
'and': SKP
'evening.': AOEPBG/TP-PL
'Sometimes,': KPA/STAOEUPLS/KW-BG
'in': TPH
'winter,': WEURPBT/KW-BG
'when': WHEPB
'the': -T
'snow': STPHOE
'lay': HRAEU
'white': WHAOEUT
'and': SKP
'glittering': TKPWHREUT/ERG
'on': OPB
'the': -T
'ground,': TKPWROUPBD/KW-BG
'a': AEU
'hare': HA*ER
'would': WO
'come': KOPL
'springing': SPREUPBG/-G
'along,': HRAOPBG/KW-BG
'and': SKP
'jump': SKWRUFRP
'right': RAOEUT
'over': OEFR
'the': -T
'little': HREUL
'tree;': TRAOE/STPH*FPLT
'and': SKP
'then': THEPB
'how': HOU
'mortified': PHORT/TPAOEUD
'it': T
'would': WO
'feel!': TPAOEL/SKHRAPL
'Two': KPA/TWO
'winters': WEURPBTS
'passed,': PAFD/KW-BG
'and': SKP
'when': WHEPB
'the': -T
'third': THEURD
'arrived,': A/RAOEUFD/KW-BG
'the': -T
'tree': TRAOE
'had': H
'grown': TKPWROEPB
'so': SO
'tall': TAUL
'that': THA
'the': -T
'hare': HA*ER
'was': WAS
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'run': RUPB
'round': ROUPBD
'it.': T/TP-PL
'Yet': KPA/KWRET
'it': T
'remained': RE/PHAEUPBD
'unsatisfied,': UPB/SAED/KW-BG
'and': SKP
'would': WO
'exclaim,': SKHRAEUPL/KW-BG
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'if': TP
'I': EU
'could': KO
'but': PWUT
'keep': KAOEP
'on': OPB
'growing': TKPWROEG
'tall': TAUL
'and': SKP
'old!': OLD/SKHRAPL
'There': KPA/THR
'is': S
'nothing': TPHOG
'else': ELS
'worth': WO*RT
'caring': KARG
'for': TPOR
'in': TPH
'the': -T
'world!"': WORLD/SKHRAPL/KR-GS
'In': KPA/TPH
'the': -T
'autumn,': AU/UPL/KW-BG
'as': AS
'usual,': AOURB/KW-BG
'the': -T
'wood-cutters': WAOD/H-PB/KUT/ERS
'came': KAEUPL
'and': SKP
'cut': KUT
'down': TKOUPB
'several': SEFRL
'of': -F
'the': -T
'tallest': TAUL/EFT
'trees,': TRAOES/KW-BG
'and': SKP
'the': -T
'young': KWRUPBG
'fir-tree,': TPEUR/H-PB/TRAOE/KW-BG
'which': WEU
'was': WAS
'now': TPHOU
'grown': TKPWROEPB
'to': TO
'its': EUTS
'full': TPUL
'height,': HAOEUT/KW-BG
'shuddered': SHUD/ERD
'as': AS
'the': -T
'noble': TPHOEBL
'trees': TRAOES
'fell': TPEL
'to': TO
'the': -T
'earth': *ERT
'with': W
'a': AEU
'crash.': KRARB/TP-PL
'After': KPA/AF
'the': -T
'branches': PWRAFRPBS
'were': WR
'lopped': HROP/P-D
'off,': OF/KW-BG
'the': -T
'trunks': TRUPB/-BGS
'looked': HRAOBGD
'so': SO
'slender': SHRERPBD
'and': SKP
'bare,': PWAEUR/KW-BG
'that': THA
'they': THE
'could': KO
'scarcely': SKAEURS/HREU
'be': -B
'recognised.': REFD/A*U/TP-PL
'Then': KPA/THEPB
'they': THE
'were': WR
'placed': PHRAEUFD
'upon': POPB
'wagons,': WAG/OPBS/KW-BG
'and': SKP
'drawn': TKRAUPB
'by': PWEU
'horses': HORSZ
'out': OUT
'of': -F
'the': -T
'forest.': TPOEFRT/TP-PL
'"Where': KW-GS/KPA*/W-R
'were': WR
'they': THE
'going?': TKPW-G/H-F
'What': KPA/WHA
'would': WO
'become': PW-BG
'of': -F
'them?"': THEPL/H-F/KR-GS
'The': KPA/-T
'young': KWRUPBG
'fir-tree': TPEUR/H-PB/TRAOE
'wished': WEURBD
'very': SRE
'much': PHUFP
'to': TO
'know;': TPHOE/STPH*FPLT
'so': SO
'in': TPH
'the': -T
'spring,': SPREUPBG/KW-BG
'when': WHEPB
'the': -T
'swallows': SWAL/OES
'and': SKP
'the': -T
'storks': STORBG/-S
'came,': KAEUPL/KW-BG
'it': T
'asked,': SK-D/KW-BG
'"Do': KW-GS/KPA*/TKO
'you': U
'know': TPHOE
'where': W-R
'those': THOZ
'trees': TRAOES
'were': WR
'taken?': TAEPB/H-F
'Did': KPA/TK
'you': U
'meet': PHAOET
'them?"': THEPL/H-F/KR-GS
'The': KPA/-T
'swallows': SWAL/OES
'knew': TPHAOU
'nothing,': TPHOG/KW-BG
'but': PWUT
'the': -T
'stork,': STORBG/KW-BG
'after': AF
'a': AEU
'little': HREUL
'reflection,': RE/TPHR*EBGS/KW-BG
'nodded': TPHOD/-D
'his': HEUS
'head,': HED/KW-BG
'and': SKP
'said,': SED/KW-BG
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'I': EU
'think': THEU
'I': EU
'do.': TKO/TP-PL
'I': EU
'met': PHET
'several': SEFRL
'new': TPHU
'ships': SHEUPS
'when': WHEPB
'I': EU
'flew': TPHRAOU
'from': TPR
'Egypt,': AOE/SKWREUPT/KW-BG
'and': SKP
'they': THE
'had': H
'fine': TPAOEUPB
'masts': PHAFT/-S
'that': THA
'smelt': SPHELT
'like': HRAOEUBG
'fir.': TPEUR/TP-PL
'I': EU
'think': THEU
'these': THEZ
'must': PHUFT
'have': SR
'been': PW-PB
'the': -T
'trees;': TRAOES/STPH*FPLT
'I': EU
'assure': A/SHUR
'you': U
'they': THE
'were': WR
'stately,': STAEULT/KW-BG
'very': SRE
'stately."': STAEULT/TP-PL/KR-GS
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'how': HOU
'I': EU
'wish': WEURB
'I': EU
'were': WR
'tall': TAUL
'enough': TPHUF
'to': TO
'go': TKPW
'on': OPB
'the': -T
'sea,"': SAE/KW-BG/KR-GS
'said': SED
'the': -T
'fir-tree.': TPEUR/H-PB/TRAOE/TP-PL
'"What': KW-GS/KPA*/WHA
'is': S
'the': -T
'sea,': SAE/KW-BG
'and': SKP
'what': WHA
'does': TKOS
'it': T
'look': HRAOBG
'like?"': HRAOEUBG/H-F/KR-GS
'"It': KW-GS/KPA*/T
'would': WO
'take': TAEUBG
'too': TAO
'much': PHUFP
'time': TAOEUPL
'to': TO
'explain,"': SPHRAEUPB/KW-BG/KR-GS
'said': SED
'the': -T
'stork,': STORBG/KW-BG
'flying': TPHRAOEUG
'quickly': KWEULG
'away.': WA*EU/TP-PL
'"Rejoice': KW-GS/KPA*/RE/SKWROEUS
'in': TPH
'thy': THAO*EU
'youth,"': KWRAO*UT/KW-BG/KR-GS
'said': SED
'the': -T
'sunbeam;': SUPB/PWAOEPL/STPH*FPLT
'"rejoice': KW-GS/RE/SKWROEUS
'in': TPH
'thy': THAO*EU
'fresh': TPRERB
'growth,': TKPWRO*ET/KW-BG
'and': SKP
'the': -T
'young': KWRUPBG
'life': HRAOEUF
'that': THA
'is': S
'in': TPH
'thee."': THAOE/TP-PL/KR-GS
'And': AFPBD
'the': -T
'wind': WEUPBD
'kissed': K*EUFD
'the': -T
'tree,': TRAOE/KW-BG
'and': SKP
'the': -T
'dew': TKAO*U
'watered': WAURD
'it': T
'with': W
'tears;': TAERS/STPH*FPLT
'but': PWUT
'the': -T
'fir-tree': TPEUR/H-PB/TRAOE
'regarded': RARD/-D
'them': THEPL
'not.': TPHOT/TP-PL
'Christmas-time': KREUS/PHAS/TA*EPL
'drew': TKRAOU
'near,': TPHAOER/KW-BG
'and': SKP
'many': PHAEPB
'young': KWRUPBG
'trees': TRAOES
'were': WR
'cut': KUT
'down,': TKOUPB/KW-BG
'some': SOPL
'even': AOEPB
'smaller': SPHAURL
'and': SKP
'younger': KWRURPBG
'than': THAPB
'the': -T
'fir-tree': TPEUR/H-PB/TRAOE
'who': WHO
'enjoyed': EPB/SKWROEUD
'neither': TPHAOERT
'rest': REFT
'nor': TPH-R
'peace': PAES
'with': W
'longing': HROPBG/-G
'to': TO
'leave': HREF
'its': EUTS
'forest': TPOEFRT
'home.': HOEPL/TP-PL
'These': KPA/THEZ
'young': KWRUPBG
'trees,': TRAOES/KW-BG
'which': WEU
'were': WR
'chosen': KHOEFPB
'for': TPOR
'their': THAEUR
'beauty,': PWAOUT/KW-BG
'kept': KEPT
'their': THAEUR
'branches,': PWRAFRPBS/KW-BG
'and': SKP
'were': WR
'also': HR-S
'laid': HRAEUD
'on': OPB
'wagons': WAG/OPBS
'and': SKP
'drawn': TKRAUPB
'by': PWEU
'horses': HORSZ
'out': OUT
'of': -F
'the': -T
'forest.': TPOEFRT/TP-PL
'"Where': KW-GS/KPA*/W-R
'are': R
'they': THE
'going?"': TKPW-G/H-F/KR-GS
'asked': SK-D
'the': -T
'fir-tree.': TPEUR/H-PB/TRAOE/TP-PL
'"They': KW-GS/KPA*/THE
'are': R
'not': TPHOT
'taller': TAURL
'than': THAPB
'I': EU
'am:': APL/STPH-FPLT
'indeed,': TPHAOEPBD/KW-BG
'one': WUPB
'is': S
'much': PHUFP
'less;': HRES/STPH*FPLT
'and': SKP
'why': KWR
'are': R
'the': -T
'branches': PWRAFRPBS
'not': TPHOT
'cut': KUT
'off?': OF/H-F
'Where': KPA/W-R
'are': R
'they': THE
'going?"': TKPW-G/H-F/KR-GS
'"We': KW-GS/KPA*/WE
'know,': TPHOE/KW-BG
'we': WE
'know,"': TPHOE/KW-BG/KR-GS
'sang': SAPBG
'the': -T
'sparrows;': SPAEUR/ROE/-S/STPH*FPLT
'"we': KW-GS/WE
'have': SR
'looked': HRAOBGD
'in': TPH
'at': AT
'the': -T
'windows': WOEUPBDZ
'of': -F
'the': -T
'houses': HO*UFS
'in': TPH
'the': -T
'town,': TOUPB/KW-BG
'and': SKP
'we': WE
'know': TPHOE
'what': WHA
'is': S
'done': TKOPB
'with': W
'them.': THEPL/TP-PL
'They': KPA/THE
'are': R
'dressed': TKREFD
'up': UP
'in': TPH
'the': -T
'most': PHOFT
'splendid': SPHREPB/TKEUD
'manner.': PHAERPB/TP-PL
'We': KPA/WE
'have': SR
'seen': SAOEPB
'them': THEPL
'standing': STAPBG
'in': TPH
'the': -T
'middle': PH*EULD
'of': -F
'a': AEU
'warm': WARPL
'room,': RAOPL/KW-BG
'and': SKP
'adorned': A/TKORPB/-D
'with': W
'all': AUL
'sorts': SORTS
'of': -F
'beautiful': PWAOUFL
'things,—honey': THEUPBGS/KW-BG/EPL/TKA*RB/HUPB/KWREU
'cakes,': KAEUBG/-S/KW-BG
'gilded': TKPWEULD/-D
'apples,': APLS/KW-BG
'playthings,': PHRAEU/THEUPBG/-S/KW-BG
'and': SKP
'many': PHAEPB
'hundreds': HUPBS
'of': -F
'wax': WABGS
'tapers."': TAEURPS/TP-PL/KR-GS
'"And': KW-GS/AFPBD
'then,"': THEPB/KW-BG/KR-GS
'asked': SK-D
'the': -T
'fir-tree,': TPEUR/H-PB/TRAOE/KW-BG
'trembling': TREPL/-BLG
'through': THRU
'all': AUL
'its': EUTS
'branches,': PWRAFRPBS/KW-BG
'"and': KW-GS/SKP
'then': THEPB
'what': WHA
'happens?"': HAPS/H-F/KR-GS
'"We': KW-GS/KPA*/WE
'did': TK
'not': TPHOT
'see': SAOE
'any': TPHEU
'more,"': PHOR/KW-BG/KR-GS
'said': SED
'the': -T
'sparrows;': SPAEUR/ROE/-S/STPH*FPLT
'"but': KW-GS/PWUT
'this': TH
'was': WAS
'enough': TPHUF
'for': TPOR
'us."': US/TP-PL/KR-GS
'"I': KW-GS/EU
'wonder': WOPBD
'whether': WHR
'anything': TPHEUG
'so': SO
'brilliant': PWREULT
'will': HR
'ever': -FR
'happen': HAP
'to': TO
'me,"': PHE/KW-BG/KR-GS
'thought': THAUT
'the': -T
'fir-tree.': TPEUR/H-PB/TRAOE/TP-PL
'"It': KW-GS/KPA*/T
'would': WO
'be': -B
'much': PHUFP
'better': PWOERT
'than': THAPB
'crossing': KROFG
'the': -T
'sea.': SAE/TP-PL
'I': EU
'long': HROPBG
'for': TPOR
'it': T
'almost': HR-PL
'with': W
'pain.': PAEUPB/TP-PL
'Oh!': KPA/O*ERBGS/SKHRAPL
'when': WHEPB
'will': HR
'Christmas': KREUS/PHAS
'be': -B
'here?': HAOER/H-F
'I': EU
'am': APL
'now': TPHOU
'as': AS
'tall': TAUL
'and': SKP
'well': WEL
'grown': TKPWROEPB
'as': AS
'those': THOZ
'which': WEU
'were': WR
'taken': TAEPB
'away': WA*EU
'last': HRAFT
'year.': KWRAOER/TP-PL
'Oh!': KPA/O*ERBGS/SKHRAPL
'that': THA
'I': EU
'were': WR
'now': TPHOU
'laid': HRAEUD
'on': OPB
'the': -T
'wagon,': WAG/OPB/KW-BG
'or': OR
'standing': STAPBG
'in': TPH
'the': -T
'warm': WARPL
'room,': RAOPL/KW-BG
'with': W
'all': AUL
'that': THA
'brightness': PWRAOEUT/-PBS
'and': SKP
'splendor': SPHREPBD/O*R
'around': ARPBD
'me!': PHE/SKHRAPL
'Something': KPA/S-G
'better': PWOERT
'and': SKP
