The Flying Trunk

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'merchant': PHEFRPBT
'who': WHO
'was': WAS
'so': SO
'rich': REUFP
'that': THA
'he': HE
'could': KO
'have': SR
'paved': PAEUFD
'the': -T
'whole': WHOEL
'street': STRAOET
'with': W
'gold,': TKPWOELD/KW-BG
'and': SKP
'would': WO
'even': AOEPB
'then': THEPB
'have': SR
'had': H
'enough': TPHUF
'for': TPOR
'a': AEU
'small': SPHAL
'alley.': AL/KWREU/TP-PL
'But': KPA/PWUT
'he': HE
'did': TK
'not': TPHOT
'do': TKO
'so;': SO/STPH*FPLT
'he': HE
'knew': TPHAOU
'the': -T
'value': SRAOUL
'of': -F
'money': PHUPB
'better': PWOERT
'than': THAPB
'to': TO
'use': AOUS
'it': T
'in': TPH
'this': TH
'way.': WAEU/TP-PL
'So': KPA/SO
'clever': KHREFR
'was': WAS
'he,': HE/KW-BG
'that': THA
'every': EF
'shilling': SHEULG
'he': HE
'put': PUT
'out': OUT
'brought': PWRAUT
'him': HEUPL
'a': AEU
'crown;': KROUPB/STPH*FPLT
'and': SKP
'so': SO
'he': HE
'continued': T-PBD
'till': TEUL
'he': HE
'died.': TKAOEUD/TP-PL
'His': KPA/HEUS
'son': SOPB
'inherited': EUPB/HERTD
'his': HEUS
'wealth,': W*ELT/KW-BG
'and': SKP
'he': HE
'lived': HREUFD
'a': AEU
'merry': PHER/REU
'life': HRAOEUF
'with': W
'it;': T/STPH*FPLT
'he': HE
'went': WEPBT
'to': TO
'a': AEU
'masquerade': PHAS/KRAEUD
'every': EF
'night,': TPHAOEUT/KW-BG
'made': PHAED
'kites': KAOEUT/-S
'out': OUT
'of': -F
'five': TPAOEUF
'pound': POUPBD
'notes,': TPHOETS/KW-BG
'and': SKP
'threw': THRAOU
'pieces': PAOEFS
'of': -F
'gold': TKPWOELD
'into': TPHAO
'the': -T
'sea': SAE
'instead': STPHED
'of': -F
'stones,': STOEPBS/KW-BG
'making': PHAEUG
'ducks': TKUBGZ
'and': SKP
'drakes': TKRAEUBG/-S
'of': -F
'them.': THEPL/TP-PL
'In': KPA/TPH
'this': TH
'manner': PHAERPB
'he': HE
'soon': SAOPB
'lost': HRO*S
'all': AUL
'his': HEUS
'money.': PHUPB/TP-PL
'At': KPA/AT
'last': HRAFT
'he': HE
'had': H
'nothing': TPHOG
'left': HREFT
'but': PWUT
'a': AEU
'pair': PAEUR
'of': -F
'slippers,': SHREUP/ERS/KW-BG
'an': APB
'old': OLD
'dressing-gown,': TKREFG/H-PB/TKPWOUPB/KW-BG
'and': SKP
'four': TPOUR
'shillings.': SHEUL/-GS/TP-PL
'And': AFPBD
'now': TPHOU
'all': AUL
'his': HEUS
'friends': TPREPBDZ
'deserted': STK*ERT/-D
'him,': HEUPL/KW-BG
'they': THE
'could': KO
'not': TPHOT
'walk': WAUBG
'with': W
'him': HEUPL
'in': TPH
'the': -T
'streets;': STRAOETS/STPH*FPLT
'but': PWUT
'one': WUPB
'of': -F
'them,': THEPL/KW-BG
'who': WHO
'was': WAS
'very': SRE
'good-natured,': TKPWAOD/TPHAEUT/AOUR/-D/KW-BG
'sent': SEPBT
'him': HEUPL
'an': APB
'old': OLD
'trunk': TRUPBG
'with': W
'this': TH
'message,': PHEPBLG/KW-BG
'"Pack': KW-GS/KPA*/PABG
'up!"': UP/SKHRAPL/KR-GS
'"Yes,"': KW-GS/KPA*/KWRE/KW-BG/KR-GS
'he': HE
'said,': SED/KW-BG
'"it': KW-GS/T
'is': S
'all': AUL
'very': SRE
'well': WEL
'to': TO
'say': SAEU
''pack': A*E/PABG
'up,'"': UP/KW-BG/AE/KR-GS
'but': PWUT
'he': HE
'had': H
'nothing': TPHOG
'left': HREFT
'to': TO
'pack': PABG
'up,': UP/KW-BG
'therefore': TH-FR
'he': HE
'seated': SAOETD
'himself': HEUPLS
'in': TPH
'the': -T
'trunk.': TRUPBG/TP-PL
'It': KPA/T
'was': WAS
'a': AEU
'very': SRE
'wonderful': WUFL
'trunk;': TRUPBG/STPH*FPLT
'no': TPHO
'sooner': SAORPB
'did': TK
'any': TPHEU
'one': WUPB
'press': PRES
'on': OPB
'the': -T
