The Girl Who Trod on the Loaf

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'girl': TKPWEURL
'who': WHO
'trod': TROD
'on': OPB
'a': AEU
'loaf': HROEF
'to': TO
'avoid': A/SROEUD
'soiling': SOEUL/-G
'her': HER
'shoes,': SHAOUS/KW-BG
'and': SKP
'the': -T
'misfortunes': PHEUZ/TP-RPBS
'that': THA
'happened': HAPD
'to': TO
'her': HER
'in': TPH
'consequence': KWEPBS
'are': R
'well': WEL
'known.': TPHOEPB/TP-PL
'Her': KPA/HER
'name': TPHAEUPL
'was': WAS
'Inge;': KPA/TPH/*PBLG/STPH*FPLT
'she': SHE
'was': WAS
'a': AEU
'poor': PAOR
'child,': KHAOEULD/KW-BG
'but': PWUT
'proud': PROUD
'and': SKP
'presuming,': PRAOE/SAOUPLG/KW-BG
'and': SKP
'with': W
'a': AEU
'bad': PWAD
'and': SKP
'cruel': KRAOUL
'disposition.': TK*EUPGS/TP-PL
'When': KPA/WHEPB
'quite': KWAOEUT
'a': AEU
'little': HREUL
'child': KHAOEULD
'she': SHE
'would': WO
'delight': TKHRAOEUT
'in': TPH
'catching': KAFPG
'flies,': TPHRAOEUS/KW-BG
'and': SKP
'tearing': TAEURG
'off': OF
'their': THAEUR
'wings,': WEUPBGS/KW-BG
'so': SO
'as': AS
'to': TO
'make': PHAEUBG
'creeping': KRAOEPG
'things': THEUPBGS
'of': -F
'them.': THEPL/TP-PL
'When': KPA/WHEPB
'older,': OERLD/KW-BG
'she': SHE
'would': WO
'take': TAEUBG
'cockchafers': KAU/KR*/K*/KR*/H*/A*/TP*/*ERS
'and': SKP
'beetles,': PWAOET/-LS/KW-BG
'and': SKP
'stick': STEUBG
'pins': PEUPBS
'through': THRU
'them.': THEPL/TP-PL
'Then': KPA/THEPB
'she': SHE
'pushed': PURBD
'a': AEU
'green': TKPWRAOEPB
'leaf,': HRAOEF/KW-BG
'or': OR
'a': AEU
'little': HREUL
'scrap': SKRAP
'of': -F
'paper': PAEUP
'towards': TORDZ
'their': THAEUR
'feet,': TPAOET/KW-BG
'and': SKP
'when': WHEPB
'the': -T
'poor': PAOR
'creatures': KRAOEFPS
'would': WO
'seize': SAOEZ
'it': T
'and': SKP
'hold': HOLD
'it': T
'fast,': TPAFT/KW-BG
'and': SKP
'turn': TURPB
'over': OEFR
'and': SKP
'over': OEFR
'in': TPH
'their': THAEUR
'struggles': STRULGS
'to': TO
'get': TKPWET
'free': TPRAOE
'from': TPR
'the': -T
'pin,': PEUPB/KW-BG
'she': SHE
'would': WO
'say,': SAEU/KW-BG
'"The': KW-GS/KPA*/-T
'cockchafer': KAU/KR*/K*/KR*/H*/A*/TP*/*ER
'is': S
'reading;': RAEGD/STPH*FPLT
'see': SAOE
'how': HOU
'he': HE
'turns': TURPBS
'over': OEFR
'the': -T
'leaf."': HRAOEF/TP-PL/KR-GS
'She': KPA/SHE
'grew': TKPWRAOU
'worse': WORS
'instead': STPHED
'of': -F
'better': PWOERT
'with': W
'years,': KWRAOERS/KW-BG
'and,': SKP/KW-BG
'unfortunately,': UFL/KW-BG
'she': SHE
'was': WAS
'pretty,': PREUT/KW-BG
'which': WEU
'caused': KAUDZ
'her': HER
'to': TO
'be': -B
'excused,': EBGS/KAOUS/-D/KW-BG
'when': WHEPB
'she': SHE
'should': SHO
'have': SR
'been': PW-PB
'sharply': SHARP/HREU
'reproved.': RE/PROFD/TP-PL
'"Your': KW-GS/KPA*/KWROUR
'headstrong': HED/STROPBG
'will': HR
'requires': RAOEURS
'severity': SRERT
'to': TO
'conquer': KAUPB/KER
'it,"': T/KW-BG/KR-GS
'her': HER
'mother': PHOER
'often': OFPB
'said': SED
'to': TO
'her.': HER/TP-PL
'"As': KW-GS/KPA*/AS
'a': AEU
'little': HREUL
'child': KHAOEULD
'you': U
'used': AOUFD
'to': TO
'trample': TRAFRPL
'on': OPB
'my': PHEU
'apron,': AEUP/ROPB/KW-BG
'but': PWUT
'one': WUPB
'day': TKAEU
'I': EU
'fear': TPAOER
'you': U
'will': HR
'trample': TRAFRPL
'on': OPB
'my': PHEU
'heart."': HART/TP-PL/KR-GS
'And,': AFPBD/KW-BG
