The Last Dream of the Old Oak

'In': KPA/TPH
'the': -T
'forest,': TPOEFRT/KW-BG
'high': HAOEU
'up': UP
'on': OPB
'the': -T
'steep': STAOEP
'shore,': SHOR/KW-BG
'and': SKP
'not': TPHOT
'far': TPAR
'from': TPR
'the': -T
'open': OEP
'seacoast,': SAE/KOEFT/KW-BG
'stood': STAOD
'a': AEU
'very': SRE
'old': OLD
'oak-tree.': OEBG/H-PB/TRAOE/TP-PL
'It': KPA/T
'was': WAS
'just': SKWRUFT
'three': THRAOE
'hundred': HUPBD
'and': SKP
'sixty-five': SEUBGT/TPAOEUF
'years': KWRAOERS
'old,': OLD/KW-BG
'but': PWUT
'that': THA
'long': HROPBG
'time': TAOEUPL
'was': WAS
'to': TO
'the': -T
'tree': TRAOE
'as': AS
'the': -T
'same': SAEUPL
'number': TPHUPL
'of': -F
'days': TKAEUS
'might': PHAOEUT
'be': -B
'to': TO
'us;': US/STPH*FPLT
'we': WE
'wake': WAEUBG
'by': PWEU
'day': TKAEU
'and': SKP
'sleep': SHRAOEP
'by': PWEU
'night,': TPHAOEUT/KW-BG
'and': SKP
'then': THEPB
'we': WE
'have': SR
'our': OUR
'dreams.': TKRAOEPLS/TP-PL
'It': KPA/T
'is': S
'different': TKEUFRT
'with': W
'the': -T
'tree;': TRAOE/STPH*FPLT
'it': T
'is': S
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'keep': KAOEP
'awake': A/WAEUBG
'through': THRU
'three': THRAOE
'seasons': S-PBZ
'of': -F
'the': -T
'year,': KWRAOERBGS
'and': SKP
'does': TKOS
'not': TPHOT
'get': TKPWET
'any': TPHEU
'sleep': SHRAOEP
'till': TEUL
'winter': WEURPBT
'comes.': KOPLS/TP-PL
'Winter': W*EUPBT/*ER
'is': S
'its': EUTS
'time': TAOEUPL
'for': TPOR
'rest;': REFT/STPH*FPLT
'its': EUTS
'night': TPHAOEUT
'after': AF
'the': -T
'long': HROPBG
'day': TKAEU
'of': -F
'spring,': SPREUPBG/KW-BG
'summer,': SAOURPL/KW-BG
'and': SKP
'autumn.': AU/UPL/TP-PL
'On': KPA/OPB
'many': PHAEPB
'a': AEU
'warm': WARPL
'summer,': SAOURPL/KW-BG
'the': -T
'Ephemera,': KPA/AOE/TPEPL/RA/KW-BG
'the': -T
'flies': TPHRAOEUS
'that': THA
'exist': KPEUFT
'for': TPOR
'only': OEPBL
'a': AEU
'day,': TKAEU/KW-BG
'had': H
'fluttered': TPHRUT/ERD
'about': PW
'the': -T
'old': OLD
'oak,': OEBG/KW-BG
'enjoyed': EPB/SKWROEUD
'life': HRAOEUF
'and': SKP
'felt': TPELT
'happy': HAEP
'and': SKP
'if,': TP/KW-BG
'for': TPOR
'a': AEU
'moment,': PHOEPLT/KW-BG
'one': WUPB
'of': -F
'the': -T
'tiny': TOEUPB
'creatures': KRAOEFPS
'rested': REFTD
'on': OPB
'one': WUPB
'of': -F
'his': HEUS
'large': HRARPBLG
'fresh': TPRERB
'leaves,': HREFS/KW-BG
'the': -T
'tree': TRAOE
'would': WO
'always': AULS
'say,': SAEU/KW-BG
'"Poor': KW-GS/KPA*/PAOR
'little': HREUL
'creature!': KRAOEFP/SKHRAPL
'your': KWROUR
'whole': WHOEL
'life': HRAOEUF
'consists': KAOS
'only': OEPBL
'of': -F
'a': AEU
'single': SEUPBLG
'day.': TKAEU/TP-PL
'How': KPA/HOU
'very': SRE
'short.': SHORT/TP-PL
'It': KPA/T
'must': PHUFT
'be': -B
'quite': KWAOEUT
'melancholy."': PHEL/KOL/HREU/TP-PL/KR-GS
'"Melancholy!': KW-GS/KPA*/PHEL/KOL/HREU/SKHRAPL
'what': WHA
'do': TKO
'you': U
'mean?"': PHAOEPB/H-F/KR-GS
'the': -T
'little': HREUL
'creature': KRAOEFP
'would': WO
'always': AULS
'reply.': RE/PHRAOEU/TP-PL
'"Everything': KW-GS/KPA*/EFRG
'around': ARPBD
'me': PHE
'is': S
'so': SO
'wonderfully': WOPBD/TPHREU
'bright': PWRAOEUT
'and': SKP
'warm,': WARPL/KW-BG
'and': SKP
'beautiful,': PWAOUFL/KW-BG
'that': THA
'it': T
'makes': PHAEUBGS
'me': PHE
'joyous."': SKWROEU/KWROUS/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'only': OEPBL
'for': TPOR
'one': WUPB
'day,': TKAEU/KW-BG
'and': SKP
'then': THEPB
'it': T
'is': S
'all': AUL
'over."': OEFR/TP-PL/KR-GS
'"Over!"': KW-GS/KPA*/OEFR/SKHRAPL/KR-GS
'repeated': RE/PAOETD
'the': -T
'fly;': TPHRAOEU/STPH*FPLT
'"what': KW-GS/WHA
'is': S
'the': -T
'meaning': PHAOEPBG
'of': -F
'all': AUL
'over?': OEFR/H-F
'Are': KPA/R
'you': U
'all': AUL
'over': OEFR
'too?"': TAO/H-F/KR-GS
'"No;': KW-GS/KPA*/TPHO/STPH*FPLT
'I': EU
'shall': SHAL
'very': SRE
'likely': HRAOEULG
'live': HREUF
'for': TPOR
'thousands': THOUDZ
'of': -F
'your': KWROUR
'days,': TKAEUS/KW-BG
'and': SKP
'my': PHEU
'day': TKAEU
'is': S
'whole': WHOEL
'seasons': S-PBZ
'long;': HROPBG/STPH*FPLT
'indeed': TPHAOEPBD
'it': T
'is': S
'so': SO
'long': HROPBG
'that': THA
'you': U
'could': KO
'never': TPHEFR
'reckon': REBG/-PB
'it': T
'out."': OUT/TP-PL/KR-GS
'"No?': KW-GS/KPA*/TPHO/H-F
'then': THEPB
'I': EU
'don't': TKOEPBT
'understand': URPBD
'you.': U/TP-PL
'You': KPA/U
'may': PHAEU
'have': SR
'thousands': THOUDZ
'of': -F
'my': PHEU
'days,': TKAEUS/KW-BG
'but': PWUT
'I': EU
'have': SR
'thousands': THOUDZ
'of': -F
'moments': PHOEPLTS
'in': TPH
'which': WEU
'I': EU
'can': K
'be': -B
'merry': PHER/REU
'and': SKP
'happy.': HAEP/TP-PL
'Does': KPA/TKOS
'all': AUL
'the': -T
'beauty': PWAOUT
'of': -F
'the': -T
'world': WORLD
'cease': SAOES
'when': WHEPB
'you': U
'die?"': TKAOEU/H-F/KR-GS
'"No,"': KW-GS/KPA*/TPHO/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'tree;': TRAOE/STPH*FPLT
'"it': KW-GS/T
'will': HR
'certainly': SERPBL
'last': HRAFT
'much': PHUFP
'longer,—infinitely': HRORPBG/KW-BG/EPL/TKA*RB/EUPB/TPEUPBT/HREU
'longer': HRORPBG
'than': THAPB
'I': EU
'can': K
'even': AOEPB
'think': THEU
'of."': -F/TP-PL/KR-GS
'"Well,': KW-GS/KPA*/WEL/KW-BG
'then,"': THEPB/KW-BG/KR-GS
'said': SED
'the': -T
'little': HREUL
'fly,': TPHRAOEU/KW-BG
'"we': KW-GS/WE
'have': SR
'the': -T
'same': SAEUPL
'time': TAOEUPL
'to': TO
'live;': HREUF/STPH*FPLT
'only': OEPBL
'we': WE
'reckon': REBG/-PB
'differently."': TKEUFRL/TP-PL/KR-GS
'And': AFPBD
'the': -T
'little': HREUL
'creature': KRAOEFP
'danced': TKAPBS/-D
'and': SKP
'floated': TPHROET/-D
'in': TPH
'the': -T
'air,': AEUR/KW-BG
'rejoicing': RE/SKWROEUFG
'in': TPH
'her': HER
'delicate': TKEL/KAT
'wings': WEUPBGS
'of': -F
'gauze': TKPWAUZ
'and': SKP
'velvet,': SREL/SRET/KW-BG
'rejoicing': RE/SKWROEUFG
'in': TPH
'the': -T
'balmy': PWAL/PH*EU
'breezes,': PWRAOEZ/-S/KW-BG
'laden': HRA*ED/-PB
'with': W
'the': -T
'fragrance': TPRAEUG/RAPBS
'of': -F
'clover-fields': KHROEFR/H-PB/TPAOELDZ
'and': SKP
'wild': WAOEULD
'roses,': ROES/-S/KW-BG
'elder-blossoms': ELD/ER/H-PB/PWHROS/SOPL/-S
'and': SKP
'honeysuckle,': HOPB/KWREU/SUBG/*L/KW-BG
'from': TPR
'the': -T
'garden': TKPWA*RPB
'hedges,': HEPBLG/-S/KW-BG
'wild': WAOEULD
'thyme,': THAOEUPL/KW-BG
'primroses,': PREUPL/ROES/ES/KW-BG
'and': SKP
'mint,': PHEUPBT/KW-BG
'and': SKP
'the': -T
'scent': SKEPBT
'of': -F
'all': AUL
'these': THEZ
'was': WAS
'so': SO
'strong': STROPBG
'that': THA
'the': -T
'perfume': PER/TPAOUPL
'almost': HR-PL
'intoxicated': EUPB/TOBGS/KAEUT/-D
'the': -T
'little': HREUL
'fly.': TPHRAOEU/TP-PL
'The': KPA/-T
'long': HROPBG
'and': SKP
'beautiful': PWAOUFL
'day': TKAEU
'had': H
'been': PW-PB
'so': SO
'full': TPUL
'of': -F
'joy': SKWROEU
'and': SKP
'sweet': SWAOET
'delights,': TKHRAOEUT/-S/KW-BG
'that': THA
'when': WHEPB
'the': -T
'sun': SUPB
'sank': SA*PBG
'low': HROE
'it': T
'felt': TPELT
'tired': TAOEURD
'of': -F
'all': AUL
'its': EUTS
'happiness': HAEP/-PBS
'and': SKP
'enjoyment.': SKWROEUPLT/TP-PL
'Its': KPA/EUTS
'wings': WEUPBGS
'could': KO
'sustain': STAEPB
'it': T
'no': TPHO
'longer,': HRORPBG/KW-BG
'and': SKP
'gently': SKWREPBT/HREU
'and': SKP
'slowly': SHROEL
'it': T
'glided': TKPWHRAOEUD/-D
'down': TKOUPB
'upon': POPB
'the': -T
'soft': SOFT
'waving': WAFG
'blades': PWHRAEUDZ
'of': -F
'grass,': TKPWRAS/KW-BG
'nodded': TPHOD/-D
'its': EUTS
'little': HREUL
'head': HED
'as': AS
'well': WEL
'as': AS
'it': T
'could': KO
'nod,': TPHOD/KW-BG
'and': SKP
'slept': SHREPT
'peacefully': PAES/TPHREU
'and': SKP
'sweetly.': SWAOET/HREU/TP-PL
'The': KPA/-T
'fly': TPHRAOEU
'was': WAS
'dead.': TKED/TP-PL
'"Poor': KW-GS/KPA*/PAOR
'little': HREUL
'Ephemera!"': KPA/AOE/TPEPL/RA/SKHRAPL/KR-GS
'said': SED
'the': -T
'oak;': OEBG/STPH*FPLT
'"what': KW-GS/WHA
'a': AEU
'terribly': TERBL/HREU
'short': SHORT
'life!"': HRAOEUF/SKHRAPL/KR-GS
'And': AFPBD
'so,': SO/KW-BG
'on': OPB
'every': EF
'summer': SAOURPL
'day': TKAEU
'the': -T
'dance': TKAPBS
'was': WAS
'repeated,': RE/PAOETD/KW-BG
'the': -T
'same': SAEUPL
'questions': KWES
'asked,': SK-D/KW-BG
'and': SKP
'the': -T
'same': SAEUPL
'answers': AEPBS/-S
'given.': TKPWEUFPB/TP-PL
'The': KPA/-T
'same': SAEUPL
'thing': THEUPBG
'was': WAS
'continued': T-PBD
'through': THRU
'many': PHAEPB
'generations': SKWREPB/RAEUGS/-S
'of': -F
'Ephemera;': KPA/AOE/TPEPL/RA/STPH*FPLT
'all': AUL
'of': -F
'them': THEPL
'felt': TPELT
'equally': KWAEL
'merry': PHER/REU
'and': SKP
'equally': KWAEL
'happy.': HAEP/TP-PL
'The': KPA/-T
'oak': OEBG
'remained': RE/PHAEUPBD
'awake': A/WAEUBG
'through': THRU
'the': -T
'morning': PHORPBG
'of': -F
'spring,': SPREUPBG/KW-BG
'the': -T
'noon': TPHAOPB
'of': -F
'summer,': SAOURPL/KW-BG
'and': SKP
'the': -T
'evening': AOEPBG
'of': -F
'autumn;': AU/UPL/STPH*FPLT
'its': EUTS
'time': TAOEUPL
'of': -F
'rest,': REFT/KW-BG
'its': EUTS
'night': TPHAOEUT
'drew': TKRAOU
'nigh—winter': TPHAOEU/EPL/TKA*RB/WEURPBT
'was': WAS
'coming.': KO*G/TP-PL
'Already': KPA/HR-R
'the': -T
'storms': STORPLS
'were': WR
'singing,': SEUPBG/-G/KW-BG
'"Good-night,': KW-GS/KPA*/TKPWAOD/H-PB/TPHAOEUT/KW-BG
'good-night."': TKPWAOD/H-PB/TPHAOEUT/TP-PL/KR-GS
'Here': KPA/HAOER
'fell': TPEL
'a': AEU
'leaf': HRAOEF
'and': SKP
'there': THR
'fell': TPEL
'a': AEU
'leaf.': HRAOEF/TP-PL
'"We': KW-GS/KPA*/WE
'will': HR
'rock': ROBG
'you': U
'and': SKP
'lull': HRUL
'you.': U/TP-PL
'Go': KPA/TKPW
'to': TO
'sleep,': SHRAOEP/KW-BG
'go': TKPW
'to': TO
'sleep.': SHRAOEP/TP-PL
'We': KPA/WE
'will': HR
'sing': SEUPBG
'you': U
'to': TO
'sleep,': SHRAOEP/KW-BG
'and': SKP
'shake': SHAEUBG
'you': U
'to': TO
'sleep,': SHRAOEP/KW-BG
'and': SKP
'it': T
'will': HR
'do': TKO
'your': KWROUR
'old': OLD
'twigs': TWEUG/-S
'good;': TKPWAOD/STPH*FPLT
'they': THE
'will': HR
'even': AOEPB
'crackle': KRABG/*L
'with': W
'pleasure.': PHRERB/TP-PL
'Sleep': KPA/SHRAOEP
'sweetly,': SWAOET/HREU/KW-BG
'sleep': SHRAOEP
'sweetly,': SWAOET/HREU/KW-BG
'it': T
'is': S
'your': KWROUR
'three-hundred-and-sixty-fifth': THRAOE/H-PB/HUPBD/H-PB/SKP/H-PB/SEUBGT/H-PB/TP*EUT
'night.': TPHAOEUT/TP-PL
'Correctly': KPA/KRELG
'speaking,': SPAOEG/KW-BG
'you': U
'are': R
'but': PWUT
'a': AEU
'youngster': KWRUPBG/STER
'in': TPH
'the': -T
'world.': WORLD/TP-PL
'Sleep': KPA/SHRAOEP
'sweetly,': SWAOET/HREU/KW-BG
'the': -T
'clouds': KHROUDZ
'will': HR
'drop': TKROP
'snow': STPHOE
'upon': POPB
'you,': U/KW-BG
'which': WEU
'will': HR
'be': -B
'quite': KWAOEUT
'a': AEU
'cover-lid,': KOFR/H-PB/HREUD/KW-BG
'warm': WARPL
'and': SKP
'sheltering': SHELT/ERG
'to': TO
'your': KWROUR
'feet.': TPAOET/TP-PL
'Sweet': KPA/SWAOET
'sleep': SHRAOEP
'to': TO
'you,': U/KW-BG
'and': SKP
'pleasant': PHREFPBT
'dreams."': TKRAOEPLS/TP-PL/KR-GS
'And': AFPBD
'there': THR
'stood': STAOD
'the': -T
'oak,': OEBG/KW-BG
'stripped': STREUPD
'of': -F
'all': AUL
'its': EUTS
'leaves,': HREFS/KW-BG
'left': HREFT
'to': TO
'rest': REFT
'during': TKURG
'the': -T
'whole': WHOEL
'of': -F
'a': AEU
'long': HROPBG
'winter,': WEURPBT/KW-BG
'and': SKP
'to': TO
'dream': TKRAOEPL
'many': PHAEPB
'dreams': TKRAOEPLS
'of': -F
'events': AOEFPBTS
'that': THA
'had': H
'happened': HAPD
'in': TPH
'its': EUTS
'life,': HRAOEUF/KW-BG
'as': AS
'in': TPH
'the': -T
'dreams': TKRAOEPLS
'of': -F
'men.': PHEPB/TP-PL
'The': KPA/-T
'great': TKPWRAET
'tree': TRAOE
'had': H
'once': WUPBS
'been': PW-PB
