The Last Pearl

'We': KPA/WE
'are': R
'in': TPH
'a': AEU
'rich,': REUFP/KW-BG
'happy': HAEP
'house,': HOUS/KW-BG
'where': W-R
'the': -T
'master,': PHAFRT/KW-BG
'the': -T
'servants,': SER/SRAPBTS/KW-BG
'the': -T
'friends': TPREPBDZ
'of': -F
'the': -T
'family': TPAEPL
'are': R
'full': TPUL
'of': -F
'joy': SKWROEU
'and': SKP
'felicity.': TPHREUS/TEU/TP-PL
'For': KPA/TPOR
'on': OPB
'this': TH
'day': TKAEU
'a': AEU
'son': SOPB
'and': SKP
'heir': A*EUR
'has': HAS
'been': PW-PB
'born,': PWORPB/KW-BG
'and': SKP
'mother': PHOER
'and': SKP
'child': KHAOEULD
'are': R
'doing': TK*G
'well.': WEL/TP-PL
'The': KPA/-T
'lamp': HRAFRP
'in': TPH
'the': -T
'bed-chamber': PWED/H-PB/KHAEURPL
'had': H
'been': PW-PB
'partly': PARLT
'shaded,': SHAEUD/-D/KW-BG
'and': SKP
'the': -T
'windows': WOEUPBDZ
'were': WR
'covered': KOFRD
'with': W
'heavy': HOEUF
'curtains': KUR/TEUPBS
'of': -F
'some': SOPL
'costly': KOFT/HREU
'silken': SEUL/KEPB
'material.': TAOERL/TP-PL
'The': KPA/-T
'carpet': KARPT
'was': WAS
'thick': THEUBG
'and': SKP
'soft,': SOFT/KW-BG
'like': HRAOEUBG
'a': AEU
'covering': KOFRG
'of': -F
'moss.': PHOS/TP-PL
'Everything': KPA/EFRG
'invited': EUPB/SRAOEUTD
'to': TO
'slumber,': SHRUPL/PWER/KW-BG
'everything': EFRG
'had': H
'a': AEU
'charming': KHARPL/-G
'look': HRAOBG
'of': -F
'repose;': RE/POES/STPH*FPLT
'and': SKP
'so': SO
'the': -T
'nurse': TPHURS
'had': H
'discovered,': SKOFD/KW-BG
'for': TPOR
'she': SHE
'slept;': SHREPT/STPH*FPLT
'and': SKP
'well': WEL
'she': SHE
'might': PHAOEUT
'sleep,': SHRAOEP/KW-BG
'while': WHAOEUL
'everything': EFRG
'around': ARPBD
'her': HER
'told': TOLD
'of': -F
'happiness': HAEP/-PBS
'and': SKP
'blessing.': PWHR*EFG/TP-PL
'The': KPA/-T
'guardian': TKPWARD/KWRAPB
'angel': APB/SKWREL
'of': -F
'the': -T
'house': HOUS
'leaned': HRAOEPBD
'against': TKPWEPBS
'the': -T
'head': HED
'of': -F
'the': -T
'bed;': PWED/STPH*FPLT
'while': WHAOEUL
'over': OEFR
'the': -T
'child': KHAOEULD
'was': WAS
'spread,': SPRED/KW-BG
'as': AS
'it': T
'were,': WR/KW-BG
'a': AEU
'net': TPHET
'of': -F
'shining': SHAOEUPBG
'stars,': STARS/KW-BG
'and': SKP
'each': AOEFP
'star': STAR
'was': WAS
'a': AEU
'pearl': PERL
'of': -F
'happiness.': HAEP/-PBS/TP-PL
'All': KPA/AUL
'the': -T
'good': TKPWAOD
'stars': STARS
'of': -F
'life': HRAOEUF
'had': H
'brought': PWRAUT
'their': THAEUR
'gifts': TKPWEUFTS
'to': TO
'the': -T
'newly': TPHAOUL
'born;': PWORPB/STPH*FPLT
'here': HAOER
'sparkled': SPAR/K-LD
'health,': H*ELT/KW-BG
'wealth,': W*ELT/KW-BG
'fortune,': TP-RPB/KW-BG
'and': SKP
'love;': HRUF/STPH*FPLT
'in': TPH
'short,': SHORT/KW-BG
'there': THR
'seemed': SAOEPLD
'to': TO
'be': -B
'everything': EFRG
'for': TPOR
'which': WEU
'man': PHAPB
'could': KO
'wish': WEURB
'on': OPB
'earth.': *ERT/TP-PL
'"Everything': KW-GS/KPA*/EFRG
'has': HAS
'been': PW-PB
'bestowed': PWE/STOEU/-D
'here,"': HAOERBGS/KR-GS
'said': SED
'the': -T
'guardian': TKPWARD/KWRAPB
'angel.': APB/SKWREL/TP-PL
'"No,': KW-GS/KPA*/TPHO/KW-BG
'not': TPHOT
'everything,"': EFRG/KW-BG/KR-GS
'said': SED
'a': AEU
'voice': SROEUS
'near': TPHAOER
'him—the': HEUPL/EPL/TKA*RB/-T
'voice': SROEUS
'of': -F
'the': -T
'good': TKPWAOD
'angel': APB/SKWREL
'of': -F
'the': -T
'child;': KHAOEULD/STPH*FPLT
'"one': KW-GS/WUPB
'fairy': TPAEUR/REU
'has': HAS
'not': TPHOT
'yet': KWRET
'brought': PWRAUT
'her': HER
'gift,': TKPWEUFT/KW-BG
'but': PWUT
'she': SHE
'will,': HR-RBGS
'even': AOEPB
'if': TP
'years': KWRAOERS
'should': SHO
'elapse,': AOE/HRAPS/KW-BG
'she': SHE
'will': HR
'bring': PWREU
'her': HER
'gift;': TKPWEUFT/STPH*FPLT
'it': T
'is': S
'the': -T
'last': HRAFT
'pearl': PERL
'that': THA
'is': S
'wanting."': WAPBGT/TP-PL/KR-GS
'"Wanting!"': KW-GS/KPA*/WAPBGT/SKHRAPL/KR-GS
'cried': KRAOEUD
'the': -T
'guardian': TKPWARD/KWRAPB
'angel;': APB/SKWREL/STPH*FPLT
'"nothing': KW-GS/TPHOG
'must': PHUFT
'be': -B
'wanting': WAPBGT
'here;': HAOER/STPH*FPLT
'and': SKP
'if': TP
'it': T
'is': S
'so,': SO/KW-BG
'let': HRET
'us': US
'fetch': TPEFP
'it;': T/STPH*FPLT
'let': HRET
'us': US
'seek': SAOEBG
'the': -T
'powerful': POURL
'fairy;': TPAEUR/REU/STPH*FPLT
'let': HRET
'us': US
'go': TKPW
'to': TO
'her."': HER/TP-PL/KR-GS
'"She': KW-GS/KPA*/SHE
'will': HR
'come,': KOPL/KW-BG
'she': SHE
'will': HR
'come': KOPL
'some': SOPL
'day': TKAEU
'unsought!"': UPB/SAUT/SKHRAPL/KR-GS
'"Her': KW-GS/KPA*/HER
'pearl': PERL
'must': PHUFT
'not': TPHOT
'be': -B
'missing;': PHEUFG/STPH*FPLT
'it': T
'must': PHUFT
'be': -B
'there,': THR-RBGS
'that': THA
'the': -T
'crown,': KROUPB/KW-BG
'when': WHEPB
'worn,': WORPB/KW-BG
'may': PHAEU
'be': -B
'complete.': KPHRAOET/TP-PL
'Where': KPA/W-R
'is': S
'she': SHE
'to': TO
'be': -B
'found?': TPOUPBD/H-F
'Where': KPA/W-R
'does': TKOS
'she': SHE
'dwell?"': TKWEL/H-F/KR-GS
'said': SED
'the': -T
'guardian': TKPWARD/KWRAPB
'angel.': APB/SKWREL/TP-PL
'"Tell': KW-GS/KPA*/TEL
'me,': PHE/KW-BG
'and': SKP
'I': EU
'will': HR
'procure': PRO/KAOUR
'the': -T
'pearl."': PERL/TP-PL/KR-GS
'"Will': KW-GS/W*EUL
'you': U
'do': TKO
'that?"': THA/H-F/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'good': TKPWAOD
'angel': APB/SKWREL
'of': -F
'the': -T
'child.': KHAOEULD/TP-PL
'"Then': KW-GS/KPA*/THEPB
'I': EU
'will': HR
'lead': HRAED
'you': U
'to': TO
'her': HER
'directly,': TKREL/KW-BG
'wherever': W-FR
'she': SHE
'may': PHAEU
'be.': -B/TP-PL
'She': KPA/SHE
'has': HAS
'no': TPHO
'abiding': A/PWAOEUD/-G
'place;': PHRAEUS/STPH*FPLT
'she': SHE
'rules': RAOULS
'in': TPH
'the': -T
'palace': PAL/AS
'of': -F
'the': -T
'emperor,': EPL/ROR/KW-BG
'sometimes': STAOEUPLS
'she': SHE
'enters': SPWR-S
'the': -T
'peasant's': PEFPBT/AES
'humble': HUPL/-BL
'cot;': KOT/STPH*FPLT
'she': SHE
'passes': PA*FS
'no': TPHO
'one': WUPB
'without': WOUT
'leaving': HREFG
'a': AEU
'trace': TRAEUS
'of': -F
'her': HER
'presence.': PREPBS/TP-PL
'She': KPA/SHE
'brings': PWREUS
'her': HER
'gift': TKPWEUFT
'with': W
'her,': HER/KW-BG
'whether': WHR
'it': T
'is': S
'a': AEU
'world': WORLD
'or': OR
'a': AEU
'bauble.': PWAUBL/TP-PL
'To': KPA/TO
'this': TH
'child': KHAOEULD
'she': SHE
'must': PHUFT
'come.': KOPL/TP-PL
'You': KPA/U
'think': THEU
'that': THA
'to': TO
'wait': WAEUT
'for': TPOR
'this': TH
'time': TAOEUPL
'would': WO
'be': -B
'long': HROPBG
'and': SKP
'useless.': AOUFLS/TP-PL
'Well,': KPA/WEL/KW-BG
'then,': THEPB/KW-BG
'let': HRET
'us': US
'go': TKPW
'for': TPOR
'this': TH
'pearl—the': PERL/EPL/TKA*RB/-T
'only': OEPBL
'one': WUPB
'lacking': HRABG/-G
'amidst': A/PH*EUFD
'all': AUL
'this': TH
'wealth."': W*ELT/TP-PL/KR-GS
'Then': KPA/THEPB
'hand-in-hand': HA*EPBD/KWR*EUPB/HAPBD
'they': THE
'floated': TPHROET/-D
'away': WA*EU
'to': TO
'the': -T
'spot': SPOT
'where': W-R
'the': -T
