The Little Elder-Tree Mother

'There': KPA/THR
'was': WAS
'once': WUPBS
'a': AEU
'little': HREUL
'boy': PWOEU
'who': WHO
'had': H
'caught': KAUT
'cold;': KOELD/STPH*FPLT
'he': HE
'had': H
'gone': TKPWOPB
'out': OUT
'and': SKP
'got': TKPWOT
'wet': WET
'feet.': TPAOET/TP-PL
'Nobody': KPA/TPHOEB
'had': H
'the': -T
'least': HRAOEFT
'idea': KWR-D
'how': HOU
'it': T
'had': H
'happened;': HAPD/STPH*FPLT
'the': -T
'weather': WHR*
'was': WAS
'quite': KWAOEUT
'dry.': TKRAOEU/TP-PL
'His': KPA/HEUS
'mother': PHOER
'undressed': UPB/TKRES/-D
'him,': HEUPL/KW-BG
'put': PUT
'him': HEUPL
'to': TO
'bed,': PWED/KW-BG
'and': SKP
'ordered': ORD/-D
'the': -T
'teapot': TAE/POT
'to': TO
'be': -B
'brought': PWRAUT
'in,': TPH/KW-BG
'that': THA
'she': SHE
'might': PHAOEUT
'make': PHAEUBG
'him': HEUPL
'a': AEU
'good': TKPWAOD
'cup': KUP
'of': -F
'tea': TAE
'from': TPR
'the': -T
'elder-tree': ELD/ER/H-PB/TRAOE
'blossoms,': PWHROS/SOPL/-S/KW-BG
'which': WEU
'is': S
'so': SO
'warming.': WARPLG/TP-PL
'At': KPA/AT
'the': -T
'same': SAEUPL
'time,': TAOEUPL/KW-BG
'the': -T
'kind-hearted': KEUPBD/H-PB/HART/-D
'old': OLD
'man': PHAPB
'who': WHO
'lived': HREUFD
'by': PWEU
'himself': HEUPLS
'in': TPH
'the': -T
'upper': AOURP
'storey': STOER/A*U
'of': -F
'the': -T
'house': HOUS
'came': KAEUPL
'in;': TPH/STPH*FPLT
'he': HE
'led': HRED
'a': AEU
'lonely': HROEPBL
'life,': HRAOEUF/KW-BG
'for': TPOR
'he': HE
'had': H
'no': TPHO
'wife': WAOEUF
'and': SKP
'children;': KHEURPB/STPH*FPLT
'but': PWUT
'he': HE
'loved': HROFD
'the': -T
'children': KHEURPB
'of': -F
'others': OERS
'very': SRE
'much,': PHUFP/KW-BG
'and': SKP
'he': HE
'could': KO
'tell': TEL
'so': SO
'many': PHAEPB
'fairy': TPAEUR/REU
'tales': TAELS
'and': SKP
'stories,': STOERS/KW-BG
'that': THA
'it': T
'was': WAS
'a': AEU
'pleasure': PHRERB
'to': TO
'hear': HAER
'him.': HEUPL/TP-PL
'"Now,': KW-GS/KPA*/TPHOU/KW-BG
'drink': TKREU
'your': KWROUR
'tea,"': TAE/KW-BG/KR-GS
'said': SED
'the': -T
'mother;': PHOER/STPH*FPLT
'"perhaps': KW-GS/PRAPS
'you': U
'will': HR
'hear': HAER
'a': AEU
'story."': STOER/TP-PL/KR-GS
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'if': TP
'I': EU
'only': OEPBL
'knew': TPHAOU
'a': AEU
'fresh': TPRERB
'one,"': WUPB/KW-BG/KR-GS
'said': SED
'the': -T
'old': OLD
'man,': PHAPB/KW-BG
'and': SKP
'nodded': TPHOD/-D
'smilingly.': SPHAOEULG/HREU/TP-PL
'"But': KW-GS/KPA*/PWUT
'how': HOU
'did': TK
'the': -T
'little': HREUL
'fellow': TP*EL
'get': TKPWET
'his': HEUS
'wet': WET
'feet?"': TPAOET/H-F/KR-GS
'he': HE
'then': THEPB
'asked.': SK-D/TP-PL
'"That,"': KW-GS/KPA*/THA/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'mother,': PHOER/KW-BG
'"nobody': KW-GS/TPHOEB
'can': K
'understand."': URPBD/TP-PL/KR-GS
'"Will': KW-GS/W*EUL
'you': U
'tell': TEL
'me': PHE
'a': AEU
'story?"': STOER/H-F/KR-GS
'asked': SK-D
'the': -T
'boy.': PWOEU/TP-PL
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'if': TP
'you': U
'can': K
'tell': TEL
'me': PHE
'as': AS
'nearly': TPHAOERL
'as': AS
'possible': POB
'how': HOU
'deep': TKAOEP
'is': S
'the': -T
'gutter': TKPWOURT
'in': TPH
'the': -T
'little': HREUL
'street': STRAOET
'where': W-R
'you': U
'go': TKPW
'to': TO
