The Loveliest Rose in the World

'There': KPA/THR
'lived': HREUFD
'once': WUPBS
'a': AEU
'great': TKPWRAET
'queen,': KWAOEPB/KW-BG
'in': TPH
'whose': WHOZ
'garden': TKPWA*RPB
'were': WR
'found': TPOUPBD
'at': AT
'all': AUL
'seasons': S-PBZ
'the': -T
'most': PHOFT
'splendid': SPHREPB/TKEUD
'flowers,': TPHRO*URS/KW-BG
'and': SKP
'from': TPR
'every': EF
'land': HRAPBD
'in': TPH
'the': -T
'world.': WORLD/TP-PL
'She': KPA/SHE
'specially': SPERBL/HREU
'loved': HROFD
'roses,': ROES/-S/KW-BG
'and': SKP
'therefore': TH-FR
'she': SHE
'possessed': POS/ES/-D
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'varieties': SRAOEURTS
'of': -F
'this': TH
'flower,': TPHRO*UR/KW-BG
'from': TPR
'the': -T
'wild': WAOEULD
'hedge-rose,': HEPBLG/H-PB/ROEZ/KW-BG
'with': W
'its': EUTS
'apple-scented': A*EPL/H-PB/SKREPBT/-D
'leaves,': HREFS/KW-BG
'to': TO
'the': -T
'splendid': SPHREPB/TKEUD
'Provence': P*P/R*/O*/SR*/EPBS
'rose.': ROEZ/TP-PL
'They': KPA/THE
'grew': TKPWRAOU
'near': TPHAOER
'the': -T
'shelter': SHELT
'of': -F
'the': -T
'walls,': WAULS/KW-BG
'wound': WOUPBD
'themselves': TH*EPLS
'round': ROUPBD
'columns': KHRUPLS
'and': SKP
'window-frames,': WOEUPBD/H-PB/TPRAEUPLS/KW-BG
'crept': KREPT
'along': HRAOPBG
'passages': PA*PBLGS
'and': SKP
'over': OEFR
'the': -T
'ceilings': KRAOELGS
'of': -F
'the': -T
'halls.': HAULS/TP-PL
'They': KPA/THE
'were': WR
'of': -F
'every': EF
'fragrance': TPRAEUG/RAPBS
'and': SKP
'color.': KROR/TP-PL
'But': KPA/PWUT
'care': KAEUR
'and': SKP
'sorrow': SROE
'dwelt': TKWELT
'within': W-PB
'these': THEZ
'halls;': HAULS/STPH*FPLT
'the': -T
'queen': KWAOEPB
'lay': HRAEU
'upon': POPB
'a': AEU
'sick': SEUBG
'bed,': PWED/KW-BG
'and': SKP
'the': -T
'doctors': TKR-S
'declared': TKE/KHRAEURD
'that': THA
'she': SHE
'must': PHUFT
'die.': TKAOEU/TP-PL
'"There': KW-GS/KPA*/THR
'is': S
