The Nightingale

'In': KPA/TPH
'China,': KHAOEUPB/KWRARBGS
'you': U
'know,': TPHOE/KW-BG
'the': -T
'emperor': EPL/ROR
'is': S
'a': AEU
'Chinese,': KHAOEUPBZ/KW-BG
'and': SKP
'all': AUL
'those': THOZ
'about': PW
'him': HEUPL
'are': R
'Chinamen': KWHRAOEUPB/PH*EPB
'also.': HR-S/TP-PL
'The': KPA/-T
'story': STOER
'I': EU
'am': APL
'going': TKPW-G
'to': TO
'tell': TEL
'you': U
'happened': HAPD
'a': AEU
'great': TKPWRAET
'many': PHAEPB
'years': KWRAOERS
'ago,': AG/KW-BG
'so': SO
'it': T
'is': S
'well': WEL
'to': TO
'hear': HAER
'it': T
'now': TPHOU
'before': PW-FR
'it': T
'is': S
'forgotten.': TPAURGTD/TP-PL
'The': KPA/-T
'emperor's': EPL/ROR/AES
'palace': PAL/AS
'was': WAS
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'in': TPH
'the': -T
'world.': WORLD/TP-PL
'It': KPA/T
'was': WAS
'built': PWEULT
'entirely': SPWAOEURL
'of': -F
'porcelain,': PORS/HRAPB/KW-BG
'and': SKP
'very': SRE
'costly,': KOFT/HREU/KW-BG
'but': PWUT
'so': SO
'delicate': TKEL/KAT
'and': SKP
'brittle': PWR*EULT
'that': THA
'whoever': WHOFR
'touched': TUFPD
'it': T
'was': WAS
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'be': -B
'careful.': KAEUFL/TP-PL
'In': KPA/TPH
'the': -T
'garden': TKPWA*RPB
'could': KO
'be': -B
'seen': SAOEPB
'the': -T
'most': PHOFT
'singular': SEUPBG/HRAR
'flowers,': TPHRO*URS/KW-BG
'with': W
'pretty': PREUT
'silver': SEUL/SRER
'bells': PWELS
'tied': TAO*EUD
'to': TO
'them,': THEPL/KW-BG
'which': WEU
'tinkled': TEUPB/K-LD
'so': SO
'that': THA
'every': EF
'one': WUPB
'who': WHO
'passed': PAFD
'could': KO
'not': TPHOT
'help': HEP
'noticing': TPH-TS/-G
'the': -T
'flowers.': TPHRO*URS/TP-PL
'Indeed,': KPA/TPHAOEPBD/KW-BG
'everything': EFRG
'in': TPH
'the': -T
'emperor's': EPL/ROR/AES
'garden': TKPWA*RPB
'was': WAS
'remarkable,': RARBG/-BL/KW-BG
'and': SKP
'it': T
'extended': EBGS/TEPBD/-D
'so': SO
'far': TPAR
'that': THA
'the': -T
'gardener': TKPWARD/TPHER
'himself': HEUPLS
'did': TK
'not': TPHOT
'know': TPHOE
'where': W-R
'it': T
'ended.': EPBD/-D/TP-PL
'Those': KPA/THOZ
'who': WHO
'travelled': TRAFL/*LD
'beyond': KWROPBD
'its': EUTS
'limits': HREUPLTS
'knew': TPHAOU
'that': THA
'there': THR
'was': WAS
'a': AEU
'noble': TPHOEBL
'forest,': TPOEFRT/KW-BG
'with': W
'lofty': HROF/TEU
'trees,': TRAOES/KW-BG
'sloping': SHROEPG
'down': TKOUPB
'to': TO
'the': -T
'deep': TKAOEP
'blue': PWHRU
'sea,': SAE/KW-BG
'and': SKP
'the': -T
'great': TKPWRAET
'ships': SHEUPS
'sailed': SAEULD
'under': TPH-PB
'the': -T
'shadow': SHOEUD
'of': -F
'its': EUTS
'branches.': PWRAFRPBS/TP-PL
'In': KPA/TPH
'one': WUPB
'of': -F
'these': THEZ
'trees': TRAOES
'lived': HREUFD
'a': AEU
'nightingale,': TPHAOEUT/-G/TKPWAEL/KW-BG
'who': WHO
'sang': SAPBG
'so': SO
'beautifully': PWAOUFL/HREU
'that': THA
'even': AOEPB
'the': -T
'poor': PAOR
'fishermen,': TPEURB/ER/PHEPB/KW-BG
'who': WHO
'had': H
'so': SO
'many': PHAEPB
'other': OER
'things': THEUPBGS
'to': TO
'do,': TKORBGS
'would': WO
'stop': STOP
'and': SKP
'listen.': HREUFPB/TP-PL
'Sometimes,': KPA/STAOEUPLS/KW-BG
'when': WHEPB
'they': THE
'went': WEPBT
'at': AT
'night': TPHAOEUT
'to': TO
'spread': SPRED
'their': THAEUR
'nets,': TPHETS/KW-BG
'they': THE
'would': WO
'hear': HAER
'her': HER
'sing,': SEUPBG/KW-BG
'and': SKP
'say,': SAEU/KW-BG
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'is': S
'not': TPHOT
'that': THA
'beautiful?"': PWAOUFL/H-F/KR-GS
'But': KPA/PWUT
'when': WHEPB
'they': THE
'returned': RURPBD
'to': TO
'their': THAEUR
'fishing,': TPEURBG/KW-BG
'they': THE
'forgot': TPAURGT
'the': -T
'bird': PWEURD
'until': TPH-L
'the': -T
'next': TPHEGT
'night.': TPHAOEUT/TP-PL
'Then': KPA/THEPB
'they': THE
'would': WO
'hear': HAER
'it': T
'again,': STKPWERPBGS
'and': SKP
'exclaim': SKHRAEUPL
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'how': HOU
'beautiful': PWAOUFL
'is': S
'the': -T
'nightingale's': TPHAOEUT/-G/TKPWAEL/AES
'song!"': SOPBG/SKHRAPL/KR-GS
'Travellers': KPA/TRA*FL/ERS/A*U
'from': TPR
'every': EF
'country': KREU
'in': TPH
'the': -T
'world': WORLD
'came': KAEUPL
'to': TO
'the': -T
'city': STEU
'of': -F
'the': -T
'emperor,': EPL/ROR/KW-BG
'which': WEU
'they': THE
'admired': AD/PHAOEURD
'very': SRE
'much,': PHUFP/KW-BG
'as': AS
'well': WEL
'as': AS
'the': -T
'palace': PAL/AS
'and': SKP
'gardens;': TKPWARD/-PBS/STPH*FPLT
'but': PWUT
'when': WHEPB
'they': THE
'heard': HAERD
'the': -T
'nightingale,': TPHAOEUT/-G/TKPWAEL/KW-BG
'they': THE
'all': AUL
'declared': TKE/KHRAEURD
'it': T
'to': TO
'be': -B
'the': -T
'best': PWEFT
'of': -F
'all.': AUL/TP-PL
'And': AFPBD
'the': -T
'travellers,': TRA*FL/ERS/A*U/KW-BG
'on': OPB
'their': THAEUR
'return': RURPB
'home,': HOEPL/KW-BG
'related': RAELTD
'what': WHA
'they': THE
'had': H
'seen;': SAOEPB/STPH*FPLT
'and': SKP
'learned': HRERPBD
'men': PHEPB
'wrote': WRO
'books,': PWAOBGS/KW-BG
'containing': KAUPB/TAEUPBG
'descriptions': SKREUFPGS
'of': -F
'the': -T
'town,': TOUPB/KW-BG
'the': -T
'palace,': PAL/AS/KW-BG
'and': SKP
'the': -T
'gardens;': TKPWARD/-PBS/STPH*FPLT
'but': PWUT
'they': THE
'did': TK
'not': TPHOT
'forget': TPORGT
'the': -T
'nightingale,': TPHAOEUT/-G/TKPWAEL/KW-BG
'which': WEU
'was': WAS
'really': R-L
'the': -T
'greatest': TKPWRAET/EFT
'wonder.': WOPBD/TP-PL
'And': AFPBD
'those': THOZ
'who': WHO
'could': KO
'write': WREU
'poetry': POEURT
'composed': KPOEFD
'beautiful': PWAOUFL
'verses': SRERSZ
'about': PW
'the': -T
'nightingale,': TPHAOEUT/-G/TKPWAEL/KW-BG
'who': WHO
'lived': HREUFD
'in': TPH
'a': AEU
'forest': TPOEFRT
'near': TPHAOER
'the': -T
'deep': TKAOEP
'sea.': SAE/TP-PL
'The': KPA/-T
'books': PWAOBGS
'travelled': TRAFL/*LD
'all': AUL
'over': OEFR
'the': -T
'world,': WORLD/KW-BG
'and': SKP
'some': SOPL
'of': -F
'them': THEPL
'came': KAEUPL
'into': TPHAO
'the': -T
'hands': HAPBDZ
'of': -F
'the': -T
'emperor;': EPL/ROR/STPH*FPLT
'and': SKP
'he': HE
'sat': SAT
'in': TPH
'his': HEUS
'golden': TKPWOELD/*EPB
'chair,': KHAEUR/KW-BG
'and,': SKP/KW-BG
'as': AS
'he': HE
'read,': RAED/KW-BG
'he': HE
'nodded': TPHOD/-D
'his': HEUS
'approval': A/PROFL
'every': EF
'moment,': PHOEPLT/KW-BG
'for': TPOR
'it': T
'pleased': PHREFD
'him': HEUPL
'to': TO
'find': TPAOEUPBD
'such': SUFP
'a': AEU
'beautiful': PWAOUFL
'description': SKREUPGS
'of': -F
'his': HEUS
'city,': STEU/KW-BG
'his': HEUS
'palace,': PAL/AS/KW-BG
'and': SKP
'his': HEUS
'gardens.': TKPWARD/-PBS/TP-PL
'But': KPA/PWUT
'when': WHEPB
'he': HE
'came': KAEUPL
'to': TO
'the': -T
'words,': WORDZ/KW-BG
'"the': KW-GS/-T
'nightingale': TPHAOEUT/-G/TKPWAEL
'is': S
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'of': -F
'all,"': AUL/KW-BG/KR-GS
'he': HE
'exclaimed,': SKHRAEUPLD/KW-BG
'"What': KW-GS/KPA*/WHA
'is': S
'this?': TH/H-F
'I': EU
